"Catàleg","Àmbit d’actuació   ","Nom acció formativa","Nombre places","Durada hora","Edicions previstes","Personal Destinatari 1","Personal Destinatari 2","Personal Destinatari 3","Personal Destinatari 4","Personal Destinatari 5","Objectius"
"TRANSVERSAL - 2021","Actualització normativa","Procediment administratiu. Actualitzat amb les lleis 39/2015 i 40/2015)",30.0,30.0,8.0,"","","","","","Conèixer les eines procedimentals bàsiques que contenen les lleis 39/2015 i 40/2015, d'1 d'octubre, de procediment administratiu comú i de règim jurídic de les administracions públiques i del procediment administratiu comú, i altres normes procedimentals bàsiques de caire local (i assimilat), sobretot, des d'un vessant pràctic. Conèixer, també, la incidència de l'Administració electrònica en aquesta matèria."
"TRANSVERSAL - 2021","Actualització normativa","Propietat intel·lectual - Llicències Creative Commons",30.0,10.0,2.0,"","","","","","Conèixer la legislació sobre propietat intel·lectual, les pautes d'actuació en matèria de drets d'autor i com treballar amb llicències Creative Commons."
"TRANSVERSAL - 2021","Administració electrònica i tecnologies de la informació","Curació de continguts i recerca eficient d'informació a la xarxa",30.0,10.0,5.0,"","","","","","Aprendre a cercar, filtrar, seleccionar i extreure la informació que necessites a la xarxa sense perdre temps"
"TRANSVERSAL - 2021","Administració electrònica i tecnologies de la informació","Excel 2010 (nivell mitjà)",30.0,25.0,5.0,"","","","","","Aprendre les funcionalitat del programari informàtic de fulls de càlcul Excel 2010, a nivell d'usuari intermedi."
"TRANSVERSAL - 2021","Administració electrònica i tecnologies de la informació","Excel: treball amb macros",30.0,10.0,1.0,"","","","","","Aprendre a crear macros bàsiques i avançades."
"TRANSVERSAL - 2021","Administració electrònica i tecnologies de la informació","IRIS 2.0",1500.0,3.0,1.0,"","","","","","Conèixer les funcionalitats de la nova versió del programa IRIS"
"TRANSVERSAL - 2021","Administració electrònica i tecnologies de la informació","NASIA: rol enriquiment",100.0,3.0,1.0,"","","","","","Conèixer les diferents opcions de cerques i modificacions de registres per a realitzar el manteniment diari i les diferents opcions que disposa l'editor, per realitzar els enriquiments sobre els continguts de les web de destí."
"TRANSVERSAL - 2021","Administració electrònica i tecnologies de la informació","NASIA: rol manteniment",100.0,2.0,1.0,"","","","","","Conèixer les diferents opcions de cerques i modificacions de registres per a realitzar el manteniment diari i les diferents opcions que disposa l'editor per realitzar els enriquiments sobre els continguts de les web de destí"
"TRANSVERSAL - 2021","Administració electrònica i tecnologies de la informació","Word 2010 (nivell mitjà)",40.0,25.0,1.0,"","","","","","Aprendre les funcionalitats del programari informàtic de processador de textos Word 2010, a nivell d'usuari intermedi."
"TRANSVERSAL - 2021","Capacitats i habilitats de comandament","Lideratge efectiu",30.0,20.0,1.0,"","","","","","Conèixer la diferència entre liderar i gestionar equips, els beneficis del bon lideratge i definir un pla de millora propi"
"TRANSVERSAL - 2021","Capacitats i habilitats de comandament","Presa de decisions i generació d'alternatives en el rol del comandament",30.0,15.0,1.0,"","","","","","Conèixer les tècniques i les metodologies per anticipar-nos als problemes, aportar alternatives de solució innovadores i ajudar la nostra capacitat de decisió en situacions complicades i urgents."
