"CARRER","NOM_CARRER","PRIMER_NUM","ULTIM_NUM","TIPUSNUM","DISTRICTE","SECC_CENS","AEB","BARRI","SECC_EST","DPOSTAL"
102,"Llebrencs","0001","0017",1,5,3,92.0,22,182.0,8017
102,"Llebrencs","0002","0026",2,5,3,92.0,22,182.0,8017
180,"A Zona Franca","0003","0119",1,3,25,60.0,12,61.0,8040
180,"A Zona Franca","0002","0106",2,3,25,60.0,12,61.0,8040
204,"Guerau de Liost","0001","0017",1,5,3,92.0,22,182.0,8017
204,"Guerau de Liost","0002","0022",2,5,3,92.0,22,182.0,8017
306,"Abat Odó","0001","0063",1,9,47,192.0,60,81.0,8030
306,"Abat Odó","0065","0089",1,9,48,192.0,60,84.0,8030
306,"Abat Odó","0002","0044",2,9,47,192.0,60,81.0,8030
306,"Abat Odó","0046","0068",2,9,46,192.0,60,84.0,8030
408,"Abat Samsó","0001","0023",1,5,12,95.0,23,162.0,8017
408,"Abat Samsó","0002B","0020",2,5,12,95.0,23,162.0,8017
500,"Abat Safont","0001","0011",1,1,4,2.0,1,102.0,8001
500,"Abat Safont","0002S","0012",2,1,4,2.0,1,102.0,8001
601,"Abadessa Olzet","0001","0007",1,4,55,90.0,21,77.0,8034
601,"Abadessa Olzet","0009B","0039",1,4,56,90.0,21,77.0,8034
601,"Abadessa Olzet","0002","0008",2,4,55,90.0,21,77.0,8034
601,"Abadessa Olzet","0010","0040",2,4,56,90.0,21,77.0,8034
703,"Abaixadors","0001","0015",1,1,46,16.0,4,30.0,8003
703,"Abaixadors","0002","0016",2,1,46,16.0,4,30.0,8003
805,"Abd el-Kader","0001","0019",1,7,17,137.0,33,77.0,8024
805,"Abd el-Kader","0002","0008",2,7,16,137.0,33,77.0,8024
907,"Abdó Terradas","0001","0027",1,6,58,129.0,31,13.0,8012
907,"Abdó Terradas","0002","0032",2,6,58,129.0,31,13.0,8012
1003,"Abella","0001B","0005",1,8,48,166.0,47,85.0,8031
1003,"Abella","0002B","0006",2,8,48,166.0,47,85.0,8031
1105,"Manuel Ballbé","0001","0017",1,4,54,89.0,21,79.0,8034
1105,"Manuel Ballbé","0002","0020",2,4,54,89.0,21,79.0,8034
1309,"Acàcies","0001","0073",1,9,79,198.0,62,61.0,8027
1309,"Acàcies","0002","0008",2,9,80,198.0,62,59.0,8027
1309,"Acàcies","0010","0044",2,9,78,198.0,62,60.0,8027
1309,"Acàcies","0046","0064",2,9,79,198.0,62,62.0,8027
1400,"Pl Acadèmia","0001","0005",1,1,54,19.0,4,36.0,8003
1400,"Pl Acadèmia","0002","0006",2,1,54,19.0,4,36.0,8003
1502,"Sèquia","0001","0013",1,1,53,19.0,4,41.0,8003
1502,"Sèquia","0002","0010",2,1,53,19.0,4,41.0,8003
1604,"Sèquia Comtal","0001","0021",1,10,39,207.0,65,160.0,8018
1604,"Sèquia Comtal","0002B","0016",2,10,39,207.0,65,160.0,8018
1706,"Sèquia Madriguera","0001","0027",1,9,10,185.0,59,136.0,8030
1706,"Sèquia Madriguera","0002","0030",2,9,10,185.0,59,136.0,8030
1808,"Acer","0001","0045",1,3,25,60.0,12,65.0,8038
1808,"Acer","0002","0044",2,3,25,60.0,12,62.0,8038
1900,"Actor Morano","0001","0013",1,5,2,92.0,22,180.0,8017
1900,"Actor Morano","0002","0008",2,5,2,92.0,22,180.0,8017
2006,"Actriu Tubau","0001","0005",1,5,2,92.0,22,180.0,8017
2006,"Actriu Tubau","0002","0008",2,5,2,92.0,22,180.0,8017
2050,"Adolf Florensa","0001","0023",1,4,49,87.0,20,8.0,8028
2050,"Adolf Florensa","0002","0024",2,4,49,87.0,20,8.0,8028
2200,"Adrall","0001","0005",1,9,10,185.0,59,136.0,8030
2200,"Adrall","0007","0007",1,9,9,184.0,59,136.0,8030
2210,"Av Adrià Gual","0043","0069",1,6,9,116.0,28,158.0,8035
2210,"Av Adrià Gual","0038","0064",2,6,9,116.0,28,158.0,8035
2403,"Adrià Margarit","0001","0003",1,5,32,100.0,25,101.0,8035
2403,"Adrià Margarit","0027B","0033",1,5,33,101.0,25,100.0,8035
2403,"Adrià Margarit","0022","0044",2,5,33,101.0,25,100.0,8035
2505,"Pl Adrià","0001B","0003",1,5,51,104.0,26,51.0,8021
2505,"Pl Adrià","0005","0007",1,5,50,104.0,26,50.0,8021
2505,"Pl Adrià","0002","0002",2,5,51,104.0,26,51.0,8021
2505,"Pl Adrià","0004","0004",2,5,52,104.0,26,48.0,8021
2505,"Pl Adrià","0006","0008",2,5,50,104.0,26,50.0,8021
2607,"Duana","0001","0007",1,1,43,16.0,4,25.0,8003
2607,"Duana","0002","0006",2,1,43,16.0,4,25.0,8003
2709,"Afores","0002","0056",2,9,21,186.0,60,125.0,8030
2902,"Aglà","0001","0009",1,1,29,11.0,2,75.0,8002
2902,"Aglà","0002","0008",2,1,29,11.0,2,73.0,8002
3009,"Agramunt","0001","0011",1,6,1,114.0,28,137.0,8023
3009,"Agramunt","0013","0037",1,5,90,112.0,27,84.0,8023
3009,"Agramunt","0002","0010",2,6,1,114.0,28,138.0,8023
3009,"Agramunt","0012","0028",2,5,91,112.0,27,84.0,8023
3100,"Agregació","0001","0013",1,7,44,142.0,35,54.0,8041
3100,"Agregació","0015","0051",1,7,45,142.0,35,52.0,8041
3100,"Agregació","0002","0014",2,7,44,142.0,35,54.0,8041
3100,"Agregació","0016","0032",2,7,45,142.0,35,52.0,8041
3100,"Agregació","0034","0044",2,7,46,142.0,35,51.0,8041
3202,"Anna Martínez Sagi","0001","0023",1,7,43,142.0,35,49.0,8041
3202,"Anna Martínez Sagi","0025","0051",1,7,45,142.0,35,51.0,8041
3202,"Anna Martínez Sagi","0018","0018",2,7,44,142.0,35,53.0,8041
3202,"Anna Martínez Sagi","0020","0046",2,7,45,142.0,35,51.0,8041
3202,"Anna Martínez Sagi","0002","0016",2,7,43,142.0,35,50.0,8041
3406,"Agricultura","0045","0065",1,10,236,"",69,65.0,8019
3406,"Agricultura","0067","0147",1,10,94,223.0,71,64.0,8019
3406,"Agricultura","0211","0215",1,10,122,229.0,72,185.0,8020
3406,"Agricultura","0217","0217",1,10,122,229.0,72,185.0,8020
3406,"Agricultura","0219","0235",1,10,121,229.0,72,187.0,8020
3406,"Agricultura","0237","0257",1,10,120,229.0,72,188.0,8020
3406,"Agricultura","0259","0279",1,10,118,228.0,72,191.0,8020
3406,"Agricultura","0303","0347",1,10,116,228.0,72,195.0,8020
3406,"Agricultura","0060","0072",2,10,235,"",69,64.0,8019
3406,"Agricultura","0074","0150",2,10,94,223.0,71,64.0,8019
3406,"Agricultura","0240","0260",2,10,120,229.0,72,189.0,8020
3406,"Agricultura","0262","0282",2,10,115,228.0,72,190.0,8020
3406,"Agricultura","0284","0304",2,10,117,228.0,72,194.0,8020
3406,"Agricultura","0039","0043",1,10,235,"",69,67.0,8019
3406,"Agricultura","0217B","0217B",1,10,121,229.0,72,187.0,8020
3406,"Agricultura","0281","0301",1,10,115,228.0,72,194.0,8020
3406,"Agricultura","0200","0238",2,10,122,229.0,72,186.0,8020
3406,"Agricultura","0306","0318",2,10,116,228.0,72,195.0,8020
3508,"Ctra Aigües","0001","0059",1,4,56,90.0,21,82.0,8034
3508,"Ctra Aigües","0061","0099",1,5,3,92.0,22,173.0,8017
3508,"Ctra Aigües","0101","0135",1,5,5,93.0,23,174.0,8017
3508,"Ctra Aigües","0137","0149",1,5,3,92.0,22,180.0,8017
3508,"Ctra Aigües","0301","0357",1,7,90,150.0,39,190.0,8035
3508,"Ctra Aigües","0359","0399",1,6,9,116.0,28,190.0,8035
3508,"Ctra Aigües","0002B","0050",2,4,56,90.0,21,82.0,8034
3508,"Ctra Aigües","0158B","0202",2,5,4,93.0,23,174.0,8017
3508,"Ctra Aigües","0280","0300",2,5,32,100.0,25,101.0,8035
3508,"Ctra Aigües","0302","0350",2,5,33,101.0,25,100.0,8035
3508,"Ctra Aigües","0151B","0299",1,5,2,92.0,22,180.0,8017
3508,"Ctra Aigües","0052","0156",2,5,5,93.0,23,173.0,8017
3508,"Ctra Aigües","0352","0406",2,6,9,116.0,28,158.0,8035
3552,"Camí Aigües","0001","0007",1,5,5,93.0,23,173.0,8017
3552,"Camí Aigües","0002","0008",2,5,5,93.0,23,173.0,8017
3600,"Agudells","0001","0035",1,7,58,145.0,36,109.0,8032
3600,"Agudells","0037","0045",1,7,70,147.0,37,109.0,8032
3600,"Agudells","0055","0073",1,7,66,147.0,37,113.0,8032
3600,"Agudells","0075","0089",1,7,65,147.0,37,118.0,8032
3600,"Agudells","0002","0024",2,7,58,145.0,36,109.0,8032
3600,"Agudells","0036","0044",2,7,70,147.0,37,111.0,8032
3600,"Agudells","0047","0053",1,7,67,147.0,37,112.0,8032
3600,"Agudells","0046","0080",2,7,68,147.0,37,114.0,8032
3701,"Agudes","0001A","0001C",1,8,113,180.0,55,204.0,8033
3701,"Agudes","0001","0067",1,8,114,180.0,55,203.0,8033
