"Codi_Capítol","Text_Capítol","Codi_Article","Text_Article","Codi_Concepte","Text_Concepte","Codi_Subconcepte","Text_Subconcepte","Codi_Orgànic","Text_Orgànic","Codi_Àrees","Text_Àrees","Codi_Política","Text_política","Codi_Grup_de_programes","Text_Grup_de_programes","Codi_Programes","Text_Programes","Codi_Subprogrames","Text_Subprogrames","PREV_INICIAL","MODIF_PREVISIÓ","PREV_DEFINITIVA","DRETS_RECONEGUTS","DRETS _ANULCANC","DRETS_LIQUIDATS","RECAPTAT_LIQUIDAT"
1,"IMPOSTOS DIRECTES",10,"IMPOST SOBRE LA RENTA",100,"IRPF",10000,"Cessió IRPF",703,"SERVEIS CENTRALS",1,"Serveis públics bàsics",16,"Benestar comunitari",160,"Clavegueram",1601,"Sanejament xarxa de clavegueram",16011,"Sanejament xarxa de clavegueram",51298825.98,0.0,51298825.98,0.0,0.0,0.0,0.0
1,"IMPOSTOS DIRECTES",10,"IMPOST SOBRE LA RENTA",100,"IRPF",10000,"Cessió IRPF",703,"SERVEIS CENTRALS",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos municipals",93219,"Serveis d’ingressos",0.0,0.0,0.0,4891841.31,0.0,4891841.31,0.0
1,"IMPOSTOS DIRECTES",11,"SOBRE EL CAPITAL",112,"SOBRE BENS IMMOBLES DE NATURALESA RÚSTEGA",11200,"IBI de naturalesa rústega",703,"SERVEIS CENTRALS",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos municipals",93219,"Serveis d’ingressos",0.0,0.0,0.0,76.91,0.0,76.91,76.91
1,"IMPOSTOS DIRECTES",11,"SOBRE EL CAPITAL",113,"SOBRE BENS IMMOBLES DE NATURALESA URBANA",11301,"IBI de naturalesa urbana",703,"SERVEIS CENTRALS",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos municipals",93219,"Serveis d’ingressos",633204780.0,0.0,633204780.0,698075.16,43202.33,654872.83,297611.21
1,"IMPOSTOS DIRECTES",11,"SOBRE EL CAPITAL",114,"SOBRE BENS IMMOBLES DE CARACT. ESPECIALS",11401,"IBI de característiques especials",703,"SERVEIS CENTRALS",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos municipals",93219,"Serveis d’ingressos",11094040.0,0.0,11094040.0,7918.22,0.0,7918.22,7918.22
1,"IMPOSTOS DIRECTES",11,"SOBRE EL CAPITAL",115,"SOBRE VEHICLES DE TRACCIO MECANICA",11500,"Impost sobre vehicles tracció mecànica",703,"SERVEIS CENTRALS",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos municipals",93219,"Serveis d’ingressos",56970000.0,0.0,56970000.0,270662.04,491.6,270170.44,261647.94
1,"IMPOSTOS DIRECTES",11,"SOBRE EL CAPITAL",116,"SOBRE INCREM. VALOR TERRENYS NATURALESA",11600,"I. s/ increm. valor terrenys nat. urbana",703,"SERVEIS CENTRALS",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos municipals",93219,"Serveis d’ingressos",230728000.0,0.0,230728000.0,17974101.26,185225.46,17788875.8,16821757.93
1,"IMPOSTOS DIRECTES",13,"SOBRE ACTIVITATS ECONOMIQUES",130,"SOBRE ACTIVITATS ECONOMIQUES",13000,"Impost activitats econòmiques (IAE)",703,"SERVEIS CENTRALS",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos municipals",93219,"Serveis d’ingressos",82126000.0,0.0,82126000.0,1330249.38,51088.1,1279161.28,85276.55
1,"IMPOSTOS DIRECTES",13,"SOBRE ACTIVITATS ECONOMIQUES",130,"SOBRE ACTIVITATS ECONOMIQUES",13001,"Impost activitats profesionals i artísti",703,"SERVEIS CENTRALS",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos municipals",93219,"Serveis d’ingressos",10.0,0.0,10.0,459.78,0.0,459.78,459.78
1,"IMPOSTOS DIRECTES",13,"SOBRE ACTIVITATS ECONOMIQUES",130,"SOBRE ACTIVITATS ECONOMIQUES",13004,"Quotes nacionals i provincials IAE",703,"SERVEIS CENTRALS",9,"Actuacions de caràcter general",93,"Administració financera i tributària",932,"Gestió del sistema tributari",9321,"Administració tributària i d'ingressos municipals",93219,"Serveis d’ingressos",9572300.0,0.0,9572300.0,0.0,0.0,0.0,0.0
