"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdescriptionversion","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 48"
"","","Servei d'Atenció a Homes (SAH) | Servei d'Atenció a Nenes i Nens (SAN) | Centre Municipal d'Acolliment d'Urgència per Violència Masclista (CMAU-VM) | Universitat de Girona | Català Galofré, Carmina | Ramos Garrido, Manuel | Fernández Pous, Alba | Simón Navajas, Carmen | Guerrero Vila, Cristina | Vázquez de Santiago, Míriam | Edo Badia, Imma | Augè Gomà, Mònica | Baena, Mireia | Sisteró, Clara | Casas Aznar, Ferran | Montserrat Boada, Carme | Saiz Lloret, Margarida | Servei d'Atenció, Recuperació i Acollida (SARA) | Departament de Feminismes i LGTBI | Àrea de Drets de Ciutadania, Participació i Transparència | Àrea de Drets Socials","","Barcelona | Barcelona | Barcelona","","","2017","2017-03","Podeu consultar la versió en català a:  http://hdl.handle.net/11703/104946 | Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/104960 | En la data de publicació: Direcció de Feminismes i LGTBI de l’Àrea Drets de Ciutadania, Participació i Transparència","","","","","application/pdf","304 p.","application/pdf","","","",9788498509496.0,"","http://hdl.handle.net/11703/104959","spa","Direcció de Feminismes i LGTBI","http://hdl.handle.net/11703/104946 | http://hdl.handle.net/11703/104960","","","","","","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Violència envers les dones | Fills de dones maltractades | Treball social amb els infants | Treball social amb els adolescents | Violence against women | Children of abused wives | Social work with children | Social work with teenagers | Violencia contra las mujeres | Hijos de mujeres maltratadas | Trabajo social con niños | Trabajo social con adolescentes","Societat i benestar","informes altres","","El impacto de la violencia machista y procesos de recuperación en la infancia y la adolescencia, en las madres y en las relaciones maternofiliales","BCN Investigación aplicada | La investigación aplicada en el contexto de los servicios sociales y de la violencia machista","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A. | Leitat Technological Center","","Barcelona | Barcelona | Barcelona","","","2010","2010","A la portada: Capital humà","","","","","application/pdf","15 p.","application/pdf","9231","","societats mercantils","","","http://hdl.handle.net/11703/90962","cat","Barcelona Activa, S.A.","http://hdl.handle.net/11703/91180","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Aigua | Recursos hidràulics | Water | Water resources development | Agua | Explotación de recursos hidráulicos","Energia","informes altres","","Informe sectorial: aigua","Aigua: informe sectorial","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut Barcelona Esports | Viñas, Jordi | Plans, Albert | Oliva, Sandra | Itik Consultoria de l'Esport i el Lleure, S.L.","","","2012 | 2013","","2014","2014-01","","","","","","application/pdf","41 p.","application/pdf","13028","","","","","http://hdl.handle.net/11703/88796","cat","Ajuntament de Barcelona | Institut Barcelona Esports","","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o Reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual.","","","Joves i esports | Esports escolars | Youth and Sports | School sports | Jóvenes y deportes | Deportes escolares","Esport","informes altres","","Estudi dels hàbits esportius de la població en edat escolar de la ciutat de Barcelona : Curs escolar 2012-2013 : Resum executiu","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona | Turisme de Barcelona","","Barcelona | Barcelona | Barcelona","2008 | 2009","","2009","2009","","","","","","application/pdf","6 p.","application/pdf","9515","","consorcis","","","http://hdl.handle.net/11703/86789","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Campanyes publicitàries | Turisme | Opinió pública | Advertising | Tourism | Public opinion | Publicidad | Turismo | Opinión pública","Turisme","informes altres","Pla Estratègic de Turisme de la Ciutat de Barcelona 2010-2015","Anàlisi de l'opinió publicada als mitjans escrits : Curs 2008-2009 : Informes","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Cicle de l'Aigua, S.A.","","Barcelona | Barcelona | Barcelona","2016","","2016-09-23","2016-09-23","","","","","","application/pdf","3 p.","application/pdf","","","societats mercantils","","","http://hdl.handle.net/11703/98334","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Barcelona Cicle de l'Aigua, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","Dipòsits d'aigua | Aigua de pluja | Water tanks | Rain-water | Depósitos de agua | Agua de lluvia","Medi ambient | Urbanisme i infraestructures","informes altres","","Informe de pluja i dipòsits [versió resumida] : període del 23 al 24 de setembre de 2016","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona Activa, S.A.","Col·legi d'Enginyers Tècnics Industrials de Barcelona","Barcelona | Barcelona | Barcelona","","","2013","2013","A la portada: Barcelona Treball","","","","","application/pdf","25 p.","application/pdf","17460","","societats mercantils","","","http://hdl.handle.net/11703/91181","cat","Barcelona Activa, S.A.","http://hdl.handle.net/11703/90963","","","","","","","","","","Tots els drets reservats","info:eu-repo/semantics/openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","Automòbils | Automobiles | Automóviles","Indústria","informes altres","","Automoció: informe sectorial 2013","Informe sectorial: automoció","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona | Salvador-Piedrafita, María | Artazcoz Lazcano, Lucía | Bartoll, Xavier | Bastida, Andrea | Pasarín Rúa, Maria Isabel | Puig Barrachina, Vanessa","","Barcelona | Barcelona | Barcelona","","","2018","2018-05","","","","","","application/pdf","42 p.","application/pdf","","","","","","http://hdl.handle.net/11703/111314","cat","Agència de Salut Pública de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cuidadors | Cuidadores | Caregivers | Discapacitats | People with disabilities | Personas con discapacidad | Salut | Salud | Health","Salut | Societat i benestar","informes altres","","Benestar i salut de les persones cuidadores de familiars a Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Comissió Assessora de Processos Participatius | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2018-10-16","2018","","","","","","application/pdf","8 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115379","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Participación ciudadana | Citizen participation","Societat i benestar","informes altres","","Informe de la Comissió Assessora de Processos Participatius: Sobre duplicitats i possibles convalidacions en Processos Participatius per a Modificacions del Pla General Metropolità (MPGM)","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència de Recursos | Departament de Transversalitat de Gènere | Observatori iQ | Fuente, María de la","","Barcelona | Barcelona | Barcelona","","","2019","2019","","","","","","application/pdf","16 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/114159","cat","","","","","","","","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Dones | Igualtat entre els sexes | Women | Gender equality | Mujeres | Igualdad de género","Societat i benestar","informes altres","","El gènere en xifres. Condicions de vida de les dones i desigualtats de gènere a Barcelona (2019) : Principals dades de l'informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona | Agència de Salut Pública de Barcelona | Consorci Sanitari de Barcelona","","Barcelona. Districte 10. Sant Martí | Barcelona. District 10. Sant Martí | Barcelona. Distrito 10. Sant Martí | Sant Adrià de Besòs (Catalunya) | Sant Adrià de Besòs (Catalonia) | Sant Adrià de Besòs (Cataluña)","","","2018","2018-05-02","","","","","","application/pdf","9 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/116087","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Incineradores | Incinerators | Incineradoras | Contaminació atmosfèrica | Atmospheric pollution | Contaminación atmosférica | Mortalitat | Mortality | Mortalidad","Medi ambient | Salut","informes altres","","Anàlisi del risc de mortalitat associat a la proximitat de la incineradora de Sant Adrià del Besòs","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
