"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcrelation","dcrelationhasversion","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 42"
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2006","No","2005-12-23","2005-12-30","2006-12-31","2006-01-01","Modificacions aprovades pel Plenari del Consell Municipal el  23-12-2005","","","","","application/pdf","78 p.","application/pdf","12893","","Butlletí Oficial de la Província de Barcelona, núm. 312, Annex I (30-12-2005), p. 3-80","","http://hdl.handle.net/11703/89273","cat","http://hdl.handle.net/11703/88850","","","","","","","http://hdl.handle.net/11703/97217","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2006 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2019","","2019-02-22","2019-03-04","","2019-03-05","Aprovada pel Plenari del Consell Municipal de 22-02-2019","Modificada i substituïda per l'Ordenança per prestacions patrimonials de caràcter públic no tributari dels serveis de cementiris per al 2020 i successius [http://hdl.handle.net/11703/117275]","Deroga l’ordenança fiscal número 3.9 de Taxes per serveis de cementiris i cremació continguda a les Ordenances fiscals 2016 i anys següents [http://hdl.handle.net/11703/86387]","","","application/pdf","2 documents (3 fitxers)","application/pdf","","","Butlletí Oficial de la Província de Barcelona (04-03-2019) | Gaseta Municipal de Barcelona (02-05-2019)","","http://hdl.handle.net/11703/112642","cat","","","","http://hdl.handle.net/11703/117275","http://hdl.handle.net/11703/86387 | <a href=""http://hdl.handle.net/11703/117929"">  Informe d'impacte de gènere de l'Ordenança per prestacions patrimonials de caràcter públic no tributari dels serveis de cementiris</a>","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Serveis funeraris | Servicios funerarios | Undertakers and undertaking | Cementiris | Cementerios | Cemeteries | Tarifes | Tarifas | Rates","Hisenda","ordenances fiscals","","Ordenança per prestacions patrimonials de caràcter públic no tributari dels serveis de cementiris per al 2019 i successius","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2004","No","2003-12-22","2003-12-30","2004-12-31","2004-01-01","Aprovades pel Plenari del Consell Municipal el  22-12-2003 | Vigent des de 01-01-2004","","","","","application/pdf","","application/pdf","12903","","Butlletí Oficial de la Província de Barcelona, núm. 312, Annex V (30-12-2003)","","http://hdl.handle.net/11703/89275","cat","http://hdl.handle.net/11703/88852","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2004 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2000","No","1999-12-22","1999-12-28","2000-12-31","2000-01-01","Aprovades pel Plenari del Consell Municipal el  22-12-1999 | Vigent des de 01-01-2000","","","","","application/pdf","61 p.","application/pdf","12922","","Butlletí Oficial de la Província de Barcelona, núm. 310 (28-12-1999), p. 27-87","","http://hdl.handle.net/11703/89280","cat","http://hdl.handle.net/11703/88856","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals  2000 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2014","No","2014-10-03","2014-10-16","","2014-10-17","Modificació aprovada pel Plenari del Consell Municipal el 03-10-2014","","","","","application/pdf","6 p.","application/pdf","14348","","Butlletí Oficial de la Província de Barcelona (16-10-2014)","","http://hdl.handle.net/11703/86868","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2014 i anys següents : 3.3 Taxes per serveis urbanístics","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2003","No","2002-12-20","2002-12-28","2003-12-31","2003-01-01","Aprovades pel Plenari del Consell Municipal el  22-12-2002 | Vigent des de 01-01-2003","","","","","application/pdf","66 p.","application/pdf","12906","","Butlletí Oficial de la Província de Barcelona, núm. 311, Annex I (28-12-2002), p. 7-72","","http://hdl.handle.net/11703/89276","cat","http://hdl.handle.net/11703/88853","","","","","","","http://hdl.handle.net/11703/89277","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals  2003 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2001","No","2000-12-22","2000-12-28","2001-12-31","2001-01-01","Aprovades pel Plenari del Consell Municipal el  22-12-2000 | Vigent des de l'1 de gener del 2001","","","","","application/pdf","","application/pdf","12918 | 12919 | 12920","","Butlletí Oficial de la Província de Barcelona, núm. 311, Annex I (28-12-2000), p. 7-79 | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona, núm.  24 (27-01-2001), p. 24 | Correcció d'errades :  Butlletí Oficial de la Província de Barcelona, núm. 65 (16-03-2001) p. 25-26","","http://hdl.handle.net/11703/89279","cat","http://hdl.handle.net/11703/88855","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals  2001 i anys següents","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2014","No","2014-05-09","2014-07-21","","2014-05-09","Modificacions aprovades pel Plenari del Consell Municipal el  09-05-2014","","","","","application/pdf","","application/pdf","13902","","Butlletí Oficial de la Província de Barcelona (21-07-2014)","","http://hdl.handle.net/11703/86867","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2014 i anys següents : 3.10 Taxes per utilització privativa del domini públic municipal i la prestació d'altres serveis: guals","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2014","No","2014-03-28","2014-04-14","","2014-03-28","Modificacions aprovades pel Plenari del Consell Municipal el  28-03-2014","","","","","application/pdf","1 p.","application/pdf","13473","","Butlletí Oficial de la Província de Barcelona (14-04-2014)","","http://hdl.handle.net/11703/86865","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2014 i anys següents : 3.1 Taxes per serveis generals, 3.10 Taxes per utilització privativa del domini públic municipal i la prestació d'altres serveis: terrasses","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2012 | 2013 | 2014 | 2015","No","2013-06-28","2013-07-30","2015-12-31","2013-09-25","Modificació aprovada pel Plenari del Consell Municipal el 28-06-2013 | Segons anunci de l'Institut Municipal de Mercats publicat al BOPB 16-09-2013: l'Ajuntament de Barcelona ha fixat com a data d'inauguració oficial i entrada en funcionament del mercat Fira de Bellcaire Encants Barcelona el 25-09-2013.  Per tot això, la data d'entrada en vigor de les modificacions normatives inicialment esmentades -modificació parcial de l'ordenança municipal de mercats, reglament intern de funcionament de la Fira de Bellcaire i modificació parcial de l'ordenança fiscal núm. 3.6 (mercats)- és el 25-09-2013. | Vigent a partir del 25-09-2013","","","","","application/pdf","","application/pdf","12833","","Butlletí Oficial de la Província de Barcelona (30-07-2013)","","http://hdl.handle.net/11703/86871","cat","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals | Local taxation | Impuestos locales","Hisenda","ordenances fiscals","","Ordenances fiscals 2013 i anys següents : 3.6 Taxes de Mercats","","text","info:eu-repo/semantics/other",""
