"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcrelation","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 36"
"","","Ajuntament de Barcelona","","Barcelona","2010","","2010-01-14","2010-01-22","","","Aprovat per Decret de l'Alcaldia de 14-01-2010","","application/pdf","","12087","","Butlletí Oficial de la Província de Barcelona, núm. 19 (22-01-2010)","","http://hdl.handle.net/11703/89301","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany","Societat i benestar","premis","","Premi 8 de març -Maria Aurèlia Capmany 2010 : convocatòria","","text",""
"","","Districte 3. Sants-Montjuïc. Fundació Barcelona Comerç","","Barcelona","2017","","2017-11-16","2018-01-24","","2018-01-25","Aprovat per la Comissió de Govern de 16-11-2017.  Inclou el text íntegre de les bases","","application/pdf","4 documents","","Núm. Exp. 20172131","Aprovació inicial [inclou les Bases]: Gaseta Municipal de Barcelona (27-11-2017). Aprovació definitiva: Butlletí Oficial de la Província de Barcelona (24-01-2018). Aprovació definitiva: Gaseta Municipal de Barcelona (19-01-2018). Publicat també al Diari Oficial de la Generalitat de Catalunya, núm. 7541 (23-01-2018). Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (24-11-2017)","fundacions. districtes","http://hdl.handle.net/11703/107400","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Concurs de curts de cinema i comerç BCN Shopping & Shooting. Fundació Barcelona Comerç. Curtmetratges. Comerç","Comerç. Cultura i oci","premis","","5è Concurs de curts de cinema i comerç BCN Shopping & Shooting de la Fundació Barcelona Comerç 2017 : convocatòria i bases","Premis del V Concurs de curts de cinema i comerç BCN Shopping & Shooting","text",""
"Anual","","Districte 3. Sants-Montjuïc","","Barcelona. Districte 3. Sants-Montjuïc","2017","","2017-01-19","2017-03-08","","2017-03-09","Aprovació  inicial per la Comissió de Govern de 19-01-2017. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","","","Núm. Exp. 20172013","Butlletí Oficial de la Província de Barcelona (08-03-2017)","districtes","http://hdl.handle.net/11703/101032","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Creació literària, artística, etc.. Certamen Literari Francesc Candel. Certàmens literaris","Cultura i oci","premis","","XXIV Certamen literari Francesc Candel  2017 :  convocatòria i bases","","text",""
"Anual","","Institut Barcelona Esports","","Barcelona","2016","","2016-07-27","2016-09-07","","2016-09-08","Aprovat pel President de l'Institut Barcelona d'Esports el 27-07-2016. Text íntegre de les bases , publicat al Butlletí Oficial de la Província de Barcelona (05-10-2015) : http://hdl.handle.net/11703/84109","","application/pdf","3 p.","","","Butlletí Oficial de la Província de Barcelona (07-09-2016)","organismes autònoms","http://hdl.handle.net/11703/98178","cat","http://hdl.handle.net/11703/84109","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Córrer per Compromís. Solidaritat. Esports","Esport. Societat i benestar. Societat i benestar","premis","","Premis Córrer per compromís 2016 : convocatòria","","text",""
"Anual","Obert","Districte 3. Sants-Montjuïc","","Barcelona. Districte 3. Sants-Montjuïc","2018","","2018-02-08","2018-04-17","","2018-04-06","Aprovació  inicial per la Comissió de Govern de 08-02-2018. Atès que dins del termini d'informació pública de les indicades bases particulars no s'han presentat al·legacions, aquestes bases han quedat aprovades definitivament","","application/pdf","4 documents","","Núm. Exp. 20182011","Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (20-02-2018). Aprovació inicial [inclou les Bases]: Gaseta Municipal de Barcelona (19-02-2018). Butlletí Oficial de la Província de Barcelona (17-04-2018). Gaseta Municipal de Barcelona (05-04-2018)","districtes","http://hdl.handle.net/11703/108640","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Creació literària, artística, etc.. Certàmens literaris. Certamen Literari Francesc Candel","Cultura i oci","premis","","XXV Certamen literari Francesc Candel 2018 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","Consell Assessor de Salut Laboral de Barcelona","Barcelona","2011","","2011-01-26","2011-02-08","","","Aprovat per Decret de l'Alcaldia de 26-01-2011","","application/pdf","","12423","","Butlletí Oficial de la Província de Barcelona (08-02-2011)","consells","http://hdl.handle.net/11703/86938","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Ignasi Fina de Salut Laboral","Ocupació. Salut","premis","","Premi Ignasi Fina de Salut Laboral 2011 : convocatòria i bases","","text",""
"","","Institut de Cultura de Barcelona","","Barcelona","2017","No","2016-10-18","2016-11-21","","2016-11-22","Aprovació inicial pel President de l'Institut de Cultura de Barcelona el 18-10-2016. No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","application/pdf","1 p.","","","Butlletí Oficial de la Província de Barcelona (21-11-2016)","entitats públiques empresarials","http://hdl.handle.net/11703/99418","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Jocs Florals de Barcelona. Jocs Florals","Cultura i oci","premis","","Premis Jocs Florals de Barcelona 2017 : convocatòria i bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2009","","2008-12-11","2008-12-20","","","Aprovat per Decret de l'Alcaldia de 11-12-2008","","application/pdf","","12090","","Butlletí Oficial de la Província de Barcelona, núm. 305  (20-12-2008)","","http://hdl.handle.net/11703/89303","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi 8 de març - Maria Aurèlia Capmany","Societat i benestar","premis","","Premi 8 de març -Maria Aurèlia Capmany 2009 : convocatòria","","text",""
"Anual","Obert","Districte 10. Sant Martí","","Barcelona. Districte 10. Sant Martí","2017","Si","2016-09-07","2017-09-26","","2017-09-27","Aprovades pel Consell del Districte de Sant Martí el 06-07-2016. Ratificades per resolució de l'alcaldessa el 07-09-2017","","application/pdf","2 documents","","","Gaseta Municipal de Barcelona (26-09-2017). Butlletí Oficial de la Província de Barcelona (26-09-2017)","districtes","http://hdl.handle.net/11703/105843","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premis Sant Martí. Condecoracions. Medalles. Integració social","Societat i benestar. Cultura i oci","premis","","Premis Sant Martí 2017: bases","","text",""
"","","Ajuntament de Barcelona","","Barcelona","2011","","2011-02-21","2011-03-03","","","Aprovat per Decret de l'Alcaldia de 21-02-2011","","application/pdf","","12449","","Butlletí Oficial de la Província de Barcelona (03-03-2011)","","http://hdl.handle.net/11703/86943","cat","","","","","","Domini públic","openAccess","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Premi Barcelona Associacions","Societat i benestar","premis","","Premi Barcelona Associacions 2011 : convocatòria i bases","","text",""
