"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Portal de l'Àngel, Avinguda (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Portal de l'Àngel, Avenue (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Portal de l'Àngel, Avenida (Barcelona)","2012","No","2012-09-21","2012","","","Aprovada per Acord del Consell Plenari del Districte de Ciutat Vella el 21-09-2012","","Substitueix la Normativa de regulació de les activitats de venda no sedentària i/o altres activitats a l'Avinguda Portal de l'Àngel  [2009] [http://hdl.handle.net/11703/84387]","","","application/pdf","8 p.","application/pdf","13876","","","districtes","","http://hdl.handle.net/11703/84386","cat","Districte de Ciutat Vella","","http://hdl.handle.net/11703/89244","","","","","http://hdl.handle.net/11703/84387","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Llicències comercials | Fires | Venda ambulant | Public spaces | Trade licenses | Fairs | Peddling | Espacios públicos | Licencias comerciales | Ferias | Comercio ambulante","Comerç","bases ús públic | documents digitalitzats","Normativa de regulació de les activitats de venda no sedentària i/o altres activitats a l'Avinguda Portal de l'Àngel [2012]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella","2012","No","2012","2012","","","","Substituïda per la Normativa per interpretar musica a la via pública del Districte de Ciutat Vella [2014] [http://hdl.handle.net/11703/85870]","Substitueix la Normativa per interpretar musica a la via pública del Districte de Ciutat Vella [2011] [http://hdl.handle.net/11703/84390]","","","application/pdf","11 p.","application/pdf","11811","","","districtes","","http://hdl.handle.net/11703/84389","cat","Districte de Ciutat Vella","","","","","http://hdl.handle.net/11703/84388","","http://hdl.handle.net/11703/84390","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics | Música | Public spaces | Music | Espacios públicos | Música","Comerç | Cultura i oci","bases ús públic","Normativa per interpretar música a la via pública del Districte de Ciutat Vella [2012]","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Portal de l'Àngel, Avinguda (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Portal de l'Àngel, Avenue (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Portal de l'Àngel, Avenida (Barcelona)","2015 | 2016","No","2015-09-18","2015-09-28","","","Aprovat per la Gerent del Districte de Ciutat Vella el 18 de setembre de 2015","Substituïda per l'Adjudicació de les parades de la Fira d'Artesania de l'avinguda Portal de l'Àngel de Barcelona [2016-2017] [http://hdl.handle.net/11703/98362]","","","","application/pdf","2 documents","application/pdf","","Núm. Exp.: 15-sjs-11","Butlletí Oficial de la Província de Barcelona (23-07-2015) | Butlletí Oficial de la Província de Barcelona (28-09-2015)","districtes","","http://hdl.handle.net/11703/84008","cat","Districte de Ciutat Vella","","","","","http://hdl.handle.net/11703/98362","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Fires | Llicències comercials | Venda ambulant | Public spaces | Fairs | Trade licenses | Peddling | Espacios públicos | Ferias | Licencias comerciales | Comercio ambulante","Comerç","bases ús públic","Adjudicació de les parades de la Fira d'Artesania de l'Avinguda Portal de l'Àngel [2015-2016]","","text","info:eu-repo/semantics/other",""
"Alcaldia | Districte 6. Gràcia","Barcelona. Districte 6. Gràcia | Vila de Gràcia (Barcelona : Barri) | Barcelona. District 6. Gràcia | Vila de Gràcia (Barcelona : Neighborhood) | Barcelona. Distrito 6. Gràcia | Vila de Gràcia (Barcelona : Barrio)","2018","No","2018-08-01","2018-08-10","2018-08-21","2018-08-15","Aprovat per Decret de l'Alcaldia de 01-08-2018 | Basat en l'article 30.2 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (10-08-2018) | Gaseta Municipal de Barcelona (21-09-2018)","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/110902","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Horaris comercials | Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Festes majors | Business hours | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Festivals | Horarios comerciales | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública | Fiestas","Comerç","bases ús públic | decrets","Horaris de les terrasses : Vila de Gràcia : modificació temporal amb motiu de la celebració de la Festa Major de Gràcia [2018]","Modificació dels horaris de les terrasses de la Vila de Gràcia amb motiu de la Festa Major","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Institut Municipal de Mercats (Barcelona)","Barcelona | Barcelona | Barcelona","2019","No","2019-10-14","2019-10-29","","2019-10-30","","","","","","application/pdf","2 documents","application/pdf","","Núm. Exp. 1376/19","Gaseta Municipal de Barcelona (29-10-2019)","organismes autònoms","","http://hdl.handle.net/11703/115873","cat","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Espacios públicos | Public spaces | Mercats | Mercados | Markets | Establiments de concurrència pública | Establecimientos de concurrencia pública | Public areas","Comerç","bases ús públic","Atorgament d'autoritzacions d'ús de les parades i magatzems dels mercats municipals de Barcelona [2019-10-14]","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts | Alcaldia","Barcelona. Districte 4. Les Corts | Corts (Barcelona : Barri) | Can Rosés, Plaça (Barcelona) | Déu i Mata, Carrer (Barcelona) | Concòrdia, Plaça (Barcelona) | Remei, Carrer (Barcelona) | Benavent, Carrer (Barcelona) | Sant Ramon Nonat, Avinguda (Barcelona) | Carme, Plaça (Barcelona) | Sòl de Baix, Plaça (Barcelona) | Corts, Plaça (Barcelona) | Comas, Plaça (Barcelona) | Barcelona. District 4. Les Corts | Corts (Barcelona : Neighborhood) | Can Rosés, Square (Barcelona) | Déu i Mata, Street (Barcelona) | Concòrdia, Square (Barcelona) | Remei, Street (Barcelona) | Benavent, Street (Barcelona) | Sant Ramon Nonat, Avenue (Barcelona) | Carme, Square (Barcelona) | Sòl de Baix, Square (Barcelona) | Corts, Square (Barcelona) | Comas, Square (Barcelona) | Barcelona. Distrito 4. Les Corts | Corts (Barcelona : Barrio) | Can Rosés, Plaza (Barcelona) | Déu i Mata, Calle (Barcelona) | Concòrdia, Plaza (Barcelona) | Remei, Calle (Barcelona) | Benavent, Calle (Barcelona) | Sant Ramon Nonat, Avenida (Barcelona) | Carme, Plaza (Barcelona) | Sòl de Baix, Plaza (Barcelona) | Corts, Plaza (Barcelona) | Comas, Plaza (Barcelona)","2017","No","2017-07-26","2017-08-18","2017-10-08","2017-09-29","Aprovat per Decret de l'Alcaldia de 26-07-2017 | Basat en l'article 30.2 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (18-08-2017)","districtes","","http://hdl.handle.net/11703/105288","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Horaris comercials | Espais públics | Bars | Restaurants | Terrasses (Hoteleria) | Hoteleria | Establiments de concurrència pública | Festes majors | Business hours | Public spaces | Bars (Drinking establishments) | Restaurants | Bar terraces | Hospitality industry | Public areas | Festivals | Horarios comerciales | Espacios públicos | Bares | Restaurantes | Terrazas (Hostelería) | Hostelería | Establecimientos de concurrencia pública | Fiestas","Comerç","bases ús públic | decrets","Horaris de les terrasses : les Corts : modificació temporal amb motiu de la celebració de la Festa Major [2017]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Districte 10. Sant Martí | Alcaldia","Poblenou (Barcelona : Barri) | Poblenou (Barcelona : Barrio) | Poblenou (Barcelona : Neighborhood) | Barcelona. Districte 10. Sant Martí | Barcelona. Distrito 10. Sant Martí | Barcelona. District 10. Sant Martí","2019","Si","2019-08-22","2019-09-05","","","Aprovat per Decret d'Alcaldia de 22-08-2019 | Basat en l'article 30.2 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","2 documents","application/pdf","","S1/D/2019-1878","Butlletí Oficial de la Província de Barcelona (05-09-2019) | Gaseta Municipal de Barcelona (05-09-2019)","districtes","","http://hdl.handle.net/11703/115420","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Espais públics | Hoteleria | Establiments de concurrència pública | Festes majors | Bars | Restaurants | Terrasses (Hoteleria) | Public spaces | Hospitality industry | Establishments open to the public | Bars (Drinking establishments) | Restaurants | Bar terraces | Espacios públicos | Hostelería | Establecimientos de concurrencia pública | Fiestas | Festivals | Bares | Restaurantes | Terrazas (Hostelería)","Comerç","bases ús públic | decrets","Horari de les terrasses : barri de Poblenou : modificació temporal amb motiu de la celebració de la Festa Major [2019]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella","2014","No","2014","2014","","","","Substituïda per la Normativa per interpretar música a la via pública del Districte de Ciutat Vella [2015] [http://hdl.handle.net/11703/84007]","Substitueix la Normativa per interpretar musica a la via pública del Districte de Ciutat Vella [2012] [http://hdl.handle.net/11703/84389]","","","application/pdf","10 p.","application/pdf","13999","","","districtes","","http://hdl.handle.net/11703/84388","cat","Districte de Ciutat Vella","","","","","http://hdl.handle.net/11703/84007","","http://hdl.handle.net/11703/84389","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics | Música | Public spaces | Music | Espacios públicos | Música","Comerç | Cultura i oci","bases ús públic","Normativa per interpretar música a la via pública del Districte de Ciutat Vella [2014]","","text","info:eu-repo/semantics/other",""
"Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella | Gòtic (Barcelona : Barri) | Sant Josep Oriol, Plaça (Barcelona) | Barcelona. District 1. Ciutat Vella | Gòtic (Barcelona : Neighborhood) | Sant Josep Oriol, Square (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Gòtic (Barcelona : Barrio) | Sant Josep Oriol, Plaza (Barcelona)","","No","2009","2009","","","","Substituïda per la Normativa de regulació per a participar en el procés de selecció de nous titulars per a la Mostra d'Art de la Plaça de Sant Josep Oriol [2012] [http://hdl.handle.net/11703/85861]","","","","application/pdf","6 p.","application/pdf","NOR_CV_2009_JO","","","districtes","","http://hdl.handle.net/11703/86394","cat","","","http://hdl.handle.net/11703/89244","","","http://hdl.handle.net/11703/85861","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Espais públics | Pintors | Llicències comercials | Public spaces | Painters | Trade licenses | Espacios públicos | Pintores | Licencias comerciales","Cultura i oci","bases ús públic","Normativa de regulació per a participar en el procés de selecció de nous titulars per a la Mostra d'Art de la Plaça de Sant Josep Oriol [2009]","","text","info:eu-repo/semantics/other",""
"Districte 6. Gràcia | Alcaldia","Barcelona. Districte 6. Gràcia | Vila de Gràcia (Barcelona : Barri) | Barcelona. District 6. Gràcia | Vila de Gràcia (Barcelona : Neighborhood) | Barcelona. Distrito 6. Gràcia | Vila de Gràcia (Barcelona : Barrio)","2015","No","2015-07-08","2015-07-20","2015-08-21","2015-08-15","Aprovat per Decret de l'Alcaldia de 08-07-2015 | Basat en l'article 30.2 de l'Ordenança de terrasses [2013] [http://hdl.handle.net/11703/86856]","","","","","application/pdf","1 p.","application/pdf","","Ref. 2210/15","Gaseta Municipal de Barcelona, núm. 22 (20-07-2015), p. 3945","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/83411","cat","","","http://hdl.handle.net/11703/86856","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Horaris comercials | Establiments de concurrència pública | Festes majors | Terrasses (Hoteleria) | Business hours | Public areas | Festivals | Bar terraces | Horarios comerciales | Establecimientos de concurrencia pública | Fiestas | Terrazas (Hostelería)","Comerç","bases ús públic | decrets","Horaris de les terrasses : Vila de Gràcia : modificació temporal amb motiu de la celebració de la Festa Major de Gràcia [2015]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
