"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreferences","dcrelationreplaces","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 41"
"Gerència Municipal","Barcelona | Barcelona | Barcelona","","","2017-09-28","2017-10-06","2017-10-06","Aprovada per resolució del Gerent Municipal de 28-09-2017","Substituït per la Circular sobre la planificació anual de la materialització de les estratègies dels sectors al territori [2017 text refós] [http://hdl.handle.net/11703/106196]","","","","application/pdf","2 p.","application/pdf","","S1/D/2017-2996","Gaseta Municipal de Barcelona (06-10-2017)","","Mandat 2015-2019","http://hdl.handle.net/11703/105925","cat","","","","http://hdl.handle.net/11703/106196","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Descentralització administrativa | Política i govern | Decentralization in government | Politics and government | Descentralización administrativa | Política y gobierno","Sector públic","circulars","","Circular sobre la planificació anual de la materialització de les estratègies dels sectors al territori","","text","info:eu-repo/semantics/other",""
"Direcció de Serveis d'Informació i Atenció Ciutadana | Gerència Municipal","Barcelona | Barcelona | Barcelona","","","2017-05-24","2017-07-11","","Aprovada per Resolució del Gerent Municipal de 24-05-2017","","","","","application/pdf","2 documents","application/pdf","","Resolució 460/2017","Gaseta Municipal de Barcelona (11-07-2017)","","","http://hdl.handle.net/11703/104933","cat","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Campanyes publicitàries | Comunicació | Advertising | Communication | Publicidad | Comunicación","Sector públic","circulars","","Circular relativa a la planificació i aprovació del calendari anual de campanyes  i posada en marxa de nous serveis i sistemes d'informació que impliquin atenció ciutadana","","text","info:eu-repo/semantics/other",""
"Gerència de Recursos Humans i Organització","Barcelona | Barcelona | Barcelona","2007","","2007-10-24","2007-10-24","","Aprovada pel Gerent de Recursos Humans i Organització el 24-10-2007","","","","","application/pdf","1 p.","application/pdf","","Núm. 12/2007","","","","http://hdl.handle.net/11703/108643","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Nadal | Vacances | Funcionaris i empleats municipals | Christmas | Vacations | Municipal officials and employees | Navidad | Vacaciones | Funcionarios locales","Sector públic","circulars","","Circular vacances de Nadal [2007]","","text","info:eu-repo/semantics/other",""
"Direcció d'Actuació Urbanística | Direcció de Serveis de Llicències | Gerència d'Ecologia Urbana","Barcelona | Barcelona | Barcelona","","","2017-11-15","2017-11-15","","","","Anul·la la Circular 091/2012 [http://hdl.handle.net/11703/115933]","","","application/pdf","1 p.","application/pdf","","Núm. Ordre: 091/2017 ACTIVITATS","","","","http://hdl.handle.net/11703/115934","cat","","","","","","","http://hdl.handle.net/11703/115933","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Magatzems | Warehouses | Almacenes","Legislació i justícia","circulars","","Circular 091/2017 : anul·lació circular 091/2012","","text","info:eu-repo/semantics/other",""
"Secretaria General","Barcelona | Barcelona | Barcelona","","","1985-06-26","1985","","Aprovat pel Plenari del Consell Municipal de 26-06-1985","","","","","application/pdf","2 p.","application/pdf","","16/85","","","","http://hdl.handle.net/11703/115396","cat","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Comissió de Govern | Comissió Municipal Permanent | Ajuntament de Barcelona | Organització i organigrames | Comissió de Govern | Comissió Municipal Permanent | Ajuntament de Barcelona | Organization and flowcharts | Comissió de Govern | Comissió Municipal Permanent | Ajuntament de Barcelona | Organización y organigramas","Sector públic","circulars | documents digitalitzats","","Circular núm. 1758 (16/85) : constitució i funcions de la Comissió de Govern i de la Comissió Municipal Permanent, dintre del procés d'aplicació de la Llei 7/1985","","text","info:eu-repo/semantics/other",""
"Comissió Tècnica de Seguretat en Protecció de Dades de Caràcter Personal","Barcelona | Barcelona | Barcelona","","","2009-03-18","2009-06-30","","Aprovada per la Comissió Tècnica de Seguretat en Protecció de Dades de Caràcter Personal de l'Ajuntament de Barcelona (CSPD) de 18-03-2009 | Aquesta norma té caràcter complementari respecte a la Instrucció sobre l'ús de sistemes i tecnologies de la informació i comunicació per part del personal al servei de l'Ajuntament de Barcelona [http://hdl.handle.net/11703/84404]","","","","","application/pdf","3 p.","application/pdf","11731","","Gaseta Municipal de Barcelona, núm. 19 (30-06-2009)","","","http://hdl.handle.net/11703/85876","cat","","","","","http://hdl.handle.net/11703/84404","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Protecció de dades | Data protection | Protección de datos","Sector públic","circulars","","Norma respecte al tractament de dades de caràcter personal a l'Ajuntament de Barcelona (NPD)","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","","","","2015-03-23","2015-04-29","2015-03-23","Aprovat per Decret de l'Alcaldia de 23-03-2015","","","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Provincia de Barcelona (29-04-2015) | Gaseta Municipal de Barcelona, núm. 11 (10-04-2015), p. 2087-2098","","","http://hdl.handle.net/11703/83957","cat","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Documents públics | Documents electrònics | Preservació digital | Transparència política | Recuperació de la informació | Gestió de la informació | Dipòsits institucionals | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Public records | Electronic records | Digital preservation | Transparency in government | Information retrieval | Information resources management | Institutional repositories | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Documentos públicos | Documentos electrónicos | Preservación digital | Transparencia política | Recuperación de la información | Gestión de la información | Depósitos institucionales","Sector públic","circulars","","Circular relativa a les pautes d’actuació en relació amb el funcionament del repositori obert de la documentació de l’Ajuntament de Barcelona (BCNROC)","","text","info:eu-repo/semantics/other",""
"Gerència de Recursos Humans i Organització","Barcelona | Barcelona | Barcelona","2016","","2016-02-10","2016-02-10","","Aprovada pel Gerent de Recursos Humans i Organització el 10-02-2016","","","","","application/pdf","1 p.","application/pdf","","Núm. 1/2016","","","","http://hdl.handle.net/11703/108644","cat","","","Reproducció digital del document  en suport original","","","","","CC-BY","info:eu-repo/semantics/openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Setmana Santa | Vacances | Funcionaris i empleats municipals | Holy Week | Vacations | Municipal officials and employees | Semana Santa | Vacaciones | Funcionarios locales","Sector públic","circulars | documents digitalitzats","","Circular vacances de Setmana Santa [2016]","","text","info:eu-repo/semantics/other",""
"Alcaldia","Barcelona | Barcelona | Barcelona","","","2012-04-17","2012","","Aprovat per Decret de l'Alcaldia de 17-04-2012","Derogat pel Protocol de tramitació dels projectes i seguiment de les obres ... [2017] [http://hdl.handle.net/11703/105220]","Deixa sense efecte el Decret d'Alcaldia de 26-01-2010. Procediment d'obres municipals [http://hdl.handle.net/11703/85872]","","","application/pdf","6 p.","application/pdf","9221","","Gaseta Municipal de Barcelona, núm. 12 (20-04-2012)","","","http://hdl.handle.net/11703/85874","cat","","","","http://hdl.handle.net/11703/105220","","","http://hdl.handle.net/11703/85872","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Obres públiques | Public works | Obras públicas","Urbanisme i infraestructures","circulars","","Procediment per a l'elaboració i tramitació dels projectes i l'execució de les obres municipals [2012]","","text","info:eu-repo/semantics/other",""
"Institut Municipal d'Educació (Barcelona)","Barcelona | Barcelona | Barcelona","","","2019-06-06","2019-06-14","","Aprovada per la Gerència de l'Institut Municipal d'Educació de Barcelona el 06-06-2019","","","","","application/pdf","3 p.","application/pdf","","Circular 3/2019","","organismes autònoms","","http://hdl.handle.net/11703/114524","cat","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Escoles bressol | Escoles de música | Calendaris | Kindergarten | Music schools | Calenders | Guarderías | Escuelas de música | Calendarios","Educació","circulars","","Circular sobre el calendari escolar del curs 2019-2020 de l'Institut Municipal d'Educació de Barcelona","","text","info:eu-repo/semantics/other",""
