"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisformatof","dcrelationisrequiredby","dcrelationisversionof","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 39"
"","","Consorci del Museu d'Art Contemporani de Barcelona | Gabinete Técnico de Auditoría y Consultoría, S.A.","Barcelona | Barcelona | Barcelona","2017","","2018","2018","","","","application/pdf","55 p.","application/pdf","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/115569","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Finances municipals | Comptabilitat | Consorci del Museu d'Art Contemporani de Barcelona | Auditoria | Municipal finance | Accounting | Consorci del Museu d'Art Contemporani de Barcelona | Auditing | Finanzas municipales | Contabilidad | Consorci del Museu d'Art Contemporani de Barcelona | Auditoría","Economia","comptes | documents digitalitzats","Comptes anuals 2017 del Consorci del Museu d'Art Contemporani de Barcelona (juntament amb l’informe de l’auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Agència de Comunicació Local, S.A. | Auren Auditors BCN, S.A.","Barcelona | Barcelona | Barcelona","2010","","2011-03-30","2011","Formulats pel Consell d'Administració de la Societat de 30-03-2011","","Informe de gestió de l'exercici 2010","application/pdf","67 p.","application/pdf","","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/107170","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Agència de Comunicació Local, S.A. | Auren Auditors BCN, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","","Agència de Comunicació Local, S.A. | Finances municipals | Comptabilitat | Auditoria | Agència de Comunicació Local, S.A. | Municipal finance | Accounting | Auditing | Agència de Comunicació Local, S.A. | Finanzas municipales | Contabilidad | Auditoría","Economia","comptes | documents digitalitzats","Comptes anuals 2010 de l'Agència de Comunicació Local, S.A. (juntament amb l’informe de l’auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Solucions Integrals per als Residus, S.A. (SIRESA) | Tractament i Selecció de Residus, S.A. (TERSA)","Barcelona | Barcelona | Barcelona","2012","","2013-02-14","2013","Formulats pel Consell d'Administació de l'entitat de 14-02-2013","","Infome de gestió de l'exercici 2012","application/pdf","38 p.","application/pdf","","","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/107033","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Solucions Integrals per als Residus, S.A. (SIRESA)","http://creativecommons.org/licenses/by/4.0/deed.ca","","Solucions Integrals per als Residus, S.A. (SIRESA) | Finances municipals | Comptabilitat | Solucions Integrals per als Residus, S.A. (SIRESA) | Municipal finance | Accounting | Solucions Integrals per als Residus, S.A. (SIRESA) | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Comptes anuals 2012 de Solucions Integrals per als Residus, S.A. (SIRESA)","Memòria de l'exercici 2012 de Solucions Integrals per als Residus, S.A. (SIRESA)","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","Oberta","Tractament i Selecció de Residus, S.A. (TERSA)","Barcelona | Barcelona | Barcelona","2012","No","2013","2013","Requerits per la Memoria 2012 [http://hdl.handle.net/11703/87894]","","","application/pdf","","application/pdf",18593.0,"","societats mercantils","Mandat 2011-2015","http://hdl.handle.net/11703/87892","spa","Tractament i Selecció de Residus (Barcelona)","","","","http://hdl.handle.net/11703/87894","","","CC0","info:eu-repo/semantics/openAccess","Tractament i Selecció de Residus, S.A. (TERSA)","https://creativecommons.org/choose/zero/?lang=ca","","Tractament i Selecció de Residus, S.A. (TERSA) | Comptabilitat | Tractament i Selecció de Residus, S.A. (TERSA) | Accounting | Tractament i Selecció de Residus, S.A. (TERSA) | Contabilidad","Medi ambient | Economia","comptes","Datos de producción 2012","","text","info:eu-repo/semantics/other",""
"Anual","","Institut Municipal de Mercats (Barcelona)","Barcelona | Barcelona | Barcelona","2011","","2012","2012","","","","application/pdf","40 p.","application/pdf","","","organismes autònoms","Mandat 2011-2015","http://hdl.handle.net/11703/106966","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal de Mercats (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","","Institut Municipal de Mercats (Barcelona) | Finances municipals | Comptabilitat | Institut Municipal de Mercats (Barcelona) | Municipal finance | Accounting | Institut Municipal de Mercats (Barcelona) | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Comptes anuals 2011 de l'Institut Municipal de Mercats (Barcelona)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Federació de Municipis de Catalunya","Barcelona | Barcelona | Barcelona","2013","","2014-12-16","2014","Aprovació incial pel Comitè Executiu de l'Associació de 10-06-2014 | Aprovació definitiva per la XXIV Assemblea general de la Federació de Municipis de Catalunya de 16-12-2014","","","application/pdf","43 p.","application/pdf","","","associacions","Mandat 2011-2015","http://hdl.handle.net/11703/107337","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Federació de Municipis de Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","","Federació de Municipis de Catalunya | Finances municipals | Comptabilitat | Federació de Municipis de Catalunya | Municipal finance | Accounting | Federació de Municipis de Catalunya | Finanzas municipales | Contabilidad","Economia","comptes","Comptes anuals 2013 de la Federació de Municipis de Catalunya","","text","info:eu-repo/semantics/other",""
"Anual","","Fundación Consejo España-India","Barcelona | Barcelona | Barcelona","2014","","2015-06-24","2015","Aprovats pel Patronat de la Fundació de 24-06-2015","","","application/pdf","46 p.","application/pdf","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/107201","spa","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundación Consejo España-India","http://creativecommons.org/licenses/by/4.0/deed.ca","","Fundación Consejo España-India | Finances municipals | Comptabilitat | Fundación Consejo España-India | Municipal finance | Accounting | Fundación Consejo España-India | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Cuentas anuales 2014 de la Fundación Consejo España-India","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Barcelona Cicle de l'Aigua, S.A.","Barcelona | Barcelona | Barcelona","2016","","2017-03-15","2017-06-26","","","","application/pdf","68 p.","application/pdf","","","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/102822","cat","","","","Reproducció digital del document en suport original","","","","Domini públic","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Auditoria | Comptabilitat | Barcelona Cicle de l'Aigua, S.A. | Auditing | Accounting | Barcelona Cicle de l'Aigua, S.A. | Auditoría | Contabilidad | Barcelona Cicle de l'Aigua, S.A.","Economia","comptes | documents digitalitzats","Comptes anuals 2016 de Barcelona Cicle de l'Aigua, S.A. (juntament amb l'informe de l'auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003","Barcelona | Barcelona | Barcelona","2004","","2005","2005","","","","application/vnd.ms-excel","1 p.","application/vnd.ms-excel","","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/107144","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003","http://creativecommons.org/licenses/by/4.0/deed.ca","","Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003 | Finances municipals | Comptabilitat | Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003 | Municipal finance | Accounting | Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003 | Finanzas municipales | Contabilidad","Economia","comptes","Comptes anuals 2004 del Consorci per a l'Organització del X Campionat Mundial de Natació Barcelona 2003","","dataset","info:eu-repo/semantics/other",""
"Anual","","Institut Municipal d'Hisenda (Barcelona) | PricewaterhouseCoopers (Firma) | Gabinete Técnico de Auditoría y Consultoría, S.A.","Barcelona | Barcelona | Barcelona","2013","","2014","2014","","","","application/pdf","65 p.","application/pdf","","","organismes autònoms","Mandat 2011-2015","http://hdl.handle.net/11703/107347","cat","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal d'Hisenda (Barcelona) | PricewaterhouseCoopers (Firma) | Gabinete Técnico de Auditoría y Consultoría, S.A.","http://creativecommons.org/licenses/by/4.0/deed.ca","","Institut Municipal d'Hisenda (Barcelona) | Finances municipals | Comptabilitat | Institut Municipal d'Hisenda (Barcelona) | Municipal finance | Accounting | Institut Municipal d'Hisenda (Barcelona) | Finanzas municipales | Contabilidad","Economia","comptes | documents digitalitzats","Comptes anuals 2013 de l'Institut Municipal d'Hisenda (juntament amb l'informe de l'auditoria)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
