"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationuri","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"Ajuntament de Barcelona | PIMEC | Comisiones Obreras | UGT","Barcelona | Barcelona | Barcelona","","","2017-03-27","2017-03-27","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/115628","","","","application/pdf","4 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/101555","","cat","","http://hdl.handle.net/11703/115628","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contractes administratius | Adjudicació de contractes | Responsabilitat social | Política laboral | Public contracts | Letting of contracts | Social responsability | Labor policy | Contratos administrativos | Adjudicación administrativa | Responsabilidad social | Política laboral","Ocupació | Sector públic","declaracions institucionals","","Declaració de l'Ajuntament de Barcelona i els agents socials a favor de la contractació pública sostenible","","text","info:eu-repo/semantics/other",""
"Associació Internacional de Ciutats Educadores (Barcelona)","Barcelona | Barcelona | Barcelona","","","2009","2009","","","","","application/pdf","12 p.","application/pdf","18608","","","associacions","Mandat 2007-2011","http://hdl.handle.net/11703/89759","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Educació cívica | Política educativa | Civics education | Educational policy | Educación cívica | Política educativa","Educació","declaracions institucionals","","Carta de ciutats educadores","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2016-04","2016-04","L'Ajuntament de Barcelona va signar aquesta declaració en el marc de  la 8a Conferència Europea de Ciutats i Pobles Sostenibles organitzada per l'ICLEI – Governs Locals per la Sostenibilitat - el  27, 28 i 29 d'abril de 2016 a Bilbao.  Aquesta declaració és un pas més després de la Carta d'Aalborg (1994) i els Compromisos d'Aalborg (2004)","","","","application/pdf","5 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/97784","","cat","","","","","","","","","http://hdl.handle.net/11703/89717","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ecologia urbana | Desenvolupament urbà sostenible | Urban ecology | Sustainable urban development | Ecología urbana | Desarrollo urbano sostenible","Medi ambient","declaracions institucionals","","La Declaració basca: nou full de ruta per a ciutats i pobles europeus creant municipis productius, sostenibles i resilients per a una Europa habitable i inclusiva","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Immigració (Barcelona)","Barcelona | Barcelona | Barcelona","2020","","2020-04-03","2020-04-03","Presentat pel Consell Municipal d'Immigració de Barcelona de 03-04-2020","Comunicat elaborat en el context de confinament davant l’emergència provocada per la COVID-19. | Statement prepared in the context of confinement to the emergency caused by COVID-19. | Comunicado elaborado en el contexto de confinamiento ante la emergencia provocada por la COVID-19.","","","application/pdf","7 p.","application/pdf","","","","consells","Mandat 2019-","http://hdl.handle.net/11703/118699","","cat","","","<a href=""http://hdl.handle.net/11703/118700"">Resum</a>","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Coronavirus | Coronaviruses | Coronavirus | Immigrants | Immigrants | Emigrantes | Drets socials | Social rights | Derechos civiles y políticos | Contractes de treball | Labor contract | Contratos de trabajo | Salut pública | Public health | Salud pública | Racisme | Racism | Racismo | Subvencions | Subsidies | Subvenciones públicas","Ocupació | Salut | Sector públic | Societat i benestar","declaracions institucionals","","Comunicat del Consell Municipal d'Immigració de Barcelona enfront l'emergència per Coronavirus : COVID-19","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2016-07-19","2016-07","És base per l'elaboració del fullet Jo vull la pau però no vull l'oblit : 80 anys de la guerra i la revolució a Barcelona : Barcelona in memoriam 19-07-1936 / 19-07-2016 [http://hdl.handle.net/11703/97781]","","","","application/pdf","1 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/97778","","cat","","","","http://hdl.handle.net/11703/97781","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Guerra Civil Espanyola, 1936-1939 | Memòria col·lectiva | Aniversaris | Spanish Civil War, 1936-1939 | Anniversaries | Guerra Civil Española, 1936-1939 | Memoria colectiva | Aniversarios","Sector públic","declaracions institucionals","","Volem la pau però no l'oblit : declaració del Govern de ciutat en complir-se vuitanta anys de la guerra i la revolució a Barcelona","","text","info:eu-repo/semantics/other",""
"Red de Ciudades por la Agroecología | Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","2020","","2020-04","2020-04","","","","","application/pdf","3 p.","application/pdf","","","","","Mandat 2019-","http://hdl.handle.net/11703/118476","","cat","","","","","","","<a href=""http://hdl.handle.net/11703/118475"">Dossier de premsa</a>","","","","CC-BY","info:eu-repo/semantics/openAccess","Red de Ciudades por la Agroecología | Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política alimentària | Comerç | Aliments locals | Mercats | Dieta | Seguretat alimentària | Coronavirus | Salut pública | Nutrition policy | Commerce | Local foods | Markets | Diet | Food security | Coronaviruses | Public health | Política alimentaria | Comercio | Productos de proximidad | Mercados | Alimentación | Seguridad alimentaria | Coronavirus | Salud pública","Comerç | Sector públic | Societat i benestar | Salut","declaracions institucionals","","L'alimentació local, de qualitat i sostenible : seguretat enfront dels riscos sanitaris globals","","text","info:eu-repo/semantics/other",""
"Consell Econòmic i Social de Barcelona","Barcelona | Barcelona | Barcelona","","","2002-02-13","2002","","","","","application/pdf","1 p.","application/pdf","17653","","","consells","Mandat 1999-2003","http://hdl.handle.net/11703/89773","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Carta Municipal de Barcelona | Carta Municipal de Barcelona | Carta Municipal de Barcelona","Legislació i justícia","declaracions institucionals","","Declaració del Consell Econòmic i Social de Barcelona sobre la necessitat d'aprovar la Carta Municipal de Barcelona","","text","info:eu-repo/semantics/other",""
"Districte 4. Les Corts. Consell Plenari","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","","","2017-07-06","2017-07-06","Presentada al Plenari del Consell del Districte de Les Corts de 06-06-2017","","Digitalitzat pel Districte de Les Corts","","application/pdf","3 p.","application/pdf","","","","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/104930","","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets civils | Drets socials | Lesbianes | Gais | Bisexuals | Transsexuals | Igualtat entre els sexes | Homofòbia | Bifòbia | Transfòbia | Civil rights | Social rights | Lesbians | Gay men | Bisexuals | Transsexuals | Gender equality | Homophobia | Biphobia | Transphobia | Derechos políticos y civiles | Derechos civiles y políticos | Lesbianas | Gais | Bisexuales | Transexuales | Igualdad de género | Homofobia | Bifobia | Transfobia","Societat i benestar","declaracions institucionals | documents digitalitzats","","Declaració Institucional de compromís amb la lluita contra la LGTBIfòbia","","text","info:eu-repo/semantics/other",""
"Taula d’Emergència Climàtica de Barcelona | Gerència d'Àrea d'Ecologia Urbana","Barcelona | Barcelona | Barcelona","","","2020-01-15","2020-01-15","El 15 de gener de 2020 al Saló de Cent de l’Ajuntament es declara l’emergència climàtica i accelera un seguit de canvis que comprometen tots els agents de la ciutat de Barcelona: govern i administracions, entitats i ciutadania. Les evidències científiques irrefutables i els efectes de la crisi climàtica global ens porten a actuar de manera urgent i contundent.  L’alcaldessa Ada Colau presenta la declaració i l’objectiu de la mateixa: reduir, l’any 2030, un 50% de les emissions de l’efecte hivernacle.  Missatge de Pep Canadell (Director executiu de Global Carbon Project) des d’Austràlia advertint que és necessari accelerar l’acció contra el canvi climàtic però també adaptar-nos als seus efectes.  Intervencions de Janet Sanz (Tinenta d’Alcaldia d’Ecologia, Urbanisme, Infraestructures i Mobilitat), Jaume Collboni (Tinent d’Alcaldia d’Economia, Treball, Competitivitat i Hisenda), Eloi Badia (Regidor d’Emergència Climàtica i Transició Ecològica) i Gemma Tarafa (Regidora de Salut, Envelliment i Cures) presentant algunes de les cent mesures contemplades a la declaració.  Breus aportacions de representants de dues entitats barcelonines, Lluís Sala (Vicepresident del Consell Ciutadà per la Sostenibilitat) i Maria Passalacqua (Directora del Club EMAS Catalunya).  Gemma Barricarte (Fridays for Future) exposa les reflexions de la Xarxa de Moviments Climàtics de Barcelona.  L’alcaldessa signa el decret i fa palesa la necessitat de passar a l’acció abans de cloure l’acte amb una fotografia final de grup.","","","","video/mp4","1 h. 12 min.","video/mp4","","","","","Mandat 2019-","http://hdl.handle.net/11703/117005","https://bcnroc.ajuntament.barcelona.cat/videos/11703_117005_c1751660-dcfd-4521-824a-5914f9efcb15.mp4","cat","Ajuntament de Barcelona","<a href=""http://hdl.handle.net/11703/117451"">Cartell publicitari</a>","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Medi ambient | Canvis climàtics | Mobilitat sostenible | Taula d’Emergència Climàtica de Barcelona | Environment | Climatic changes | Sustainable mobility | Taula d’Emergència Climàtica de Barcelona | Medio ambiente | Cambios climáticos | Movilidad sostenible | Taula d’Emergència Climàtica de Barcelona","Medi ambient","videos | declaracions institucionals","Pla Clima de Barcelona 2018-2030","Això no és un simulacre: declaració d'emergència climàtica de Barcelona [declaració institucional]","Declaració d'emergència climàtica","movingImage","info:eu-repo/semantics/other",""
"Gerència de Recursos | Direcció de Serveis de Comunicació Digital | Goroka (Firma)","Barcelona | Barcelona | Barcelona","","","2019-01-24","2019-01-24","Subtítols en català","Compareixença pública de l'Alcaldessa Ada Colau per presentar-nos la declaració institucional de suport a les famílies dels polítics presos i defensa de la democràcia, de l'estat de dret i de la resolució política del conflicte. Seguidament fa referència a la llibertat d'expressió i la persecució dels músics, activistes, titellaires, tuitares per les seves idees polítiques.","","","video/mp4","1 min. 37 s.","video/mp4","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/115850","https://bcnroc.ajuntament.barcelona.cat/videos/11703_115850_14180af5-aba9-4a8e-812b-fd8cbe64fd7d.mp4","cat","Ajuntament de Barcelona","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Colau Ballano, Ada | Presó provisional | Família | Drets civils | Llibertat d'expressió | Colau Ballano, Ada | Remand (detention) | Family | Civil rights | Freedom of speech | Colau Ballano, Ada | Prisión provisional | Familia | Derechos políticos y civiles | Libertad de expresión","Sector públic","videos | declaracions institucionals","","Declaració institucional presos polítics","","movingImage","info:eu-repo/semantics/other",""
"Consell Municipal d'Immigració (Barcelona)","Barcelona | Barcelona | Barcelona","","","2009-05-26","2009-05-26","","","","","application/pdf","3 p.","application/pdf","","","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/110818","","cat","","","","","","","","","Llei orgànica 4/2000. Drets i llibertats dels estrangers a Espanya i la seva  integració social","","CC-BY","info:eu-repo/semantics/openAccess","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.ca","Immigrants | Drets civils | Immigrants | Civil rights | Emigrantes | Derechos políticos y civiles","Societat i benestar","declaracions institucionals","","Comunicat del Consell Municipal d’Immigració de Barcelona sobre l’avantprojecte de llei de reforma de la llei d’estrangeria","","text","info:eu-repo/semantics/other",""
"Consell de Ciutat de Barcelona","Barcelona | Barcelona | Barcelona","","","2014-11-10","2014","","","","","application/pdf","2 p.","application/pdf","18620","","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/89761","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Citizen participation | Participación ciudadana","Legislació i justícia","declaracions institucionals","","Declaració en suport al posicionament del Consell Municipal en relació a la consulta del 9 de novembre","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","","2017-10-17","2017-10-17","Referenciat per la Declaració institucional sobre la presó preventiva i el trasllat dels càrrecs electes i representants de dues de les entitats més importants de Catalunya [http://hdl.handle.net/11703/108297]","","","","application/pdf","1 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/106027","","cat","","","","","","http://hdl.handle.net/11703/108297","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drets civils | Llibertat d'expressió | Sánchez Picanyol, Jordi | Cuixart Navarro, Jordi | Civil rights | Freedom of speech | Sánchez Picanyol, Jordi | Cuixart Navarro, Jordi | Derechos políticos y civiles | Libertad de expresión | Sánchez Picanyol, Jordi | Cuixart Navarro, Jordi","Legislació i justícia | Societat i benestar","declaracions institucionals","","Declaració institucional davant l'empresonament de Jordi Sànchez i Jordi Cuixart","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Generalitat de Catalunya | Institut Català de les Dones | Diputació de Barcelona | Diputació de Lleida | Diputació de Girona | Diputació de Tarragona | Federació de Municipis de Catalunya | Associació Catalana de Municipis i Comarques","Barcelona | Barcelona | Barcelona","2019","","2019-10","2019-11","","","","","application/pdf","2 p.","application/pdf","","","","","","http://hdl.handle.net/11703/115910","","cat","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Violència envers les dones | Feminisme | Violence against women | Feminism | Violencia contra las mujeres | Feminismo","Societat i benestarSector públic","declaracions institucionals","","Manifest 25N : dia internacional per a l'eliminació de la violència envers les dones 2019","","text","info:eu-repo/semantics/other",""
"Projecte Educatiu de Ciutat (Barcelona). Consell Directiu","Barcelona | Barcelona | Barcelona","2008 | 2009 | 2010 | 2011","","2007-03-07","2007","","","","","application/pdf","1 p.","application/pdf","3004","","","","Mandat 2003-2007","http://hdl.handle.net/11703/89714","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Comerç just | Fair trade | Comercio justo","Comerç","declaracions institucionals","","El compromís ciutadà per una educació al servei de la cohesió social | Declaració de les institucions i entitats que s'incorporen al Projecte Educatiu de Ciutat de Barcelona (2008-2011)","","text","info:eu-repo/semantics/other",""
"Taula d’Emergència Climàtica de Barcelona | Gerència d'Ecologia Urbana","Barcelona | Barcelona | Barcelona","","","2019-07","2019-07","","","","","application/pdf","7 p.","application/pdf","","","","","Mandat 2019-","http://hdl.handle.net/11703/115550","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Taula d’Emergència Climàtica de Barcelona | Canvis climàtics | Medi ambient | Mobilitat sostenible | Taula d’Emergència Climàtica de Barcelona | Climatic changes | Environment | Sustainable mobility | Taula d’Emergència Climàtica de Barcelona | Cambios climáticos | Medio ambiente | Movilidad sostenible","Medi ambient","declaracions institucionals","Pla Clima de Barcelona 2018-2030","Emergència climàtica. Compromís i crida a l’acció","","text","info:eu-repo/semantics/other",""
"Acord Ciutadà per una Barcelona Inclusiva. Consell de Govern","Barcelona | Barcelona | Barcelona","","","2012-03-16","2012","","","","","application/pdf","2 p.","application/pdf","17857","","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/89746","","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Serveis socials | Integració social | Human services | Social integration | Servicios sociales | Integración social","Societat i benestar","declaracions institucionals","Pla per a la Inclusió Social de Barcelona 2012-2015","Barcelona s'uneix per fer front a la crisis social","","text","info:eu-repo/semantics/other",""
