"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdateupdated","dcdatevalidinici","dcdescription","dcdescriptionLegislationChanges","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationispartof","dcrelationreplaces","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 37"
"Gerència de Recursos Humans i Organització. Direcció de Serveis de Gestió i Relacions Laborals. Departament de Prevenció de Riscos Laborals. Diputació de Barcelona","","Barcelona","","","2018","2018","","","Las menciones de responsabilidad se han basado en los créditos facilitados por el área responsable. Puede consultar la versión en catalán en: http://hdl.handle.net/11703/108159. Puede consultar la versión en inglés en: http://hdl.handle.net/11703/108161","","Documento de coordinación empresarial en prevención de riesgos laborales (formulario)","application/pdf","2 documents","","Codi: F2-PSSL-09. Codi: F1-PSSL-09","","http://hdl.handle.net/11703/108160","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/108159. http://hdl.handle.net/11703/108161","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Seguretat en el treball. Salut en el treball. Empreses","Seguretat","documents tècnics","","Manual de prevención de riesgos laborales para empresas externas : coordinación de actividades empresariales en el Ayuntamiento de Barcelona","","text",""
"Gerència Adjunta de Mobilitat i Infraestructures. Direcció de Serveis de Mobilitat","","","","","2017-06","2017-06","","","","","","other","503","","","Mandat 2015-","http://hdl.handle.net/11703/106513","cat","","","","","","","","CC-BY","","","","","Transport. Urbanisme i infraestructures","","","Manual senyalització urbana per a la ciutat de Barcelona 2017","","",""
"Gerència de Recursos Humans i Organització. Direcció de Serveis de Gestió i Relacions Laborals. Departament de Prevenció de Riscos Laborals. Diputació de Barcelona","","Barcelona","","","2018","2018","","","Les mencions de responsabilitat s'han basat en els crèdits facilitats per l'àrea responsable. Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/108160. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/108161","","Document de coordinació empresarial en prevenció de riscos laborals (formulari)","application/pdf","2 documents","","Codi: F2-PSSL-09. Codi: F1-PSSL-09","","http://hdl.handle.net/11703/108159","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/108160. http://hdl.handle.net/11703/108161","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Seguretat en el treball. Salut en el treball. Empreses","Seguretat","documents tècnics","","Manual de prevenció de riscos laborals per empreses externes : coordinació d'activitats empresarials a l'Ajuntament de Barcelona","","text",""
"Agència Local d'Energia de Barcelona","","Barcelona","","","2013","2013-07-20","2017-08-01","","El nom d' ""Ordenança Solar"" fa referència al Títol 8 de l'Ordenança de Medi ambient aprovada el 25-02-2011. És la denominació per la qual es coneix aquest apartat de l'Ordenança.","","El contingut del document està especificat al camp “Altres títols”","application/pdf","4 documents","","","","http://hdl.handle.net/11703/97834","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/86859","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Energia solar. Energia solar fotovoltaica. Energia tèrmica solar","Energia. Medi ambient","documents tècnics","","Documentació de suport per l’ús de l'eina web GIOS de tramitació de projectes d'energia solar a Barcelona","Guia Gestor Integral de Ordenança Solar de Barcelona (GIOS). Requeriments d'accés al GIOS. Nou Gestor de Tramitació Ordenança Solar (Formació a usuaris). Ordenança Medi Ambient Barcelona. Títol 8 -Energia (Formació a col·legis)","text",""
"Gerència de Recursos Humans i Organització. Direcció de Serveis de Gestió i Relacions Laborals. Departament de Prevenció de Riscos Laborals. Diputació de Barcelona","","Barcelona","","","2018","2018","","","The statements of responsibility have been based on the credits provided by the responsible area. You can check the Catalan version at: http://hdl.handle.net/11703/108159. You can check the Spanish version at: http://hdl.handle.net/11703/108160","","Documento de coordinación empresarial en prevención de riesgos laborales (form)","application/pdf","2 documents","","Codi: F2-PSSL-09. Codi: F1-PSSL-09","","http://hdl.handle.net/11703/108161","eng","Ajuntament de Barcelona","http://hdl.handle.net/11703/108159. http://hdl.handle.net/11703/108160","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Seguretat en el treball. Salut en el treball. Empreses","Seguretat","documents tècnics","","Health and Safety manual for external companies : coordinating business activities in Barcelona City Council","","text",""
"Amadó, Núria. Pastó López, Teresa. Alemany Vidal, Rosa M.. Comellas, Maica. Àrea de Drets Socials. Campos, Àngels. Sánchez, Marta. Català Galofré, Carmina. Gil, Laura. Martín, Susana. León, Jordi","","Barcelona","","","2017-05","2017-05","","","El document té tres parts més: Primera entrevista i exploració diagnòstica [http://hdl.handle.net/11703/106734], Anàlisi, valoració i pronòstic [http://hdl.handle.net/11703/106735] i Pla d’intervenció (pla de millora/acords COSE) i devolució a la família [http://hdl.handle.net/11703/106736]","","","application/pdf","44 p.","","","","http://hdl.handle.net/11703/106733","cat","Ajuntament de Barcelona","","http://hdl.handle.net/11703/106734. http://hdl.handle.net/11703/106735. http://hdl.handle.net/11703/106736","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equips d'Atenció a la Infància i l'Adolescència (Barcelona). Atenció a la infància i a l'adolescència. Gestió de la informació","Societat i benestar","documents tècnics","","Els processos tècnics dels Equips d’Atenció a la Infància i l’Adolescència (EAIA) : entrada i anàlisi d’informació","Processos clau o operatius de la fase d'estudi","text",""
"Direcció de Serveis de Feminismes i LGTBI","Àrea de Drets de Ciutadania, Participació i Transparència","","","","2016-11","2017","","","","","","application/pdf","128","","","Mandat 2015-","http://hdl.handle.net/11703/106231","cas","","","","","","","","Domini públic","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","","Sector públic","","","Diagnóstico de las diferentes realidades, posicionamientos y demandas de la población intersexual o con DSD en Barcelona","","text",""
"Gerència de Recursos. Fresnillo Sallan, Iolanda. Gimenez, Itziar. Huguet, Noel. Covelo, Elisa. Cooperativa Ekona. Departament de Transversalitat de Gènere","","Barcelona",2016.0,"","2016-12","2017-05","","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/106896","","","application/pdf","128 p.","","","","http://hdl.handle.net/11703/106897","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/106896","","","","","","CC-BY-NC-SA","openAccess","Ajuntament de Barcelona. Cooperativa Ekona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Igualtat entre els sexes. Política fiscal. Impostos. Preus públics","Economia. Societat i benestar","","","Informe de impacto de género de los tributos y de los precios públicos del Ayuntamiento de Barcelona","","text",""
"Ajuntament de Barcelona","","Barcelona","","Si","2012-11-07","2012","","","Aprovat pel Decret de l'Alcaldia de 07-11-2012","Substitueix la Normativa gràfica de l'Ajuntament de Barcelona [2007] [http://hdl.handle.net/11703/90404]","","application/pdf","","13839. 13840. 13841. 13842. 13843. 13844. 13845. 13846. 13847. 13848. 13849. 13850. 13851. 13852. 13853. 13854. 13855. 13856","","","http://hdl.handle.net/11703/90403","cat","","","","","","","http://hdl.handle.net/11703/90404","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Imatge corporativa. Grafisme. Senyals i senyalització. Rètols","Sector públic","documents tècnics. reglaments","","Manual d'identitat gràfica municipal [2012]","Manual d'identitat visual de l’Ajuntament de Barcelona","text",""
"Àrea d'Ecologia, Urbanisme i Mobilitat. Institut Català de la Fusta. Correal Mòdol, Eduard. Labèrnia Badia, Carles","Gené Sera, Jordi. Felip Garcia, Xavier. Campanero Sala, Mar","","","","2017","2017-02","","","Basat en la Instrucció tècnica per a l'aplicació de criteris de sostenibilitat en la fusta [2015] [versió Gaseta Municipal de Barcelona] [http://hdl.handle.net/11703/86198]","","","application/pdf","98 p.","","","","http://hdl.handle.net/11703/102445","cat","","","","","http://hdl.handle.net/11703/86198","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fusta. Consum responsable. Mobiliari urbà","Medi ambient","","","Ús responsable dels productes fusters en elements urbans","","text",""
