"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcidentifierimagurb","dcidentifierimagurbcd","dcidentifieruri","dcpublisher","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectforma","dcsubjectimagurb","dctitle","dctype","Unnamed: 24"
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Pelai, Carrer (Barcelona)","","1998-11-01","2002-01-01","Data aproximada. Torres, E.; Martínez Lapena, J. A.; Canosa, J. L.. Pla general on es mostra una jardinera   model plaza metàl·lica, la qual conté una   mena d'arbust. L'element s'ubica al carrer   Pelai.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1393. NEUJAR2287_33",44.0,"http://hdl.handle.net/11703/74773","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","JARDINERES. ELEMENTS URBANS. TORRES, Elies","Jardinera Plaza, metàl·lica","image",""
"Cunill, Julio. CBFOTO. Servei d’Elements Urbans","Barcelona. Districte 2. Eixample. Parc de Joan Miró (Barcelona)","","1984","2017","","","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Color","NEUD02PJM2745_42",189.0,"http://hdl.handle.net/11703/104855","","CC-BY-ND","openAccess","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FANALS. PARCS. GALÍ, Beth. QUINTANA, Màrius","Fanal lámpara alta al Parc de Joan Miró","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Carles Buïgas, Plaça (Barcelona). Barcelona. Districte 3. Sants-Montjuïc","","1992-09-26","2002-01-01","Buïgas, Carles. Primer pla de la Font Màgica de Montjuïc, encesa. L'obra, fou creada per l'enginyer Carles Buigas amb motiu de l'Exposició de 1929. La monumental font, disposa d'uns jocs de formes, colors i llum.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","885. NEUFON521_30",28.0,"http://hdl.handle.net/11703/74266","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ELEMENTS URBANS. FONTS. Buigas, Carlos. Palau Nacional de Montjuïc (Barcelona)","Font Màgica","image",""
"Servei d'Elements Urbans","","","","2002-01-01","Galí, Beth; QUINTANA, Màrius. Pla general on es mostra un tipus de disseny d'enllumenat públic, el Lamparaalta. Aquest element es presenta dins una exposició: ""Primavera del disseny"".","","","image/jpeg","1 diapositiva","Diapositiva. DIAPOSITIVES 24x36. Color","167. DEUENL2_8",5.0,"http://hdl.handle.net/11703/73555","","CC-BY","openAccess","Ajuntament de Bacelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT. ELEMENTS URBANS. GALÍ, Beth","Fanal Lamparaalta","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","","1999-01-19","2002-01-01","","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1498. NEUPIL2947_17",47.0,"http://hdl.handle.net/11703/74878","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","Pilona Plaça Molina","image",""
"Cunill, Julio. Departament d'Arquitectura i Projectes Urbans","","","2009-05-29","2009-07-23","Projecte encarregat per Adolf Creus.. Ajuntament de Barcelona. Servei d'Elements Urbans. Primeríssim primer pla de la bústia d'una vorada trapezoidal, on es   col·lacarà la reixa corresponent.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","31268. EU223VOR_09",223.0,"http://hdl.handle.net/11703/75373","","CC-BY-ND","openAccess","Cunill, Julio. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies","ELEMENTS URBANS. VORADES","Vorada trapezoidal bústia","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Diagonal, Avinguda (Barcelona)","","1994-08-25","2002-01-01","Data aproximada. Primer pla d'un fanal Lira realitzat de fosa  grisa i un globus de color blanc, el qual  també està recobert de fosa. L'enllumenat   està ubicat a l'avinguda Diagonal, on es  poden veure palmeres i algún arbre.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","652. NEUENL1090_18",21.0,"http://hdl.handle.net/11703/74039","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","ENLLUMENAT","Fanal Lira a l'avinguda Diagonal","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 6. Gràcia. Rius i Taulet, Plaça (Barcelona)","","1993-06-21","2002-01-01","Bibliografia: Vázquez Montalbán, Manuel, ""Barcelona fuente a fuente"". Barcelona: REPSOL, 1990. Rovira Trias, Antoni (arq.). Primer pla d'una part ornamental de la Font  del Campanar de Gràcia, ubicada a la Torre  de les Hores.  Aquesta fou construïda el 1862 a la plaça   Rius i Taulet.  Podem veure un escut coronat, a la paret de la torre.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1244. NEUFON710_8",39.0,"http://hdl.handle.net/11703/74624","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS. ROVIRA TRIAS, Antoni","Font del Campanar de Gràcia","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","Barcelona. Districte 3. Sants-Montjuïc","","1993-05-04","2002-01-01","Primer pla d'una cascada als Jardins del   Teatre Grec.   La cascada es troba situada sobre un baix  mur, el qual està adossat a unes escales.  L'aigua hi vessa de forma esglaonada per   una mena de solc.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1064. NEUFON667_32",34.0,"http://hdl.handle.net/11703/74445","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","FONTS. ELEMENTS URBANS","Cascada al Jardí Amargós","image",""
"Gri Espinagosa, Josep. Servei d'Elements Urbans","","","1995-04-05","2002-01-01","Martínez Lapeña, J. A.; Torres, E.; Canosa, J.L.. Primer pla lateral d'un Panell d'Informació   Municipal (P.I.M.). L'element consta de:   una estructura (d'acer galvanitzat), vidres   transparents, suport del cartell i d'equip   elèctric interior.","","","image/jpeg","1 supercontacte","Positiu. SUPERCONTACTES. Color","1452. NEUPAN1277_8",46.0,"http://hdl.handle.net/11703/74832","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","PANELLS. MARTÍNEZ LAPEÑA, J.A.","Panell d informació Municipal (P.I.M.)","image",""
