"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcidentifierimagurb","dcidentifierimagurbcd","dcidentifieruri","dcpublisher","dcrelation","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectforma","dcsubjectimagurb","dctitle","dctype","Unnamed: 27"
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Besòs (Catalunya : Curs d'aigua)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16421. DBGAMB01_08",51.0,"http://hdl.handle.net/11703/63929","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Riu Besòs]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Besòs (Catalunya : Curs d'aigua)","","","2003-10-07","","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16420. DBGAMB01_07",51.0,"http://hdl.handle.net/11703/63928","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","","[Riu Besòs]","image",""
"Gabinet d'Estudis Urbanístics. Barnada López, Jaume","","Barcelona (Àrea metropolitana). Besòs (Barcelona : Barri)","","","2003-10-07","Primer pla, contrapicat, d'una torre   electrica al riu Besòs.","","","image/jpeg","1 diapositiva","Diapositiva. 24 X 36 cm. Color","16434. DBGAMB02_07",51.0,"http://hdl.handle.net/11703/63942","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","fotografies. documents digitalitzats","RIUS","Riu Besòs","image",""
"Cunill, Julio. CBFOTO. Departament d'Arquitectura i Projectes Urbans","","Barcelona","","1984","2016","","Cartell per a l'exposició de l'Àrea d'Urbanisme i Obres Públiques realitzada al Centre Cívic Can Farrero (Casa del Rellotge) a la Zona Franca, del 23 de juny al 23 de juliol de 1984.","Digitalitzat per Tecnodoc","image/jpeg","1 fotografia","Digitalitzat. TIFF. Color","LIEBG2933_01",181.0,"http://hdl.handle.net/11703/98377","","","CC-BY-ND","openAccess","","Cunill, Julio. CBFOTO. Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nd/4.0/deed.ca","","fotografies. documents digitalitzats","Ordenació del territori. Rehabilitació urbana. EXPOSICIONS","Cartell de l'exposició Plans i Projectes al Centre Cívic Casa del Rellotge","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Primer pla d'una part de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26849. 0117a001_31",117.0,"http://hdl.handle.net/11703/65481","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Primer pla d'una part de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26861. 0117a001_69",117.0,"http://hdl.handle.net/11703/65493","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Pla general del front marítim de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26838. 0117a001_03",117.0,"http://hdl.handle.net/11703/65470","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Primer pla d'una part de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26855. 0117a001_46",117.0,"http://hdl.handle.net/11703/65487","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Primer pla d'una part de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26848. 0117a001_28",117.0,"http://hdl.handle.net/11703/65480","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
"Gri Espinagosa, Josep. Sector d'Urbanisme. Departament de Planejament de Transformació","","Barcelona",2004.0,"2005-05-17","2005-10-04","Pla general del front marítim de la ciutat. Corresponent a la maqueta ""Barcelona riu a riu"" dins l'exposició ""Barcelona in progress"". L'exposició mostra el desenvolupament urbà de Barcelona.","","","image/jpeg","1 fotografia","Digital. TIFF. Color","26837. 0117a001_02",117.0,"http://hdl.handle.net/11703/65469","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","maquetes","FÒRUM UNIVERSAL DE LES CULTURES. EXPOSICIONS. DESENVOLUPAMENT URBÀ. MAQUETES. BARCELONA GENERAL","Exposició Barcelona in Progress","image",""
