"dccontributorauthor","dccoveragespatial","dcdatecreated","dcdateissued","dcdescription","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierab","dcidentifieruri","dclanguage","dcrelationisrequiredby","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctype","Unnamed: 22"
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-04-25","2017-04-25","","","application/pdf","1 p.","Núm. Exp. 1353/16","http://hdl.handle.net/11703/105896","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil. Factures","Comerç","laudes","Laude 1353/2016 sobre una factura controvertida","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-03-31","2016-03-31","","","application/pdf","1 p.","Núm. Exp. 1622/15","http://hdl.handle.net/11703/98303","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia per internet","Comerç","laudes","Laude 1622/2015 sobre unes factures controvertides","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-06-27","2017-06-27","","","application/pdf","1 p.","Núm. Exp. 1484/16","http://hdl.handle.net/11703/106468","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos. Garantia de qualitat. Telefonia mòbil","Comerç","laudes","Laudo 1484/2016 sobre la reparación de un terminal","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-01-12","2016-01-12","","","application/pdf","1 p.","Núm. Exp. 1383/15","http://hdl.handle.net/11703/97590","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos","Comerç","laudes","Laude 1383_2015 sobre una maleta malmesa","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-09-07","2017-09-07","","","application/pdf","1 p.","Núm. Exp. 1557/16","http://hdl.handle.net/11703/107768","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia per internet. Factures","Comerç","laudes","Laude 1557/2016 sobre unes condicions contractuals","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-11-21","2017-11-21","","","application/pdf","1 p.","Núm. Exp. 1906/16","http://hdl.handle.net/11703/108242","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude","Comerç","laudes","Laude 1906/2016 sobre una inhibició","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-11-28","2017-11-28","","","application/pdf","1 p.","Núm. Exp. 0427/17","http://hdl.handle.net/11703/108257","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Bugaderia","Comerç","laudes","Laude 0427/2017 sobre un procés de neteja controvertit","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-09-13","2016-09-13","","","application/pdf","1 p.","Núm. Exp. 0669/16","http://hdl.handle.net/11703/99530","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Contractes de serveis","Comerç","laudes","Laude 0669/2016 sobre un contracte controvertit","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-09-19","2017-09-19","","","application/pdf","1 p.","Núm. Exp. 1877/16","http://hdl.handle.net/11703/107944","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Productes defectuosos","Comerç","laudes","Laude 1877/2016 sobre la compra d'un vestit","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2016-05-18","2016-05-18","","","application/pdf","1 p.","Núm. Exp. 0257/16","http://hdl.handle.net/11703/98860","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil","Comerç","laudes","Laude 0257/2016 sobre unes trucades i missatges controvertits","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-02-28","2017-02-28","","","application/pdf","1 p.","Núm. Exp. 0880/16","http://hdl.handle.net/11703/104916","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Telefonia mòbil. Fiances","Comerç","laudes","Laude 0880/2016 sobre el retorn d'una fiança","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-07-18","2017-07-18","","","application/pdf","1 p.","Núm. Exp. 1146/16","http://hdl.handle.net/11703/106751","cas","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Beques. Ensenyament. Escoles","Comerç","laudes","Laudo 1146/2016 sobre la obtenció de una beca de enseñanza","text",""
"Junta Arbitral de Consum de Barcelona","Barcelona","2017-05-16","2017-05-16","","","application/pdf","1 p.","Núm. Exp. 0398/16","http://hdl.handle.net/11703/106069","cat","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbitratge i laude. Mobles. Productes defectuosos","Comerç","laudes","Laude 0398/2016 sobre la compra d'un sofà","text",""
