"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationisreferencedby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Àrea de Qualitat de Vida, Igualtat i Esports. Agència de Salut Pública de Barcelona","","Barcelona","2013. 2014. 2015. 2016","","2013-06","2013-06","","","","","","application/pdf","110 p.","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/85095","cat","Agència de Salut Pública de Barcelona","","","","","","","","http://hdl.handle.net/11703/88139","","","","CC-BY","openAccess","","Ajuntament de Barcelona. Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Drogoaddicció. Salut","Salut. Societat i benestar","plans estratègics","Pla d'Acció sobre Drogues de Barcelona 2013-2016","Pla d'Acció sobre Drogues de Barcelona 2013-16","","text",""
"","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris. Can Peguera (Barcelona : Barri). Canyelles (Barcelona : Barri). Ciutat Meridiana (Barcelona : Barri). Guineueta (Barcelona : Barri). Porta (Barcelona : Barri). Prosperitat (Barcelona : Barri). Roquetes (Barcelona : Barri). Torre Baró (Barcelona : Barri). Trinitat Nova (Barcelona : Barri). Turó de la Peira (Barcelona : Barri). Vallbona (Barcelona : Barri). Verdun (Barcelona : Barri). Vilapicina i la Torre Llobeta (Barcelona : Barri)","2016. 2017. 2018. 2019","","2016-12-15","2016","","Presentada al Consell Plenari del Districte de Nou Barris de 15-12-2016","","","Annex: Actuacions per barris","application/pdf","40 p.","","","","districtes","Mandat 2015-","http://hdl.handle.net/11703/108615","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política econòmica. Política ambiental. Política pública","Sector públic","mesures de govern. plans estratègics","Programa d'Actuació del Districte de Nou Barris (PAD) 2016-2019 (Barcelona)","Actuacions al Districte de Nou Barris 2016-2019 : mesura de govern","","text",""
"","Consorci per a la Normalització Lingüística","","Barcelona","2008. 2009. 2010","No","2009","2009","","","","","","application/pdf","18 p.","","","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/108705","cat","","","","","","","","","","","","","CC-BY","openAccess","","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Cultura. Normalització lingüística. Català. Consorci per a la Normalització Lingüística","Educació. Cultura i oci","plans estratègics","Pla d'Acolliment Lingüístic 2008-2011","Consorci per a la Normalització Lingüística : pla d'acolliment lingüístic 2008-2011 i objectius i mesures per al 2010","","text",""
"","Gerència de Serveis Generals i Coordinació Territorial. Àrea d'Habitatge, Urbanisme i Règim Interior","","Vilapicina i la Torre Llobeta (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","51 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85009","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri de Vilapicina i la Torre Llobeta 2010-2020 (Barcelona)","Pla de futur del barri de Vilapicina i la Torre Llobeta : 2010-2020","","text",""
"","Gerència de Serveis Generals i Coordinació Territorial. Àrea d'Habitatge, Urbanisme i Règim Interior","","Verdun (Barcelona : Barri)","2010. 2011. 2012. 2013. 2014. 2015. 2016. 2017. 2018. 2019. 2020","","2010","2010","","","","","","application/pdf","17 p.","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/85016","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Infraestructures urbanes. Barris","Sector públic","plans estratègics","Pla de Futur del Barri de Verdun 2010-2020 (Barcelona)","Pla de futur del barri de Verdun : 2010-2020","","text",""
"","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris","2004. 2005. 2006. 2007","","2004-12","2004-12","","","","","","application/pdf","59 p.","PAD_2004_2007_NB_59pag","","","districtes","Mandat 2003-2007","http://hdl.handle.net/11703/96343","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Equipaments col·lectius. Política de l'habitatge. Ordenació del territori. Rehabilitació urbana. Política ambiental. Política econòmica. Política pública","Sector públic","plans estratègics","Programa d'Actuació del Districte de Nou Barris (PAD) 2004-2007 (Barcelona)","Nou Barris: Programa d'Actuació Municipal del Districte 2004-2007","","text",""
"","Sector de Serveis Urbans i Medi Ambient. Clavegueram de Barcelona, S.A.","","Barcelona","2002. 2003. 2004. 2005. 2006","","2006","2006","","","","","","application/pdf","82 p.","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84956","cat","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Residus. Reciclatge (Residus, etc.)","Medi ambient","plans estratègics","Pla Tècnic de Recollida Pneumàtica de Residus 2006 (Barcelona). Pla Director de Recollida Pneumàtica de Residus Sòlids Urbans 2002 (Barcelona)","Pla tècnic 2006 de recollida pneumàtica de residus","","text",""
"","Consorci de Biblioteques de Barcelona","","Barcelona","2017","Si","2016-10-14","2016","","Aprovat al Consell General de 14-10-2016","","","","application/pdf","13 p.","","","","consorcis","Mandat 2015-","http://hdl.handle.net/11703/98716","cat","Diputació de Barcelona. Ajuntament de Barcelona. Biblioteques de Barcelona","","","","","","","","","","","","CC-BY","openAccess","","Consorci de Biblioteques de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Biblioteques","Cultura i oci","plans estratègics","Pla de Biblioteques 2011-2020 (Barcelona)","Pla d'Acció 2017: Biblioteques de Barcelona","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona. Districte 1. Ciutat Vella. Barcelona. Districte 2. Eixample. Barcelona. Districte 3. Sants-Montjuïc. Barcelona. Districte 4. Les Corts. Barcelona. Districte 5. Sarrià-Sant Gervasi. Barcelona. Districte 6. Gràcia. Barcelona. Districte 7. Horta-Guinardó. Barcelona. Districte 8. Nou Barris. Barcelona. Districte 9. Sant Andreu. Barcelona. Districte 10. Sant Martí","2015. 2016","","2016-07","2016-07","","","","","","application/pdf","23 p.","","","","","Mandat 2015-","http://hdl.handle.net/11703/99299","cat","","","","","http://hdl.handle.net/11703/98122","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pobresa. Política social. Energia. Serveis socials","Medi ambient","plans estratègics","Estratègia contra la Pobresa Energètica i per la Garantia del dret als subministraments bàsics a Barcelona 2015-","Estratègia contra la pobresa energètica i per la garantia del dret als subministraments bàsics a Barcelona [versió presentació]","","text",""
"","Institut Municipal d'Assistència Sanitària (Barcelona). Consorci Sanitari de Barcelona","","Barcelona","2008. 2009. 2010. 2011. 2012","No","2008","2008","","","","","","application/pdf","55 p.","","","","organismes autònoms","Mandat 2007-2011","http://hdl.handle.net/11703/108704","cat","","","","","","","","","","","","","CC-BY","openAccess","","Institut Municipal d'Assistència Sanitària (Barcelona). Consorci Sanitari de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica. Política fiscal. Institut Municipal d'Assistència Sanitària (Barcelona)","Salut. Economia","plans estratègics","Pla Estratègic i d'Empresa de l'IMAS 2008-2012","Pla estratègic i d'empresa de l'IMAS 2008-2012","","text",""
