"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisrequiredby","dcrelationisversionof","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"anual","","Institut Municipal d'Educació (Barcelona)","","Barcelona | Barcelona | Barcelona","2016","No","2015","2015","","","","","application/pdf","7 p.","application/pdf","","","","organismes autònoms","Mandat 2015-2019","http://hdl.handle.net/11703/110512","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Institut Municipal d'Educació (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Institut Municipal d'Educació (Barcelona) | Municipal budgets | Institut Municipal d'Educació (Barcelona) | Presupuestos municipales | Institut Municipal d'Educació (Barcelona)","Economia","pressupostos","Pressupost anual 2015 de l'Institut Municipal d'Educació : pròrroga","Pròrroga pressupostària per a l’exercici 2016 de l'Institut Municipal d'Educació","text","info:eu-repo/semantics/other",""
"anual","","Fundació Privada BCD per a la Promoció del Disseny Industrial","","Barcelona | Barcelona | Barcelona","2010","No","2009","2009","","","","","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2007-2011","http://hdl.handle.net/11703/109597","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Privada BCD per a la Promoció del Disseny Industrial","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Privada BCD per a la Promoció del Disseny Industrial | Budget | Fundació Privada BCD per a la Promoció del Disseny Industrial | Presupuestos | Fundació Privada BCD per a la Promoció del Disseny Industrial","Economia","pressupostos | documents digitalitzats","Pressupost anual 2010 de la Fundació BCD","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Consorci per a la Defensa de la Conca del Besòs","","Barcelona | Barcelona | Barcelona","2017","No","2017-01-25","2017","","Aprovat per la Junta General del CDCRB de 25-01-2017 | Requereix les Bases d'execució del pressupost anual del 2017 del Consorci per a la Defensa de la Conca del Besòs [http://hdl.handle.net/11703/109563]","","","application/pdf","2 documents","application/pdf","","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/109562","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/109563","CC-BY","info:eu-repo/semantics/openAccess","Consorci per a la Defensa de la Conca del Besòs","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci per a la Defensa de la Conca del Besòs | Budget | Consorci per a la Defensa de la Conca del Besòs | Presupuestos | Consorci per a la Defensa de la Conca del Besòs","Economia","pressupostos | documents digitalitzats","Pressupost anual 2017 del Consorci per a la Defensa de la Conca del Besòs","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","","Barcelona | Barcelona | Barcelona","2013","No","2012","2012","","","","","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/109565","cat","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupostos municipals | Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals | Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals | Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","Economia","pressupostos | documents digitalitzats","Pressupost anual 2013 de la Fundació Carles Pi i Sunyer d'Estudis Autonòmics i Locals","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Parc de Recerca Biomèdica de Barcelona","","Barcelona | Barcelona | Barcelona","2015","No","2014","2014","","","","","application/pdf","4 p.","application/pdf","","","","consorcis","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/107474","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Parc de Recerca Biomèdica de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci del Parc de Recerca Biomèdica de Barcelona | Pressupost | Consorci del Parc de Recerca Biomèdica de Barcelona | Budget | Consorci del Parc de Recerca Biomèdica de Barcelona | Presupuestos","Economia","pressupostos","Pressupost anual 2015 del Parc de Recerca Biomèdica de Barcelona","","text","info:eu-repo/semantics/other",""
"anual","","Fundació Privada Institut d'Economia de Barcelona","","Barcelona | Barcelona | Barcelona","2016","No","2015","2015","","","","","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2015-2019","http://hdl.handle.net/11703/110061","spa","","","","","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Privada Institut d'Economia de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Privada Institut d'Economia de Barcelona | Budget | Fundació Privada Institut d'Economia de Barcelona | Presupuestos | Fundació Privada Institut d'Economia de Barcelona","Economia","pressupostos | documents digitalitzats","Presupuesto anual 2016 de la Fundació Privada Institut d'Economia de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Anual","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2011","No","2010-12-17","2010-12-30","","Aprovat pel Plenari del Consell Municipal de 17-12-2010","","","","5 p.","","11753","","Butlletí Oficial de la Província de Barcelona (30-12-2010)","","Mandat 2011-2015 | Mandat 2007-2011","http://hdl.handle.net/11703/88918","cat","","","","","http://hdl.handle.net/11703/88929","","","http://hdl.handle.net/11703/88909","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Pressupostos municipals | Municipal budgets | Presupuestos municipales","Economia","pressupostos","Pressupost general 2011","","text","info:eu-repo/semantics/other",""
"anual","","Consorci de les Drassanes Reials i Museu Marítim de Barcelona","","Barcelona | Barcelona | Barcelona","2013","No","2014","2014","","Es basa en el Pressupost anual 2013 del Consorci de les Drassanes Reials i Museu Marítim de Barcelona [http://hdl.handle.net/11703/109544]","","","application/pdf","35 p.","application/pdf","","","","consorcis","Mandat 2011-2015","http://hdl.handle.net/11703/109545","cat","","","","http://hdl.handle.net/11703/109544","","Reproducció digital del document en suport original","","","","CC-BY","info:eu-repo/semantics/openAccess","Consorci de les Drassanes Reials i Museu Marítim de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Consorci de les Drassanes Reials i Museu Marítim de Barcelona | Budget | Consorci de les Drassanes Reials i Museu Marítim de Barcelona | Presupuestos | Consorci de les Drassanes Reials i Museu Marítim de Barcelona","Economia","pressupostos | documents digitalitzats","Liquidació del pressupost anual del 2013 del Consorci de les Drassanes Reials i Museu Marítim de Barcelona","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"anual","","Fundació Navegació Oceànica Barcelona","","Barcelona | Barcelona | Barcelona","2015","No","2014","2014","","","","Tancament del pressupost anual 2014","application/pdf","1 p.","application/pdf","","","","fundacions","Mandat 2011-2015 | Mandat 2015-2019","http://hdl.handle.net/11703/110258","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Fundació Navegació Oceànica Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pressupost | Fundació Navegació Oceànica Barcelona | Budget | Fundació Navegació Oceànica Barcelona | Presupuestos | Fundació Navegació Oceànica Barcelona","Economia","pressupostos","Pressupost anual 2015 de la Fundació Navegació Oceànica Barcelona","Tancament de l'exercici 2014 de la Fundació Navegació Oceànica Barcelona","text","info:eu-repo/semantics/other",""
"Anual","","Institut d'Estudis Regionals i Metropolitans de Barcelona","","Barcelona | Barcelona | Barcelona","2017","No","2016","2016","","Requereix les Bases d'execució del pressupost 2017 [http://hdl.handle.net/11703/107535]","","","application/pdf","7 p.","application/pdf","","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/107532","cat","","","","","","","","","http://hdl.handle.net/11703/107535","CC-BY","info:eu-repo/semantics/openAccess","Institut d'Estudis Regionals i Metropolitans de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut d'Estudis Regionals i Metropolitans de Barcelona | Pressupost | Institut d'Estudis Regionals i Metropolitans de Barcelona | Budget | Institut d'Estudis Regionals i Metropolitans de Barcelona | Presupuestos","Economia","pressupostos","Pressupost anual 2017 del Consorci Institut d'Estudis Regionals i Metropolitans","","text","info:eu-repo/semantics/other",""
