"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdescriptionversion","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrelationuri","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 61"
"","","Gerència de Drets Socials | Torrens, Lluís | Segura Bonet, Marta | Muns Terrats, Lluís","","Barcelona | Barcelona | Barcelona","","","2018","2019","","","","","","","","","","","application/pdf","18 p.","application/pdf","","","Muns, Ll.; Segura, M. y Torrens, Ll. (2019) ‘Aspectos clave del diseño de una moneda complementaria liderada por la Administración Pública’ International Journal of Community  Currency Research 23 (Winter) 30-47 <www.ijccr.net> ISSN 1325-9547. http://dx.doi.org/10.15133/j.ijccr.2019.004","","","","http://hdl.handle.net/11703/114966","spa","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Moneda | Moneda | Money | Administració local | Administración local | Local government","Societat i benestar","articles","","Aspectos clave del diseño de una moneda complementaria liderada por la administració pública","","text","info:eu-repo/semantics/article",""
"","","Consell Tributari Municipal (Barcelona) | Font Llovet, Tomàs","","Barcelona | Barcelona | Barcelona","","","2019-03-26","2019","","","Discurs del president del Consell Tributari en la Conferència de 30 anys del Consell Tributari de Barcelona de 26-03-2019 | Podeu consultar la monografia 30 anys del Consell Tributari de Barcelona 1988 - 2018 [versió en català i castellà] a: http://hdl.handle.net/11703/113497","","","","","","","","application/pdf","13 p.","application/pdf","","","","consells","","","http://hdl.handle.net/11703/114029","cat","","http://hdl.handle.net/11703/113497","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/licenses/by/4.0/deed.ca","","Consell Tributari Municipal (Barcelona) | Consell Tributari Municipal (Barcelona) | Consell Tributari Municipal (Barcelona) | Arbitratge i laude | Arbitraje | Arbitration and award | Impostos locals | Impuestos locales | Local taxation","Hisenda","conferències i ponències","","30 anys del Consell Tributari de Barcelona","","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Recursos | Direcció de Serveis Jurídics | Solé Benito, Albert","","","","","2018","2018-03-07","","","Ponència presentada per Albert Solé Benito amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"",  celebrada el dia 07-03-2018","","","","","","","","application/pdf","23 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/111358","cat","","","","","","","","","","","","","","Llei 9/2017. Contractes del sector públic","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Recursos administratius | Contractes administratius | Administrative remedies | Public contracts | Recursos administrativos | Contratos administrativos","Legislació i justícia | Sector públic","conferències i ponències","","El recurs especial en matèria de contractació : novetats de la Llei 9/2017","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Recursos | Intervenció general | Direcció de Coordinació Econòmica (Intervenció General) | Torres Morales, Carme","","","","","2018-03-07","2018-03-07","","","Ponència presentada per Carme Torres amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"", celebrada el dia 07-03-2018","","","","","","","","application/pdf","14 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/111507","cat","","","","","","","","","","","","","","Llei 9/2017. Contractes del sector públic","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Public contracts | Letting of contracts | Contratos administrativos | Adjudicación administrativa","Legislació i justícia | Sector públic","conferències i ponències","","Les modificacions contractuals i les pròrrogues en la nova LCSP","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Recursos | Direcció de Serveis Jurídics | Gilabert Busquets, Núria","","Barcelona | Barcelona | Barcelona","","","2018","2018-03-07","","","Ponència presentada per Núria Gilabert Busquets amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"",  celebrada el dia 07-03-2018","","","","","","","","application/pdf","19 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/111591","cat","","","","","","","","","","","","","","Llei 9/2017. Contractes del sector públic","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Public contracts | Contratos administrativos | Serveis públics | Public utilities | Servicios públicos","Legislació i justícia | Sector públic","conferències i ponències","","Tipus de contracte. Novetats en relació amb la gestió dels serveis públics i referència especial al contracte de serveis a les persones","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Gerència de Presidència i Economia | Direcció d'Empreses, Entitats Municipals i Recursos | Pascual Oliva, Angel","","Barcelona | Barcelona | Barcelona","","","2018","2018-03-07","","","Ponència presentada per Angel Pascual Oliva amb motiu de la ""Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona"",  celebrada el dia 07-03-2018","","","","","","","","application/pdf","4 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/111360","cat","","","","","","","","","","","","","","Llei 9/2017. Contractes del sector públic","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Public contracts | Letting of contracts | Contratos administrativos | Adjudicación administrativa","Legislació i justícia | Sector públic","conferències i ponències","","Les clàusules socials i mediambientals. Condicions laborals i subrogació. Llei 9 /2017 i Decret de contractació sostenible","Jornada sobre la Llei 9/2017 de contractes del sector públic i la seva implementació a l'Ajuntament de Barcelona (2018 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Servei de Documentació i Accés al Coneixement | Ràfales Caelles, Marta | Batlló Colominas, Roser | Hermosilla Pinto, Noelia | Plaza Mateo, Sara","","Barcelona | Barcelona | Barcelona","","","2017-10","2017-12","","","","","","","","","","","application/pdf","17 p.","application/pdf","","","Ràfales Caelles, Marta; Batlló Colominas, Roser; Hermosilla Pinto, Noelia; Plaza Mateo, Sara. L'accés obert a les publicacions del sector públic : l'experiència de l'Ajuntament de Barcelona. A: ‘Ítem: revista de biblioteconomia i documentació’, Barcelona: Col·legi Oficial de Bibliotecaris-Documentalistes de Catalunya, 2017, núm. 63, p. 103-119. ISSN 0214-0349","","","","http://hdl.handle.net/11703/109151","cat","","","","","","","","","","","","","","https://www.raco.cat/index.php/Item/article/view/337005/427875","","","","CC-BY","info:eu-repo/semantics/openAccess","","Col·legi Oficial de Bibliotecaris-Documentalistes de Catalunya","http://creativecommons.org/licenses/by/4.0/deed.ca","","Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Accés obert | Dipòsits institucionals | Documents electrònics | Recuperació de la informació | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Open access publishing | Institutional repositories | Electronic records | Metadata | Information retrieval | Repositori Obert de Coneixement de l’Ajuntament de Barcelona (BCNROC) | Acceso libre | Depósitos institucionales | Documentos electrónicos | Metadatos | Recuperación de la información","Sector públic","articles","","L'accés obert a les publicacions del sector públic : l'experiència de l'Ajuntament de Barcelona","","text","info:eu-repo/semantics/article | info:eu-repo/semantics/other",""
"","","Gerència d'Ecologia Urbana | Direcció de Model Urbà | Salvadó, Ton","","Barcelona | Barcelona | Barcelona","","","2019-01-23","2019-01","","","Ponència presentada per Ton Salvadó amb motiu de la jornada ""Avaluació de Polítiques i Serveis Municipals"", celebrada el dia 23-01-2019","","","","","","","","application/pdf","57 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/114948","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Zones de vianants | Zonas peatonales | Pedestrian zones | Avaluació | Evaluación | Evaluation","Societat i benestar | Urbanisme i infraestructures","conferències i ponències","","Programa Superilles","","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Direcció de Serveis Jurídics | Solé Benito, Albert","","","","","2016-11","2016-12-01","","","Ponència d'Albert Solé , director de Serveis Jurídics de l'Ajuntament de Barcelona, amb motiu de les Jornades ""La remunicipalització, reptes i oportunitats"", celebrades a Barcelona el dia 01-12-2016","","","","","","","","application/pdf","7 p.","application/pdf","","","","","","","http://hdl.handle.net/11703/100151","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Serveis municipals | Municipalització | Escoles bressol | Punts d'Informació i Atenció a les Dones (PIADs) | Municipal services | Corporatization | Kindergarten | Punts d'Informació i Atenció a les Dones (PIADs) | Servicios municipales | Municipalización | Guarderías | Punts d'Informació i Atenció a les Dones (PIADs)","Sector públic","conferències i ponències","","La Reinternalització de serveis bàsics","Jornades ""La remunicipalització, reptes i oportunitats"" (1eres : 2016 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
"","","Consell de les Dones de Barcelona","","Barcelona | Barcelona | Barcelona","1999","","1999-01","1999-01","","","Presentació al Plenari de l'Ajuntament de Barcelona de gener de 1999","","","","","","","","application/pdf","36 p.","application/pdf","","","","consells","","","http://hdl.handle.net/11703/105107","cat","","","","","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Dones | Participació ciutadana | Espais públics | Women | Citizen participation | Public spaces | Mujeres | Participación ciudadana | Espacios públicos","Societat i benestar","conferències i ponències","","Propostes globals","Congrés de les Dones de Barcelona (1r : 1999 : Barcelona)","text","info:eu-repo/semantics/conferenceObject | info:eu-repo/semantics/other",""
