"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2004-02-20","2004-02-26","","2004-02-27","Aprovat pel Plenari del Consell Municipal de 20-02-2004","","","","","","application/pdf","3 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 49 (26-02-2004), p. 27-29","","","http://hdl.handle.net/11703/106140","cat","","","","","","","","","<a href=""http://hdl.handle.net/11703/106138""> Reglament de Participació de l'Ajuntament de Barcelona [2017]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Participació ciutadana | Associacions, institucions, etc. | Citizen participation | Associations, institutions, etc. | Participación ciudadana | Asociaciones, instituciones, etc.","Sector públic | Societat i benestar","reglaments","","Reglament del fitxer general d'entitats ciutadanes [2004]","Normes reguladores del fitxer general d'entitats ciutadanes [2004]","text","info:eu-repo/semantics/other",""
"World Association of the Major Metropolises","Barcelona | Barcelona | Barcelona","","No","2000-11","2000-11","","","","","","","","","application/pdf","6 p.","application/pdf","","","","associacions","","http://hdl.handle.net/11703/108774","spa","","","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Asociación Mundial de las Grandes Metrópolis","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització i organigrames | World Association of the Major Metropolises | Organization and flowcharts | World Association of the Major Metropolises | Organización y organigramas | World Association of the Major Metropolises","Sector públic","reglaments","","Reglamento interno : Asociación Mundial de las Grandes Metrópolis [2000]","","text","info:eu-repo/semantics/other",""
"Parcs i Jardins de Barcelona, Institut Municipal | Districte 5. Sarrià-Sant Gervasi. Gerència","Barcelona. Districte 5. Sarrià-Sant Gervasi | Barcelona. District 5. Sarrià-Sant Gervasi | Barcelona. Distrito 5. Sarrià-Sant Gervasi","","No","2014-04-30","2014","","","","","","","","","application/pdf","2 p.","application/pdf","16649","","","districtes","","http://hdl.handle.net/11703/111815","cat","","","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Districte 5. Sarrià-Sant Gervasi | Horts | Districte 5. Sarrià-Sant Gervasi | Vegetable gardening | Districte 5. Sarrià-Sant Gervasi | Huertos","Cultura i oci | Legislació i justícia","reglaments","","Reglament de règim intern i funcionament de l'ús per temps determinat de les parcel·les a l'hort Can Pujades pel projecte ""Horts Urbans"" [2014]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1982-02-26","1982-03-30","","1982-03-30","Aprovades per la Comissió Municipal Permanent de 26-02-1982","","Deroguen les ""Normas para la actuación de los Servicios jurídicos del Ayuntamiento"", aprovades per Decret de l'Alcaldia de 25-02-1966 | Deroguen la ""Creación de la Junta de Letrados del Ayuntamiento"", aprovades per Decret de l'Alcaldia de 13-06-1965","Digitalitzat pel SEDAC","","","application/pdf","","application/pdf","10007","","Gaseta Municipal de Barcelona, núm. 9 (30-03-1982)","","","http://hdl.handle.net/11703/91698","spa","","","","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Contractes administratius | Public contracts | Contratos administrativos","Sector públic","reglaments | documents digitalitzats","","Normas reguladoras de la desconcentración funcional de la contratación [1982]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1905-05-04","1919","","","Aprovat pel Plenari del Consell Municipal de 04-05-1905","","","Digitalitzat pel SEDAC","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","17 p.","application/pdf","14119","","","","","http://hdl.handle.net/11703/91750","spa","Ajuntament de Barcelona","","","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Policia local | Tramvies | Organització i organigrames | Municipal police | Street-railroads | Organization and flowcharts | Policía municipal | Tranvías | Organización y organigramas","Seguretat | Transport","monografies | reglaments | documents digitalitzats","","Reglamento de policía para la explotación de tranvías en Barcelona [1905]","","text","info:eu-repo/semantics/book",""
"Ministerio de Hacienda","Barcelona | Barcelona | Barcelona","","No","1964-12-17","1964-12-29","","1964-12-29","","","","","","","application/pdf","2 p.","application/pdf","","","Boletín Oficial del Estado, núm. 312 (29-12-1964), p. 17406-17407","","","http://hdl.handle.net/11703/106463","spa","","","","","","","Reproducció digital del document en suport original","","","<a href=""http://hdl.handle.net/11703/106462"" target=""_blank"">Reglamento de hacienda municipal de Barcelona [1961]</a>","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Economia | Legislació i justícia","reglaments | documents digitalitzats","","Reglamento de hacienda municipal de Barcelona [1964] : modificació [1964-12-17]","Decreto 4107/1964, de 17 de diciembre, por el que se aclara el 2086/1961, de 9 de noviembre, que aprobó el Reglamento de Hacienda Municipal de Barcelona","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1997-10-24","1998-02-20","2011-11-02","1998-02-21","Aprovat pel Plenari del Consell Municipal de 24-10-1997","","","Digitalitzat pel SEDAC","","","application/pdf","","application/pdf","5501","","Gaseta Municipal de Barcelona, núm. 5 (20-02-1998)","consells","","http://hdl.handle.net/11703/91670","cat","","","","","","","Reproducció digital del document en suport original","","<a href=""http://hdl.handle.net/11703/110811"">Procediment d’incorporació de noves entitats al CMIB de 2008</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Consell Municipal d'Immigració (Barcelona) | Organization and flowcharts | Consell Municipal d'Immigració (Barcelona) | Organización y organigramas | Consell Municipal d'Immigració (Barcelona)","Societat i benestar","reglaments | documents digitalitzats","","Normes reguladores del Consell Municipal d'Immigració de Barcelona [1997]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1968-06-28","1968-11-11","","","Aprovada pel Plenari del Consell Municipal del 28-06-1968","","","","","","application/pdf","4 p.","application/pdf","","","Gaceta municipal de Barcelona, núm. 31 (11-11-1968), p. 655-658","","","http://hdl.handle.net/11703/106680","spa","","dc.relation: <a href=""http://hdl.handle.net/11703/91748""> Edició llibre (1968)</a>","","","","","","","<a href=""http://hdl.handle.net/11703/97137"">Reglament sobre l'ús de les instal·lacions municipals esportives [1968]</a>","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Organització i organigrames | Instal·lacions esportives | Organization and flowcharts | Sports facilities | Organización y organigramas | Instalaciones deportivas","Esport | Urbanisme i infraestructures","reglaments | documents digitalitzats","","Reglamento sobre uso de instalaciones deportivas municipales [1968]","","text","info:eu-repo/semantics/other",""
"Consell Municipal d'Associacions de Barcelona","Barcelona | Barcelona | Barcelona","","No","2005-11-23","2005","2015-04-23","2005-12-23","Aprovat pel Plenari del Consell Municipal de 23-12-2005","","","","","","application/pdf","18 p.","application/pdf","4279","","","consells | consells","","http://hdl.handle.net/11703/96844","cat","Ajuntament de Barcelona. Participació Ciutadana","","","","","","","","<a href=""http://hdl.handle.net/11703/83454"">Reglament de funcionament intern del Consell Municipal d'Entitats de Barcelona [2015]</a","","","<a href=""http://hdl.handle.net/11703/91717"">Normes reguladores del Consell Municipal d'Associacions de Barcelona [2001]</a>","","CC-BY","info:eu-repo/semantics/openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Organització i organigrames | Consell Municipal d'Associacions de Barcelona | Organization and flowcharts | Consell Municipal d'Associacions de Barcelona | Organización y organigramas | Consell Municipal d'Associacions de Barcelona","Societat i benestar","reglaments","","Reglament intern del Consell Municipal d'Associacions de Barcelona [2005]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1998-07-09","1998","2014-05-20","1998-07-09","Aprovades pel Decret de l'Alcaldia de 09-07-1998","","","Digitalitzat pel SEDAC","","","application/pdf","8 p.","application/pdf","13954","","","","","http://hdl.handle.net/11703/91737","cat","Ponència del Nomenclàtor dels carrers de Barcelona","","","","","","Reproducció digital del document en suport original","","Modificades i refoses per les  <a href=""http://hdl.handle.net/11703/97106"">Normes de funcionament de la Ponència del Nomenclàtor dels carrers de Barcelona [2014]</a>","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Nomenclatura | Carrers | Ponència de Nomenclàtor dels Carrers de Barcelona | Organització i organigrames | Names | Streets | Ponència de Nomenclàtor dels Carrers de Barcelona | Organization and flowcharts | Nombres | Calles | Ponència de Nomenclàtor dels Carrers de Barcelona | Organización y organigramas","Urbanisme i infraestructures","reglaments | documents digitalitzats","","Normes de funcionament de la Ponència del Nomenclàtor dels carrers de Barcelona [1998]","","text","info:eu-repo/semantics/other",""
