"partit_politic","nom","cognom_1","cognom_2","genere","remuneracio","observacio_remuneracio_ca","observacio_remuneracio_es","observacio_remuneracio_en","president_partit","descripcio_carrec_ca","descripcio_carrec_es","descripcio_carrec_en","posicio_principal","dependencia_ca","dependencia_es","dependencia_en","descripcio_uo_ampliada","ordre_caixa","foto","cv_ca","cv_es","agenda_ca","agenda_es","declaracio_activitats_ca","declaracio_activitats_es","declaracio_bens_ca","declaracio_bens_es"
"Barcelona en comú","Ada","Colau","Ballano","Femení",100000.04,"La retribució anual assignada és la que li correspon com a alcaldessa, tot i que, en aplicació del codi ètic de Barcelona en Comú, percebrà uns ingressos nets mensuals de 2.291,03 euros, en 14 pagues (import net equivalent a 3,5 vegades el salari mínim interprofessional). A aquest import s'afegeix, en concepte de complement per responsabilitat de govern i cures, la quantitat de 900 euros. Per a la resta dels seus càrrecs municipals no té assignada retribució.","La retribución anual asignada es la que le corresponde como alcaldesa, aunque, en aplicación del código ético de Barcelona en Comú, percibirá unos ingresos netos mensuales de 2.291,03 euros, en 14 pagas (importe neto equivalente a 3,5 veces el salario mínimo interprofesional). A este importe se añade, en concepto de complemento por responsabilidad de gobierno y cuidados, la cantidad de 900 euros. Para el resto de sus cargos municipales no tiene asignada retribución.","The allocated annual remuneration is the one she is entitled to as mayor, although, under the Barcelona en Comú code of ethics, she will receive a net monthly salary of €2,291.03, in 14 instalments (net amount equivalent to 3.5 times the minimum interprofessional salary). An additional sum of €900 will complement this amount for governance and care responsibilities. She has no remuneration allocated for the rest of her municipal posts.","Sí","Alcaldessa","Alcaldesa","Mayor","Sí","Consell Municipal","Consejo Municipal","City Council","Consell Municipal",1,"https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_CVCS.pdf","https://ajuntament.barcelona.cat/alcaldessa/ca/agenda","https://ajuntament.barcelona.cat/alcaldessa/es/agenda","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-interessos/activitats/declaracio-inicial-501","https://seuelectronica.ajuntament.barcelona.cat/es/registre-interessos/activitats/declaracio-inicial-501","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-interessos/bens/declaracio-inicial-482","https://seuelectronica.ajuntament.barcelona.cat/es/registre-interessos/bens/declaracio-inicial-482"
"Barcelona en comú","Ada","Colau","Ballano","Femení",100000.04,"La retribució anual assignada és la que li correspon com a alcaldessa, tot i que, en aplicació del codi ètic de Barcelona en Comú, percebrà uns ingressos nets mensuals de 2.291,03 euros, en 14 pagues (import net equivalent a 3,5 vegades el salari mínim interprofessional). A aquest import s'afegeix, en concepte de complement per responsabilitat de govern i cures, la quantitat de 900 euros. Per a la resta dels seus càrrecs municipals no té assignada retribució.","La retribución anual asignada es la que le corresponde como alcaldesa, aunque, en aplicación del código ético de Barcelona en Comú, percibirá unos ingresos netos mensuales de 2.291,03 euros, en 14 pagas (importe neto equivalente a 3,5 veces el salario mínimo interprofesional). A este importe se añade, en concepto de complemento por responsabilidad de gobierno y cuidados, la cantidad de 900 euros. Para el resto de sus cargos municipales no tiene asignada retribución.","The allocated annual remuneration is the one she is entitled to as mayor, although, under the Barcelona en Comú code of ethics, she will receive a net monthly salary of €2,291.03, in 14 instalments (net amount equivalent to 3.5 times the minimum interprofessional salary). An additional sum of €900 will complement this amount for governance and care responsibilities. She has no remuneration allocated for the rest of her municipal posts.","Sí","Presidenta","Presidenta","Chair","No","Consorci Museu d'Art Contemporani de Barcelona","Consorcio Museo de Arte Contemporáneo de Barcelona","Museu d'Art Contemporani de Barcelona Consortium","Consorci Museu d'Art Contemporani de Barcelona",0,"https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_CVCS.pdf","https://ajuntament.barcelona.cat/alcaldessa/ca/agenda","https://ajuntament.barcelona.cat/alcaldessa/es/agenda","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-interessos/activitats/declaracio-inicial-501","https://seuelectronica.ajuntament.barcelona.cat/es/registre-interessos/activitats/declaracio-inicial-501","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-interessos/bens/declaracio-inicial-482","https://seuelectronica.ajuntament.barcelona.cat/es/registre-interessos/bens/declaracio-inicial-482"
"Barcelona en comú","Ada","Colau","Ballano","Femení",100000.04,"La retribució anual assignada és la que li correspon com a alcaldessa, tot i que, en aplicació del codi ètic de Barcelona en Comú, percebrà uns ingressos nets mensuals de 2.291,03 euros, en 14 pagues (import net equivalent a 3,5 vegades el salari mínim interprofessional). A aquest import s'afegeix, en concepte de complement per responsabilitat de govern i cures, la quantitat de 900 euros. Per a la resta dels seus càrrecs municipals no té assignada retribució.","La retribución anual asignada es la que le corresponde como alcaldesa, aunque, en aplicación del código ético de Barcelona en Comú, percibirá unos ingresos netos mensuales de 2.291,03 euros, en 14 pagas (importe neto equivalente a 3,5 veces el salario mínimo interprofesional). A este importe se añade, en concepto de complemento por responsabilidad de gobierno y cuidados, la cantidad de 900 euros. Para el resto de sus cargos municipales no tiene asignada retribución.","The allocated annual remuneration is the one she is entitled to as mayor, although, under the Barcelona en Comú code of ethics, she will receive a net monthly salary of €2,291.03, in 14 instalments (net amount equivalent to 3.5 times the minimum interprofessional salary). An additional sum of €900 will complement this amount for governance and care responsibilities. She has no remuneration allocated for the rest of her municipal posts.","Sí","Presidenta","Presidenta","Chair","No","Associació Internacional de Ciutats Educadores","Asociación Internacional de Ciudades Educadoras","International Association of Educating Cities","Associació Internacional de Ciutats Educadores",0,"https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_CVCS.pdf","https://ajuntament.barcelona.cat/alcaldessa/ca/agenda","https://ajuntament.barcelona.cat/alcaldessa/es/agenda","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-interessos/activitats/declaracio-inicial-501","https://seuelectronica.ajuntament.barcelona.cat/es/registre-interessos/activitats/declaracio-inicial-501","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-interessos/bens/declaracio-inicial-482","https://seuelectronica.ajuntament.barcelona.cat/es/registre-interessos/bens/declaracio-inicial-482"
"Barcelona en comú","Ada","Colau","Ballano","Femení",100000.04,"La retribució anual assignada és la que li correspon com a alcaldessa, tot i que, en aplicació del codi ètic de Barcelona en Comú, percebrà uns ingressos nets mensuals de 2.291,03 euros, en 14 pagues (import net equivalent a 3,5 vegades el salari mínim interprofessional). A aquest import s'afegeix, en concepte de complement per responsabilitat de govern i cures, la quantitat de 900 euros. Per a la resta dels seus càrrecs municipals no té assignada retribució.","La retribución anual asignada es la que le corresponde como alcaldesa, aunque, en aplicación del código ético de Barcelona en Comú, percibirá unos ingresos netos mensuales de 2.291,03 euros, en 14 pagas (importe neto equivalente a 3,5 veces el salario mínimo interprofesional). A este importe se añade, en concepto de complemento por responsabilidad de gobierno y cuidados, la cantidad de 900 euros. Para el resto de sus cargos municipales no tiene asignada retribución.","The allocated annual remuneration is the one she is entitled to as mayor, although, under the Barcelona en Comú code of ethics, she will receive a net monthly salary of €2,291.03, in 14 instalments (net amount equivalent to 3.5 times the minimum interprofessional salary). An additional sum of €900 will complement this amount for governance and care responsibilities. She has no remuneration allocated for the rest of her municipal posts.","Sí","Presidenta","Presidenta","Chair","No","Comissió de Govern","Comisión de Gobierno","City Government Commission","Comissió de Govern",0,"https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_CVCS.pdf","https://ajuntament.barcelona.cat/alcaldessa/ca/agenda","https://ajuntament.barcelona.cat/alcaldessa/es/agenda","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-interessos/activitats/declaracio-inicial-501","https://seuelectronica.ajuntament.barcelona.cat/es/registre-interessos/activitats/declaracio-inicial-501","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-interessos/bens/declaracio-inicial-482","https://seuelectronica.ajuntament.barcelona.cat/es/registre-interessos/bens/declaracio-inicial-482"
"Barcelona en comú","Ada","Colau","Ballano","Femení",100000.04,"La retribució anual assignada és la que li correspon com a alcaldessa, tot i que, en aplicació del codi ètic de Barcelona en Comú, percebrà uns ingressos nets mensuals de 2.291,03 euros, en 14 pagues (import net equivalent a 3,5 vegades el salari mínim interprofessional). A aquest import s'afegeix, en concepte de complement per responsabilitat de govern i cures, la quantitat de 900 euros. Per a la resta dels seus càrrecs municipals no té assignada retribució.","La retribución anual asignada es la que le corresponde como alcaldesa, aunque, en aplicación del código ético de Barcelona en Comú, percibirá unos ingresos netos mensuales de 2.291,03 euros, en 14 pagas (importe neto equivalente a 3,5 veces el salario mínimo interprofesional). A este importe se añade, en concepto de complemento por responsabilidad de gobierno y cuidados, la cantidad de 900 euros. Para el resto de sus cargos municipales no tiene asignada retribución.","The allocated annual remuneration is the one she is entitled to as mayor, although, under the Barcelona en Comú code of ethics, she will receive a net monthly salary of €2,291.03, in 14 instalments (net amount equivalent to 3.5 times the minimum interprofessional salary). An additional sum of €900 will complement this amount for governance and care responsibilities. She has no remuneration allocated for the rest of her municipal posts.","Sí","Presidenta","Presidenta","Chair","No","Barcelona Institute of Technology for the Habitat","Barcelona Institute of Technology for the Habitat","Barcelona Institute of Technology for the Habitat","Barcelona Institute of Technology for the Habitat",0,"https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_CVCS.pdf","https://ajuntament.barcelona.cat/alcaldessa/ca/agenda","https://ajuntament.barcelona.cat/alcaldessa/es/agenda","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-interessos/activitats/declaracio-inicial-501","https://seuelectronica.ajuntament.barcelona.cat/es/registre-interessos/activitats/declaracio-inicial-501","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-interessos/bens/declaracio-inicial-482","https://seuelectronica.ajuntament.barcelona.cat/es/registre-interessos/bens/declaracio-inicial-482"
"Barcelona en comú","Ada","Colau","Ballano","Femení",100000.04,"La retribució anual assignada és la que li correspon com a alcaldessa, tot i que, en aplicació del codi ètic de Barcelona en Comú, percebrà uns ingressos nets mensuals de 2.291,03 euros, en 14 pagues (import net equivalent a 3,5 vegades el salari mínim interprofessional). A aquest import s'afegeix, en concepte de complement per responsabilitat de govern i cures, la quantitat de 900 euros. Per a la resta dels seus càrrecs municipals no té assignada retribució.","La retribución anual asignada es la que le corresponde como alcaldesa, aunque, en aplicación del código ético de Barcelona en Comú, percibirá unos ingresos netos mensuales de 2.291,03 euros, en 14 pagas (importe neto equivalente a 3,5 veces el salario mínimo interprofesional). A este importe se añade, en concepto de complemento por responsabilidad de gobierno y cuidados, la cantidad de 900 euros. Para el resto de sus cargos municipales no tiene asignada retribución.","The allocated annual remuneration is the one she is entitled to as mayor, although, under the Barcelona en Comú code of ethics, she will receive a net monthly salary of €2,291.03, in 14 instalments (net amount equivalent to 3.5 times the minimum interprofessional salary). An additional sum of €900 will complement this amount for governance and care responsibilities. She has no remuneration allocated for the rest of her municipal posts.","Sí","Presidenta","Presidenta","Chair","No","Fundació Museu Picasso de Barcelona","Fundación Museo Picasso","Picasso Museum Foundation","Fundació Museu Picasso de Barcelona",0,"https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/REG_AJB_Ada%20Colau%20Ballano_CVCS.pdf","https://ajuntament.barcelona.cat/alcaldessa/ca/agenda","https://ajuntament.barcelona.cat/alcaldessa/es/agenda","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-interessos/activitats/declaracio-inicial-501","https://seuelectronica.ajuntament.barcelona.cat/es/registre-interessos/activitats/declaracio-inicial-501","https://seuelectronica.ajuntament.barcelona.cat/ca/registre-interessos/bens/declaracio-inicial-482","https://seuelectronica.ajuntament.barcelona.cat/es/registre-interessos/bens/declaracio-inicial-482"
"","Adrià","Rodríguez","de Alòs-Moner","Masculí",57224.3,"En aplicació del codi ètic de Barcelona en Comú, percebrà uns ingressos nets mensuals de 2.080 euros, en 14 pagues.","En aplicación del código ético de Barcelona en Comú, percibirá unos ingresos netos mensuales de 2.080 euros, en 14 pagas.","Under the code of ethics of Barcelona en Comú, he will receive a net monthly salary of 2,080 euros, in 14 instalments.","No","Assessor 3","Asesor 3","Advisor 3","Sí","Direcció de l'Alcaldia","Dirección de la Alcaldía","Directorate for the Mayor's Office","Direcció de l'Alcaldia",9,"https://apidocs.barcelona.cat/retribucions_pro/Foto%20Adri%C3%A0%20Rodr%C3%ADguez%20de%20Al%C3%B2s-Moner.jpg","https://apidocs.barcelona.cat/retribucions_pro/EVE_AJB_Adri%C3%A0%20Rodr%C3%ADguez%20de%20Al%C3%B2s-Moner_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/EVE_AJB_Adri%C3%A0%20rodr%C3%ADguez%20de%20Al%C3%B2s-Moner_CVCS.pdf","","","","","",""
"PDeCAT – Unió – Demòcrates","Adrià","Ventura","Ramos","Masculí",49985.88,"","","","No","Assessor 5","Asesor 5","Advisor 5","Sí","Grup Polític Municipal Junts per Catalunya","Grup Polític Municipal Junts per Catalunya","Grup Polític Municipal Junts per Catalunya","Grup Polític Municipal Junts per Catalunya",9,"https://apidocs.barcelona.cat/retribucions_pro/CLL_D08_Adri%C3%A0%20Ventura%20Ramos_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/CLL_D08_Adri%C3%A0%20Ventura%20Ramos_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/CLL_D08_Adri%C3%A0%20Ventura%20Ramos_CVCS.pdf","","","","","",""
"","Adriana","Partal","Fernández","Femení",57224.3,"En aplicació del codi ètic de Barcelona en Comú, percebrà uns ingressos nets mensuals de 2.080 euros, en 14 pagues.","En aplicación del código ético de Barcelona en Comú, percibirá unos ingresos netos mensuales de 2.080 euros, en 14 pagas.","Under the code of ethics of Barcelona en Comú, she will receive a net monthly salary of 2,080 euros, in 14 instalments.","No","Assessora 3","Asesora 3","Advisor 3","Sí","Direcció de l'Alcaldia","Dirección de la Alcaldía","Directorate for the Mayor's Office","Direcció de l'Alcaldia",9,"https://apidocs.barcelona.cat/retribucions_pro/Foto%20Adriana%20Partal.jpg","https://apidocs.barcelona.cat/retribucions_pro/CV_ca_Adriana%20Partal%20Fern%C3%A1ndez.pdf","https://apidocs.barcelona.cat/retribucions_pro/CV_es_Adriana%20Partal%20Fern%C3%A1ndez.pdf","","","","","",""
"","Agustín","Abelaira","Dapena","Masculí",104798.12,"La retribució indicada és la que percep com a gerent de Recursos.","La retribución indicada és la que percibe como gerente de Recursos.","The stated remuneration is the one he is entitled to as a manager of Resources.","No","Gerent 2","Gerent 2","Gerent 2","No","Gerència de Recursos","Gerencia de Recursos","Manager's Office for Resources","Gerència de Recursos",7,"https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Agust%C3%AD%20Abelaira%20Dapena_FOTO.jpg","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Agust%C3%AD%20Abelaira%20Dapena_CVCA.pdf","https://apidocs.barcelona.cat/retribucions_pro/GER_AJB_Agust%C3%AD%20Abelaira%20Dapena_CVCS.pdf","","","","","",""
