"Codi_Tipologia","Tipologia_operacions","Codi_capitol","Nom_capitol","Codi_article","Nom_article","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"A","Operacions Corrents",1,"impostos directes",10000,"Cessió IRPF",57.0,54.2,45.8,49.8,48.4,51.6,57.2,59.5,64.4,73.9
"A","Operacions Corrents",1,"impostos directes",11200,"IBI de naturalesa rústega",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
"A","Operacions Corrents",1,"impostos directes",11301,"IBI de naturalesa urbana",497.2,537.2,571.0,589.4,616.3,655.9,659.8,651.8,635.1,647.2
"A","Operacions Corrents",1,"impostos directes",11401,"IBI de característiques especials",5.5,6.9,8.6,11.0,9.7,10.7,11.5,11.2,11.1,11.1
"A","Operacions Corrents",1,"impostos directes",11500,"Impost sobre vehicles de tracció mecànica",71.7,69.7,64.9,63.7,62.5,61.4,61.5,61.0,60.0,58.3
"A","Operacions Corrents",1,"impostos directes",11600,"Impost sobre increment de valor terrenys naturalesa urbana",101.5,83.3,93.0,114.4,145.8,169.7,177.1,197.2,188.0,197.6
"A","Operacions Corrents",1,"impostos directes",13000,"Impost activitats econòmiques (IAE)",89.6,91.1,87.8,86.0,81.9,81.4,85.0,85.2,84.9,83.1
"A","Operacions Corrents",1,"impostos directes",13001,"Impost activitats professionals i artístiques",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A","Operacions Corrents",1,"impostos directes",13004,"Quotes nacionals i provincials IAE",9.0,9.1,9.1,6.6,10.9,8.4,9.3,9.2,10.0,8.6
"A","Operacions Corrents",1,"impostos directes",18000,"Directes extingits",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A","Operacions Corrents",2,"impostos indirectes",21000,"Cessió IVA",18.8,21.3,20.1,27.3,26.7,29.6,28.5,32.7,37.1,35.0
"A","Operacions Corrents",2,"impostos indirectes",22000,"Cessió IE alcohol i derivats",0.4,0.4,0.2,0.3,0.4,0.4,0.3,0.4,0.4,0.4
