"Tipus indicador","Indicador","Fórmula","Unitat","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Observacions"
"INDICADORS RELATIUS A L'ENDEUTAMENT","Endeutament per habitant ","Deute viu a 31 de desembre / nº d'habitants","Euros per habitant","720,8","660,9","581,7","476,6","462,6","741,1","674,8","718,8","683,3","606,4","520,8","519,6","515,5",""
"INDICADORS RELATIUS A L'ENDEUTAMENT","Evolució temporal del deute","Deute viu a 31 de desembre","Milions d'euros","1.148,40","1.061,20","927,8","770,1","750,1","1.200,10","1.090,10","1.165,10","1.101,40","971,7","835,7","835,5","835,5",""
"INDICADORS RELATIUS A L'ENDEUTAMENT","Capacitat de retorn del deute amb ingressos corrents (en termes SEC)","Deute viu a 31 de desembre / Drets reconeguts (capítols 1 a 5) (en termes SEC)","%","62,6%","53,8%","41,1%","33,7%","33,6%","58,8%","57,9%","52,1%","46,7%","38,6%","32,8%","32,9%","33,0%",""
"INDICADORS RELATIUS A L'ENDEUTAMENT","Cost mitjà del deute","Interessos meritats / saldo (deute) mig disposat","%","3,0%","3,2%","3,8%","4,1%","3,3%","2,8%","2,9%","2,9%","2,8%","2,9%","2,5%","2,4%","2,1%",""
"INDICADORS RELATIUS A L'ENDEUTAMENT","Vida mitjana del deute","Saldo (deute) x dies acumulat / Saldo viu (deute) / 365","Anys","6,0","5,4","5,9","4,5","5,8","5,9","5,4","5,2","4,6","4,2","5,5","6,4","6,8",""
"INDICADORS RELATIUS A L'ENDEUTAMENT","Endeutament relatiu","Deute viu a 31 de desembre / Drets reconeguts (capítols 1 a 9)","%","55,5%","48,7%","38,9%","32,4%","27,5%","40,3%","45,6%","46,3%","44,1%","36,5%","29,9%","30,5%","30,9%",""
"INDICADORS D'OPERACIONS CORRENTS","Ingressos corrents per habitant","Drets reconeguts nets (capítols 1 a 5) / nº d'habitants","Euros per habitant","1.208,5","1.287,5","1.465,8","1.444,9","1.436,1","1.379,3","1.416,3","1.427,2","1.507,9","1.629,4","1.615,3","1.577,5","1.582,5",""
"INDICADORS D'OPERACIONS CORRENTS","Ingressos fiscals per habitant","Drets reconeguts nets (capítols 1 a 3) / nº d'habitants","Euros per habitant","678,4","711,8","760,1","739,8","726,8","765,9","771,0","778,8","806,9","837,4","872,9","701,1","889,0",""
"INDICADORS D'OPERACIONS CORRENTS","Despeses corrents per habitant","Obligacions reconegudes (capítols 1 a 5) / nº d'habitants","Euros per habitant","813,3","862,5","945,8","1.008,9","1.069,1","1.095,2","1.108,0","1.115,4","1.140,6","1.176,7","1.264,0","1.301,3","1.297,1",""
"INDICADORS D'OPERACIONS CORRENTS","Despeses financeres (interessos) per habitant","Obligacions reconegudes (capítol 3) / nº d'habitants","Euros per habitant","26,4","22,0","22,3","17,7","16,2","13,0","21,0","20,0","20,7","18,5","14,6","11,5","10,9",""
"INDICADORS D'OPERACIONS CORRENTS","Pes relatiu de les despeses financeres","Obligacions reconegudes (capítol 3) / Drets reconeguts (capítols 1 a 5)","%","2,2%","1,7%","1,5%","1,2%","1,1%","0,9%","1,5%","1,4%","1,4%","1,1%","0,9%","0,7%","0,7%",""
"INDICADORS D'OPERACIONS CORRENTS","% d'estalvi corrent envers els ingressos corrents","Drets reconeguts nets(capítols 1 a 5) - Obligacions reconegudes (capítols 1 a 5) / Drets reconeguts (capítols 1 a 5)","%","32,7%","33,0%","35,5%","30,2%","25,6%","20,6%","21,8%","21,8%","24,4%","27,8%","21,7%","17,5%","18,0%",""
"INDICADORS D'OPERACIONS CORRENTS","% d'estalvi corrent envers els ingressos corrents (en termes SEC)","(Ingressos corrents SEC - Despeses corrents SEC) / Ingressos corrents SEC","%","29,4%","29,8%","33,2%","28,5%","22,5%","13,1%","5,1%","19,1%","19,8%","25,1%","19,7%","19,6%","16,6%",""
"INDICADORS D'OPERACIONS DE CAPITAL","Inversió (operacions de capital) per habitant","Obligacions reconegudes (capítols 6 i 7) / nº d'habitants","Euros per habitant","287,2","333,8","363,1","375,7","537,2","452,9","328,8","263,2","207,3","382,7","279,8","270,5","260,7",""
"INDICADORS D'OPERACIONS DE CAPITAL","Inversió directa per habitant*","Obligacions reconegudes (capítol 6) / nº d'habitants","Euros per habitant","60,2","94,0","125,3","111,6","286,0","181,2","111,2","243,3","193,4","283,8","247,3","230,3","219,1","*El criteri d'imputació de les despeses de capítol 6 ha patit una variació al llarg del temps, on s'ha tendit a passar d'imputar del capítol 7 al capítol 6 els encàrrecs d'inversió a les entitats dependents. "
"INDICADORS D'OPERACIONS DE CAPITAL","Esforç inversor","Obligacions reconegudes (capítols 6 i 7) / Obligacions reconegudes totals","%","23,9%","26,7%","26,0%","25,2%","32,0%","28,0%","21,6%","18,3%","14,6%","23,2%","16,1%","16,1%","15,8%",""
"INDICADORS D'OPERACIONS DE CAPITAL","% d'ingressos derivats de l'urbanisme envers el pressupost total d'ingressos","Drets reconeguts nets(ICIO, llicències urbanístiques i d'obres, taxes d'informes, planols i certificats urbanistics, costos d'urbanització, reparcel·lacions, càrregues urbanístiques i  cessió d'aprofitament urbanístic ) / Drets reconeguts (capítols 1 a 9)","%","2,5%","2,9%","4,0%","3,0%","1,3%","1,3%","1,2%","1,4%","1,2%","1,1%","1,0%","1,6%","1,5%",""
"INDICADORS D'OPERACIONS DE CAPITAL","% de despeses derivades de l'urbanisme envers el pressupost total de despeses*","Obligacions reconegudes (grup de programa ""Urbanisme"") / obligacions reconegudes (capítols 1 a 9) [*El criteri d'imputació als programes relacionats amb l'urbanisme sobreestima aquest import. A partir de 2012 es canviar el criteri d'assignació de recursos a programes.]","%","23,1%","23,8%","23,2%","25,2%","25,4%","19,8%","15,5%","14,4%","11,2%","11,3%","10,2%","10,5%","9,7%","*El criteri d'imputació als programes relacionats amb l'urbanisme sobreestima aquest import. A partir de 2012 es canviar el criteri d'assignació de recursos a programes."
"INDICADORS D'OPERACIONS DE CAPITAL","Aigua i clavegueram Total","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","1,87","0,87","1,30","0,41","1,45","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Aparcaments","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","7,59","0,76","0,33","0,16","1,17","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Diversos Total","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","0,12","0,00","0,02","0,00","0,99","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Energia","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","0,00","0,50","0,94","0,78","1,53","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Infraestructures Total","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","0,05","0,03","1,35","0,81","1,32","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Parcs","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","3,74","0,78","2,32","3,03","3,12","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Residus Total","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","0,00","0,65","0,62","0,00","0,28","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Verd urbà i zones forestals","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","6,74","1,83","3,20","0,68","0,51","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"INDICADORS D'OPERACIONS DE CAPITAL","Vials Total","Obligacions reconegudes (capítol 6-només espai públic)/ nº d' habitants","Euros per habitant","","","","","","","","","40,09","106,86","90,24","66,07","60,61","Abans de 2013 no es classificaven les inversions en aquestes tipologies."
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució del pressupost d'ingressos","Drets reconeguts nets / Previsions definitives totals","%","103,8%","102,6%","101,3%","93,7%","95,5%","100,1%","91,1%","99,5%","106,4%","98,5%","98,5%","96,5%","97,9%",""
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució dels ingressos corrents","Drets reconeguts nets(capítols 1 a 5) / Previsions definitives (capítols 1 a 5)","%","106,6%","107,4%","111,1%","103,5%","101,5%","105,3%","104,2%","104,1%","109,4%","112,3%","109,4%","106,9%","101,7%",""
"EXECUCIÓ I MAGNITUD GLOBAL D'INGRESSOS I DESPESES","Execució dels ingressos de capital","Drets reconeguts (capítols 6 i 7) / Previsions definitives (capítols 6 i 7)","%","86,4%","86,4%","65,7%","63,8%","87,8%","82,6%","98,4%","92,4%","160,7%","140,8%","80,1%","212,0%","65,2%",""
