"Tipus_resum","Codi_resum","Concepte_resum","Crèdit_extraordinari","Suplements_crèdit","Ampliacions","Transferències_crèdit_+","Transferències_crèdit_"," Saldo_mini_transferències","Incorporació_romanents ","Generació_ingressos","Baixes_anul·lació","Ajustos_pròrroga"
"CAPÍTOLS",1,"Despeses de personal","0,00","0,00","0,00","103.307.145,32","92.079.240,03","0,00","217.874,99","0,00","0,00","0,00"
"CAPÍTOLS",2,"Despeses béns i serveis corrents","0,00","0,00","0,00","69.023.307,18","136.005.231,41","0,00","1.486.418,21","2.429.305,40","0,00","0,00"
"CAPÍTOLS",3,"Despeses financeres ","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"CAPÍTOLS",4,"Transferències corrents","0,00","0,00","0,00","318.848.718,98","232.068.835,95","0,00","6.842.401,48","22.498.276,65","0,00","0,00"
"CAPÍTOLS",5,"Fons de contingència","0,00","0,00","0,00","0,00","26.160.953,06","0,00","0,00","0,00","0,00","0,00"
"CAPÍTOLS",6,"Inversions reals","0,00","0,00","0,00","322.760.441,95","375.890.181,79","0,00","3.703.619,62","280.639,91","0,00","0,00"
"CAPÍTOLS",7,"Transferències de capital","0,00","0,00","0,00","65.634.400,64","17.369.571,83","0,00","240.577,29","300.000,00","0,00","0,00"
"CAPÍTOLS",8,"Actius financers","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"CAPÍTOLS",9,"Passius financers","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"POLÍTIQUES",13,"Seguretat i mobilitat ciutadana","0,00","0,00","0,00","99.852.038,56","78.085.778,78","1.112.631,94","12.775,25","136.802,17","0,00","0,00"
"POLÍTIQUES",15,"Habitatge i urbanisme","0,00","0,00","0,00","331.022.774,79","333.103.416,31","-1.499.188,40","2.392.536,02","1.785.466,06","0,00","0,00"
"POLÍTIQUES",16,"Benestar comunitari","0,00","0,00","0,00","6.593.283,92","5.673.865,09","944.651,76","0,00","0,00","0,00","0,00"
"POLÍTIQUES",17,"Medi ambient","0,00","0,00","0,00","16.094.723,35","16.422.604,11","-558.095,30","157.476,19","23.000,00","0,00","0,00"
"POLÍTIQUES",21,"Pensions","0,00","0,00","0,00","27.811,16","113.239,52","0,00","0,00","0,00","0,00","0,00"
"POLÍTIQUES",23,"Serveis socials i promoció social","0,00","0,00","0,00","89.185.377,96","83.571.216,16","0,00","5.331.788,43","5.109.782,87","0,00","0,00"
"POLÍTIQUES",31,"Salut","0,00","0,00","0,00","1.186.589,26","376.626,32","-1.024,47","0,00","0,00","0,00","0,00"
