"Tipus ens","Òrgan contractant","Número de contracte","Tipus de contracte","Objecte contracte","Preu inicial del contracte","Data formalització pròrroga","Preu de la pròrroga","Data inici pròrroga","Data final pròrroga","Número pròrroga"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","14002777-002"," Serveis ","NOVA CENTRAL PRODUCCIÓ FRED I CALOR 3 C.CONSISTORI","162787.75","NO CONSTA","34898.74","01/12/2019","30/06/2020","2A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","14004045-001"," Serveis ","PROJECTE EUROPEU SPEA","521801.35","NO CONSTA","83480.35","01/09/2019","31/12/2020","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","14004337-003"," Serveis ","coordinació en matèria de seguretat i salut","175711.95","NO CONSTA","12062.02","01/04/2019","13/05/2019","2A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16001416-002"," Serveis ","Servei de control d'accessos, consergeria i vigil","374325.60","NO CONSTA","103757.50","06/06/2019","31/12/2019","2A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16001416-003"," Serveis ","Servei de control d'accessos, consergeria i vigil","374325.60","NO CONSTA","17500.00","01/01/2020","31/01/2020","3A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16001802-003"," Subministraments ","SUPORT AUDIOVISUAL ACTES CIUTADANS MANTEN.EQUIPS","660000.00","NO CONSTA","220000.03","24/10/2019","30/06/2020","2A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16001920-004"," Serveis ","TRASLLAT ARXIUS I SERVEIS ASSISTÈNCIA ACTES CIUT.","657854.74","NO CONSTA","211809.29","24/10/2019","30/06/2020","2A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005236-001"," Serveis ","SERVEI DE  SUPORT LLIBRERIA SALA CIUTAT","126539.88","NO CONSTA","42180.00","28/02/2019","27/10/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005236-002"," Serveis ","SERVEI DE  SUPORT LLIBRERIA SALA CIUTAT","126539.88","NO CONSTA","42180.00","28/10/2019","27/06/2020","2A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005408"," Serveis ","SERVEI  MANTENIMENT GUIA BCN","73454.99","NO CONSTA","73454.99","03/05/2017","02/05/2018","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005829-002"," Serveis ","Producció multimèdia, audiovisuals i fotografies","1452000.00","NO CONSTA","1452000.00","02/05/2019","01/05/2021","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005229-002"," Serveis ","Lot 1: Veu fixa","4598981.00","NO CONSTA","1994885.32","01/01/2019","31/12/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16005229-004"," Serveis ","Lot 1: Veu fixa","4598981.00","NO CONSTA","2992500.00","01/01/2020","31/12/2020","2A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16006382-001"," Serveis ","Lot 2: telefonia mòbil","1845000.00","NO CONSTA","721093.79","01/01/2019","31/12/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16006382-002"," Serveis ","Lot 2: telefonia mòbil","1845000.00","NO CONSTA","945000.00","01/01/2020","31/12/2020","2A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16006383-001"," Serveis ","Lot 3: Serveis de Numeració Especial","820000.00","NO CONSTA","440695.83","01/01/2019","31/12/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16006383-003"," Serveis ","Lot 3: Serveis de Numeració Especial","820000.00","NO CONSTA","420000.00","01/01/2020","31/12/2020","2A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16006385-001"," Serveis ","Lot 4: Accés Internet centralitzat","317750.00","NO CONSTA","170887.50","01/01/2019","31/12/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16006385-002"," Serveis ","Lot 4: Accés Internet centralitzat","317750.00","NO CONSTA","162750.00","01/01/2020","31/12/2020","2A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16006386-001"," Serveis ","Lot 5: Accés a internet distribuit","533000.00","NO CONSTA","156435.51","01/01/2019","31/12/2019","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","16006386-002"," Serveis ","Lot 5: Accés a internet distribuit","533000.00","NO CONSTA","273000.00","01/01/2020","31/12/2020","2A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","17002430-002"," Subministraments ","Subministrament carburants centralitzats","2679830.00","NO CONSTA","741760.00","01/11/2019","31/10/2020","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","17002464-001"," Serveis ","Manteniment ascensors districtes i gerències","894542.38","NO CONSTA","447271.19","01/01/2020","31/12/2020","1A"
"AJUNTAMENT DE BARCELONA","Gerència de Recursos","17002791-004"," Serveis ","servei auxiliar d'atenció als usuaris Arxiu Cont.","129101.34","NO CONSTA","32275.32","28/11/2019","27/05/2020","1A"
