"Trimestre","Tipus ens","Nom ens","Procediment","Tipus de contracte","Nombre","Import"
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Oberts","Obres",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Oberts","Serveis",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Oberts","Subministraments",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Oberts","Gestió Serveis Públics/Concessions",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Oberts","Privats de l'Administració",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Oberts","Administratius especials",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Obres",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Serveis",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Subministraments",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Gestió Serveis Públics/Concessions",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Privats de l'Administració",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Administratius especials",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat abreujat","Obres",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat abreujat","Serveis",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat abreujat","Subministraments",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat abreujat","Gestió Serveis Públics/Concessions",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat abreujat","Privats de l'Administració",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat abreujat","Administratius especials",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Restringits","Obres",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Restringits","Serveis",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Restringits","Subministraments",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Restringits","Gestió Serveis Públics/Concessions",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Restringits","Privats de l'Administració",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Restringits","Administratius especials",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Licitacions amb negociació","Obres",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Licitacions amb negociació","Serveis",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Licitacions amb negociació","Subministraments",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Licitacions amb negociació","Gestió Serveis Públics/Concessions",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Licitacions amb negociació","Privats de l'Administració",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Licitacions amb negociació","Administratius especials",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Negociat sense publicitat","Obres",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Negociat sense publicitat","Serveis",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Negociat sense publicitat","Subministraments",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Negociat sense publicitat","Gestió Serveis Públics/Concessions",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Negociat sense publicitat","Privats de l'Administració",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Negociat sense publicitat","Administratius especials",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Basats en acord marc","Obres",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Basats en acord marc","Serveis",1.0,11000.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Basats en acord marc","Subministraments",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Basats en acord marc","Gestió Serveis Públics/Concessions",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Basats en acord marc","Privats de l'Administració",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Basats en acord marc","Administratius especials",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Menors","Obres",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Menors","Serveis",17.0,66339.14
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Menors","Subministraments",2.0,3300.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Menors","Gestió Serveis Públics/Concessions",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Menors","Privats de l'Administració",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Menors","Administratius especials",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Menors derivats autorització genèrica de despesa","Obres",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Menors derivats autorització genèrica de despesa","Serveis",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Menors derivats autorització genèrica de despesa","Subministraments",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Menors derivats autorització genèrica de despesa","Gestió Serveis Públics/Concessions",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Menors derivats autorització genèrica de despesa","Privats de l'Administració",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Menors derivats autorització genèrica de despesa","Administratius especials",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Concurs de Projectes","Obres",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Concurs de Projectes","Serveis",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Concurs de Projectes","Subministraments",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Concurs de Projectes","Gestió Serveis Públics/Concessions",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Concurs de Projectes","Privats de l'Administració",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Concurs de Projectes","Administratius especials",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Designació de Formadors","Obres",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Designació de Formadors","Serveis",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Designació de Formadors","Subministraments",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Designació de Formadors","Gestió Serveis Públics/Concessions",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Designació de Formadors","Privats de l'Administració",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Designació de Formadors","Administratius especials",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Tramitació d'Emergència","Obres",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Tramitació d'Emergència","Serveis",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Tramitació d'Emergència","Subministraments",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Tramitació d'Emergència","Gestió Serveis Públics/Concessions",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Tramitació d'Emergència","Privats de l'Administració",0.0,0.0
1,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Tramitació d'Emergència","Administratius especials",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Oberts","Obres",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Oberts","Serveis",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Oberts","Subministraments",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Oberts","Gestió Serveis Públics/Concessions",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Oberts","Privats de l'Administració",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Oberts","Administratius especials",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Obres",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Serveis",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Subministraments",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Gestió Serveis Públics/Concessions",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Privats de l'Administració",0.0,0.0
2,"CONSORCIS","CONSORCI AGÈNCIA LOCAL D'ECOLOGIA URBANA DE BARCELONA","Obert simplificat","Administratius especials",0.0,0.0
