"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Assistents","Nau Ivanow",164.0,"","",9,"Sant Andreu",61,"la Sagrera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.420017781,2.18984937
2019,"Assistents","Teatre Tantarantana",25599.0,"","",1,"Ciutat Vella",1,"el Raval","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.375938056,2.16736111
2019,"Assistents","Ateneu Popular 9 Barris",13640.0,"","",8,"Nou Barris",53,"la Trinitat Nova","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.448742312,2.180393289
2019,"Activitats de difusio dins dels centres","La Caldera",99.0,"","",4,"Les Corts",19,"les Corts","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.3841617,2.128650399999969
2019,"Assistents","Fabra i Coats - Fàbrica de Creació",119247.0,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Espais de creació","Fàbriques de Creació","Multidisciplinaris i altres",41.4335588,2.191379525
2019,"Assistents","La Central del Circ",1014.0,"","",10,"Sant Martí",70,"el Besòs i el Maresme","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.411256,2.22647
2019,"Assistents","La Escocesa",3165.0,"","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.411243983,2.203826943
2019,"Assistents","Graner",688.0,"","",3,"Sants-Montjuïc",13,"la Marina de Port","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.361492275,2.135956703
2019,"Activitats de difusio dins dels centres","Hangar","","Dades no disponibles","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.407975,2.1987919999999996
2019,"Assistents","Escenari Joan Brossa",19994.0,"","Fins al 2017 l'espai es va dir La Seca-Espai Brossa.",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.385217359,2.182361375
2019,"Assistents","Sala Beckett",47081.0,"","",10,"Sant Martí",68,"el Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.404734000000005,2.199518
2019,"Activitats de difusio dins dels centres","Teatre Tantarantana",59.0,"","",1,"Ciutat Vella",1,"el Raval","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.375938056,2.16736111
2019,"Assistents","La Caldera",9116.0,"","",4,"Les Corts",19,"les Corts","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.3841617,2.128650399999969
2019,"Activitats de difusio dins dels centres","Fabra i Coats - Fàbrica de Creació",72.0,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Espais de creació","Fàbriques de Creació","Multidisciplinaris i altres",41.4335588,2.191379525
2019,"Activitats de difusio dins dels centres","Ateneu Popular 9 Barris",46.0,"","",8,"Nou Barris",53,"la Trinitat Nova","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.448742312,2.180393289
2019,"Activitats de difusio dins dels centres","Nau Ivanow",3.0,"","",9,"Sant Andreu",61,"la Sagrera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.420017781,2.18984937
2019,"Activitats de difusio dins dels centres","Graner",13.0,"","",3,"Sants-Montjuïc",13,"la Marina de Port","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.361492275,2.135956703
2019,"Activitats de difusio dins dels centres","La Central del Circ",29.0,"","",10,"Sant Martí",70,"el Besòs i el Maresme","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.411256,2.22647
2019,"Assistents","Hangar","","Dades no disponibles","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.407975,2.1987919999999996
2019,"Activitats de difusio dins dels centres","Escenari Joan Brossa",44.0,"","Fins al 2017 l'espai es va dir La Seca-Espai Brossa.",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.385217359,2.182361375
2019,"Activitats de difusio dins dels centres","Sala Beckett",115.0,"","",10,"Sant Martí",68,"el Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.404734000000005,2.199518
