"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Nombre d'activitats de formació","Centre Cívic La Sedeta",489,"","",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.40554894,2.167665468
2019,"Nombre d'activitats de formació","Centre Cívic Can Castelló",62,"","",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.399005576,2.14016297
2019,"Inscripcions de les activitats de formacio","Centre Cívic Bon Pastor",663,"","",9,"Sant Andreu",59,"el Bon Pastor","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.434780210999996,2.2049117959999998
2019,"Inscripcions de les activitats de formacio","Centre Cívic Casa Orlandai",1555,"","",5,"Sarrià-Sant Gervasi",23,"Sarrià","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.398330273,2.124656447
2019,"Nombre d'activitats de formació","Centre Cívic l'Elèctric",30,"","",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.41913796,2.097871834
2019,"Nombre d'activitats de formació","Centre Cívic La Cadena",113,"","",3,"Sants-Montjuïc",13,"la Marina de Port","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288000004,2.139067245
2019,"Inscripcions de les activitats de formacio","Centre Cívic Convent de Sant Agustí",1804,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.387391384000004,2.181711349
2019,"Nombre d'activitats de formació","Centre Cívic Sant Andreu",96,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888000004,2.189400581
2019,"Nombre d'activitats de formació","Centre Cívic Can Verdaguer",221,"","",8,"Nou Barris",45,"Porta","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.1790802780000003
2019,"Nombre d'activitats de formació","Centre Cívic Pati Llimona",314,"","",1,"Ciutat Vella",2,"el Barri Gòtic","Municipal","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281
