"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Nombre d'activitats de formació per a professionals","Sala Beckett",65.0,"","",10,"Sant Martí",68,"el Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.404734000000005,2.199518
2019,"Nombre d'activitats de formació per a professionals","La Central del Circ",6.0,"","",10,"Sant Martí",70,"el Besòs i el Maresme","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.411256,2.22647
2019,"Nombre d'activitats de formació per a professionals","Escenari Joan Brossa",0.0,"","Fins al 2017 l'espai es va dir La Seca-Espai Brossa.",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.385217359,2.182361375
2019,"Nombre d'activitats de formació per a professionals","La Caldera",8.0,"","",4,"Les Corts",19,"les Corts","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.3841617,2.128650399999969
2019,"Alumnes de formació per a professionals","La Escocesa",190.0,"","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.411243983,2.203826943
2019,"Alumnes de formació per a professionals","Ateneu Popular 9 Barris",183.0,"","",8,"Nou Barris",53,"la Trinitat Nova","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.448742312,2.180393289
2019,"Alumnes de formació per a professionals","Graner",118.0,"","",3,"Sants-Montjuïc",13,"la Marina de Port","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.361492275,2.135956703
2019,"Nombre d'activitats de formació per a professionals","Fabra i Coats - Fàbrica de Creació",22.0,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Espais de creació","Fàbriques de Creació","Multidisciplinaris i altres",41.4335588,2.191379525
2019,"Alumnes de formació per a professionals","Teatre Tantarantana",9.0,"","",1,"Ciutat Vella",1,"el Raval","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.375938056,2.16736111
2019,"Nombre d'activitats de formació per a professionals","Nau Ivanow",29.0,"","",9,"Sant Andreu",61,"la Sagrera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.420017781,2.18984937
2019,"Alumnes de formació per a professionals","Escenari Joan Brossa",0.0,"","Fins al 2017 l'espai es va dir La Seca-Espai Brossa.",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.385217359,2.182361375
2019,"Nombre d'activitats de formació per a professionals","La Escocesa",13.0,"","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.411243983,2.203826943
2019,"Alumnes de formació per a professionals","Hangar","","Dades no disponibles","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.407975,2.1987919999999996
2019,"Alumnes de formació per a professionals","Fabra i Coats - Fàbrica de Creació",1024.0,"","",9,"Sant Andreu",60,"Sant Andreu","Municipal","Espais de creació","Fàbriques de Creació","Multidisciplinaris i altres",41.4335588,2.191379525
2019,"Nombre d'activitats de formació per a professionals","Teatre Tantarantana",1.0,"","",1,"Ciutat Vella",1,"el Raval","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.375938056,2.16736111
2019,"Alumnes de formació per a professionals","Sala Beckett",975.0,"","",10,"Sant Martí",68,"el Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.404734000000005,2.199518
2019,"Alumnes de formació per a professionals","Nau Ivanow",280.0,"","",9,"Sant Andreu",61,"la Sagrera","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.420017781,2.18984937
2019,"Alumnes de formació per a professionals","La Central del Circ",206.0,"","",10,"Sant Martí",70,"el Besòs i el Maresme","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.411256,2.22647
2019,"Alumnes de formació per a professionals","La Caldera",2048.0,"","",4,"Les Corts",19,"les Corts","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.3841617,2.128650399999969
2019,"Nombre d'activitats de formació per a professionals","Ateneu Popular 9 Barris",16.0,"","",8,"Nou Barris",53,"la Trinitat Nova","Municipal","Espais de creació","Fàbriques de Creació","Arts escèniques",41.448742312,2.180393289
2019,"Nombre d'activitats de formació per a professionals","Hangar","","Dades no disponibles","",10,"Sant Martí",71,"Provençals del Poblenou","Municipal","Espais de creació","Fàbriques de Creació","Arts visuals",41.407975,2.1987919999999996
