"Any","Codi_Districte","Nom_Districte","Codi_Barri","Desc_Barri","Tipus_vehicle","Nombre"
2018,1,"Ciutat Vella",1,"el Raval","Turismes",211.0
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Turismes",125.0
2018,1,"Ciutat Vella",3,"la Barceloneta","Turismes",153.0
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Turismes",162.0
2018,2,"Eixample",5,"el Fort Pienc","Turismes",587.0
2018,2,"Eixample",6,"la Sagrada Família","Turismes",770.0
2018,2,"Eixample",7,"la Dreta de l'Eixample","Turismes",1100.0
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Turismes",760.0
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Turismes",1043.0
2018,2,"Eixample",10,"Sant Antoni","Turismes",503.0
2018,3,"Sants-Montjuïc",11,"el Poble Sec - AEI Parc Montjuïc","Turismes",337.0
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermelll - AEI Zona Franca","Turismes",1153.0
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Turismes",628.0
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Turismes",155.0
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Turismes",206.0
2018,3,"Sants-Montjuïc",16,"la Bordeta","Turismes",303.0
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Turismes",365.0
2018,3,"Sants-Montjuïc",18,"Sants","Turismes",528.0
2018,4,"Les Corts",19,"les Corts","Turismes",1203.0
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Turismes",409.0
2018,4,"Les Corts",21,"Pedralbes","Turismes",377.0
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Turismes",107.0
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Turismes",587.0
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Turismes",416.0
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Turismes",594.0
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Turismes",1187.0
