"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL","Unnamed: 32"
99400071223,"Contenidor de Sal *Torrent Roses - Ardena","#","C","Torrent de les Roses",1,1,21,"Pedralbes",4,"Les Corts",8034,19,"BARCELONA",41.388938,2.1055349999999997,425217.711,4582320.257,425309.595,4582521.193,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076522,"Contenidor de Sal *Avinguda Pearson - Panamá","#","C","Panamà",27,27,21,"Pedralbes",4,"Les Corts",8034,19,"BARCELONA",41.394737,2.105274,425202.479,4582964.368,425294.36299999995,4583165.308999999,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076539,"Contenidor de Sal *Enginyeria - August Font","#","C","August Font",45,45,25,"Sant Gervasi - la Bonanova",5,"Sarrià-Sant Gervasi",8035,19,"BARCELONA",41.418308,2.131654,427434.06200000003,4585558.709,427525.966,4585759.675,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076566,"Contenidor de Sal *Parc Central de Nou Barris","#","C","Vilalba dels Arcs",100,100,48,"la Guineueta",8,"Nou Barris",8042,19,"BARCELONA",41.437868,2.165954,430321.424,4587702.1110000005,430413.354,4587903.098,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076573,"Contenidor de Sal *Ctra Aigües - Av Vallvidriera (Pont Vianants)","#","Camí","Carlet",2,2,23,"Sarrià",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.406704,2.1054169999999996,425228.196,4584292.791,425320.08,4584493.745,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076574,"Contenidor de Sal * Font Mont - Ptge Font del Mont (Escala)","#","C","Font del Mont",19,19,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.413548999999996,2.111941,425781.244,4585047.034,425873.133,4585247.995,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076575,"Contenidor de Sal *Font del Mont - Escales Passatge Font del Mont","#","C","Font del Mont",50,50,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.414288,2.112678,425843.717,4585128.518,425935.606,4585329.48,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076576,"Contenidor de Sal *Colònia Tibidabo - Camí Vallvidrera al Tibidabo","#","C","Colònia del Tibidabo",1,1,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8035,19,"BARCELONA",41.420922999999995,2.119079,426386.14700000006,4585859.619,426478.041,4586060.588,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076578,"Contenidor de Sal *Camí de Cal Totxo - Camí de Sant Cugat","#","Camí","Sant Cugat",27,27,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8035,19,"BARCELONA",41.42212,2.116271,426152.881,4585994.923,426244.773,4586195.893,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076748,"Contenidor de Sal *Espinagosa - Fonolleda","#","C","Fonolleda",8,8,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.41237,2.101105,424874.32700000005,4584925.522,424966.20700000005,4585126.482,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076750,"Contenidor de Sal *Passatge del Negociant - Casetes","#","Ptge","Negociant",2,2,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.412382,2.103213,425050.518,4584925.077,425142.4,4585126.037,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076851,"Contenidor de Sal *Ginestera - Camí del Molí","#","C","Ginestera",21,21,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.411516999999996,2.100503,424822.995,4584831.353,424914.875,4585032.312,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076877,"Contenidor de Sal *Camí Mas Sauró - Passatge Mas Sauró","#","Camí","Mas Sauró",33,33,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.415527000000004,2.095068,424373.41799999995,4585281.304,424465.294,4585482.267,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076878,"Contenidor de Sal *Mas Sauró - Camí de Pebràs - Rotonda Gir Bus","#","Camí","Mas Sauró",1,1,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.415581,2.092557,424163.65,4585289.461,424255.524,4585490.424,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076881,"Contenidor de Sal *Camí Mas Sauró (Escales Ciureny)","#","Camí","Mas Sauró",53,53,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.417553999999996,2.096323,424480.646,4585505.235,424572.523,4585706.2,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076882,"Contenidor de Sal *Torrent del Rovelló - Camí del Pantà","#","T","Rovelló",1,1,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.419183000000004,2.0967540000000002,424518.518,4585685.634,424610.395,4585886.6,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076884,"Contenidor de Sal *Torrent Rovelló - Camí de la Font dels Pins","#","T","Rovelló",17,17,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.418439,2.094831,424357.01200000005,4585604.808999999,424448.88700000005,4585805.775,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076889,"Contenidor de Sal *Major Rectoret - Escola Vil·la Joana","#","C","Major del Rectoret",15,15,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.421686,2.095713,424434.441,4585964.451,424526.31700000004,4586165.42,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076890,"Contenidor de Sal *Avinguda del Rectoret - Tren","#","Av","Rectoret",26,26,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.428323999999996,2.092032,424134.61,4586704.608,424226.48299999995,4586905.584,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076893,"Contenidor de Sal *Amarant - Bohemis","#","C","Bohemis",51,51,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.425525,2.097474,424586.075,4586389.109,424677.95200000005,4586590.0819999995,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076894,"Contenidor de Sal *Savina - Gardènia - Codonyer","#","C","Savina",21,21,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.425575,2.098621,424681.95399999997,4586393.652,424773.83200000005,4586594.625,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076950,"Contenidor de Sal *Menta - Robínia","#","C","Robínia",18,18,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.42622,2.101627,424933.89700000006,4586462.635,425025.778,4586663.609,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076955,"Contenidor de Sal *Plaça Televisió","#","C","Robínia",30,30,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.427071999999995,2.102391,424998.703,4586556.643999999,425090.584,4586757.619,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076956,"Contenidor de Sal *Menta - Lilà","#","C","Menta",46,46,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.429511,2.100884,424875.559,4586828.703,424967.439,4587029.68,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076957,"Contenidor de Sal *Via Làctia - Robínia","#","C","Robínia",47,47,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.428897,2.101916,424961.14,4586759.578,425053.021,4586960.555,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076960,"Contenidor de Sal *Plaça Tulipa","#","Pl","Tulipa",1,1,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.427819,2.096638,424518.823,4586644.558999999,424610.7,4586845.534,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076962,"Contenidor de Sal *Major de Rectoret - Costa Bruc","#","C","Major del Rectoret",168,168,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.431043,2.095728,424446.51399999997,4587003.274,424538.39,4587204.2530000005,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076963,"Contenidor de Sal *Baladre - Malva - Costa del Bruc","#","Pl","Teix",0,0,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.429153,2.0939799999999997,424298.334,4586794.919,424390.209,4586995.896000001,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076964,"Contenidor de Sal *Ctra Aigües - Camí de la Gírgola","#","Camí","Gírgola",1,1,23,"Sarrià",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.407327,2.104984,425192.685,4584362.287,425284.56899999996,4584563.241,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076965,"Contenidor de Sal *Camí Mas Guimbau - Can Castellví","#","C","Can Castellví",34,34,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.424428999999996,2.0841529999999997,423471.672,4586279.115,423563.539,4586480.087,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076966,"Contenidor de Sal *Camí dels Verns - Camí Pla Llorenç - Girada Gespa","#","Camí","Verns",17,17,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.426511,2.088124,423805.888,4586506.797,423897.758,4586707.771000001,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076967,"Contenidor de Sal *Camí de Mas Guimbau - Gespa","#","C","Gespa",39,39,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.424439,2.090575,424008.345,4586274.59,424100.217,4586475.562,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076968,"Contenidor de Sal *Passeig Vimetera - Passeig Pi Forcat","#","Pg","Vimetera",48,48,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.423062,2.0879779999999997,423789.709,4586124.008,423881.57899999997,4586324.978,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076969,"Contenidor de Sal *Passeig Grèvol - Camí Can Castellví","#","Pg","Grèvol",1,1,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.421214,2.0855639999999998,423585.78,4585920.933,423677.648,4586121.901000001,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
99400076970,"Contenidor de Sal *Passeig Grèvol","#","Pg","Grèvol",14,14,22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,19,"BARCELONA",41.421718,2.086809,423690.44200000004,4585975.83,423782.311,4586176.799,"","","","","","","","","","Contenidors de sal","Medi ambient","Medi ambient",""
