"Any","Ambit","Titularitat","Tipus","Edicio","NomDelFestival","DataInici","DataFi","Assistents","Nota"
2018,"Música","Municipal","Festivals",16.0,"(In)fusión Flamenca. Cicle de Flamenc al Besòs","9/11/2018","30/11/2018","",""
2018,"Arts visuals","Privada","Festivals",9.0,"48H Open House BCN","27/10/2018","28/10/2018",60191.0,""
2018,"Arts escèniques","Privada","Festivals",2.0,"Africa Moment","24/5/2018","2/6/2018","",""
2018,"Audiovisuals","Privada","Festivals",5.0,"Americana Film Fest","6/3/2018","11/3/2018",7000.0,""
2018,"Música","Privada","Festivals",7.0,"AMFest","12/10/2018","14/10/2018",3500.0,""
2018,"Audiovisuals","Privada","Festivals",13.0,"Animayo","16/2/2018","17/2/2018",2623.0,""
2018,"Audiovisuals","Privada","Festivals",4.0,"Arqu [in] FILM","18/5/2018","20/5/2018",450.0,""
2018,"Arts visuals","Privada","Festivals",5.0,"Art Photo BCN","4/5/2018","6/5/2018",1687.0,""
2018,"Lletres","Privada","Fires",9.0,"Arts Libris. Fira internacional del llibre i edicions d'art, fotografia i disseny de Barcelona","21/4/2018","23/4/2018",8500.0,""
2018,"Audiovisuals","Privada","Festivals",6.0,"Asian Film Festival","31/10/2018","11/11/2018",6080.0,""
2018,"Audiovisuals","Privada","Festivals",4.0,"B-Anime Film Festival","15/11/2018","18/11/2018","","Última edició any 2018."
2018,"Música","Privada","Festivals",6.0,"Bachcelona","19/7/2018","24/7/2018","",""
2018,"Música","Municipal","Festivals",26.0,"BAM. Barcelona Acció Musical","21/9/2018","24/9/2018",79438.0,""
2018,"Música","Privada","Festivals",20.0,"Banc Sabadell Festival del Mil·lenni  (desembre)","4/10/2018","31/12/2018","",""
2018,"Música","Privada","Festivals",19.0,"Banc Sabadell Festival del Mil·lenni (gener-maig)","1/1/2018","12/5/2018","",""
2018,"Música","Privada","Festivals",5.0,"Barcelona Beach Festival","14/7/2018","14/7/2018","",""
2018,"Arts visuals","Municipal","Festivals",9.0,"Barcelona Dibuixa","28/10/2018","28/10/2018",12764.0,""
2018,"Multidisciplinaris i altres","Municipal","Festivals",3.0,"Barcelona Districte Cultural (primavera)","1/2/2018","28/4/2018",17071.0,""
2018,"Multidisciplinaris i altres","Municipal","Festivals",4.0,"Barcelona Districte Cultural (tardor)","5/10/2018","31/12/2018",15843.0,""
2018,"Música","Privada","Festivals",14.0,"Barcelona Festival of Song","26/6/2018","3/7/2018",950.0,""
2018,"Arts visuals","Privada","Festivals",4.0,"Barcelona Gallery Weekend","26/9/2018","30/9/2018",20000.0,""
2018,"Lletres","Municipal","Festivals",6.0,"Barcelona Novel·la Històrica","5/11/2018","22/11/2018",1956.0,""
2018,"Lletres","Municipal","Festivals",21.0,"Barcelona Poesia","10/5/2018","16/5/2018",7558.0,""
2018,"Música","Privada","Festivals",23.0,"BarnaSants","1/1/2018","31/12/2018",6452.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",7.0,"BAUM Festival","5/10/2018","7/10/2018",18000.0,""
2018,"Arts visuals","Privada","Festivals",13.0,"BCN Design Week","5/6/2018","14/6/2018",43000.0,""
2018,"Audiovisuals","Municipal","Festivals",9.0,"BCN Sports Film","2/5/2018","6/5/2018",2110.0,""
2018,"Lletres","Municipal","Festivals",13.0,"BCNegra. Trobada de Novel·la Negra de Barcelona","15/1/2018","7/2/2018",8402.0,""
2018,"Música","Privada","Festivals",5.0,"Be Prog! My friend","29/6/2018","30/6/2018","","Última edició any 2018."
2018,"Audiovisuals","Consorci o fundació amb presència municipal","Festivals",4.0,"Bibliocurts","19/11/2018","29/11/2018",438.0,""
2018,"Música","Privada","Festivals",10.0,"Bis. Barcelona Indipendent Sessions","9/6/2018","9/6/2018",230.0,""
2018,"Audiovisuals","Privada","Festivals",1.0,"Brain Film Fest","15/3/2018","18/3/2018",1960.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",7.0,"Brunch-in the City, Brunch-in the Park","11/3/2018","14/10/2018",135000.0,""
2018,"Multidisciplinaris i altres","Privada","Festivals",3.0,"Busker Rai, Festival Mediterrani d'artistes al carrer","26/7/2018","28/7/2018",5230.0,""
2018,"Música","Municipal","Festivals",3.0,"Caliu, cicle de música d'hivern","13/1/2018","1/3/2018",293.0,""
2018,"Audiovisuals","Privada","Festivals",6.0,"Choreoscope Festival Internacional de Cinema de Dansa de Barcelona","9/10/2018","14/10/2018",1500.0,""
2018,"Audiovisuals","Privada","Festivals",2.0,"Cinema Lliure a la Biblioteca","16/1/2018","7/11/2018",404.0,""
2018,"Audiovisuals","Privada","Festivals",7.0,"Cinema Lliure a la Platja","28/6/2018","2/8/2018",10000.0,""
2018,"Audiovisuals","Privada","Festivals",5.0,"CineMigrante","2/10/2018","7/10/2018",2438.0,""
2018,"Arts escèniques","Municipal","Festivals",19.0,"Circorts","5/10/2018","7/10/2018","",""
2018,"Música","Privada","Festivals",25.0,"Ciutat Flamenco","17/5/2018","27/5/2018",2758.0,""
2018,"Multidisciplinaris i altres","Municipal","Festivals",1.0,"Ciutat Oberta Biennal de pensament","15/10/2018","21/10/2018",21964.0,"Festival biennal."
2018,"Lletres","Privada","Festivals",10.0,"Como Pedro por mi casa","4/7/2018","7/7/2018","","Última edició any 2018."
2018,"Música","Privada","Festivals",7.0,"Connexions","18/10/2018","28/10/2018",2115.0,"Última edició any 2018."
2018,"Audiovisuals","Privada","Festivals",2.0,"Craft Film Festival Barcelona","6/4/2018","8/4/2018",200.0,""
2018,"Música","Privada","Festivals",9.0,"Cruïlla BCN","12/7/2018","14/7/2018",57000.0,""
2018,"Audiovisuals","Privada","Festivals",8.0,"D'A Film Festival Barcelona","26/4/2018","6/5/2018",20208.0,""
2018,"Arts escèniques","Privada","Festivals",8.0,"Dansa Ara","7/11/2018","28/11/2018",419.0,""
2018,"Arts escèniques","Municipal","Festivals",1.0,"Dansa. Quinzena Metropolitana","1/3/2018","18/3/2018",12685.0,""
2018,"Arts visuals","Privada","Festivals",2.0,"DART- Festival de Cinema Documental ","29/11/2018","2/12/2018",3047.0,""
2018,"Multidisciplinaris i altres","Municipal","Festivals",7.0,"DAU Barcelona","23/11/2018","25/11/2018",26500.0,""
