"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Assistents_Activitats","Biblioteca Barceloneta - La Fraternitat",1107,"","",1,"Ciutat Vella",3,"la Barceloneta","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.379201005,2.188854072
2019,"Assistents_Activitats","Biblioteca Francesca Bonnemaison",3537,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.386936575,2.175789976
2019,"Assistents_Activitats","Biblioteca Gòtic - Andreu Nin",1637,"","",1,"Ciutat Vella",2,"el Barri Gòtic","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.378730324,2.175978504
2019,"Assistents_Activitats","Biblioteca Sant Pau i Santa Creu",535,"","",1,"Ciutat Vella",1,"el Raval","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.381057326,2.1697938569999997
2019,"Assistents_Activitats","Biblioteca Esquerra de l'Eixample-Agustí Centelles",4024,"","",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.3864488,2.1527896
2019,"Assistents_Activitats","Biblioteca Fort Pienc",1234,"","",2,"Eixample",5,"el Fort Pienc","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.395555185,2.182447586
2019,"Assistents_Activitats","Biblioteca Joan Miró",1172,"","",2,"Eixample",9,"la Nova Esquerra de l'Eixample","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.378816801,2.149230361
2019,"Assistents_Activitats","Biblioteca Sagrada Família",2739,"","",2,"Eixample",6,"la Sagrada Família","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.4055771,2.176118
2019,"Assistents_Activitats","Biblioteca Sant Antoni - Joan Oliver",1026,"","",2,"Eixample",10,"Sant Antoni","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.377384776,2.162778079
2019,"Assistents_Activitats","Biblioteca Sofia Barat",1132,"","",2,"Eixample",7,"la Dreta de Eixample","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.394674294,2.17150448
2019,"Assistents_Activitats","Biblioteca Francesc Candel",1489,"","",3,"Sants-Montjuïc",13,"la Marina de Port","Consorci o fundació amb presència municipal","Biblioteques de Barcelona","Biblioteques","Lletres",41.361777511999996,2.136276613
