"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"UsuarisSalesDeConsulta","Arxiu Fotogràfic de Barcelona",1210,"","","01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","Municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.38687264,2.181806284
2019,"UsuarisSalesDeConsulta","Arxiu Històric de la Ciutat de Barcelona",4959,"","","01","Ciutat Vella","02","el Barri Gòtic","Municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.384253791999996,2.175866873
2019,"ConsultesPresencialsSalesDeConsulta","Arxiu Històric de la Ciutat de Barcelona",16139,"","","01","Ciutat Vella","02","el Barri Gòtic","Municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.384253791999996,2.175866873
2019,"UsuarisSalesDeConsulta","Arxiu Històric de Protocols de Barcelona",2498,"","","01","Ciutat Vella","01","el Raval","Privada","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.383069865,2.169125012
2019,"ConsultesPresencialsSalesDeConsulta","Arxiu Històric de Protocols de Barcelona",14517,"","","01","Ciutat Vella","01","el Raval","Privada","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.383069865,2.169125012
2019,"UsuarisSalesDeConsulta","Arxiu Històric Hospital de la Sta. Creu i Sant Pau",193,"","","07","Horta-Guinardó","35","el Guinardó","Privada","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.413340999999996,2.1743349999999997
2019,"ConsultesPresencialsSalesDeConsulta","Arxiu Històric Hospital de la Sta. Creu i Sant Pau",2897,"","","07","Horta-Guinardó","35","el Guinardó","Privada","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.413340999999996,2.1743349999999997
2019,"UsuarisSalesDeConsulta","Arxiu Municipal Contemporani de Barcelona",32285,"","","01","Ciutat Vella","02","el Barri Gòtic","Municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.383087425999996,2.178749468
2019,"ConsultesPresencialsSalesDeConsulta","Arxiu Municipal Contemporani de Barcelona",63770,"","","01","Ciutat Vella","02","el Barri Gòtic","Municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.383087425999996,2.178749468
2019,"UsuarisSalesDeConsulta","Arxius Municipals de Districte de Barcelona. AMDB",12125,"","","DD","Diversos districtes","DB","Diversos barris","Municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria","",""
2019,"ConsultesPresencialsSalesDeConsulta","Arxius Municipals de Districte de Barcelona. AMDB",29862,"","","DD","Diversos districtes","DB","Diversos barris","Municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria","",""
2019,"UsuarisSalesDeConsulta","Biblioteca de Catalunya",66160,"","","01","Ciutat Vella","01","el Raval","Pública no municipal","Arxius i biblioteques patrimonials","Biblioteques","Lletres",41.381057325,2.169793714
2019,"ConsultesPresencialsSalesDeConsulta","Biblioteca de Catalunya",75715,"","","01","Ciutat Vella","01","el Raval","Pública no municipal","Arxius i biblioteques patrimonials","Biblioteques","Lletres",41.381057325,2.169793714
2019,"UsuarisSalesDeConsulta","Biblioteca de l'Ateneu Barcelonès",112391,"","","01","Ciutat Vella","02","el Barri Gòtic","Privada","Arxius i biblioteques patrimonials","Biblioteques","Història i memòria",41.38464874,2.171646773
2019,"UsuarisSalesDeConsulta","Biblioteca Pública Arús",7599,"","","02","Eixample","05","el Fort Pienc","Municipal","Arxius i biblioteques patrimonials","Biblioteques","Història i memòria",41.392937251999996,2.17856357
2019,"ConsultesPresencialsSalesDeConsulta","Biblioteca Pública Arús",2394,"","","02","Eixample","05","el Fort Pienc","Municipal","Arxius i biblioteques patrimonials","Biblioteques","Història i memòria",41.392937251999996,2.17856357
2019,"UsuarisSalesDeConsulta","Centre de Doc. i Museu de les Arts Escèniques",7285,"","","03","Sants-Montjuïc","11","el Poble-sec","Pública no municipal","Arxius i biblioteques patrimonials","Biblioteques","Lletres",41.370647908,2.1574313330000003
