"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Nre Activitats","Casal Catòlic de Sant Andreu",43.0,"","",9,"Sant Andreu",60,"Sant Andreu","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4355276,2.1864693999999645
2019,"Associats","Societat Coral l'Espiga de Les Corts",322.0,"","",4,"Les Corts",19,"les Corts","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.3879959,2.1332087000000683
2019,"Metres quadrats","Foment Hortenc",950.0,"","",7,"Horta-Guinardó",43,"Horta","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.430973200000004,2.1594603999999435
2019,"Metres quadrats","Societat Cultural i Esportiva La Lira",1123.0,"","",9,"Sant Andreu",60,"Sant Andreu","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.433065899999995,2.1886806999999635
2019,"Nre Activitats","Centre Cultural Els Propis",42.0,"","",8,"Nou Barris",51,"Verdum","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.445237799999994,2.1789977
2019,"Metres quadrats","Lluïsos d'Horta",1163.0,"","",7,"Horta-Guinardó",43,"Horta","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.432317,2.1602766999999403
2019,"Associats","Foment Martinenc",797.0,"","",10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4104593,2.182719499999962
2019,"Metres quadrats","Centre Comarcal Lleidatà",684.84,"Les dades d'aquest centre s'han incorporat el 2019.","",2,"Eixample",7,"la Dreta de Eixample","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.386374700000005,2.1646697
2019,"Associats","Orfeó Martinenc",484.0,"","",10,"Sant Martí",65,"el Clot","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4070588,2.1865715000000137
2019,"Associats","Lluïsos de Gràcia",1291.0,"","",6,"Gràcia",31,"la Vila de Gràcia","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4072721,2.1556355000000167
2019,"Associats","Centre Moral i Cultural del Poblenou",919.0,"","",10,"Sant Martí",68,"el Poblenou","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.401115000000004,2.200169800000026
2019,"Associats","Centre Sant Pere Apòstol",400.0,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.38812720000001,2.1762837999999647
2019,"Associats","Centre Cultural Sant Vicenç de Sarrià",483.0,"","",5,"Sarrià-Sant Gervasi",23,"Sarrià","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.400585,2.1207044000000224
2019,"Metres quadrats","Agrupació Congrés",452.0,"","",9,"Sant Andreu",62,"el Congrés i els Indians","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.424768,2.18045
2019,"Metres quadrats","Reial Cercle Artístic",3210.0,"","",1,"Ciutat Vella",2,"el Barri Gòtic","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.3846867,2.174380000000042
2019,"Metres quadrats","Centre Moral i Instructiu de Gràcia",1376.0,"","",6,"Gràcia",31,"la Vila de Gràcia","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.40108370000001,2.15471320000006
2019,"Associats","Ateneu Hortenc",170.0,"","",7,"Horta-Guinardó",43,"Horta","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.430135899999996,2.1602420000000397
2019,"Nre Activitats","Cercle Catòlic de Gràcia",63.0,"","",6,"Gràcia",31,"la Vila de Gràcia","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.403731799999996,2.152953000000025
2019,"Metres quadrats","Ateneu Barcelonès",6000.0,"","",1,"Ciutat Vella",2,"el Barri Gòtic","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.3846753,2.1717826000000287
2019,"Associats","Casino l'Aliança del Poblenou",496.0,"","",10,"Sant Martí",68,"el Poblenou","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.399793200000005,2.203171999999995
2019,"Associats","Casal Catòlic de Sant Andreu",390.0,"","",9,"Sant Andreu",60,"Sant Andreu","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4355276,2.1864693999999645
2019,"Metres quadrats","Ateneu del Clot",1200.0,"","",10,"Sant Martí",65,"el Clot","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.421875299999996,2.178068899999971
2019,"Nre Activitats","Centre Catòlic de Sants",15.0,"","",3,"Sants-Montjuïc",18,"Sants","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.374383200000004,2.1348557999999684
2019,"Associats","Centre Cultural Els Propis",360.0,"","",8,"Nou Barris",51,"Verdum","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.445237799999994,2.1789977
2019,"Nre Activitats","Lluïsos d'Horta",60.0,"","",7,"Horta-Guinardó",43,"Horta","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.432317,2.1602766999999403
2019,"Metres quadrats","Orfeó Martinenc",1500.0,"","",10,"Sant Martí",65,"el Clot","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4070588,2.1865715000000137
2019,"Nre Activitats","Centre Cultural els Catalanistes",14.0,"","",9,"Sant Andreu",60,"Sant Andreu","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.432009,2.1913912
2019,"Nre Activitats","Lluïsos de Gràcia",30.0,"","",6,"Gràcia",31,"la Vila de Gràcia","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4072721,2.1556355000000167
2019,"Nre Activitats","Centre Moral i Cultural del Poblenou",45.0,"","",10,"Sant Martí",68,"el Poblenou","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.401115000000004,2.200169800000026
2019,"Metres quadrats","Societat Coral l'Espiga de Les Corts",250.0,"","",4,"Les Corts",19,"les Corts","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.3879959,2.1332087000000683
2019,"Associats","Ateneu del Clot",216.0,"","",10,"Sant Martí",65,"el Clot","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.421875299999996,2.178068899999971
2019,"Metres quadrats","Centre Sant Pere Apòstol",2500.0,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.38812720000001,2.1762837999999647
2019,"Nre Activitats","Agrupació Congrés",18.0,"","",9,"Sant Andreu",62,"el Congrés i els Indians","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.424768,2.18045
2019,"Nre Activitats","Reial Cercle Artístic",18.0,"","",1,"Ciutat Vella",2,"el Barri Gòtic","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.3846867,2.174380000000042
2019,"Nre Activitats","Foment Hortenc",19.0,"","",7,"Horta-Guinardó",43,"Horta","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.430973200000004,2.1594603999999435
2019,"Nre Activitats","Centre Moral i Instructiu de Gràcia",24.0,"","",6,"Gràcia",31,"la Vila de Gràcia","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.40108370000001,2.15471320000006
2019,"Nre Activitats","Societat Cultural i Esportiva La Lira",51.0,"","",9,"Sant Andreu",60,"Sant Andreu","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.433065899999995,2.1886806999999635
2019,"Metres quadrats","Ateneu Hortenc",400.0,"","",7,"Horta-Guinardó",43,"Horta","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.430135899999996,2.1602420000000397
2019,"Associats","Cercle Catòlic de Gràcia",689.0,"","",6,"Gràcia",31,"la Vila de Gràcia","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.403731799999996,2.152953000000025
2019,"Nre Activitats","Ateneu Barcelonès",294.0,"","",1,"Ciutat Vella",2,"el Barri Gòtic","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.3846753,2.1717826000000287
2019,"Metres quadrats","Casino l'Aliança del Poblenou",4906.0,"","",10,"Sant Martí",68,"el Poblenou","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.399793200000005,2.203171999999995
2019,"Nre Activitats","Foment Martinenc",25.0,"","",10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4104593,2.182719499999962
2019,"Nre Activitats","Centre Comarcal Lleidatà",35.0,"Les dades d'aquest centre s'han incorporat el 2019.","",2,"Eixample",7,"la Dreta de Eixample","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.386374700000005,2.1646697
2019,"Metres quadrats","Casal Catòlic de Sant Andreu",2000.0,"","",9,"Sant Andreu",60,"Sant Andreu","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4355276,2.1864693999999645
2019,"Nre Activitats","Ateneu del Clot",53.0,"","",10,"Sant Martí",65,"el Clot","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.421875299999996,2.178068899999971
2019,"Associats","Centre Catòlic de Sants",330.0,"","",3,"Sants-Montjuïc",18,"Sants","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.374383200000004,2.1348557999999684
2019,"Nre Activitats","Centre Cultural Sant Vicenç de Sarrià",87.0,"","",5,"Sarrià-Sant Gervasi",23,"Sarrià","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.400585,2.1207044000000224
2019,"Metres quadrats","Centre Cultural Els Propis",525.0,"","",8,"Nou Barris",51,"Verdum","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.445237799999994,2.1789977
2019,"Nre Activitats","Orfeó Martinenc",74.0,"","",10,"Sant Martí",65,"el Clot","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4070588,2.1865715000000137
2019,"Associats","Centre Cultural els Catalanistes",136.0,"","",9,"Sant Andreu",60,"Sant Andreu","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.432009,2.1913912
2019,"Nre Activitats","Societat Coral l'Espiga de Les Corts",36.0,"","",4,"Les Corts",19,"les Corts","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.3879959,2.1332087000000683
2019,"Associats","Reial Cercle Artístic",450.0,"","",1,"Ciutat Vella",2,"el Barri Gòtic","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.3846867,2.174380000000042
2019,"Nre Activitats","Centre Sant Pere Apòstol",25.0,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.38812720000001,2.1762837999999647
2019,"Associats","Agrupació Congrés",300.0,"","",9,"Sant Andreu",62,"el Congrés i els Indians","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.424768,2.18045
2019,"Associats","Foment Hortenc",649.0,"","",7,"Horta-Guinardó",43,"Horta","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.430973200000004,2.1594603999999435
2019,"Associats","Societat Cultural i Esportiva La Lira",263.0,"","",9,"Sant Andreu",60,"Sant Andreu","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.433065899999995,2.1886806999999635
2019,"Associats","Lluïsos d'Horta",682.0,"","",7,"Horta-Guinardó",43,"Horta","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.432317,2.1602766999999403
2019,"Metres quadrats","Cercle Catòlic de Gràcia",1475.0,"","",6,"Gràcia",31,"la Vila de Gràcia","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.403731799999996,2.152953000000025
2019,"Associats","Ateneu Barcelonès",4184.0,"","",1,"Ciutat Vella",2,"el Barri Gòtic","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.3846753,2.1717826000000287
2019,"Nre Activitats","Casino l'Aliança del Poblenou",58.0,"","",10,"Sant Martí",68,"el Poblenou","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.399793200000005,2.203171999999995
2019,"Metres quadrats","Foment Martinenc",2000.0,"","",10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4104593,2.182719499999962
2019,"Associats","Centre Comarcal Lleidatà",450.0,"Les dades d'aquest centre s'han incorporat el 2019.","",2,"Eixample",7,"la Dreta de Eixample","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.386374700000005,2.1646697
2019,"Metres quadrats","Lluïsos de Gràcia",3430.0,"","",6,"Gràcia",31,"la Vila de Gràcia","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.4072721,2.1556355000000167
2019,"Metres quadrats","Centre Moral i Cultural del Poblenou",1300.0,"","",10,"Sant Martí",68,"el Poblenou","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.401115000000004,2.200169800000026
2019,"Metres quadrats","Centre Catòlic de Sants",1570.0,"","",3,"Sants-Montjuïc",18,"Sants","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.374383200000004,2.1348557999999684
2019,"Metres quadrats","Centre Cultural Sant Vicenç de Sarrià",2000.0,"","",5,"Sarrià-Sant Gervasi",23,"Sarrià","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.400585,2.1207044000000224
2019,"Associats","Centre Moral i Instructiu de Gràcia",473.0,"","",6,"Gràcia",31,"la Vila de Gràcia","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.40108370000001,2.15471320000006
2019,"Nre Activitats","Ateneu Hortenc",15.0,"","",7,"Horta-Guinardó",43,"Horta","Privada","Ateneus","Ateneus","Multidisciplinaris i altres",41.430135899999996,2.1602420000000397
