"Any","Indicador","Equipament","Valor","Notes_Dades","Notes_Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud"
2019,"Aforament","Gran Teatre del Liceu",332068,"","",1,"Ciutat Vella",1,"el Raval","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.380115249,2.173329003
2019,"Aforament","L'Auditori",508572,"","",2,"Eixample",5,"el Fort Pienc","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.398741043,2.185141717
2019,"Aforament","Palau de la Música Catalana",766538,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.387331649000004,2.17515778
2019,"Concerts","Gran Teatre del Liceu",160,"","",1,"Ciutat Vella",1,"el Raval","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.380115249,2.173329003
2019,"Concerts","L'Auditori",494,"","",2,"Eixample",5,"el Fort Pienc","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.398741043,2.185141717
2019,"Concerts","Palau de la Música Catalana",613,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.387331649000004,2.17515778
2019,"Entrades_Venudes","Gran Teatre del Liceu",226334,"","",1,"Ciutat Vella",1,"el Raval","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.380115249,2.173329003
2019,"Entrades_Venudes","L'Auditori",291296,"","",2,"Eixample",5,"el Fort Pienc","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.398741043,2.185141717
2019,"Entrades_Venudes","Palau de la Música Catalana",396993,"","",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.387331649000004,2.17515778
2019,"Espectadors","Gran Teatre del Liceu",322852,"","",1,"Ciutat Vella",1,"el Raval","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.380115249,2.173329003
2019,"Espectadors","L'Auditori",381863,"","",2,"Eixample",5,"el Fort Pienc","Consorci o fundació amb presència municipal","Espais de concerts","Grans auditoris","Música",41.398741043,2.185141717
