"Nom_variable","Pregunta","Tipus_variable"
"ID","IDENTIFICADOR DE L'ENQUESTA","numeric"
"ANY","ANY DE L'ENQUESTA","numeric"
"NOM_DISTRICTE","DISTRICTE MUNICIPAL","factor"
"NOM_BARRI","BARRI","factor"
"GRANBARRI","GRAN BARRI","factor"
"DATA_ENQ","DATA ENTREVISTA","Date"
"SEXE","SEXE","factor"
"EDAT1899_1A6","TRAMS D'EDAT","factor"
"NACIO_ACT_UE","NACIONALITAT ACTUAL - AGRUPADA","factor"
"NACIO_CANVI","SEMPRE HA TINGUT NACIONALITAT ESPANYOLA","factor"
"NACIO_ABANS_UE","NACIONALITAT ANTERIOR - AGRUPADA","factor"
"NACIO_EVO","NACIONALITAT EVOLUCIÓ (ACTUAL + ANTERIOR) - AGRUPADA","factor"
"SITLABORAL","SITUACIÓ LABORAL","factor"
"TMP_RES_BCN_1A6","TEMPS VIVINT A BARCELONA","factor"
"TMP_RES_BARRI_1A6","TEMPS VIVINT AL SEU BARRI","factor"
"RES_HAB","VIU EN AQUEST DOMICILI","factor"
"PADRO","ESTÀ EMPADRONAT EN AQUEST ADREÇA","factor"
"LLOC_PADRO_1A6","LLOC ON ESTÀ EMPADRONAT","factor"
"EVO1A_BCN","BARCELONA HA MILLORAT","factor"
"EVO1A_CAT","CATALUNYA HA MILLORAT","factor"
"EVO1A_ESP","ESPANYA HA MILLORAT","factor"
"FUTUR_BCN","BARCELONA MILLORARÀ","factor"
"FUTUR_CAT","CATALUNYA MILLORARÀ","factor"
"FUTUR_ESP","ESPANYA MILLORARÀ","factor"
"SATISF_RES_BCN_0A10","GRAU DE SATISFACCIÓ DE VIURE A BARCELONA","factor"
"SATISF_RES_BCN_1A4","GRAU DE SATISFACCIÓ DE VIURE A BARCELONA - TRAMS","factor"
"PROB_BCN","PROBLEMA MÉS GREU DE BARCELONA","factor"
"PROB_BCN_N1","PROBLEMA MÉS GREU DE BARCELONA - AGRUPADA","factor"
"PROB_CAT","PROBLEMA MÉS GREU DE CATALUNYA","factor"
"PROB_CAT_N1","PROBLEMA MÉS GREU DE CATALUNYA - AGRUPADA","factor"
"PROB_ESP","PROBLEMA MÉS GREU D'ESPANYA","factor"
"PROB_ESP_N1","PROBLEMA MÉS GREU D'ESPANYA - AGRUPADA","factor"
"PROB_PERS","PROBLEMA L'AFECTA MÉS","factor"
"PROB_PERS_N1","PROBLEMA L'AFECTA MÉS - AGRUPADA","factor"
"VAL_GESTMUNI","AJUNTAMENT DE BARCELONA","factor"
"VAL_GESTMUNI_1A2","AJUNTAMENT DE BARCELONA - TRAMS","factor"
"VAL_GESTGENE","GENERALITAT DE CATALUNYA","factor"
"VAL_GESTGENE_1A2","GENERALITAT DE CATALUNYA - TRAMS","factor"
"VAL_GESTGOESP","GOVERN ESPANYOL","factor"
"VAL_GESTGOESP_1A2","GOVERN ESPANYOL - TRAMS","factor"
"DEM_BCN_MUNI","DEMANDA A L'AJUNTAMENT PER BARCELONA","factor"
"DEM_BCN_MUNI_N1","DEMANDA A L'AJUNTAMENT PER BARCELONA - AGRUPADA","factor"
"VAL_ESCOMBRARIES","RECOLLIDA D’ESCOMBRARIES","factor"
"VAL_NETEJA","NETEJA DELS CARRERS","factor"
"VAL_SOROLL","SOROLL","factor"
"VAL_VERD","ZONES VERDES (PARCS I JARDINS)","factor"
"VAL_ENLLUM","ENLLUMENAT PÚBLIC","factor"
"VAL_URBA","URBANISME (NOUS CARRERS, PLACES)","factor"
"VAL_ASFALT","ASFALTAT, CONSERVACIÓ CARRERS","factor"
"VAL_FACANES","FAÇANES, CONSERVACIÓ EDIFICIS","factor"
"VAL_CIRCUL","CIRCULACIÓ","factor"
"VAL_APARCA","APARCAMENT","factor"
"VAL_BUS","AUTOBÚS","factor"
"VAL_METRO","METRO","factor"
"VAL_TRAM","TRAMVIA (TRAM, TRAMBAIX, TRAMBESÒS)","factor"
"VAL_BICING","BICING","factor"
"VAL_GUB","GUÀRDIA URBANA","factor"
"VAL_SPEIS","BOMBERS","factor"
"VAL_SEGUR","SEGURETAT CIUTADANA AL CONJUNT DE LA CIUTAT","factor"
"VAL_SEGUR_BARRI","SEGURETAT CIUTADANA AL BARRI","factor"
"VAL_ESPORT","INSTAL·LACIONS ESPORTIVES","factor"
"VAL_SIAC","SERVEIS D’INFORMACIÓ I ATENCIÓ ALS CIUTADANS","factor"
"VAL_CSS","CENTRES DE SERVEIS SOCIALS","factor"
"VAL_CULT","ACTIVITATS CULTURALS","factor"
"VAL_FESTESPOP","FESTES POPULARS","factor"
"VAL_MERCAT","MERCATS MUNICIPALS","factor"
"VAL_BIBLIO","BIBLIOTEQUES PÚBLIQUES","factor"
"VAL_CC","CENTRES CÍVICS","factor"
"VAL_ESCOMBRARIES_1A2","RECOLLIDA D’ESCOMBRARIES - TRAMS","factor"
"VAL_NETEJA_1A2","NETEJA DELS CARRERS - TRAMS","factor"
"VAL_SOROLL_1A2","SOROLL - TRAMS","factor"
"VAL_VERD_1A2","ZONES VERDES (PARCS I JARDINS) - TRAMS","factor"
"VAL_ENLLUM_1A2","ENLLUMENAT PÚBLIC - TRAMS","factor"
"VAL_URBA_1A2","URBANISME (NOUS CARRERS, PLACES) - TRAMS","factor"
"VAL_ASFALT_1A2","ASFALTAT, CONSERVACIÓ CARRERS - TRAMS","factor"
"VAL_FACANES_1A2","FAÇANES, CONSERVACIÓ EDIFICIS - TRAMS","factor"
"VAL_CIRCUL_1A2","CIRCULACIÓ - TRAMS","factor"
"VAL_APARCA_1A2","APARCAMENT - TRAMS","factor"
"VAL_BUS_1A2","AUTOBÚS - TRAMS","factor"
"VAL_METRO_1A2","METRO - TRAMS","factor"
"VAL_TRAM_1A2","TRAMVIA (TRAM, TRAMBAIX) - TRAMS","factor"
"VAL_BICING_1A2","BICING - TRAMS","factor"
"VAL_GUB_1A2","GUÀRDIA URBANA - TRAMS","factor"
"VAL_SPEIS_1A2","BOMBERS - TRAMS","factor"
"VAL_SEGUR_1A2","SEGURETAT CIUTADANA AL CONJUNT DE LA CIUTAT - TRAMS","factor"
"VAL_SEGUR_BARRI_1A2","SEGURETAT CIUTADANA AL BARRI - TRAMS","factor"
"VAL_ESPORT_1A2","INSTAL·LACIONS ESPORTIVES - TRAMS","factor"
"VAL_SIAC_1A2","SERVEIS D’INFORMACIÓ I ATENCIÓ ALS CIUTADANS - TRAMS","factor"
"VAL_CSS_1A2","CENTRES DE SERVEIS SOCIALS - TRAMS","factor"
"VAL_CULT_1A2","ACTIVITATS CULTURALS - TRAMS","factor"
"VAL_FESTESPOP_1A2","FESTES POPULARS - TRAMS","factor"
"VAL_MERCAT_1A2","MERCATS MUNICIPALS - TRAMS","factor"
"VAL_BIBLIO_1A2","BIBLIOTEQUES PÚBLIQUES - TRAMS","factor"
"VAL_CC_1A2","CENTRES CÍVICS - TRAMS","factor"
"EVO1A_ESCOMBRARIES","RECOLLIDA D’ESCOMBRARIES","factor"
"EVO1A_NETEJA","NETEJA DELS CARRERS","factor"
"EVO1A_SOROLL","SOROLL","factor"
"EVO1A_VERD","ZONES VERDES (PARCS I JARDINS)","factor"
"EVO1A_ENLLUM","ENLLUMENAT PÚBLIC","factor"
"EVO1A_URBA","URBANISME (NOUS CARRERS, PLACES)","factor"
"EVO1A_ASFALT","ASFALTAT, CONSERVACIÓ CARRERS","factor"
"EVO1A_FACANES","FAÇANES, CONSERVACIÓ EDIFICIS","factor"
"EVO1A_CIRCUL","CIRCULACIÓ","factor"
"EVO1A_APARCA","APARCAMENT","factor"
"EVO1A_BUS","AUTOBÚS","factor"
"EVO1A_METRO","METRO","factor"
"EVO1A_TRAM","TRAMVIA (TRAM, TRAMBAIX, TRAMBESÒS)","factor"
"EVO1A_BICING","BICING","factor"
"EVO1A_GUB","GUÀRDIA URBANA","factor"
"EVO1A_SPEIS","BOMBERS","factor"
"EVO1A_SEGUR","SEGURETAT CIUTADANA AL CONJUNT DE LA CIUTAT","factor"
"EVO1A_SEGUR_BARRI","SEGURETAT CIUTADANA AL BARRI","factor"
"EVO1A_ESPORT","INSTAL·LACIONS ESPORTIVES","factor"
"EVO1A_SIAC","SERVEIS D’INFORMACIÓ I ATENCIÓ ALS CIUTADANS","factor"
"EVO1A_CSS","CENTRES DE SERVEIS SOCIALS","factor"
"EVO1A_CULT","ACTIVITATS CULTURALS","factor"
"EVO1A_FESTESPOP","FESTES POPULARS","factor"
"EVO1A_MERCAT","MERCATS MUNICIPALS","factor"
"EVO1A_BIBLIO","BIBLIOTEQUES PÚBLIQUES","factor"
"EVO1A_CC","CENTRES CÍVICS","factor"
"US_VERD","ZONES VERDES (PARCS I JARDINS)","factor"
"US_APARCA","APARCAMENT","factor"
"US_BUS","AUTOBÚS","factor"
"US_METRO","METRO","factor"
"US_TRAM","TRAMVIA (TRAM, TRAMBAIX, TRAMBESÒS)","factor"
"US_BICING","BICING","factor"
"US_ESPORT","INSTAL·LACIONS ESPORTIVES","factor"
"US_SIAC","SERVEIS D’INFORMACIÓ I ATENCIÓ ALS CIUTADANS","factor"
"US_CSS","CENTRES DE SERVEIS SOCIALS","factor"
"US_CULT","ACTIVITATS CULTURALS","factor"
"US_FESTESPOP","FESTES POPULARS","factor"
"US_MERCAT","MERCATS MUNICIPALS","factor"
"US_BIBLIO","BIBLIOTEQUES PÚBLIQUES","factor"
"US_CC","CENTRES CÍVICS","factor"
"TRANSP_MOU","MITJÀ DE TRANSPORT UTILITZA AMB MÉS FREQÜÈNCIA","factor"
"VAL_TRANSP_1A5","BARCELONA CIUTAT DOTADA AMB TRANSPORT PÚBLIC","factor"
"VAL_TRANSP_1A3","BARCELONA CIUTAT DOTADA AMB TRANSPORT PÚBLIC - AGRUPADA","factor"
"VAL_TRANSP_BARRI_1A5","BARRI DOTAT AMB TRANSPORT PÚBLIC","factor"
"VAL_TRANSP_BARRI_1A3","BARRI DOTAT AMB TRANSPORT PÚBLIC - AGRUPADA","factor"
"VAL_GESTDINERS_1A5","COM CREU AJUNTAMENT UTILITZA DINERS QUE TÉ","factor"
"VAL_GESTDINERS_1A3","COM CREU AJUNTAMENT UTILITZA DINERS QUE TÉ - AGRUPADA","factor"
"SATISF_SVIMPOST_1A4","ESTÀ SATISFET SERVEIS REP VS. IMPOSTOS PAGA","factor"
"SATISF_SVIMPOST_1A2","ESTÀ SATISFET SERVEIS REP VS. IMPOSTOS PAGA - AGRUPADA","factor"
"POS_BARRI","MÉS AGRADA DEL SEU BARRI","factor"
"EVO1A_BARRI","EVOLUCIÓ DARRERS ANYS DEL SEU BARRI","factor"
"FUTUR_BARRI","EVOLUCIÓ FUTUR DEL SEU BARRI","factor"
"SATISF_RES_BARRI_0A10","GRAU DE SATISFACCIÓ DE VIURE AL SEU BARRI","factor"
"SATISF_RES_BARRI_1A4","GRAU DE SATISFACCIÓ DE VIURE AL SEU BARRI - TRAMS","factor"
"PROB_BARRI","PROBLEMA MÉS GREU DEL SEU BARRI","factor"
"PROB_BARRI_N1","PROBLEMA MÉS GREU DEL SEU BARRI - AGRUPADA","factor"
"COMPARA_BARRI","EL SEU BARRI RESPECTE RESTA BARRIS","factor"
"CANVI_LLOC_RES_1A3","ON ANIRIA A VIURE","factor"
"VAL_GESTBARRI","GESTIÓ DE L'AJUNTAMENT AL SEU BARRI","factor"
"VAL_GESTBARRI_1A2","GESTIÓ DE L'AJUNTAMENT AL SEU BARRI - TRAMS","factor"
"DEM_BARRI","DEMANDA A L'AJUNTAMENT PEL SEU BARRI","factor"
"DEM_BARRI_N1","DEMANDA A L'AJUNTAMENT PEL SEU BARRI - AGRUPADA","factor"
"US_ASSOCIA_BARRI","PARTICIPA ASSOCIACIÓ DEL SEU BARRI","factor"
"HAB_GOS","GOS O GOSSOS","factor"
"HAB_ORDINADOR","ORDINADOR (SOBRETAULA, PORTÀTIL, TAULETA)","factor"
"HAB_FIX","LÍNIA DE TELÈFON FIX","factor"
"HAB_INTERNET","CONNEXIÓ A INTERNET (EN QUALSEVOL SUPORT, INCLÒS EL MÒBIL)","factor"
"HAB_TV","TELEVISOR","factor"
"HAB_PLATPAG","PLATAFORMA / CANAL DE PAGAMENT (NETFLIX, HBO, MOVISTAR TV, ORANGE TV, VODAFONE TV, AMAZON, ETC)","factor"
"HAB_RENTAPLATS","RENTAPLATS","factor"
"HAB_RENTADORA","RENTADORA","factor"
"HAB_COTXE_PART","COTXE PARTICULAR","factor"
"LLAR_MUTUA","MÚTUA MÈDICA PRIVADA","factor"
"HAB_TREBDOM","PERSONA REMUNERADA QUE AJUDI A LES TASQUES DE LA LLAR O CURA DE FAMILIARS","factor"
"HAB_COTXE_PART_1A4","NRE. COTXES PARTICULARS - TRAMS","factor"
"PMS_VACANCES","ANAR DE VACANCES ALMENYS UN COP L'ANY","factor"
"PMS_ALIM","UN ÀPAT DE CARN, POLLASTRE O PEIX (O EQUIVALENT PER ALS VEGETARIANS) ALMENYS CADA DOS DIES","factor"
"PMS_IMPREVIST650","FER FRONT A UNA DESPESA IMPREVISTA DE 650€","factor"
"PMS_ENERGIA","MANTENIR L'HABITATGE AMB UNA TEMPERATURA ADEQUADA DURANT ELS MESOS FREDS","factor"
"HAB_REGIM_1A5","VOSTÈ TÉ AQUESTA CASA...","factor"
"HAB_HIP","PAGANT HIPOTECA","factor"
"COST_HIP_NRE","COST MENSUAL HIPOTECA O PRÉSTEC","numeric"
"COST_HIP_1A14","COST MENSUAL HIPOTECA O PRÉSTEC - TRAMS","factor"
"HAB_LLOGUER_CONTRACTE","TIPUS CONTRACTE LLOGUER","factor"
"COST_LLOGUER_NRE","COST MENSUAL LLOGUER","numeric"
"COST_LLOGUER_1A14","COST MENSUAL LLOGUER - TRAMS","factor"
"COST_ESPAI_NRE","COST MENSUAL ÚS HABITACIÓ I ESPAIS COMPARTITS","numeric"
"COST_ESPAI_1A14","COST MENSUAL ÚS HABITACIÓ I ESPAIS COMPRATITS - TRAMS","factor"
"PMS_REBUT_HIP","ENDARRERIMENT ÚLTIMS 12 MESOS: QUOTA HIPOTECA O PRÉSTEC REFORMES","factor"
"PMS_REBUT_LLOGUER","ENDARRERIMENT ÚLTIMS 12 MESOS: QUOTA LLOGUER","factor"
"PMS_REBUT_ESPAI","ENDARRERIMENT ÚLTIMS 12 MESOS: QUOTA ÚS HABITACIÓ I ESPAIS COMUNS","factor"
