"Equipament","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Titularitat","TipusGeneral","TipusEquipament","Ambit","Latitud","Longitud","Web","Notes_Equipament"
"AMDB. Arxiu Municipal Districte d'Horta-Guinardó",7,"Horta-Guinardó",33.0,"el Baix Guinardó","Municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria",41.409960057,2.1691914690000003,"http://ajuntament.barcelona.cat/arxiumunicipal/ca/horta-guinardo",""
"AMDB. Arxiu Municipal Districte de Ciutat Vella",1,"Ciutat Vella",1.0,"el Raval","Municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria",41.382300324,2.168061867,"http://ajuntament.barcelona.cat/arxiumunicipal/ca/ciutat-vella",""
"AMDB. Arxiu Municipal Districte de Gràcia",6,"Gràcia",28.0,"Vallcarca i els Penitents","Municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria",41.407459816,2.149757391,"http://ajuntament.barcelona.cat/arxiumunicipal/ca/gracia",""
"AMDB. Arxiu Municipal Districte de l'Eixample",2,"Eixample",10.0,"Sant Antoni","Municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria",41.376643701,2.159247358,"http://ajuntament.barcelona.cat/arxiumunicipal/ca/leixample",""
"AMDB. Arxiu Municipal Districte de les Corts",4,"Les Corts",19.0,"les Corts","Municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria",41.385612855,2.129754111,"http://ajuntament.barcelona.cat/arxiumunicipal/ca/les-corts",""
"AMDB. Arxiu Municipal Districte de Nou Barris",8,"Nou Barris",48.0,"la Guineueta","Municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria",41.436813681,2.171212448,"http://ajuntament.barcelona.cat/arxiumunicipal/ca/nou-barris",""
"AMDB. Arxiu Municipal Districte de Sant Andreu",9,"Sant Andreu",60.0,"Sant Andreu","Municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria",41.436950581,2.1921835119999997,"http://ajuntament.barcelona.cat/arxiumunicipal/ca/sant-andreu",""
"AMDB. Arxiu Municipal Districte de Sant Martí",10,"Sant Martí",67.0,"la Vila Olímpica del Poblenou","Municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria",41.392407372,2.197707021,"http://ajuntament.barcelona.cat/arxiumunicipal/ca/sant-marti",""
"AMDB. Arxiu Municipal Districte de Sants-MontjuÏc",3,"Sants-Montjuïc",15.0,"Hostafrancs","Municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria",41.375377378,2.142256283,"http://ajuntament.barcelona.cat/arxiumunicipal/ca/sants-montjuic",""
"AMDB. Arxiu Municipal Districte Sarrià-St Gervasi",5,"Sarrià-Sant Gervasi",23.0,"Sarrià","Municipal","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria",41.393875129,2.121169107,"http://ajuntament.barcelona.cat/arxiumunicipal/ca/sarria-sant-gervasi",""
"Arxiu de la Corona d'Aragó",10,"Sant Martí",66.0,"el Parc i la Llacuna del Poblenou","Pública no municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.395265611,2.187388946,"http://www.culturaydeporte.gob.es/archivos-aca/ca/portada.html",""
"Arxiu Fotogràfic Centre Excursionista de Catalunya",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.383374183,2.177172358,"https://cec.cat/arxiufotografic/",""
"Arxiu Fotogràfic de Barcelona",1,"Ciutat Vella",4.0,"Sant Pere, Santa Caterina i la Ribera","Municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.38687264,2.181806284,"http://arxiufotografic.bcn.cat",""
"Arxiu Històric Centre Excursionista de Catalunya",1,"Ciutat Vella",2.0,"el Barri Gòtic","Privada","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.383374183,2.177172358,"",""
"Arxiu Històric de la Ciutat de Barcelona",1,"Ciutat Vella",2.0,"el Barri Gòtic","Municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.384253791999996,2.175866873,"http://barcelona.cat/arxiuhistoric",""
"Arxiu Històric de Protocols de Barcelona",1,"Ciutat Vella",1.0,"el Raval","Privada","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.383069865,2.169125012,"https://arxiu.notarisdecatalunya.org/",""
"Arxiu Històric Hospital de la Sta. Creu i Sant Pau",7,"Horta-Guinardó",35.0,"el Guinardó","Privada","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.413340999999996,2.1743349999999997,"http://www.santpaubarcelona.org/ca/arxiu-historic",""
"Arxiu Mas. Fund. Institut Amatller d'Art Hispànic",2,"Eixample",7.0,"la Dreta de Eixample","Privada","Arxius i biblioteques patrimonials","Arxius (sense dades)","Història i memòria",41.391582641999996,2.165093875,"http://www.amatller.org",""
"Arxiu Municipal Contemporani de Barcelona",1,"Ciutat Vella",2.0,"el Barri Gòtic","Municipal","Arxius i biblioteques patrimonials","Arxius","Història i memòria",41.383087425999996,2.178749468,"http://ajuntament.barcelona.cat/arxiumunicipal/arxiucontemporani/ca",""
