"id","name","institution_id","institution_name","created","modified","addresses_roadtype_id","addresses_roadtype_name","addresses_road_id","addresses_road_name","addresses_start_street_number","addresses_end_street_number","addresses_neighborhood_id","addresses_neighborhood_name","addresses_district_id","addresses_district_name","addresses_zip_code","addresses_main_address","addresses_type","values_id","values_attribute_id","values_category","values_attribute_name","values_attribute_type","values_value","values_outstanding","values_description","secondary_filters_id","secondary_filters_name","secondary_filters_fullpath","secondary_filters_tree","secondary_filters_asia_id","geo_epgs_25831_x","geo_epgs_25831_y","geo_epgs_4326_x","geo_epgs_4326_y"
99400186258,"Hort Urbà Collserola","","","2007-06-26T08:38:52+02:00","2019-01-30T18:42:22+01:00","","",66803,"C Carles Pirozzini",2,"",25,"Sant Gervasi - la Bonanova",5,"Sarrià-Sant Gervasi",8035,True,"",218574,20001,"Telèfons","Tel.","char",10,True,"Informació",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,427665.6963583408,4585339.748522649,41.41635686101152,2.134451454122869
99400100015,"Hort Urbà Parc de la Trinitat","","","2004-11-23T14:00:35+01:00","2019-10-14T11:58:20+02:00","","",314100,"Pg Santa Coloma",60,"",60,"Sant Andreu",9,"Sant Andreu",8030,True,"",212385,20006,"Telèfons","Informació","char",10,True,"",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,432814.485640381,4588944.298465399,41.44926882521931,2.1956548753915466
99400183714,"Hort Urbà de Sant Pau del Camp","","","2007-05-21T13:46:45+02:00","2019-01-30T18:10:57+01:00","","",500,"C Abat Safont",12,"",1,"el Raval",1,"Ciutat Vella",8001,True,"",218848,20006,"Telèfons","Informació","char",10,True,"",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,430530.33247613016,4580807.988330681,41.37579355350192,2.169245915618637
99400186934,"Hort Urbà",99400407405.0,"La Casa de l'Aigua","2007-07-06T08:51:21+02:00","2019-01-30T18:16:33+01:00","","",139907,"C Garbí",2,"",53,"la Trinitat Nova",8,"Nou Barris",8033,True,"",218350,20001,"Telèfons","Tel.","char",10,True,"",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,432182.01369165344,4589360.6352854315,41.45296542581805,2.1880368882670496
99400170336,"Hort Urbà Torre Melina","","","2006-10-20T14:18:50+02:00","2020-08-20T10:14:58+02:00","","",339815,"Camí Torre Melina",15,"",20,"la Maternitat i Sant Ramon",4,"Les Corts",8028,True,"",216445,20001,"Telèfons","Tel.","char",10,True,"Informació",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,425696.0284410246,4581010.22332847,41.37718315085514,2.1114164782458977
99400363859,"Hort Urbà Can Pujades","","","2014-11-20T12:01:02+01:00","2019-01-30T18:09:56+01:00","","",700168,"Camí Múrgola",13,"",22,"Vallvidrera, el Tibidabo i les Planes",5,"Sarrià-Sant Gervasi",8017,True,"",226918,20006,"Telèfons","Informació","char",10,True,"",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,424660.1805750304,4585199.893229936,41.414821102896944,2.0985092125050806
99400400469,"Hort Urbà de Can Peguera","","","2015-11-04T12:11:42+01:00","2019-01-30T18:10:21+01:00","","",57100,"C Camós",3,"",47,"Can Peguera",8,"Nou Barris",8031,True,"",227654,20001,"Telèfons","Tel.","char",10,True,"",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,430170.1706364144,4587276.3791757235,41.43402087587389,2.164193089930587
99400400467,"Hort Urbà Baró de Viver","","","2015-11-04T11:24:12+01:00","2019-01-30T18:09:24+01:00","","",314100,"Pg Santa Coloma",125,"",57,"la Trinitat Vella",9,"Sant Andreu",8030,True,"",227549,20001,"Telèfons","Tel.","char",10,True,"",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,433080.42405120365,4588992.2290513525,41.44972273508951,2.1988330798841944
99400180128,"Hort Urbà Sagrada Família","","","2007-03-30T08:54:17+02:00","2019-01-30T18:13:13+01:00","","",238400,"C Padilla",199,"",6,"la Sagrada Família",2,"Eixample",8013,True,"",218647,20006,"Telèfons","Informació","char",10,True,"",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,431511.2823314336,4583783.479497715,41.402677010763576,2.180639034746972
98180122541,"Hort Urbà Masia Can Mestres","","","1998-06-29T00:00:00+02:00","2020-07-02T09:41:19+02:00","","",58634,"Camí Can Clos",1,"",13,"la Marina de Port",3,"Sants-Montjuïc",8038,True,"",201494,20006,"Telèfons","Informació","char",10,True,"",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,428498.3726106624,4579042.609144885,41.35971541159925,2.145157408726708
99400200051,"Hort Urbà de Pedralbes","","","2008-02-12T09:44:25+01:00","2019-01-30T18:10:50+01:00","","",72704,"C Castellet",2,"",21,"Pedralbes",4,"Les Corts",8034,True,"",220434,20006,"Telèfons","Informació","char",10,True,"",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,425728.94770070154,4582913.911759086,41.39433185278547,2.1115767347502405
99400100007,"Hort Urbà de l'Avi","","","2004-11-23T12:43:51+01:00","2020-04-01T13:52:30+02:00","","",340905,"C Torrent del Remei",2,"",28,"Vallcarca i els Penitents",6,"Gràcia",8023,True,"",212383,20006,"Telèfons","Informació","char",10,True,"",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,428816.3692043749,4585245.75568302,41.415613058687356,2.148229934277885
99400100012,"Hort Urbà de Turull","","","2004-11-23T13:25:29+01:00","2019-01-30T18:11:01+01:00","","",348350,"Ptge Turull",10,"",28,"Vallcarca i els Penitents",6,"Gràcia",8023,True,"",212384,20006,"Telèfons","Informació","char",10,True,"",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,428777.1936344931,4585010.9269640865,41.41349458159093,2.1477888626701365
99400100016,"Hort Urbà Masia Can Cadena","","","2004-11-23T14:24:00+01:00","2020-06-17T17:33:40+02:00","","",208205,"C Menorca",27,"",72,"Sant Martí de Provençals",10,"Sant Martí",8020,True,"",212386,20006,"Telèfons","Informació","char",10,True,"",65731076,"Horts urbans","Planol BCN >> Medi ambient >> Medi ambient >> Horts urbans",651,65103012000008,432996.6215027373,4585782.396305735,41.42080583403347,2.1981857602301798
