"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitat_propietari","Nombre_motos"
2015,1,"Ciutat Vella",1,"el Raval","Espanyola",2270
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Espanyola",3954
2015,1,"Ciutat Vella",3,"la Barceloneta","Espanyola",1679
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Espanyola",1812
2015,2,"Eixample",5,"el Fort Pienc","Espanyola",3585
2015,2,"Eixample",6,"la Sagrada Família","Espanyola",5848
2015,2,"Eixample",7,"la Dreta de l'Eixample","Espanyola",7734
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Espanyola",6665
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Espanyola",7741
2015,2,"Eixample",10,"Sant Antoni","Espanyola",4171
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Espanyola",3349
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Espanyola",356
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Espanyola",2971
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Espanyola",1241
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Espanyola",1518
2015,3,"Sants-Montjuïc",16,"la Bordeta","Espanyola",1990
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Espanyola",2408
2015,3,"Sants-Montjuïc",18,"Sants","Espanyola",4520
2015,4,"Les Corts",19,"les Corts","Espanyola",7300
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Espanyola",3743
2015,4,"Les Corts",21,"Pedralbes","Espanyola",2946
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Espanyola",817
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Espanyola",5580
2015,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Espanyola",4374
2015,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Espanyola",6256
2015,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Espanyola",12708
2015,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Espanyola",6125
2015,6,"Gràcia",28,"Vallcarca i els Penitents","Espanyola",2617
2015,6,"Gràcia",29,"el Coll","Espanyola",1159
2015,6,"Gràcia",30,"la Salut","Espanyola",2145
2015,6,"Gràcia",31,"la Vila de Gràcia","Espanyola",6512
2015,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Espanyola",4903
2015,7,"Horta-Guinardó",33,"el Baix Guinardó","Espanyola",3305
2015,7,"Horta-Guinardó",34,"Can Baró","Espanyola",1399
2015,7,"Horta-Guinardó",35,"el Guinardó","Espanyola",4300
2015,7,"Horta-Guinardó",36,"la Font d'en Fargues","Espanyola",1780
2015,7,"Horta-Guinardó",37,"el Carmel","Espanyola",3757
2015,7,"Horta-Guinardó",38,"la Teixonera","Espanyola",1411
2015,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Espanyola",767
2015,7,"Horta-Guinardó",40,"Montbau","Espanyola",486
2015,7,"Horta-Guinardó",41,"la Vall d'Hebron","Espanyola",574
2015,7,"Horta-Guinardó",42,"la Clota","Espanyola",65
2015,7,"Horta-Guinardó",43,"Horta","Espanyola",3277
2015,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Espanyola",2418
2015,8,"Nou Barris",45,"Porta","Espanyola",1956
2015,8,"Nou Barris",46,"el Turó de la Peira","Espanyola",1055
2015,8,"Nou Barris",47,"Can Peguera","Espanyola",190
2015,8,"Nou Barris",48,"la Guineueta","Espanyola",1314
2015,8,"Nou Barris",49,"Canyelles","Espanyola",631
2015,8,"Nou Barris",50,"les Roquetes","Espanyola",1082
2015,8,"Nou Barris",51,"Verdun","Espanyola",843
2015,8,"Nou Barris",52,"la Prosperitat","Espanyola",2124
2015,8,"Nou Barris",53,"la Trinitat Nova","Espanyola",406
2015,8,"Nou Barris",54,"Torre Baró","Espanyola",199
2015,8,"Nou Barris",55,"Ciutat Meridiana","Espanyola",428
2015,8,"Nou Barris",56,"Vallbona","Espanyola",96
2015,9,"Sant Andreu",57,"la Trinitat Vella","Espanyola",572
2015,9,"Sant Andreu",58,"Baró de Viver","Espanyola",171
2015,9,"Sant Andreu",59,"el Bon Pastor","Espanyola",968
2015,9,"Sant Andreu",60,"Sant Andreu","Espanyola",5710
2015,9,"Sant Andreu",61,"la Sagrera","Espanyola",2665
2015,9,"Sant Andreu",62,"el Congrés i els Indians","Espanyola",1311
2015,9,"Sant Andreu",63,"Navas","Espanyola",2264
2015,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Espanyola",4042
2015,10,"Sant Martí",65,"el Clot","Espanyola",2662
2015,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Espanyola",1668
2015,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Espanyola",1205
2015,10,"Sant Martí",68,"el Poblenou","Espanyola",3208
2015,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Espanyola",1286
2015,10,"Sant Martí",70,"el Besòs i el Maresme","Espanyola",1179
2015,10,"Sant Martí",71,"Provençals del Poblenou","Espanyola",1898
2015,10,"Sant Martí",72,"Sant Martí de Provençals","Espanyola",2420
2015,10,"Sant Martí",73,"la Verneda i la Pau","Espanyola",2248
2015,99,"No consta",99,"No consta","Espanyola",321
2015,1,"Ciutat Vella",1,"el Raval","Estrangera",552
2015,1,"Ciutat Vella",2,"el Barri Gòtic","Estrangera",333
2015,1,"Ciutat Vella",3,"la Barceloneta","Estrangera",273
2015,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Estrangera",520
2015,2,"Eixample",5,"el Fort Pienc","Estrangera",363
2015,2,"Eixample",6,"la Sagrada Família","Estrangera",501
2015,2,"Eixample",7,"la Dreta de l'Eixample","Estrangera",736
2015,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Estrangera",652
2015,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Estrangera",633
2015,2,"Eixample",10,"Sant Antoni","Estrangera",426
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Estrangera",483
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Estrangera",7
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Estrangera",178
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Estrangera",105
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Estrangera",149
2015,3,"Sants-Montjuïc",16,"la Bordeta","Estrangera",112
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Estrangera",147
2015,3,"Sants-Montjuïc",18,"Sants","Estrangera",324
2015,4,"Les Corts",19,"les Corts","Estrangera",321
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Estrangera",157
2015,4,"Les Corts",21,"Pedralbes","Estrangera",155
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Estrangera",58
2015,5,"Sarrià-Sant Gervasi",23,"Sarrià","Estrangera",264
