"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Tipus_Vehicles","Antiguitat","Nombre"
2019,"1","Ciutat Vella","1","el Raval","Turismes","Menys d'un any d'antiguitat",175
2019,"1","Ciutat Vella","1","el Raval","Turismes","1 any",279
2019,"1","Ciutat Vella","1","el Raval","Turismes","2 anys",201
2019,"1","Ciutat Vella","1","el Raval","Turismes","3 anys",211
2019,"1","Ciutat Vella","1","el Raval","Turismes","4 anys",202
2019,"1","Ciutat Vella","1","el Raval","Turismes","5 anys",151
2019,"1","Ciutat Vella","1","el Raval","Turismes","6 anys",147
2019,"1","Ciutat Vella","1","el Raval","Turismes","7 anys",133
2019,"1","Ciutat Vella","1","el Raval","Turismes","8 anys",161
2019,"1","Ciutat Vella","1","el Raval","Turismes","9 anys",216
2019,"1","Ciutat Vella","1","el Raval","Turismes","10 anys",197
2019,"1","Ciutat Vella","1","el Raval","Turismes","D'11 a 20 anys",2669
2019,"1","Ciutat Vella","1","el Raval","Turismes","Més de 20 anys",1009
2019,"1","Ciutat Vella","1","el Raval","Turismes","No consta",1
2019,"1","Ciutat Vella","1","el Raval","Motos","Menys d'un any d'antiguitat",157
2019,"1","Ciutat Vella","1","el Raval","Motos","1 any",144
2019,"1","Ciutat Vella","1","el Raval","Motos","2 anys",153
2019,"1","Ciutat Vella","1","el Raval","Motos","3 anys",187
2019,"1","Ciutat Vella","1","el Raval","Motos","4 anys",155
2019,"1","Ciutat Vella","1","el Raval","Motos","5 anys",125
2019,"1","Ciutat Vella","1","el Raval","Motos","6 anys",95
2019,"1","Ciutat Vella","1","el Raval","Motos","7 anys",142
2019,"1","Ciutat Vella","1","el Raval","Motos","8 anys",134
2019,"1","Ciutat Vella","1","el Raval","Motos","9 anys",146
2019,"1","Ciutat Vella","1","el Raval","Motos","10 anys",98
2019,"1","Ciutat Vella","1","el Raval","Motos","D'11 a 20 anys",1043
2019,"1","Ciutat Vella","1","el Raval","Motos","Més de 20 anys",444
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","Menys d'un any d'antiguitat",20
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","1 any",23
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","2 anys",24
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","3 anys",25
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","4 anys",23
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","5 anys",16
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","6 anys",20
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","7 anys",58
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","8 anys",21
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","9 anys",35
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","10 anys",25
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","D'11 a 20 anys",1022
2019,"1","Ciutat Vella","1","el Raval","Ciclomotors","Més de 20 anys",3
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","Menys d'un any d'antiguitat",23
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","1 any",15
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","2 anys",34
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","3 anys",31
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","4 anys",27
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","5 anys",26
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","6 anys",21
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","7 anys",21
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","8 anys",33
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","9 anys",30
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","10 anys",18
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","D'11 a 20 anys",419
2019,"1","Ciutat Vella","1","el Raval","Furgonetes","Més de 20 anys",174
2019,"1","Ciutat Vella","1","el Raval","Camions","Menys d'un any d'antiguitat",1
2019,"1","Ciutat Vella","1","el Raval","Camions","1 any",1
2019,"1","Ciutat Vella","1","el Raval","Camions","2 anys",2
