"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Tipus_Vehicles","Nacionalitat_propietari","Nombre"
2019,"1","Ciutat Vella","1","el Raval","1","Turismes","Nacionalitat espanyola",305
2019,"1","Ciutat Vella","1","el Raval","1","Turismes","Altres nacionalitats",46
2019,"1","Ciutat Vella","1","el Raval","1","Motos","Nacionalitat espanyola",95
2019,"1","Ciutat Vella","1","el Raval","1","Motos","Altres nacionalitats",22
2019,"1","Ciutat Vella","1","el Raval","2","Turismes","Nacionalitat espanyola",115
2019,"1","Ciutat Vella","1","el Raval","2","Turismes","Altres nacionalitats",60
2019,"1","Ciutat Vella","1","el Raval","2","Motos","Nacionalitat espanyola",73
2019,"1","Ciutat Vella","1","el Raval","2","Motos","Altres nacionalitats",35
2019,"1","Ciutat Vella","1","el Raval","3","Turismes","Nacionalitat espanyola",304
2019,"1","Ciutat Vella","1","el Raval","3","Turismes","Altres nacionalitats",87
2019,"1","Ciutat Vella","1","el Raval","3","Motos","Nacionalitat espanyola",120
2019,"1","Ciutat Vella","1","el Raval","3","Motos","Altres nacionalitats",44
2019,"1","Ciutat Vella","1","el Raval","4","Turismes","Nacionalitat espanyola",337
2019,"1","Ciutat Vella","1","el Raval","4","Turismes","Altres nacionalitats",96
2019,"1","Ciutat Vella","1","el Raval","4","Motos","Nacionalitat espanyola",173
2019,"1","Ciutat Vella","1","el Raval","4","Motos","Altres nacionalitats",46
2019,"1","Ciutat Vella","1","el Raval","5","Turismes","Nacionalitat espanyola",239
2019,"1","Ciutat Vella","1","el Raval","5","Turismes","Altres nacionalitats",68
2019,"1","Ciutat Vella","1","el Raval","5","Motos","Nacionalitat espanyola",136
2019,"1","Ciutat Vella","1","el Raval","5","Motos","Altres nacionalitats",36
2019,"1","Ciutat Vella","1","el Raval","6","Turismes","Nacionalitat espanyola",120
2019,"1","Ciutat Vella","1","el Raval","6","Turismes","Altres nacionalitats",88
2019,"1","Ciutat Vella","1","el Raval","6","Motos","Nacionalitat espanyola",62
2019,"1","Ciutat Vella","1","el Raval","6","Motos","Altres nacionalitats",42
2019,"1","Ciutat Vella","1","el Raval","7","Turismes","Nacionalitat espanyola",157
2019,"1","Ciutat Vella","1","el Raval","7","Turismes","Altres nacionalitats",87
2019,"1","Ciutat Vella","1","el Raval","7","Motos","Nacionalitat espanyola",80
2019,"1","Ciutat Vella","1","el Raval","7","Motos","Altres nacionalitats",28
2019,"1","Ciutat Vella","1","el Raval","8","Turismes","Nacionalitat espanyola",184
2019,"1","Ciutat Vella","1","el Raval","8","Turismes","Altres nacionalitats",143
2019,"1","Ciutat Vella","1","el Raval","8","Motos","Nacionalitat espanyola",106
2019,"1","Ciutat Vella","1","el Raval","8","Motos","Altres nacionalitats",56
2019,"1","Ciutat Vella","1","el Raval","9","Turismes","Nacionalitat espanyola",181
2019,"1","Ciutat Vella","1","el Raval","9","Turismes","Altres nacionalitats",64
2019,"1","Ciutat Vella","1","el Raval","9","Motos","Nacionalitat espanyola",108
2019,"1","Ciutat Vella","1","el Raval","9","Motos","Altres nacionalitats",26
