"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Potencia_fiscal","Nombre_turismes"
2019,"1","Ciutat Vella","1","el Raval","Menys 8 cf",269
2019,"1","Ciutat Vella","1","el Raval","8 a 8,9",158
2019,"1","Ciutat Vella","1","el Raval","9 a 9,9",311
2019,"1","Ciutat Vella","1","el Raval","10 a 10,9",807
2019,"1","Ciutat Vella","1","el Raval","11 a 11,9",1428
2019,"1","Ciutat Vella","1","el Raval","12 a 12,9",1036
2019,"1","Ciutat Vella","1","el Raval","13 a 13,9",1090
2019,"1","Ciutat Vella","1","el Raval","14 a 14,9",127
2019,"1","Ciutat Vella","1","el Raval","15 a 15,9",97
2019,"1","Ciutat Vella","1","el Raval","16 a 19,9",319
2019,"1","Ciutat Vella","1","el Raval","20 i més cf",110
2019,"1","Ciutat Vella","2","el Barri Gòtic","Menys 8 cf",211
2019,"1","Ciutat Vella","2","el Barri Gòtic","8 a 8,9",231
2019,"1","Ciutat Vella","2","el Barri Gòtic","9 a 9,9",548
2019,"1","Ciutat Vella","2","el Barri Gòtic","10 a 10,9",524
2019,"1","Ciutat Vella","2","el Barri Gòtic","11 a 11,9",1163
2019,"1","Ciutat Vella","2","el Barri Gòtic","12 a 12,9",554
2019,"1","Ciutat Vella","2","el Barri Gòtic","13 a 13,9",798
2019,"1","Ciutat Vella","2","el Barri Gòtic","14 a 14,9",131
2019,"1","Ciutat Vella","2","el Barri Gòtic","15 a 15,9",293
2019,"1","Ciutat Vella","2","el Barri Gòtic","16 a 19,9",254
2019,"1","Ciutat Vella","2","el Barri Gòtic","20 i més cf",112
2019,"1","Ciutat Vella","3","la Barceloneta","Menys 8 cf",196
2019,"1","Ciutat Vella","3","la Barceloneta","8 a 8,9",104
2019,"1","Ciutat Vella","3","la Barceloneta","9 a 9,9",205
2019,"1","Ciutat Vella","3","la Barceloneta","10 a 10,9",516
2019,"1","Ciutat Vella","3","la Barceloneta","11 a 11,9",806
2019,"1","Ciutat Vella","3","la Barceloneta","12 a 12,9",478
2019,"1","Ciutat Vella","3","la Barceloneta","13 a 13,9",538
2019,"1","Ciutat Vella","3","la Barceloneta","14 a 14,9",60
2019,"1","Ciutat Vella","3","la Barceloneta","15 a 15,9",51
2019,"1","Ciutat Vella","3","la Barceloneta","16 a 19,9",159
2019,"1","Ciutat Vella","3","la Barceloneta","20 i més cf",50
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","Menys 8 cf",226
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","8 a 8,9",123
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","9 a 9,9",214
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","10 a 10,9",542
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","11 a 11,9",923
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","12 a 12,9",560
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","13 a 13,9",779
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","14 a 14,9",92
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","15 a 15,9",62
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","16 a 19,9",259
2019,"1","Ciutat Vella","4","Sant Pere, Santa Caterina i la Ribera","20 i més cf",105
2019,"2","Eixample","5","el Fort Pienc","Menys 8 cf",491
2019,"2","Eixample","5","el Fort Pienc","8 a 8,9",295
2019,"2","Eixample","5","el Fort Pienc","9 a 9,9",451
2019,"2","Eixample","5","el Fort Pienc","10 a 10,9",1295
2019,"2","Eixample","5","el Fort Pienc","11 a 11,9",2230
2019,"2","Eixample","5","el Fort Pienc","12 a 12,9",1137
2019,"2","Eixample","5","el Fort Pienc","13 a 13,9",1989
2019,"2","Eixample","5","el Fort Pienc","14 a 14,9",205
