"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_censal","Tipologia_parc","Nombre_vehicles"
2019,"1","Ciutat Vella","1","el Raval","1","Turismes",351
2019,"1","Ciutat Vella","1","el Raval","1","Motos",117
2019,"1","Ciutat Vella","1","el Raval","1","Ciclomotors",35
2019,"1","Ciutat Vella","1","el Raval","1","Furgonetes",47
2019,"1","Ciutat Vella","1","el Raval","1","Camions",26
2019,"1","Ciutat Vella","1","el Raval","1","Altres vehicles",49
2019,"1","Ciutat Vella","1","el Raval","2","Turismes",175
2019,"1","Ciutat Vella","1","el Raval","2","Motos",108
2019,"1","Ciutat Vella","1","el Raval","2","Ciclomotors",50
2019,"1","Ciutat Vella","1","el Raval","2","Furgonetes",30
2019,"1","Ciutat Vella","1","el Raval","2","Camions",11
2019,"1","Ciutat Vella","1","el Raval","2","Altres vehicles",4
2019,"1","Ciutat Vella","1","el Raval","3","Turismes",391
2019,"1","Ciutat Vella","1","el Raval","3","Motos",164
2019,"1","Ciutat Vella","1","el Raval","3","Ciclomotors",82
2019,"1","Ciutat Vella","1","el Raval","3","Furgonetes",52
2019,"1","Ciutat Vella","1","el Raval","3","Camions",56
2019,"1","Ciutat Vella","1","el Raval","3","Altres vehicles",6
2019,"1","Ciutat Vella","1","el Raval","4","Turismes",433
2019,"1","Ciutat Vella","1","el Raval","4","Motos",219
2019,"1","Ciutat Vella","1","el Raval","4","Ciclomotors",91
2019,"1","Ciutat Vella","1","el Raval","4","Furgonetes",49
2019,"1","Ciutat Vella","1","el Raval","4","Camions",27
2019,"1","Ciutat Vella","1","el Raval","4","Altres vehicles",6
2019,"1","Ciutat Vella","1","el Raval","5","Turismes",307
2019,"1","Ciutat Vella","1","el Raval","5","Motos",172
2019,"1","Ciutat Vella","1","el Raval","5","Ciclomotors",82
2019,"1","Ciutat Vella","1","el Raval","5","Furgonetes",42
2019,"1","Ciutat Vella","1","el Raval","5","Camions",18
2019,"1","Ciutat Vella","1","el Raval","5","Altres vehicles",8
2019,"1","Ciutat Vella","1","el Raval","6","Turismes",208
2019,"1","Ciutat Vella","1","el Raval","6","Motos",104
2019,"1","Ciutat Vella","1","el Raval","6","Ciclomotors",58
2019,"1","Ciutat Vella","1","el Raval","6","Furgonetes",18
2019,"1","Ciutat Vella","1","el Raval","6","Camions",10
2019,"1","Ciutat Vella","1","el Raval","7","Turismes",244
2019,"1","Ciutat Vella","1","el Raval","7","Motos",108
2019,"1","Ciutat Vella","1","el Raval","7","Ciclomotors",57
2019,"1","Ciutat Vella","1","el Raval","7","Furgonetes",38
2019,"1","Ciutat Vella","1","el Raval","7","Camions",4
2019,"1","Ciutat Vella","1","el Raval","7","Altres vehicles",4
2019,"1","Ciutat Vella","1","el Raval","8","Turismes",327
2019,"1","Ciutat Vella","1","el Raval","8","Motos",162
2019,"1","Ciutat Vella","1","el Raval","8","Ciclomotors",75
2019,"1","Ciutat Vella","1","el Raval","8","Furgonetes",53
2019,"1","Ciutat Vella","1","el Raval","8","Camions",19
2019,"1","Ciutat Vella","1","el Raval","8","Altres vehicles",3
2019,"1","Ciutat Vella","1","el Raval","9","Turismes",245
2019,"1","Ciutat Vella","1","el Raval","9","Motos",134
2019,"1","Ciutat Vella","1","el Raval","9","Ciclomotors",54
2019,"1","Ciutat Vella","1","el Raval","9","Furgonetes",42
