"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL","Unnamed: 32"
99400171522,"Punt de Recollida d'Arbres a la Plaça de Maragall","#","Pl","Maragall",1,1,35,"el Guinardó",7,"Horta-Guinardó",8041,19,"BARCELONA",41.419725,2.1805849999999998,431524.64,4585676.2069999995,431616.581,4585877.175,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400171522,"Punt de Recollida d'Arbres a la Plaça de Maragall","#","Pl","Maragall",1,1,35,"el Guinardó",7,"Horta-Guinardó",8041,19,"BARCELONA",41.419725,2.1805849999999998,431524.64,4585676.2069999995,431616.581,4585877.175,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400171525,"Punt de Recollida d'Arbres a la Plaça de Sants - Galileu","#","Pl","Sants",1,1,18,"Sants",3,"Sants-Montjuïc",8028,19,"BARCELONA",41.375675,2.134718,427642.849,4580823.046,427734.756,4581023.968,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400171525,"Punt de Recollida d'Arbres a la Plaça de Sants - Galileu","#","Pl","Sants",1,1,18,"Sants",3,"Sants-Montjuïc",8028,19,"BARCELONA",41.375675,2.134718,427642.849,4580823.046,427734.756,4581023.968,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400171527,"Punt de Recollida d'Arbres a Vilardell - Moianès","#","C","Vilardell",30,30,15,"Hostafrancs",3,"Sants-Montjuïc",8014,19,"BARCELONA",41.374522999999996,2.143227,428353.154,4580688.095,428445.06799999997,4580889.016,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400171527,"Punt de Recollida d'Arbres a Vilardell - Moianès","#","C","Vilardell",30,30,15,"Hostafrancs",3,"Sants-Montjuïc",8014,19,"BARCELONA",41.374522999999996,2.143227,428353.154,4580688.095,428445.06799999997,4580889.016,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173761,"Punt de Recollida d'Arbres als Jardins de Montserrat","#","C","Rocafort",226,226,9,"la Nova Esquerra de l'Eixample",2,"Eixample",8029,19,"BARCELONA",41.385312,2.145518,428556.58200000005,4581883.984,428648.49700000003,4582084.916,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173761,"Punt de Recollida d'Arbres als Jardins de Montserrat","#","C","Rocafort",226,226,9,"la Nova Esquerra de l'Eixample",2,"Eixample",8029,19,"BARCELONA",41.385312,2.145518,428556.58200000005,4581883.984,428648.49700000003,4582084.916,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
99400173769,"Punt de Recollida d'Arbres al  Parc de la Ciutadella i Zoo-Passeig Picasso-Marquès d'Argentera","#","Pg","Picasso",46,46,4,"Sant Pere, Santa Caterina i la Ribera",1,"Ciutat Vella",8003,19,"BARCELONA",41.385628999999994,2.185458,431896.29,4581887.068,431988.23600000003,4582088.001,"","","","07/01","17/01",0,"00:00:00","23:59:00","","Punt de recollida d'arbres de Nadal","Medi ambient","Medi ambient",""
99400173769,"Punt de Recollida d'Arbres al  Parc de la Ciutadella i Zoo-Passeig Picasso-Marquès d'Argentera","#","Pg","Picasso",46,46,4,"Sant Pere, Santa Caterina i la Ribera",1,"Ciutat Vella",8003,19,"BARCELONA",41.385628999999994,2.185458,431896.29,4581887.068,431988.23600000003,4582088.001,"","","","07/01","17/01",0,"00:00:00","23:59:00","","","Recollida d'arbres","Planol",""
