"id","name","institution_id","institution_name","created","modified","addresses_roadtype_id","addresses_roadtype_name","addresses_road_id","addresses_road_name","addresses_start_street_number","addresses_end_street_number","addresses_neighborhood_id","addresses_neighborhood_name","addresses_district_id","addresses_district_name","addresses_zip_code","addresses_main_address","addresses_type","values_id","values_attribute_id","values_category","values_attribute_name","values_attribute_type","values_value","values_outstanding","values_description","secondary_filters_id","secondary_filters_name","secondary_filters_fullpath","secondary_filters_tree","secondary_filters_asia_id","geo_epgs_25831_x","geo_epgs_25831_y","geo_epgs_4326_x","geo_epgs_4326_y"
99400601053,"Zona de Càrrega i Descàrrega * C Solanes, 4","","","2018-07-10T16:09:00+02:00","2018-07-10T16:09:00+02:00","","",327306,"C Solanes",4,"",27,"el Putxet i el Farró",5,"Sarrià-Sant Gervasi",8023,True,"","","","","","","","","","","","","","",428123.6500589789,4584648.094363363,41.41016851847118,2.1400128797775757
99400601054,"Zona de Càrrega i Descàrrega * C Alí Bei, 33","","","2018-07-10T16:09:00+02:00","2018-07-10T16:09:00+02:00","","",9209,"C Alí Bei",33,"",5,"el Fort Pienc",2,"Eixample",8010,True,"","","","","","","","","","","","","","",431395.86768161017,4582660.798425684,41.39255553112864,2.1793856181893747
99400601056,"Zona de Càrrega i Descàrrega * Rbla Onze de Setembre, 61","","","2018-07-10T16:09:00+02:00","2018-07-10T16:09:00+02:00","","",201603,"Rbla Onze de Setembre",61,"",60,"Sant Andreu",9,"Sant Andreu",8030,True,"","","","","","","","","","","","","","",432347.7825961196,4586810.46915755,41.4300109766373,2.1903069628032155
99400601067,"Zona de Càrrega i Descàrrega * C Cartellà, 195","","","2018-07-10T16:09:00+02:00","2018-07-10T16:09:00+02:00","","",69109,"C Cartellà",195,"",43,"Horta",7,"Horta-Guinardó",8031,True,"","","","","","","","","","","","","","",430090.7364886938,4586884.440978,41.43048393522485,2.163287756456242
99400601068,"Zona de Càrrega i Descàrrega * Pg Fabra i Puig, 279","","","2018-07-10T16:09:00+02:00","2018-07-10T16:09:00+02:00","","",119003,"Pg Fabra i Puig",279,"",44,"Vilapicina i la Torre Llobeta",8,"Nou Barris",8031,True,"","","","","","","","","","","","","","",430697.59960370313,4586858.454356043,41.430302475201344,2.170553271073404
99400600557,"Zona de Càrrega i Descàrrega * C Lope de Vega, 249","","","2018-07-10T16:08:56+02:00","2018-07-10T16:08:56+02:00","","",180401,"C Lope de Vega",249,"",65,"el Clot",10,"Sant Martí",8018,True,"","","","","","","","","","","","","","",432696.1316382775,4584692.464871463,41.410964039338715,2.1947114713566944
99400600558,"Zona de Càrrega i Descàrrega * C Sant Carles, 13","","","2018-07-10T16:08:56+02:00","2018-07-10T16:08:56+02:00","","",298004,"C Sant Carles",13,"",3,"la Barceloneta",1,"Ciutat Vella",8003,True,"","","","","","","","","","","","","","",432251.93266020494,4581178.209066247,41.3792748156749,2.1897903158404857
99400600560,"Zona de Càrrega i Descàrrega * C Sant Rafael, 18","","","2018-07-10T16:08:56+02:00","2018-07-10T16:08:56+02:00","","",310303,"C Sant Rafael",18,"",1,"el Raval",1,"Ciutat Vella",8001,True,"","","","","","","","","","","","","","",430581.47689692886,4581204.677469004,41.37937082669708,2.1698120312653977
99400602258,"Zona de Càrrega i Descàrrega * C Agricultura, 55","","","2018-07-10T16:09:09+02:00","2018-07-10T16:09:09+02:00","","",3406,"C Agricultura",55,"",69,"Diagonal Mar i el Front Marítim del Poblenou",10,"Sant Martí",8019,True,"","","","","","","","","","","","","","",434086.8771426079,4584629.0107640205,41.41050778045965,2.2113570780165173
99400600566,"Zona de Càrrega i Descàrrega * C Tapioles, 18","","","2018-07-10T16:08:56+02:00","2018-07-10T16:08:56+02:00","","",330504,"C Tapioles",18,"",11,"el Poble-sec",3,"Sants-Montjuïc",8004,True,"","","","","","","","","","","","","","",430132.46739003924,4580591.498362093,41.37380925055224,2.164513475956171
