"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 45"
"Fira Internacional de Barcelona","","","Si","2012-07-23","2012","","","Aprovats pel Consell General de la Fira de 23-07-2012","","Substitueix els Estatuts de l'any 2000 [http://hdl.handle.net/11703/88594]","","","application/pdf","2 documents","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106136","cat","","","","","","","","","http://hdl.handle.net/11703/88594","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Fira Internacional de Barcelona | Fira Internacional de Barcelona | Fira Internacional de Barcelona","Sector públic","estatuts","","Estatuts de la Fira Internacional de Barcelona [2012 text refós no oficial]","","text","info:eu-repo/semantics/other",""
"Fundació BCN Formació Professional","","","No","2006-02-24","2006","","","Aprovats pel Plenari del Consell Municipal de 24-02-2006 | Podeu consultar la versió publicada al Butlletí Oficial de la Província de Barcelona a: http://hdl.handle.net/11703/89191","Substituït pels Estatuts de la Fundació BCN Formació Professional [2006 text refós no oficial] [http://hdl.handle.net/11703/106335]","","","","application/pdf","11 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106334","cat","","http://hdl.handle.net/11703/89191","","","","","http://hdl.handle.net/11703/106335","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació BCN Formació Professional","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació BCN Formació Professional | Fundació BCN Formació Professional | Fundació BCN Formació Professional","Sector públic","estatuts","","Estatuts de la Fundació BCN Formació Professional [2006 text no oficial]","","text","info:eu-repo/semantics/other",""
"Consorci Mercat de les Flors","","","Si","2015-04-07","2015-04-09","","","Aprovats per acord de Govern de la Generalitat de 07-04-2015 | Canvi de nom. Fins aleshores: Consorci Mercat de les Flors/Centre de les Arts de Moviment | Podeu consultar-ne una altra versió a: http://hdl.handle.net/11703/106096","","Substitueix els Estatuts del Consorci Mercat de les Flors/Centre de les Arts de Moviment [2015 text refós] [ http://hdl.handle.net/11703/88487]","","","application/pdf","10 p.","application/pdf","18452","","Diari Oficial de la Generalitat de Catalunya, núm. 6847 (09-04-2015)","consorcis","http://hdl.handle.net/11703/88584","cat","","http://hdl.handle.net/11703/106096","","","","","","","http://hdl.handle.net/11703/88487","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Consorci Mercat de les Flors | Consorci Mercat de les Flors | Consorci Mercat de les Flors","Sector públic","estatuts","","Estatuts del Consorci Mercat de les Flors [2015 text refós]","","text","info:eu-repo/semantics/other",""
"Serveis Funeraris de Barcelona, S.A.","","","No","1997-04-25","1997-09-10","","","Aprovada pel Plenari del Consell Municipal de 25-04-1997","","Modifica els Estatuts de Serveis Funeraris de Barcelona [1997][http://hdl.handle.net/11703/86749]","","","application/pdf","1 p.","application/pdf","5816","","Gaseta Municipal de Barcelona, núm. 10 (10-09-1997), p. 1077","societats mercantils","http://hdl.handle.net/11703/88666","cat","","","","","","","","http://hdl.handle.net/11703/86749","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Serveis Funeraris de Barcelona, S.A. | Serveis Funeraris de Barcelona, S.A. | Serveis Funeraris de Barcelona, S.A.","Societat i benestar","estatuts","","Estatuts de Serveis Funeraris de Barcelona [1997] : modificació [1997-04-25]","","text","info:eu-repo/semantics/other",""
"Fundació Privada AAVC","","","Si","2012-12-19","2013","","","Acta notarial, 19 de desembre de 2012, dóna fe el notari Don Miquel Tarragona Coromina","","","","","application/pdf","19 p.","application/pdf","","","","fundacions","http://hdl.handle.net/11703/106329","cat","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Fundació Privada AAVC","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Privada AAVC | Fundació Privada AAVC | Fundació Privada AAVC","Sector públic","estatuts | documents digitalitzats","","Estatuts de la Fundació Privada AAVC [2012 text no oficial]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Gran Teatre del Liceu. Consorci","","","Si","1994-06-28","1994-08-08","","","Aprovats pel Decret 208/1994 de 28-06-1994","Substituït pels Estatuts de l'any 2006. Podeu consultar el text no oficial a: http://hdl.handle.net/11703/106203","","Digitalitzat pel SEDAC","","application/pdf","3 p.","application/pdf","5609","","Diari Oficial de la Generalitat de Catalunya, núm. 1931 (08-08-1994)","consorcis","http://hdl.handle.net/11703/88565","cat","","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/106203","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Gran Teatre del Liceu. Consorci | Gran Teatre del Liceu. Consorci | Gran Teatre del Liceu. Consorci","Sector públic","estatuts | documents digitalitzats","","Estatuts del Consorci del Gran Teatre del Liceu [1994 text refós]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Consorci Casa Àsia","","","Si","2006-12-15","2007","","","Aprovats pel Consell Rector del Consorci de 15-12-2006 | Podeu consultar la versió publicada al Diari Oficial de la Generalitat de Catalunya a: http://hdl.handle.net/11703/88547 | El contingut del document està especificat al camp “Altres títols”","","Substitueix els Estatutos de la Casa Asia [2002 texto no oficial] [http://hdl.handle.net/11703/106197]","","","application/pdf","2 documents","application/pdf","","","","consorcis","http://hdl.handle.net/11703/106202","spa","","http://hdl.handle.net/11703/88547","","","","","","","http://hdl.handle.net/11703/106197","","CC-BY","info:eu-repo/semantics/openAccess","","Consorci Casa Àsia","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci Casa Àsia | Consorci Casa Àsia | Consorci Casa Àsia","Sector públic | Cultura i oci","estatuts | convenis de col·laboració","","Estatutos de la Casa Asia [2006 texto no oficial]","Convenio de colaboración entre el Ministerio de Asuntos Exteriores, la Generalitat de Catalunya y el Ayuntamiento de Barcelona para la creación de ""Casa Asia""","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Barcelona Gestió Urbanística, S.A.","","","Si","2012-12-21","2013-01-18","","","Aprovats pel Plenari del Consell Municipal de 21-12-2012","Modificats pel Plenari del Consell Municipal de 24-07-2013 [http://hdl.handle.net/11703/97450]","Substitueix els Estatuts de la Societat Municipal Barcelona Gestió Urbanística [2004 text refós] [http://hdl.handle.net/11703/89201]","","","application/pdf","7 p.","application/pdf","10370","","Butlletí Oficial de la Província de Barcelona (18-01-2013)","societats mercantils","http://hdl.handle.net/11703/85192","cat","","","","","","","","","http://hdl.handle.net/11703/89201","http://hdl.handle.net/11703/97450","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Barcelona Gestió Urbanística, S.A. | Barcelona Gestió Urbanística, S.A. | Barcelona Gestió Urbanística, S.A.","Sector públic | Urbanisme i infraestructures","estatuts","","Estatuts de la Societat Municipal Barcelona Gestió Urbanística [2012 text refós]","","text","info:eu-repo/semantics/other",""
"Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","","","Si","2013-04-26","2014","","","Aprovats en l'Assemblea General celebrada el 10-05-2013 en Ciudad de Cuenca (Equador)","","Substitueix els Estatutos Fundacionales del Centro Iberoamericano de Desarrollo Estratégico Urbano - CIDEU [1993 text no oficial] [http://hdl.handle.net/11703/106594]","","","application/pdf","12 p.","application/pdf","17061","","","associacions","http://hdl.handle.net/11703/88519","cat","","","","","","","","","http://hdl.handle.net/11703/106594","","CC-BY","info:eu-repo/semantics/openAccess","","Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","http://creativecommons.org/licenses/by/4.0/deed.ca","Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU) | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU) | Centro Iberoamericano de Desarrollo Estratégico Urbano (CIDEU)","Sector públic","estatuts","","Estatutos fundacionales del Centro Iberoamericano de Desarrollo Estratégico Urbano - CIDEU [2013 text no oficial]","","text","info:eu-repo/semantics/other",""
"Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA)","","","Si","2016","2016","","","","","","","","application/pdf","8 p.","application/pdf","","","","societats mercantils","http://hdl.handle.net/11703/106562","cat","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA)","http://creativecommons.org/licenses/by/4.0/deed.ca","Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA) | Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA) | Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA)","Sector públic","estatuts","","Estatuts de la Societat Urbanística Metropolitana de Rehabilitació i Gestió, S.A. (REGESA) [2016 text no oficial]","","text","info:eu-repo/semantics/other",""
