"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecopyright","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2017","","","2017","2018","Informe presentat al Plenari del Consell Municipal de 23-03-2018 | Podeu consultar la versió en català a: http://hdl.handle.net/11703/108514","","","","","application/pdf","190 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111387","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/108514","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.es","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2017","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Direcció de Comerç i Consum | Regidoria de Comerç, Consum i Mercats | Àrea d'Economia, Empresa i Ocupació","","Barcelona | Barcelona | Barcelona","2013","","","2014-01-22","2014","Informe presentat a la Comissió d'Economia, Empresa i Ocupació del 22-01-2014, pel Sr. Raimond Blasi i Navarro (Regidor de  Comerç, Consum i Mercats i de la d'Adolescència i Joventut. Regidor executiu del Districte de Sant Andreu)","","","","","application/pdf","29 p.","application/pdf","12945","","","Mandat 2011-2015","http://hdl.handle.net/11703/88730","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consum responsable | Comerç | Establiments comercials | Alumnes | Responsible consumption | Commerce | Retail stores | Students | Consumo responsable | Comercio | Comercios | Alumnos","Educació | Comerç","informes als òrgans de govern","El Comerç i les Escoles (Barcelona)","El comerç i les escoles : 2013 : informe","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2020","","","2020-04-17","2020","Informe presentat al Plenari Extraordinari del Consell Municipal de 17-04-2020","Informe elaborat en el context de confinament davant l’emergència provocada per la COVID-19 | Report prepared in the context of confinement to the emergency caused by COVID-19 | Informe elaborado en el contexto de confinamiento ante la emergencia provocada por la COVID-19","","","","application/pdf","32 p.","application/pdf","","","","Mandat 2019-","http://hdl.handle.net/11703/118518","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Coronavirus | Coronaviruses | Coronavirus | Serveis municipals | Municipal services | Servicios municipales | Gestió d'emergències | Emergency management | Gestión de emergencias | Salut pública | Public health | Salud pública | Centres sanitaris | Health facilities | Servicios de salud | Serveis socials | Human services | Servicios sociales | Anàlisi econòmica | Economic Analysis | Análisis económico","Economia | Salut | Sector públic | Societat i benestar","informes als òrgans de govern","","Informe COVID-19 a Barcelona","","text","info:eu-repo/semantics/report",""
"","","Àrea de Medi Ambient","","Barcelona | Barcelona | Barcelona","","","","2010","2010-05","Informe presentat a la Comissió de Sostenibilitat, Serveis Urbans i Medi Ambient de 19-05-2010 | Citat a la Gaseta Municipal de Barcelona, núm. 22 (20-07-2010)","","","","","application/pdf","","application/pdf","8208","","","Mandat 2007-2011","http://hdl.handle.net/11703/93874","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contaminació atmosfèrica | Política ambiental | Atmospheric pollution | Environmental policy | Contaminación atmosférica | Política ambiental","Medi ambient","informes als òrgans de govern | revistes i anuaris","Pla per a la Millora de la Qualitat de l'Aire a Barcelona","Informe sobre les actuacions en curs i previstes, adreçades a la millora de la qualitat de l'aire a la ciutat de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Districte 1. Ciutat Vella","","Barcelona | Barcelona | Barcelona","2008 | 2009 | 2010 | 2011","","","2008-06-18","2008","Informe presentat al Plenari del Consell Municipal de 18-06-2018","","","","","application/pdf","7 p.","application/pdf","4969","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/111323","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Strategic planning | Citizen participation | Planificación estratégica | Participación ciudadana | Planificació estratègica | Participació ciutadana","Sector públic","informes als òrgans de govern","Programa d'Actuació Municipal (PAM) 2008-2011 (Barcelona)","Informe del procés de participació, elaboració i planificació del PAD 2008 - 2011 [versió presentació]","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2005","No","","2006","2006","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87754 | Informe presentat al Plenari del Consell Municipal","","","","","application/pdf","82 p.","application/pdf","3391","","","Mandat 2003-2007","http://hdl.handle.net/11703/87809","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/87754","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2005","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea de Medi Ambient","","Barcelona | Barcelona | Barcelona","","","","2010-02-26","2010","Informe presentat al Plenari del Consell Municipal de 26-02-2010 | Citada a la Gaseta Municipal de Barcelona, núm. 12 (10-04-2010)","","","","","application/pdf","24 p.","application/pdf","4977","","","Mandat 2007-2011","http://hdl.handle.net/11703/88753","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Aigües subterrànies | Aigua | Fonts | Política ambiental | Groundwater hydrology | Water | Fountains | Environmental policy | Hidrología de aguas subterraneas | Agua | Fuentes | Política ambiental","Medi ambient","informes als òrgans de govern","","Informe sobre actuacions a les fonts i a la xarxa de l'aigua freàtica de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Direcció de Democràcia Activa i Descentralització | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","","2017-02-14","2019-02","","","","","","application/pdf","22 p.","application/pdf","","","","Mandat 2015-2019","http://hdl.handle.net/11703/113939","cat","","http://hdl.handle.net/11703/113904","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Immigrants | Comunicació intercultural | Citizen participation | Immigrants | Intercultural communication | Participación ciudadana | Emigrantes | Comunicación intercultural","Sector públic | Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","","Informe de seguiment de la mesura de govern pel foment de la participació de persones d’orígens i contextos culturals diversos","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Direcció de Gestió Econòmica | Direcció de Serveis d'Inversions","","Barcelona | Barcelona | Barcelona","2008 | 2009 | 2010 | 2011","","","2011-03-25","2011","Informe presentat al Plenari del Consell Municipal de 25-03-2011 | Citat a la Gaseta Municipal de Barcelona, núm. 19 (30-06-2011)","","","","","application/pdf","42 p.","application/pdf","8065","","","Mandat 2007-2011","http://hdl.handle.net/11703/86825","eng","","http://hdl.handle.net/11703/86833 | http://hdl.handle.net/11703/88762","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Política econòmica | Política fiscal | Inversions | Economic policy | Fiscal policy | Investments | Política económica | Política fiscal | Inversiones","Economia | Sector públic","informes als òrgans de govern | informes d'avaluació i de seguiment","Programa d'Inversions Municipals 2008-2011 (Barcelona)","Mandate Report : 2008-2011","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Àrea de Qualitat de Vida, Igualtat i Esports | Regidoria de Dona i Drets Civils | Direcció del Programa de Dona","","Barcelona | Barcelona | Barcelona","2011 | 2012","","","2013-06-18","2013","Informe presentat a la Comissió de Qualitat de Vida, Igualtat, Joventut i Esports de 18-06-2013","","","","","application/pdf","39 p.","application/pdf","13355","","","Mandat 2007-2011","http://hdl.handle.net/11703/86756","cat","Ajuntament de Barcelona","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Prostitució | Tràfic de persones | Prostitution | Human trafficking | Prostitución | Trata de personas","Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","Pla per a l'Abordatge Integral del Treball Sexual (Barcelona)","Informe 2012 de l'estat d'execució i impacte de les actuacions de l'Agència ABITS per a l'abordatge integral de la prostitució","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
