"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsource","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 47"
"Ajuntament de Barcelona | Institut Municipal de Mercats (Barcelona)","Barcelona | Barcelona | Barcelona","","No","2013-06-28","2013-07-30","2018-12-19","2013-09-25","Aprovada pel Plenari del Consell Municipal de 28-06-2013","","Modifica l'Ordenança municipal de mercats [2008] [http://hdl.handle.net/11703/86852]","","","application/pdf","10 p.","application/pdf","13286","","Butlletí Oficial de la Província de Barcelona (30-07-2013)","organismes autònoms","","http://hdl.handle.net/11703/86853","cat","","","","","","","","","http://hdl.handle.net/11703/86852","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Mercats | Markets | Mercados","Legislació i justícia | Comerç","ordenances municipals","Ordenança municipal de mercats [2008] : modificació [2013-06-28]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1984-07-17","1985-01-01","1999-05-21","1985-01-02","Aprovada pel Plenari del Consell Municipal de 17-07-1984","","Modifica l'Ordenança sobre els aliments i els establiments alimentaris [1983] [http://hdl.handle.net/11703/91640]","Digitalitzat pel SEDAC","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 1 (01-01-1985), p. 5 | Gaseta Municipal de Barcelona, núm. 2 (20-01-1985)","","","http://hdl.handle.net/11703/99068","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91640","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Comerç | Establiments comercials | Alimentació | Mercats | Commerce | Retail stores | Diet | Markets | Comercio | Comercios | Alimentación | Mercados","Legislació i justícia | Comerç | Urbanisme i infraestructures","ordenances municipals | documents digitalitzats","Ordenança sobre els aliments i els establiments alimentaris [1983] : modificació [1985-01-02]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2001-02-16","2001-04-14","2011-05-31","2001-03-15","Aprovada pel Plenari del Consell Municipal de 16-02-2001","","Modifica l'Ordenança d'establiments i centres de comerç alimentari [1999] [http://hdl.handle.net/11703/91608]","","","application/pdf","2 p.","application/pdf","9925","","Butlletí Oficial de la Província de Barcelona, núm. 63 (14-04-2001), p. 35-36","","","http://hdl.handle.net/11703/91609","cat","","","","","","","","","http://hdl.handle.net/11703/91608","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Comerç | Establiments comercials | Alimentació | Commerce | Retail stores | Diet | Comercio | Comercios | Alimentación","Legislació i justícia | Comerç","ordenances municipals","Ordenança d'establiments i centres de comerç alimentari [1999] : modificació [2001-02-16]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1942-07-14","1942-08-01","","1942-07-20","Aprovada pel Plenari del Consell Municipal de 14-07-1942","","Modifica les Ordenanzas municipales de la ciudad de Barcelona [1891] [http://hdl.handle.net/11703/100152]","","","application/pdf","21 p.","application/pdf","","","Gaceta municipal de Barcelona, núm. 30-31 (01-08-1942), p. 384-404","","","http://hdl.handle.net/11703/106772","spa","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/100152","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Ordenances municipals | Municipal ordinances | Ordenanzas municipales","Habitatge | Legislació i justícia | Urbanisme i infraestructures","documents digitalitzats | ordenances municipals","Ordenanzas municipales de la ciudad de Barcelona [1891] : modificació [1941-07-14]","Reforma de las Ordenanzas Municipales de Barcelona en materia de edificación","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1986-04-05","1986-04-04","1997-12-31","1986-04-05","Aprovada pel Plenari del Consell Municipal de 27-12-1985 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/91617 (ed. 1993), http://hdl.handle.net/11703/91618 (ed. 1986)","Modificada pel Plenari del Consell Municipal de 12-06-1988 [http://hdl.handle.net/11703/99385] | Modificada pel Plenari del Consell Municipal de 25-10-1996 [http://hdl.handle.net/11703/97240] | Derogada per l'Ordenança de cementiris [1997] [http://hdl.handle.net/11703/86847] | Derogada per l'Ordenança reguladora dels serveis funeraris de Barcelona [1997] [http://hdl.handle.net/11703/88836]","Deroga els art. 1980-2117 de les Ordenanzas municipales [1947] [ed. 1978] | Deroga l'Ordenança reguladora del Servei d'incineració de cadàvers i despulles humanes [1981] [http://hdl.handle.net/11703/91610]","Digitalitzat pel SEDAC","","application/pdf","7 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm. 81, Annex I (04-04-1986), p. 19-25 | Publicada també a la Gaseta Municipal de Barcelona, núm. 11 (20-04-1986)","","","http://hdl.handle.net/11703/97239","cat","","http://hdl.handle.net/11703/91617 | http://hdl.handle.net/11703/91618","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/86847 | http://hdl.handle.net/11703/88836","http://hdl.handle.net/11703/96474","","http://hdl.handle.net/11703/91610","http://hdl.handle.net/11703/99385 | http://hdl.handle.net/11703/97240","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Cementiris | Cemeteries | Cementerios","Legislació i justícia | Societat i benestar","ordenances municipals | documents digitalitzats","Ordenança de cementiris [1985]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1990-09-28","1990-12-20","2004-01-15","1990-12-21","Aprovada pel Plenari del Consell Municipal de 28-09-1990","","Modifica l'Ordenança dels establiments de concurrència pública [1987] [http://hdl.handle.net/11703/91635]","Digitalitzat pel SEDAC","","application/pdf","2 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm 305 Annex 1 (20-12-1990), p. 26-27 | Publicada també a Gaseta Municipal de Barcelona, núm. 5 (20-02-1991), p. 118-119","","","http://hdl.handle.net/11703/98732","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91635","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Establiments de concurrència pública | Public areas | Establecimientos de concurrencia pública","Legislació i justícia | Comerç","ordenances municipals | documents digitalitzats","Ordenança dels establiments de concurrència pública [1987] : modificació [1990-09-28]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona. Districte 6. Gràcia | Barcelona. District 6. Gràcia | Barcelona. Distrito 6. Gràcia","","No","1975-01-21","1975-09-30","1999-01-15","1975-10-02","Aprovada pel Plenari del Consell Municipal de 21-01-1975 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96474 (ed. 1978 en castellà) | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/99389 (ed. 1993 en català)","Derogat l'art. 5 per les Normes reguladores de les activitats desenvolupades a la via pública [1987] [http://hdl.handle.net/11703/91616] | Derogada per l'Ordenança sobre l'ús de les vies i els espais públics de Barcelona [1999] [http://hdl.handle.net/11703/89244","Derogat l'art. 5 per les Normes reguladores de les activitats desenvolupades a la via pública [1987] [http://hdl.handle.net/11703/91616","Digitalitzat pel SEDAC","","application/pdf","9 p.","application/pdf","6518","","Boletín Oficial de la Provincia de Barcelona, núm. 219 (12-09-1975), p. 14 | Gaseta Municipal de Barcelona, núm. 27 (30-09-1975), p. 661-662","",8476096089.0,"http://hdl.handle.net/11703/91615","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/96474 | http://hdl.handle.net/11703/99389","","","","Reproducció digital del document en suport original","","http://hdl.handle.net/11703/89244","http://hdl.handle.net/11703/91616","","","http://hdl.handle.net/11703/91616","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Espais públics | Comerç | Public spaces | Commerce | Espacios públicos | Comercio","Sector públic | Legislació i justícia | Comerç","ordenances municipals | documents digitalitzats","Ordenança sobre ocupació de les voravies del passeig de Gràcia per a instal·lacions particulars [1975]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2001-04-10","2001-05-02","2011-05-19","2001-10-01","Aprovada pel Plenari del Consell Municipal de 10-04-2001","","Modifica l'Ordenança general del medi ambient urbà [1999] [http://hdl.handle.net/11703/91612]","","","application/pdf","2 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm 105 (02-05-2001), p. 3-4","","","http://hdl.handle.net/11703/97149","cat","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/91612","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Establiments de concurrència pública | Environment | Public areas | Medio ambiente | Establecimientos de concurrencia pública","Legislació i justícia | Medi ambient","ordenances municipals | documents digitalitzats","Ordenança general del medi ambient urbà [1999] : modificació [2001-04-10]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","2006-07-21","2006-08-09","2011-05-19","2006-08-09","Aprovada pel Plenari del Consell Municipal de 21-07-2006","","Modifica l'Ordenança general del medi ambient urbà [1999] [http://hdl.handle.net/11703/91612]","","","application/pdf","25 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona, núm 189 (09-08-2006), p. 18-42 | Correccions d'errades: Butlletí Oficial de la Província de Barcelona, núm. 258 (22-10-2006), p 29","","","http://hdl.handle.net/11703/97152","cat","","","","","","","","","http://hdl.handle.net/11703/91612","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Medi ambient | Establiments de concurrència pública | Environment | Public areas | Medio ambiente | Establecimientos de concurrencia pública","Legislació i justícia | Medi ambient","ordenances municipals","Ordenança general del medi ambient urbà [1999] : modificació [2006-07-21]","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","Barcelona | Barcelona | Barcelona","","No","1927-08-05","1927-08-08","","1927-08-08","Aprovada pel Plenari del Consell Municipal de 08-08-1927 | Podeu consultar la versió no oficial a: http://hdl.handle.net/11703/96477 (ed. 1927 en castellà)","","","Digitalitzat pel SEDAC","","application/pdf","5 p.","application/pdf","","","Gaceta municipal de Barcelona, núm. 31 (08-08-1927), p. 681-685","","","http://hdl.handle.net/11703/100154","spa","","http://hdl.handle.net/11703/96477","","","","Reproducció digital del document en suport original","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","","Establiments comercials | Alimentació | Retail stores | Diet | Comercios | Alimentación","Comerç | Legislació i justícia | Salut","documents digitalitzats | ordenances municipals","Reglamento u ordenanza de carnicerías [1927]","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
