"dcAccrualPeriodicity","dcAccrualPolicy","dccontributor","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 46"
"Anual","Oberta","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2017","","2017","2018","Informe presentat al Plenari del Consell Municipal de 23-03-2018 | Podeu consultar la versió en català a: http://hdl.handle.net/11703/108514","","","application/pdf","190 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/111387","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/108514","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.es","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2017","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Departament de Transversalitat de Gènere | Gerència Municipal | Àrea de Drets Socials, Justícia Global, Feminismes i LGTBI","","Barcelona | Barcelona | Barcelona","2018 | 2019","","2020","2020-03","","","","application/pdf","65 p.","application/pdf","","","","","Mandat 2019-","http://hdl.handle.net/11703/117750","cat","","","","","","","","","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Dones pobres | Treball precari | Igualtat entre els sexes | Política sanitària | Política laboral | Política de l'habitatge | Poor women | Precarious employment | Gender equality | Medical policy | Labor policy | Housing policy | Mujeres pobres | Trabajo precario | Igualdad de género | Política sanitaria | Política laboral | Política de vivienda","Societat i benestar","informes d'avaluació i de seguiment","Estratègia contra la Feminització de la Pobresa i la Precarietat a Barcelona 2016-2024 (Barcelona)","Tercer informe de seguiment de l’Estratègia contra la feminització de la pobresa i la precarietat (2016-2024)","Informe 2018-2019","text","info:eu-repo/semantics/report",""
"","","","Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","2008 | 2009","","2009-12-02","2009-12-02","Presentat al Consell Plenari del Districte de Les Corts de 02-12-2009","","","application/pdf","37 p.","application/pdf","3477","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/102238","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Política social | Política ambiental | Política econòmica | Ordenació del territori | Rehabilitació urbana | Desenvolupament urbà sostenible | Strategic planning | Social policy | Environmental policy | Economic policy | Regional planning | Urban renewal | Sustainable urban development | Planificación estratégica | Política social | Política ambiental | Política económica | Ordenación del territorio | Rehabilitación urbana | Desarrollo urbano sostenible","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Les Corts (PAD) 2008-2011 (Barcelona)","Informe de l'estat d'execució del PAD Les Corts 2008-2011: 2n semestre 2009","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Districte 4. Les Corts","","Barcelona. Districte 4. Les Corts | Barcelona. District 4. Les Corts | Barcelona. Distrito 4. Les Corts","2008 | 2009","","2009-07-09","2009-07-09","Presentat al Consell Plenari del Districte el 09-07-2009","","","application/pdf","29 p.","application/pdf","3476","","","districtes","Mandat 2007-2011","http://hdl.handle.net/11703/102237","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Política social | Política ambiental | Política econòmica | Ordenació del territori | Rehabilitació urbana | Desenvolupament urbà sostenible | Strategic planning | Social policy | Environmental policy | Economic policy | Regional planning | Urban renewal | Sustainable urban development | Planificación estratégica | Política social | Política ambiental | Política económica | Ordenación del territorio | Rehabilitación urbana | Desarrollo urbano sostenible","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Les Corts (PAD) 2008-2011 (Barcelona)","Informe de l'estat d'execució del PAD Les Corts 2008-2011: 1r semestre 2009","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","2012 | 2013 | 2014 | 2015","","2015","2015","","","","application/pdf","148 p.","application/pdf","18479","","","districtes","Mandat 2011-2015","http://hdl.handle.net/11703/86829","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Política social | Política econòmica | Política pública | Strategic planning | Social policy | Economic policy | Government policy | Planificación estratégica | Política social | Política económica | Política gubernamental","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació del Districte de Nou Barris (PAD) 2012-2015 (Barcelona)","Balanç de mandat : Districte de Nou Barris 2012-2015 [versió presentació]","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","","","Consell Municipal d'Immigració (Barcelona)","","Barcelona","2008 | 2009","No","2009-11","2009-11","","","","application/pdf","2 p.","application/pdf","","","","consells","Mandat 2007-2011","http://hdl.handle.net/11703/110816","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Consell Municipal d'Immigració","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal d'Immigració (Barcelona) | Mercat de treball | Treballadors estrangers | Integració social | Consell Municipal d'Immigració (Barcelona) | Labor market | Alien labor | Social integration | Consell Municipal d'Immigració (Barcelona) | Mercado de trabajo | Trabajadores extranjeros | Integración social","Societat i benestar","memòries | informes d'avaluació i de seguiment","","Balanç del Consell Municipal d’Immigració de Barcelona des de l’aprovació del pla de treball (juny 2008- novembre 2009)","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Institut Infància i Adolescència de Barcelona | Universitat de Barcelona. Grup de Recerca en Educació Moral (GREM) | Novella Cámara, Ana M. (Ana María) | Laguia León, Vicky | Ruiz Bueno, Antoni","","Barcelona | Barcelona | Barcelona","2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016","","2017","2017-09","Sol·licitant de l’informe: Institut Municipal d'Educació (Barcelona) | Podeu consultar la versió completa de l'Informe Avaluació del Programa Audiència Pública de nois i noies de Barcelona a: http://hdl.handle.net/11703/106064","","","application/pdf","29 p.","application/pdf","","","","consorcis","Mandat 2015-2019","http://hdl.handle.net/11703/106065","cat","","","","","","","","http://hdl.handle.net/11703/106064","","CC-BY-NC-SA","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona | Institut Infància i Adolescència de Barcelona","http://creativecommons.org/licenses/by-nc-sa/4.0/deed.ca","Participació dels joves | Drets polítics | Participation, Juvenile | Political rights | Participación de la juventud | Derechos políticos","Sector públic | Societat i benestar","informes d'avaluació i de seguiment","Programa Municipal Audiència Pública de nois i noies de Barcelona 1994-","Informe d'avaluació del Programa Audiència Pública de Nois i Noies de Barcelona : resum executiu [versió presentació]","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","Oberta","","Sindicatura de Greuges de Barcelona","","Barcelona | Barcelona | Barcelona","2005","No","2006","2006","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87754 | Informe presentat al Plenari del Consell Municipal","","","application/pdf","82 p.","application/pdf","3391","","","","Mandat 2003-2007","http://hdl.handle.net/11703/87809","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/87754","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sindicatura de Greuges de Barcelona | Responsabilitat administrativa | Sindicatura de Greuges de Barcelona | Government liability | Sindicatura de Greuges de Barcelona | Responsabilidad del Estado","Societat i benestar","informes d'avaluació i de seguiment | informes als òrgans de govern | memòries","","Actividad de la Sindicatura de Greuges de Barcelona: Informe 2005","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2012 | 2013","","2014","2014","","","","application/pdf","113 p.","application/pdf","14120","","","","Mandat 2011-2015","http://hdl.handle.net/11703/88823","cat","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica | Strategic planning | Planificación estratégica","Sector públic","informes d'avaluació i de seguiment","Programa d'Actuació Municipal (PAM) 2012-2015 (Barcelona)","Marc estratègic de l'Ajuntament de Barcelona: balanç 2013","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","","Direcció de Democràcia Activa i Descentralització | Gerència de Drets de Ciutadania, Participació i Transparència","","Barcelona | Barcelona | Barcelona","","","2017-02-14","2019-02","","","","application/pdf","22 p.","application/pdf","","","","","Mandat 2015-2019","http://hdl.handle.net/11703/113939","cat","","http://hdl.handle.net/11703/113904","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Immigrants | Comunicació intercultural | Citizen participation | Immigrants | Intercultural communication | Participación ciudadana | Emigrantes | Comunicación intercultural","Sector públic | Societat i benestar","informes als òrgans de govern | informes d'avaluació i de seguiment","","Informe de seguiment de la mesura de govern pel foment de la participació de persones d’orígens i contextos culturals diversos","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
