"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 49"
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2016","","2016-09-06","2016-09-08","","2016-09-09","Aprovada per resolució del president de l'Institut de Cultura de Barcelona de 06-09-2016","","","","","application/pdf","6 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (08-09-2016)","entitats públiques empresarials","","http://hdl.handle.net/11703/98105","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Equipaments culturals | Real property tax | Arts facilities | Impuestos inmobiliarios | Equipamientos culturales","Cultura i oci","ajuts i subvencions","","Subvencions sobre la quota líquida de l'impost sobre béns immobles corresponent a establiments culturals dedicats a l'exhibició o comerç cultural de caràcter privat 2016 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal de Serveis Socials (Barcelona) | Àrea de Drets Socials, Justícia Global, Feminismes i LGTBI","","Barcelona | Barcelona | Barcelona","2020","Si","2020-02-21","2020-03-12","","2020-03-13","Aprovació inicial per la gerent de l'Institut Municipal de Serveis Socials el 21-02-2020 | Atès que transcorregut el termini de 10 dies d’informació pública no s'ha presentat cap al·legació, han quedat aprovades definitivament","","","","","application/pdf","2 documents","application/pdf","","Núm. Exp. 20190548","Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (25-02-2020) | Butlletí Oficial de la Província de Barcelona (12-03-2020)","organismes autònoms","","http://hdl.handle.net/11703/117826","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Ajuda econòmica | Cuidadors | Dependència en les persones grans | Residències de persones grans | Economic assistance | Caregivers | Dependency (Psychology) in old age | Old age homes | Ayuda económica | Cuidadores | Ancianos con discapacidad | Hogares para ancianos","Societat i benestar","ajuts i subvencions","Programa Respir Plus (Barcelona)","Fons extraordinari per ajuts puntuals d'urgència social, per a famílies de Barcelona que es troben en situació de vulnerabilitat 2020 : bases","","text","info:eu-repo/semantics/other",""
"","","Institut Municipal d'Hisenda (Barcelona)","","Barcelona | Barcelona | Barcelona","2012","","2012-09-06","2012-09-17","","","Aprovada pel gerent de l'Institut Municipal d'Hisenda el 06-09-2012","","","","","application/pdf","","application/pdf",12561.0,"","Butlletí Oficial de la Província de Barcelona (17-09-2012)","organismes autònoms","","http://hdl.handle.net/11703/87017","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Serveis socials | Viduïtat | Real property tax | Human services | Widowhood | Impuestos inmobiliarios | Servicios sociales | Viudez","Hisenda | Societat i benestar","ajuts i subvencions","","Subvenció de l'impost sobre béns immobles, corresponent al domicili habitual, per a persones vídues majors de 65 anys amb pocs recursos econòmics 2012 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2017","","2017-09-28","2017-10-11","","","Aprovació inicial per la Comissió de Govern de 28-09-2017 | No s'ha presentat cap al·legació, per tant, estan definitivament aprovades","","Modifica la base reguladora setena de la Subvenció equivalent a la quota líquida de l'impost sobre béns immobles, corresponent al domicili habitual, a aquelles persones amb pocs recursos econòmics 2017 : convocatòria i bases [http://hdl.handle.net/11703/109276]","","","application/pdf","1 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (11-10-2017)","","","http://hdl.handle.net/11703/109277","cat","","","","","","","","http://hdl.handle.net/11703/109276","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Serveis socials | Arrendador i arrendatari | Real property tax | Human services | Landlord and tenant | Impuestos inmobiliarios | Servicios sociales | Arrendadores y arrendatarios","Habitatge | Hisenda | Societat i benestar","ajuts i subvencions","","Subvenció equivalent a la quota líquida de l'impost sobre béns immobles, corresponent al domicili habitual, a aquelles persones amb pocs recursos econòmics 2017 : convocatòria i bases : modificació [2017-09-28]","","text","info:eu-repo/semantics/other",""
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","2016-09-29","2016-10-04","","2016-08-26","Aprovades per la Comissió de Govern de 25-08-2016","","","","","application/pdf","","application/pdf","","","Aprovació inicial [inclou les Bases]: Butlletí Oficial de la Província de Barcelona (01-08-2016) | Butlletí Oficial de la Província de Barcelona (04-11-2016)","","","http://hdl.handle.net/11703/99220","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Habitatge | Real property tax | Housing | Impuestos inmobiliarios | Vivienda","Habitatge | Societat i benestar","ajuts i subvencions","","Subvencions sobrel a quota líquida de l'impost sobre béns inmobles , correponent al domicili habitual, a aquelles persones amb pocs recursos","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","","Si","2018-12-18","2019-03-15","","2019-03-16","Aprovat per la Junta General del Consorci de l'Habitatge de Barcelona de 18-12-2018 | Document bilingüe català-castellà","","","","","application/pdf","22 p.","application/pdf","","Ref. BDNS 443222","Butlletí Oficial de la Província de Barcelona (15-03-2019)","consorcis","","http://hdl.handle.net/11703/112754","cat | spa","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Programa de la Borsa d'Habitatges de Lloguer de la Ciutat de Barcelona 2016- | Habitatge de lloguer | Vivienda de alquiler | Rental housing | Habitatge públic | Viviendas de protección oficial | Public housing | Arrendament | Arrendamiento | Leases","Habitatge","ajuts i subvencions","","Subvencions per a la inclusió d'habitatges al Programa de la Borsa d'Habitatges de lloguer de la ciutat de Barcelona 2019 : convocatòria i bases [versió en català i castellà]","Subvenciones para la inclusión de viviendas en el programa de la Borsa d’Habitatges de Lloguer de la  ciudad de Barcelonaa 2019 : convocatoria y bases","text","info:eu-repo/semantics/other",""
"Anual","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","2019","Si","2019-06-03","2019-07-16","2019-10-31","2019-07-17","Aprovada per la Comissió Permanent del Consorci de l'Habitatge de Barcelona de 03-06-2019 | Requereix el text refós de les bases reguladores aprovades el 02-05-2018 [http://hdl.handle.net/11703/110977]","","","","Annex 1. Taules IRSC aplicables a aquesta convocatòria | Annex 2. Adreces de les Oficines de l'Habitatge de Barcelona","application/pdf","2 documents","application/pdf","","Ref. BDNS 464904","Butlletí Oficial de la Província de Barcelona (16-07-2019) | Correccions d’errades: Butlletí Oficial de la Província de Barcelona (23-03-2020)","","","http://hdl.handle.net/11703/115075","cat","","","","","","","","","","","http://hdl.handle.net/11703/110977","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Habitatge de lloguer | Vivienda de alquiler | Rental housing | Dret a l'habitatge | Derecho a la vivienda | Right to housing","Habitatge","ajuts i subvencions","","Prestacions per al pagament del lloguer a la ciutat de Barcelona 2019 : convocatòria [versió en català i castellà]","","text","info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona","","Barcelona | Barcelona | Barcelona","2017","No","2017-07-25","2017-09-01","","2017-09-02","Aprovades per decret de la Gerència de l'Institut de Cultura de Barcelona de 25-07-2017 | Bases requerides pel document Ajuts sobre la quota líquida de l'impost sobre béns immobles corresponent a establiments culturals dedicats a l'exhibició o comerç cultural de caràcter privat 2018 : convocatòria [http://hdl.handle.net/11703/109473]","","","","","application/pdf","5 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (01-09-2017)","entitats públiques empresarials","","http://hdl.handle.net/11703/109472","cat","","","","","","","","http://hdl.handle.net/11703/109473","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris | Equipaments culturals | Real property tax | Arts facilities | Impuestos inmobiliarios | Equipamientos culturales","Cultura i oci","ajuts i subvencions","","Ajuts sobre la quota líquida de l'impost sobre béns immobles corresponent a establiments culturals dedicats a l'exhibició o comerç cultural de caràcter privat 2017 : convocatòria i bases","","text","info:eu-repo/semantics/other",""
"Anual","Obert","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2017","No","2017-06-01","2017-06-19","","2017-06-20","Aprovades per la Comissió de Govern d'01-06-2017","","","","","application/pdf","8 p.","application/pdf","","","Butlletí Oficial de la Província de Barcelona (22-06-2017)","","","http://hdl.handle.net/11703/102736","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Desenvolupament comunitari | Integració social | Associacionisme | Community development | Social integration | Associationism | Desarrollo comunitario | Integración social | Asociacionismo","Societat i benestar","ajuts i subvencions","","Subvencions per a la planificació, la gestió i seguiment de plans i processos de desenvolupament comunitari 2017 : convocatòria","","text","info:eu-repo/semantics/other",""
"","","Consorci de l'Habitatge de Barcelona","","Barcelona | Barcelona | Barcelona","2018","No","2018-05-30","2018-06-12","","2018-06-13","Aprovat per la Junta General del Consorci de l'Habitatge de Barcelona de 13-05-2018 | document bilingüe","","","","","application/pdf","49 p.","application/pdf","","Ref. BDNS 401734","Butlletí Oficial de la Província de Barcelona (12-06-2018)","","","http://hdl.handle.net/11703/112562","cat | spa","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política de l'habitatge | Persones desfavorides | Rehabilitació de l'habitatge | Housing policy | People with social disabilities | Housing rehabilitation | Política de vivienda | Marginados sociales | Rehabilitación de viviendas","Habitatge","ajuts i subvencions","Pla pel Dret a l'Habitatge de Barcelona 2016-2025","Ajuts a la rehabilitació a la ciutat de Barcelona per a persones propietàries que es trobin en situació de vulnerabilitat en els edificis d’ús residencial 2018: bases [versió en català i castellà]","Ayudas a la rehabilitación en la ciudad de Barcelona para personas  propietarias que se encuentren en situación de vulnerabilidad en los edificios de uso residencial","text","info:eu-repo/semantics/other",""
