"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 28"
"Consell Econòmic i Social de Barcelona","","","2016-10-09","2016","Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/99165","application/pdf","21 p.","","","consells","","http://hdl.handle.net/11703/99140","cat","","http://hdl.handle.net/11703/99165","","CC-BY","openAccess","","http://creativecommons.org/licenses/by/4.0/deed.ca","Ocupació. Atur. Formació ocupacional","Ocupació","dictàmens","Estratègia per a l'Ocupació de Barcelona 2016-2020","Dictamen sobre l'estratègia per l'ocupació de Barcelona 2016-2019","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2002-09-09","2002","","application/pdf","4 p.",16908.0,"Núm. Exp. 833/1","consells","","http://hdl.handle.net/11703/87338","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Procediment administratiu. Impostos locals","Hisenda","dictàmens","","Liquidacions. Concurrència de liquidacions provisionals d'ofici amb liquidacions definitives (833/1)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-06-26","2006","","application/pdf","6 p.",16900.0,"Núm. Exp. 81/3","consells","","http://hdl.handle.net/11703/87335","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Procediment administratiu. Impostos locals","Hisenda","dictàmens","","Liquidacions. Recurs pendent davant del TEAR (81/3)","","text",""
"Consell Econòmic i Social de Barcelona","Barcelona","2002","2001","2001","","application/pdf","13 p.",11494.0,"","consells","","http://hdl.handle.net/11703/87146","cat","Consell Econòmic i Social de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Política fiscal","Sector públic. Hisenda","dictàmens. ordenances fiscals. preus públics","","Dictamen sobre les Ordenances fiscals i de preu públic 2002","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2003-06-11","2003","","application/pdf","3 p.",16821.0,"Núm. Exp. 948/2","consells","","http://hdl.handle.net/11703/87354","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Vehicles. Exempció d'impostos","Hisenda","dictàmens","","Vehicle de persona amb discapacitat. Prohibició de gaudiment simultani per un altre vehicle (948/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2004-02-23","2004","","application/pdf","4 p.",16750.0,"Núm. Exp. 599/2","consells","","http://hdl.handle.net/11703/87298","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable","Hisenda","dictàmens","","Transmissió del dret de superfície (599/2)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2014-09-22","2014","","application/pdf","2 p.",16942.0,"Núm. Exp. 360/13","consells","","http://hdl.handle.net/11703/87241","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Espais públics. Estimació de la base imposable","Hisenda","dictàmens","","Fet imposable. Vetllador. El fet és l'ocupació no la llicència (360/13)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2004-01-02","2004","","application/pdf","3 p.",16625.0,"Núm. Exp. 596/3","consells","","http://hdl.handle.net/11703/87297","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable","Hisenda","dictàmens","","Impost sobre construccions, instal·lacions i obres. Conceptes no inclosos. Benefici industrial (596/3)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-02-06","2006","","application/pdf","4 p.",16584.0,"Núm. Exp. 175/5","consells","","http://hdl.handle.net/11703/87187","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris. Estimació de la base imposable","Hisenda","dictàmens","","Reclamació contra el valor cadastral (175/5)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2011-11-09","2011","","application/pdf","6 p.",16810.0,"Núm. Exp. 237/10","consells","","http://hdl.handle.net/11703/87208","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Venda a carta de gràcia (237/10)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2008-04-21","2008","","application/pdf","4 p.",16756.0,"Núm. Exp. 57/7","consells","","http://hdl.handle.net/11703/87294","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Estimació de la base imposable","Hisenda","dictàmens","","Valor del terreny. Constitució o transmissió de dret d'usdefruit (57/7)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2016-02","2016-04","","application/pdf. application/pdf","6 p.. 6 p.","","Exp. 525/15. Exp. 525/15","consells","","http://hdl.handle.net/11703/96849","cat. cat","","","","Domini públic. Domini públic","openAccess. openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca. http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Beques. Menjadors escolars. Impostos locals","Hisenda. Hisenda","dictàmens. dictàmens","","Base imposable. Valors cadastrals notificats: les qüestions relatives a la seva formalització són competència del TEAR. Base imposable. Valors cadastrals notificats: les qüestions relatives a la seva formalització són competència del TEAR","","text. text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2006-10-18","2006","","application/pdf","3 p.",16820.0,"Núm. Exp. 479/5","consells","","http://hdl.handle.net/11703/87277","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vehicles. Impostos locals. Exempció d'impostos","Hisenda","dictàmens","","Vehicle de persona amb discapacitat. Irretroactivitat a liquidacions fermes de l'exempció sol·licitada extemporàniament (479/5)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2013-05-23","2013","","application/pdf","3 p.",16800.0,"Núm. Exp. 100/12","consells","","http://hdl.handle.net/11703/87154","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua","Hisenda","dictàmens","","Aportació de béns d'una branca d'activitat. No subjecció (100/12)","","text",""
"Consell de Ciutat de Barcelona","Diagonal, Avinguda (Barcelona)","","2009","2009","","application/pdf","6 p.",5080.0,"","consells","","http://hdl.handle.net/11703/87372","cat","Consell de Ciutat de Barcelona","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Participació ciutadana","Urbanisme i infraestructures","dictàmens","","Dictamen sobre el procés participatiu per a la transformació de l'avinguda Diagonal, en la fase d'informació i d'inici del procés de recollida d'aportacions ciutadanes : aportacions del Consell al debat sobre la transformació de la Diagonal","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2004-04-21","2004","","application/pdf","3 p.",16757.0,"Núm. Exp. 526/3","consells","","http://hdl.handle.net/11703/87282","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos de plusvàlua. Estimació de la base imposable","Hisenda","dictàmens","","Valor del terreny a efectes de l'impost sobre béns immobles (526/3)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2004-01-07","2004","","application/pdf","4 p.",16874.0,"Núm. Exp. 342/3","consells","","http://hdl.handle.net/11703/87235","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos immobiliaris","Hisenda","dictàmens","","Domicili resultant del padró municipal d'habitants (342/3)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2005-03-07","2005","","application/pdf","5 p.",16527.0,"Núm. Exp. 141/4","consells","","http://hdl.handle.net/11703/87169","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos sobre activitats econòmiques","Hisenda","dictàmens","","Qualificació de l'activitat. Agrupacions i unions temporals d'empreses (141/4)","","text",""
"Consell Tributari Municipal (Barcelona)","Barcelona","","2008-12-01","2008","","application/pdf","6 p.",16882.0,"Núm. Exp. 139/7","consells","","http://hdl.handle.net/11703/87168","cat","Consell Tributari Municipal (Barcelona)","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Impostos locals. Vehicles de motor. Sancions econòmiques","Hisenda","dictàmens","","Terceria de domini. Entitat financera en contracte de prestem de financiació a comprador (139/7)","","text",""
