"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmedium","dcformatmimetype","dcidentifierBG","dcidentifierentitat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 36"
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1898 | 1899 | 1900 | 1901 | 1902","1898",1898,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:02055-2) | Unknow author | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:02055-2) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1898 a 1902. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:02055-2) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1898 a 1902.","Pertany al Àlbum A48 ""Vistas Históricas Cubanas"" pertanyent a la Fototeca Histórica. Se s'observa la bandera dels Estats Units hissada alPalacio de los Capitanes Generales, i l'exèrcit envoltant la Plaça d'Armes. | Belongs to Album A48 ""Vistas Históricas Cubanas"" belonging to the Historical Photo Library. The United States flag hoisted in the Palace of the General Captains, and the army surrounding the Plaza de Armas. | Pertenece al Album A48 ""Vistas Históricas Cubanas"" perteneciente a la Fototeca Histórica.Se observa la bandera de los Estados Unidos izada en el Palacio de los Capitanes Generales, y el ejército rodeando la Plaza de Armas.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114411","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Places | Plazas | Plazas","","fotografies | documents digitalitzats","Estatua de Fernando VII en Plaza de Armas de La Habana","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1890 | 1891 | 1892 | 1893 | 1894 | 1895 | 1896 | 1897 | 1898 | 1899 | 1900 | 1901 | 1902 | 1903 | 1904 | 1905 | 1906 | 1907 | 1908 | 1909 | 1910","1890",1890,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:tabaqueria) | Unknow author | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:tabaqueria) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1890 a 1910. | Pertenece al Album A48 ""Vistas Históricas Cubanas"" perteneciente a la Fototeca Histórica. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:tabaqueria) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1890 a 1910.","Pertany al Àlbum A48 ""Vistas Históricas Cubanas"" pertanyent a la Fototeca Històrica. Moment del desembarcament de cavalleria de l'Exèrcit dels Estats Units, durant el perióde de la Primera Ocupació Militar (1899-1902). | Belongs to Album A48 ""Vistas Históricas Cubanas"" belonging to the Historical Photo Library. Moment of the disembarkation of cavalry of the Army of the United States, during the period of the First Military Occupation (1899-1902). | Pertenece al Album A48 ""Vistas Históricas Cubanas"" perteneciente a la Fototeca Histórica. Momento del desembarco de caballería del Ejército de los Estados Unidos, durante el periódo de la Primera Ocupación Militar(1899-1902).","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114417","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Dones | Treball | Entorn de treball | Treball de la dona | Women | Labor | Work environment | Employment of women | Mujeres | Trabajo | Condiciones de trabajo | Trabajo de las mujeres","","fotografies | documents digitalitzats","Tabaqueras","","image","info:eu-repo/semantics/other",""
"Secretaría de Obras Públicas","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1927 | 1928 | 1929","1927",1927,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:05375 CAP) | Approximate creation and publication dates | Archivo depositario del documento  original: Oficina del Historiador de la Ciudad de La Habana(registro original:05375 CAP ) | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1927 a 1929. | Esta imagen forma parte del Fondo del Ministerio de la Construcción, perteneciente a la Fototeca Histórica desde el año 2014. | Arxiu dipositari del document original: Oficina del Historiador de la Ciudad de La Habana(registre original:05375 CAP ) | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1927 a 1929.","Datada 16 de juliol de 1929. Planta de formigó treballant per a la construcció del mur monolític. | Dated July 16, 1929. Concrete plant working for the construction of the monolithic wall. | Fechada 16 de julio de 1929. Planta de hormigón trabajando para la construcción del muro monolítico.","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114362","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Política i govern | Capitolio de La Habana | Politics and government | Capitolio de La Habana | Política y gobierno | Capitolio de La Habana","","fotografies | documents digitalitzats","Capitolio de La Habana Estatua República","","image","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Oficina del Historiador de la Ciudad de La Habana | Trias Vidal de Llobatera, Xavier | Leal Spengler, Eusebio | Cases Pallarès, Jordi","","Barcelona | L'Havana (Cuba) | Barcelona | Havana (Cuba) | Barcelona | La Habana (Cuba)","2013 | 2014 | 2015 | 2016 | 2017","2013-09-26",2013,"Podeu consultar la versió en català a: http://hdl.handle.net/11703/110801 | You can see the catalan version at: http://hdl.handle.net/11703/110801 | Podéis consultar la versión en catalán en: http://hdl.handle.net/11703/110801","","","application/pdf","2 p.","","application/pdf","","","http://hdl.handle.net/11703/110799","","spa","Ajuntament de Barcelona","http://hdl.handle.net/11703/110801","","","Reproducció digital del document en suport original","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.en | http://creativecommons.org/licenses/by/4.0/deed.es","Cooperació internacional | Organismes de l'administració pública | Història | Art | Urbanisme | Arquitectura | Museus | International cooperation | Administrative agencies | History | Art | City planning | Architecture | Museums | Cooperación internacional | Organismos administrativos | Historia | Arte | Urbanismo | Arquitectura | Museos","Sector públic","convenis de col·laboració | documents digitalitzats","Memorándum de entendimiento entre el Ayuntamiento de Barcelona, España y la Oficina del Historiador de la Ciudad de La Habana, Cuba","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Autor desconegut","","Barcelona | Barcelona | Barcelona","1929","1929",1929,"Unknown author | Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 19836). | Issued date based on created date | Autor desconocido | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 19836). | Fecha de publicación basada en la fecha de creación | Autor desconegut | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 19836). | Data de publicació basada en la data de creació.","Plan de Barcelona con la indicación de las áreas de crecimiento en los siglos IV, XIII, XV, XVIII, XIX y XX. Plano que muestra el crecimiento urbano de Barcelona a lo largo de los últimos siglos | Pla de Barcelona amb la indicació de les àrees de creixement en els segles IV, XIII, XV, XVIII, XIX i XX. Planol que mostra el creixement urbà de Barcelona al llarg dels últims segles | Plan of Barcelona with the indication of the growth areas in the 4th, 13th, 15th, 18th, 19th and 20th centuries. Map showing the urban growth of Barcelona over the past centuries","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111893","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en","Plànols | Urbanisme | Plans | City planning | Planos | Urbanismo","","fotografies | plànols | documents digitalitzats","Gráfico del Crecimiento de Barcelona a Través de los Tiempos. Creixement urbà de Barcelona","","image","info:eu-repo/semantics/other",""
"Alsamora, Onofre","","Barcelona | Barcelona | Barcelona","1855","1855",1855,"Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 18248). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 18248). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 18248). | Data de publicació basada en la data de creació.","La Ciudad Vieja a vuelo de pájaro en el momento del derribo de las murallas. Todavía quedan en pie algunos baluartes y el camino de ronda. A mano izquierda la Ciutadella y el paseo de la Explanada, el Toril y la Barceloneta; a mano derecha, Montjuïc. En primer plano, el final del paseo de Gracia y la explanada donde se hizo la plaza de Cataluña, con la estación del ferrocarril. Relación de 52 puntos de interés numerados | La Ciutat Vella a vol d'ocell en el moment de l'enderroc de les muralles. Encara queden en peu alguns baluards i el camí de ronda. A mà esquerra la Ciutadella i el passeig de l'Esplanada, el Toril i la Barceloneta; a mà dreta, Montjuïc. En primer pla, el final del passeig de Gràcia i l'esplanada on es va fer la plaça de Catalunya, amb l'estació del ferrocarril. Relació de 52 punts d'interès numerats | The Old City as the crow flies at the moment of the demolition of the walls. There are still some bastions and the way round. On the left the Ciutadella and the Paseo de la Explanada, the Toril and the Barceloneta; on the right, Montjuïc. In the foreground, the end of Paseo de Gracia and the esplanade where the Plaza de Cataluña was made, with the railway station. List of 52 numbered points of interest","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111890","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en","","","fotografies | documents digitalitzats","La Ciutat Vella a Vol d'Ocell en el Moment de l'Enderroc de Les Muralles. Encara Queden en Peu Alguns Baluards i el Camí de Ronda. a Mà Esquerra la Ciutadella i el Passeig de l'Esplanada, el Toril i la Barceloneta; a Mà Dreta, Montjuïc","","image","info:eu-repo/semantics/other",""
"Domínguez Martí, Josep","","Barcelona. District 5. Sarrià-Sant Gervasi | Tibidabo, Avenue (Barcelona) | Barcelona. Distrito 5. Sarrià-Sant Gervasi | Tibidabo, Avenida (Barcelona) | Barcelona. Districte 5. Sarrià-Sant Gervasi | Tibidabo, Avinguda (Barcelona)","1928","1928",1928,"Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn003991). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn003991). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn003991). | Data de publicació basada en la data de creació","Avenida del Tibidabo with the tram circulating. On the left the Casa Roviralta, on the right the Ignacio Portabella Tower and at the bottom the Rotunda | Avinguda del Tibidabo amb el tramvia circulant. A l'esquerra la Casa Roviralta, a la dreta la Torre Ignacio Portabella i al fons La Rotonda | Avenida del Tibidabo con el tranvía circulando. A la izquierda la Casa Roviralta, a la derecha la Torre Ignacio Portabella y al fondo La Rotonda","","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111460","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en","Carrers | Tramvies | Modernisme | Edificis modernistes | Streets | Street-railroads | Art nouveau | Modernist buildings | Calles | Tranvías | Modernismo | Edificios modernistas","","fotografies | documents digitalitzats","Avinguda del Tibidabo","","image","info:eu-repo/semantics/other",""
"Ballell, Frederic","","Barcelona. District 3. Sants-Montjuïc | Paral·lel, Avenue (Barcelona) | Barcelona. Distrito 3. Sants-Montjuïc | Paral·lel, Avenida (Barcelona) | Barcelona. Districte 3. Sants-Montjuïc | Paral·lel, Avinguda (Barcelona)","1913","1913",1913,"Original file at: Arxiu Fotogràfic de la Ciutat de Barcelona (reference: bcn001124). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Fotogràfic de la Ciutat de Barcelona (registro original: bcn001124). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Fotogràfic de la Ciutat de Barcelona (registre original: bcn001124). | Data de publicació basada en la data de creació","Elevated view of everyday life in the Parallel: people traveling, a tram circulating and some smoky industrial chimneys | Vista elevada de la vida quotidiana al Paral·lel: gent transitant, un tramvia circulant i algunes xemenèies industrials fumejant | Vista elevada de la vida cotidiana en el Paralelo: gente transitando, un tranvía circulando y algunas chimeneas industriales humeante","","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111464","","zxx","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Fotogràfic de la Ciutat de Barcelona","https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca | https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en","Vianants | Fàbriques | Tramvies | Carrers | Pedestrians | Factories | Street-railroads | Streets | Peatones | Fábricas | Tranvías | Calles","","fotografies | documents digitalitzats","Avinguda del Paral·lel","","image","info:eu-repo/semantics/other",""
"Mas Vila, Josep","","Barcelona. District 1. Ciutat Vella | Sant Jaume, Square (Barcelona) | Barcelona. Distrito 1. Ciutat Vella | Sant Jaume, Plaza (Barcelona) | Barcelona. Districte 1. Ciutat Vella | Sant Jaume, Plaça (Barcelona)","1832","1832",1832,"Original file at: Arxiu Històric de la Ciutat de Barcelona (reference: AHCB 03411). | Issued date based on created date | Archivo dipositario del documento original: Arxiu Històric de la Ciutat de Barcelona (registro original: AHCB 03411). | Fecha de publicación basada en la fecha de creación | Arxiu dipositari del document original: Arxiu Històric de la Ciutat de Barcelona (registre original: AHCB 03411). | Data de publicació basada en la data de creació.","Detalle de la fachada de la Casa de la Ciudad. En la parte superior del edificio, escudo de la ciudad. A ambos lados de la puerta de acceso al edificio, sendas estatuas. | Detall de la façana de la Casa de la Ciutat. A la part superior de l'edifici, escut de la ciutat. A banda i banda de la porta d'accés a l'edifici, sengles estàtues. | Detail of the facade of the House of the City. In the upper part of the building, shield of the city. On both sides of the entrance door to the building, two statues.","Digitalitzat per l'Arxiu Històric de la Ciutat de Barcelona","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/111901","","zxx","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Arxiu Històric de la Ciutat de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.es | http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en","Casa de la Ciutat de Barcelona | Edificis institucionals | Casa de la Ciutat de Barcelona | Institutional facilities | Casa de la Ciutat de Barcelona | Edificios institucionales","","fotografies | documents digitalitzats","Fachada para las Casas Consistoriales de la Excelentisima Ciudad de Barcelona: Aprobada por la Rl. Academia de San Fernando en Junta de 27 Noviembre de 1831","","image","info:eu-repo/semantics/other",""
"Autor desconegut","Oficina del Historiador de la Ciudad de La Habana","Havana (Cuba) | La Habana (Cuba) | L'Havana (Cuba)","1899","1899",1899,"Original file at: Fototeca de la Oficina del Historiador de la Ciudad de La Habana (reference:1-2-5066) | Unknow author | Approximate creation and publication dates | Archivo depositario del documento  original: Fototeca Histórica Oficina del Historiador del La Habana(registro original:1-2-5066) | Autor desconocido | En la fecha de creación y de publicación se ha hecho constar la fecha inicial. Son fechas aproximadas, que van de 1899 a 1902. | Arxiu dipositari del document original: Fototeca Histórica Oficina del Historiador del La Habana(registre original:1-2-5066) | Autor desconegut | A la data de creació i de publicació s'ha fet constar la data inicial. Són dates aproximades, que van de 1899 a 1902.","El Castillo de los Tres Reyes del Morro, va ser construït a partir de 1585, com a part del sistema de fortificacions defensives de la badia de l'Havana, contra atacs de corsaris i pirates. El 1982, va ser declarat Patrimoni de la Humanitat, com una de for | The Castle of the Tres Reyes del Morro, was constructed as of 1585, like part of the system of defensive fortifications of the bay of Havana, against attacks of corsairs and pirates. In 1982, it was declared a World Heritage Site, as one of fortifications | El Castillo de los Tres Reyes del Morro, fue construido a partir de 1585, como parte del sistema de fortificaciones defensivas de la bahía de La Habana, contra ataques de corsarios y piratas. En 1982, fue declarado Patrimonio de la Humanidad, como una de","Digitalitzat per la Oficina del Historiador de la Ciudad de La Habana","image/jpeg","1 fotografia","","image/jpeg","","","http://hdl.handle.net/11703/114438","","zxx","","","","","Reproducció digital del document en suport original","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca | http://creativecommons.org/publicdomain/mark/1.0/deed.en | http://creativecommons.org/publicdomain/mark/1.0/deed.es","Molls | Edificis militars | Wharves | Military buildings | Muelles | Edificio militar","","fotografies | documents digitalitzats","Castillo de los Tres Reyes del Morro.Vista desde viviendas en ruinas.","","image","info:eu-repo/semantics/other",""
