"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributoreditor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationispartof","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsholder","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 43"
"","","Gerència d'Ecologia Urbana | KPMG Asesores, S.L.","","","Barcelona | Barcelona | Barcelona","","","2018","2019-06","Sol·licitant de l'informe: Gerència d'Ecologia Urbana","","","application/pdf","39 p.","application/pdf","","Núm. Exp. 20180190","","Mandat 2015-2019","http://hdl.handle.net/11703/115102","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Impostos de plusvàlua | Cadastres | Habitatges | Capital gains tax | Cadastres | Dwellings | Impuestos de plusvalía | Catastro | Viviendas","Urbanisme i infraestructures","informes altres","","Anàlisi de l’impost sobre l’increment de valor dels terrenys de naturalesa urbana","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona de Serveis Municipals, S.A. (BSM) | Universitat de Barcelona | Fundació Bosch i Gimpera | Institut de Recerca d'Economia Aplicada (IREA)","","","Barcelona. Districte 2. Eixample | Catalunya, Plaça (Barcelona) | Urquinaona, Plaça (Barcelona) | Doctor Letamendi, Plaça (Barcelona) | Calàbria, Carrer (Barcelona) | Barcelona. Distrito 2. Eixample | Catalunya, Plaza (Barcelona) | Urquinaona, Plaza (Barcelona) | Doctor Letamendi, Plaza (Barcelona) | Calàbria, Calle (Barcelona) | Barcelona. District 2. Eixample | Catalunya, Square (Barcelona) | Urquinaona, Square (Barcelona) | Doctor Letamendi, Square (Barcelona) | Calàbria, Street (Barcelona)","2016","","2017","2017","Sol·licitant de l’informe: Barcelona de Serveis Municipals, S.A. (BSM)","","","application/pdf","23 p.","application/pdf","","Núm. Exp. P16004758","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/111424","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Barcelona de Serveis Municipals, S.A. (BSM) | Fundació Bosch i Gimpera | Universitat de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Aparcaments | Transport de mercaderies | Parking garages | Freight transportation | Aparcamiento | Transporte de mercancías","Transport","informes altres","","Predicció del nivell d’ocupació de l’àrea DUM a la ciutat de Barcelona","Estudi que permeti predir el nivell de probabilitat de tenir espais lliures en cada àrea DUM de la ciutat de Barcelona","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència Adjunta de Mobilitat i Infraestructures | Dielse, S.L.","","","Barcelona | Barcelona | Barcelona","2017","","2017-02","2017-12","Sol·licitant de l’informe: Gerència Adjunta de Mobilitat i Infraestructures","","","application/pdf","45 p.","application/pdf","","Núm. Exp. 20170242","","Mandat 2015-2019","http://hdl.handle.net/11703/107416","spa","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Dielse, S.L.Ajuntament de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Centres sanitaris | Senyalització viària | Health facilities | Traffic signs and signals | Servicios de salud | Señales de tráfico","","informes altres","Pla Director de Senyalització d'Orientació Urbana de Barcelona 2012-2015","Estudio de la señalización de centros hospitalarios del Ayuntamiento de Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona | Pro Comunicació Integral, 97 S.L.","","","Barcelona. Districte 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Ciutadella, Parc (Barcelona) | Ciutadella, Parque (Barcelona) | Ciutadella, Park (Barcelona)","","","2017-07-17","2017-09-07","Sol·licitant de l'informe: Institut de Cultura de Barcelona- ICUB","","","application/pdf","21 p.","application/pdf","","Núm. exp. C170002731","entitats públiques empresarials","Mandat 2015-2019","http://hdl.handle.net/11703/112178","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Institut de Cultura de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Festes de la Mercè (Barcelona) | Senyals i senyalització | Grafisme | La Mercè (Barcelona) | Signals and signaling | Graphic design | La Mercè (Barcelona) | Señales y señalización | Diseño gráfico","Cultura i oci","informes altres","","Estudi elements gràfics, senyalètica Festes Mercè","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Institut de Cultura de Barcelona | Strategic Affairs Bureau, S.L.","","","Barcelona | Barcelona | Barcelona","","","2017-05-05","2017-08-02","Sol·licitant de l'informe: Institut de Cultura de Barcelona","","","application/pdf","72 p.","application/pdf","","Núm. exp. C170001618","entitats públiques empresarials","Mandat 2015-2019","http://hdl.handle.net/11703/112226","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Institut de Cultura de Barcelona","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Arquitectura | Esdeveniments especials | Architecture | Special events | Arquitectura | Eventos especiales","Cultura i oci","informes altres","","Estudi de viabilitat per a la celebració d’un esdeveniment internacional d’arquitectura a Barcelona","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Gerència d'Urbanisme | Cotca, S.A.","","","Barcelona. Districte 1. Ciutat Vella | Barcelona. District 1. Ciutat Vella | Barcelona. Distrito 1. Ciutat Vella | Raval (Barcelona : Barri) | Raval (Barcelona : Neighborhood) | Raval (Barcelona : Barrio) | Carme, Carrer (Barcelona) | Carme, Street (Barcelona) | Carme, Calle (Barcelona)","","","2019","2019-12","Sol·licitant de l’informe: Gerència d'Urbanisme","","","application/pdf","432 p.","application/pdf","","Núm. Exp. 20190382","","Mandat 2019-","http://hdl.handle.net/11703/117990","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Cotca, S.A.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Hospital de la Santa Creu (Barcelona) | Claustres (Arquitectura) | Restauració | Hospital de la Santa Creu (Barcelona) | Cloisters (Architecture) | Conservation and restoration | Hospital de la Santa Creu (Barcelona) | Claustros | Restauración","Urbanisme i infraestructures","informes altres","","Projecte de reparació de les voltes del claustre de l'antic Hospital de la Santa Creu","","text","info:eu-repo/semantics/report",""
"","","Districte 9. Sant Andreu | Mcrit, S.L.","","","Barcelona. Districte 9. Sant Andreu | Sant Andreu (Barcelona : Barri) | Gran de Sant Andreu, Carrer (Barcelona) | Barcelona. Distrito 9. Sant Andreu | Sant Andreu (Barcelona : Barrio) | Gran de Sant Andreu, Calle (Barcelona) | Barcelona. District 9. Sant Andreu | Sant Andreu (Barcelona : Neighborhood) | Gran de Sant Andreu, Street (Barcelona)","","","2018","2018-03-29","Sol·licitant de l’informe: Districte 9. Sant Andreu","","","application/pdf","8 p.","application/pdf","","Núm. Exp. 3003/2018","districtes","Mandat 2015-2019","http://hdl.handle.net/11703/111007","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona | Mcrit, S.L.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Mobilitat urbana | Carrers | Urbanisme | Urban mobility | Streets | City planning | Movilidad urbana | Calles | Urbanismo","Urbanisme i infraestructures","informes altres","","Estudi de mobilitat en el marc de la reurbanització del carrer Gran de Sant Andreu : anàlisi dels escenaris proposats","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"","","Barcelona de Serveis Municipals, S.A. (BSM) | High Remark, S.L.","","","Barcelona | Barcelona | Barcelona","2017","","2017","2017","Sol·licitant de l’informe: Barcelona de Serveis Municipals, S.A. (BSM)","","","application/pdf","29 p.","application/pdf","","Exp. Núm. P17006304","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/111991","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Barcelona de Serveis Municipals, S.A. (BSM) | High Remark, S.L.","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Barcelona de Serveis Municipals, S.A. (BSM) | Aparcaments | Opinió pública | Consumidors | Avaluació | Barcelona de Serveis Municipals, S.A. (BSM) | Parking garages | Public opinion | Consumers | Evaluation | Barcelona de Serveis Municipals, S.A. (BSM) | Aparcamiento | Opinión pública | Consumidores | Evaluación","Transport","informes altres","","Estudi amb metodologia del client invisible a la Xarxa d'aparcaments de BSM : primer semestre 2017","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
"Anual","","Barcelona de Serveis Municipals, S.A. (BSM) | Odec Centro de Cálculo y Aplicaciones Informáticas, S.A.","","","Barcelona | Barcelona | Barcelona","2015","","2016","2016","Sol·licitant de l’informe: Barcelona de Serveis Municipals, S.A. (BSM)","","","application/pdf","33 p.","application/pdf","","Exp. Núm. P15008465 | Registre d'enquestes i estudis d'opinió: r15032","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/109287","cat","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Barcelona de Serveis Municipals, S.A. (BSM) | Odec Centro de Cálculo y Aplicaciones Informáticas, S.A.","","","http://creativecommons.org/licenses/by/4.0/deed.ca","Opinió pública | Servei Municipal de Grues | Public opinion | Servei Municipal de Grues | Opinión pública | Servei Municipal de Grues","Transport","informes altres | enquestes","","Enquesta usuaris de la Grua Municipal. 2015","","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"","","Barcelona de Serveis Municipals, S.A. (BSM) | Gabinet d'Estudis Socials i Opinió Pública, S.L. (GESOP)","","","Barcelona | Barcelona | Barcelona","2012 | 2013 | 2014 | 2015 | 2016","","2017","2017-03-15","Sol·licitant de l’informe: Barcelona de Serveis Municipals, S.A. (BSM)","","","application/pdf","4 documents","application/pdf","","Núm. Exp. P17002048","societats mercantils","Mandat 2015-2019","http://hdl.handle.net/11703/111650","cat","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","Barcelona de Serveis Municipals, S.A. (BSM) | Gabinet d'Estudis Socials i Opinió Pública, S.L. (GESOP)","","","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Aparcaments | Automòbils | Motocicletes | Transport de mercaderies | Consumidors | Aplicacions mòbils | Avaluació | Parking garages | Automobiles | Motorcycles | Freight transportation | Consumers | Mobile apps | Evaluation | Aparcamiento | Automóviles | Motocicletas | Transporte de mercancías | Consumidores | Aplicaciones para móviles | Evaluación","Transport","informes altres","","Enquesta satisfacció client àrea","Informe ISC Àrea Blava 2017 | Informe ISC Àrea Verda 2017 | Informe ISC Distribució Urbana de Mercaderies (DUM) 2016 | Informe ISC aparcaments a la calçada de motos 2016","text","info:eu-repo/semantics/report | info:eu-repo/semantics/other",""
