"dccontributorauthor","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidinici","dcdescription","dcdescriptionabstract","dcdescriptionsponsorship","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifiermandat","dcidentifieruri","dcidentifiervideo","dclanguage","dcpublisher","dcrelation","dcrelationisformatof","dcrelationisrequiredby","dcrelationreferences","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 37"
"Acord Ciutadà per una Barcelona Inclusiva | Colau Ballano, Ada","Barcelona | Barcelona | Barcelona","2016","","2016-09","2016-09","","","","","application/pdf","1 p.","application/pdf","","","Acord Ciutadà per una Barcelona Inclusiva: butlletí, núm. 107 (setembre 2016)","Mandat 2015-2019","http://hdl.handle.net/11703/98108","","cat","Acord Ciutadà per una Barcelona Inclusiva","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona | Assistència social | Ajuntament de Barcelona | Public welfare | Ajuntament de Barcelona | Bienestar social","Sector públic | Societat i benestar","articles","","L'Ajuntament anirà fins allà on vagi la seva ciutadania","","text","info:eu-repo/semantics/article | info:eu-repo/semantics/other",""
"Alcaldia | Clos Matheu, Joan","Gràcia (Barcelona : Barri) | Gràcia (Barcelona : Neighborhood) | Gràcia (Barcelona : Barrio)","2005","","2005","2005-08","","","","","application/pdf","1 p.","application/pdf",8404.0,"","","Mandat 2003-2007","http://hdl.handle.net/11703/86606","","cat","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Festes majors | Festivals | Fiestas","Cultura i oci","bans","","Ban de la Festa Major de Gràcia 2005","","text","info:eu-repo/semantics/other",""
"Alcaldia | Hereu Boher, Jordi","Barcelona | Barcelona | Barcelona","2008 | 2009 | 2010 | 2011","","2007-10","2007-10","","","","","application/pdf","1 p.","application/pdf",8399.0,"","","Mandat 2007-2011","http://hdl.handle.net/11703/86597","","cat","","http://hdl.handle.net/11703/102239","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Participació ciutadana | Citizen participation | Participación ciudadana","Sector públic","bans","Programa d'Actuació Municipal (PAM) 2008-2011 (Barcelona)","Participeu amb les vostres idees al Programa d'Actuació Municipal 2008-2011","","text","info:eu-repo/semantics/other",""
"Alcaldia | Maragall Mira, Pasqual","Barcelona | Barcelona | Barcelona","1989","","1989","1989-05-30","","","","","application/pdf","2 p.","application/pdf",13349.0,"Ref. NC-88","Gaseta Municipal de Barcelona, núm. 21 (20-06-1989), p. 831-832","Mandat 1987-1991","http://hdl.handle.net/11703/86612","","cat","","","Reproducció digital del document en suport original","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Incendis | Prevenció | Fogueres | Pirotècnia | Revetlles | Festes populars | Fires | Prevention | Bonfires | Fireworks | Verbena (fair) | Folk festivals | Incendios | Prevención | Hogueras | Fuegos artificiales | Verbenas | Fiestas","Seguretat","bans | documents digitalitzats","","Celebració de revetlles i festes populars","","text","info:eu-repo/semantics/other",""
"Alcaldia | Maragall Mira, Pasqual","Gràcia (Barcelona : Barri) | Gràcia (Barcelona : Neighborhood) | Gràcia (Barcelona : Barrio)","1997","","1997","1997-08","","","","","application/pdf","2 p.","application/pdf",8406.0,"","","Mandat 1995-1999","http://hdl.handle.net/11703/86607","","cat","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Festes majors | Festivals | Fiestas","Cultura i oci","bans","","Ban de la Festa Major de Gràcia 1997","","text","info:eu-repo/semantics/other",""
"Alcaldia | Hereu Boher, Jordi","Vila de Gràcia (Barcelona : Barri) | Vila de Gràcia (Barcelona : Neighborhood) | Vila de Gràcia (Barcelona : Barrio)","2010","","2010","2010-08","","","","","application/pdf","1 p.","application/pdf",8393.0,"","","Mandat 2007-2011","http://hdl.handle.net/11703/86601","","cat","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Festes majors | Festivals | Fiestas","Cultura i oci","bans","","Ban de la Festa Major de Gràcia 2010","","text","info:eu-repo/semantics/other",""
"Alcaldia | Serra, Narcís","Barcelona | Barcelona | Barcelona","1982","","1982","1982-05-18","","","","","application/pdf","4 p.","application/pdf",10017.0,"","Gaseta Municipal de Barcelona, núm. 15 (30-05-1982), p. 309-312","Mandat 1979-1983","http://hdl.handle.net/11703/86609","","cat","","","Reproducció digital del document en suport original","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Incendis | Prevenció | Fogueres | Pirotècnia | Revetlles | Festes populars | Fires | Prevention | Bonfires | Fireworks | Verbena (fair) | Folk festivals | Incendios | Prevención | Hogueras | Fuegos artificiales | Verbenas | Fiestas","Seguretat","bans | documents digitalitzats","","Ban sobre la celebració de revetlles i festes populars","","text","info:eu-repo/semantics/other",""
"Alcaldia | Trias Vidal de Llobatera, Xavier","Vila de Gràcia (Barcelona : Barri) | Vila de Gràcia (Barcelona : Neighborhood) | Vila de Gràcia (Barcelona : Barrio)","2012","","2014","2014-08","","","","","image/jpeg","1 p.","image/jpeg",13984.0,"","","Mandat 2011-2015","http://hdl.handle.net/11703/86613","","cat","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Festes majors | Festivals | Fiestas","Cultura i oci","bans","","Ban de la Festa Major de Gràcia 2014","","image","info:eu-repo/semantics/other",""
"Alcaldia | Colau Ballano, Ada","Barcelona | Barcelona | Barcelona","2020","Si","2020-03-18","2020-03-20","2020-03-20","","","","application/pdf","2 documents","application/pdf","","","Butlletí Oficial de la Província de Barcelona (20-03-2020) | Gaseta Municipal de Barcelona (18-03-2020)","Mandat 2019-","http://hdl.handle.net/11703/117916","","cat","","","","<a href=""http://hdl.handle.net/11703/116275"">Ordenança relativa a la restricció de la circulació de determinats vehicles a la ciutat de Barcelona amb l'objectiu de preservar i millorar la qualitat de l'aire [2019]</a>","<a href=""  https://www.boe.es/eli/es/rd/2020/03/14/463/con"" target=""_blank"">Real Decreto 463/2020, de 14 de marzo, por el que se declara el estado de alarma para la gestión de la situación de crisis sanitaria ocasionada por el COVID-19</a>​ | <a href=""http://hdl.handle.net/11703/117865"">Establiment de mesures preventives, de protecció i organitzatives amb motiu del virus COVID-19 [2020]</a>","Domini públic","info:eu-repo/semantics/openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Qualitat de l'aire | Circulació urbana | Vehicles | Transport públic | Multes | Coronavirus | Salut pública | Air quality | Urban traffic | Vehicles | Local transit | Fines (Penalties) | Coronaviruses | Public health | Calidad del aire | Circulación urbana | Vehículos | Transporte público | Multa | Coronavirus | Salud pública","Salut | Sector públic | Transport","bans","","Ban pel qual se suspèn l’aplicació del règim sancionador previst a l’Ordenança relativa a la restricció de la circulació de determinats vehicles a la ciutat de Barcelona amb l’objectiu de preservar i millorar la qualitat de l’aire, amb ocasió de la declaració d’estat d’alarma per la situació de crisi sanitària ocasionada pel COVID-19","","text","info:eu-repo/semantics/other",""
"Alcaldia | Clos Matheu, Joan","Barcelona | Barcelona | Barcelona","2003","","2003","2003-04","","Ban amb motiu de la guerra de l'Iraq de 2003","","","application/pdf","2 p.","application/pdf",8396.0,"","","Mandat 2003-2007","http://hdl.handle.net/11703/86604","","cat","","","","","","CC-BY","info:eu-repo/semantics/openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Pacifisme | Pacifism | Pacifismo","Societat i benestar","bans","","Per una pau justa, aturem la guerra!","","text","info:eu-repo/semantics/other",""
