"dcAccrualPeriodicity","dccontributorauthor","dccoveragespatial","dccoveragetemporal","dcdatecreated","dcdateissued","dcdescription","dcdescriptionabstract","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationisbasedon","dcrelationisbasisfor","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 33"
"","Servei de Premsa","Barcelona. Barcelona. Districte 7. Horta-Guinardó","","2015","2015-02-18","","","","application/pdf","5 p.","17924","","Mandat 2011-2015","http://hdl.handle.net/11703/89911","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vianants","Urbanisme i infraestructures","dossiers de premsa","","Horta-Guinardó crearà una Xarxa Bàsica de Vianants per connectar els principals serveis del territori amb recorreguts accessibles","","text",""
"","Servei de Premsa","Barcelona","","2009-05-14","2009-05-14","","","","application/pdf","19 p.","DS20090514_PIAD","","Mandat 2007-2011","http://hdl.handle.net/11703/89794","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Violència envers les dones. Punts d'Informació i Atenció a les Dones (PIADs). Equip d'Atenció a les Dones (EAD). Cases d'acolliment de dones maltractades (Barcelona). Servei d'Atenció a Nens i Nenes que han patit violència de Gènere en l'àmbit familiar (SAN). Servei d'Atenció a Homes (SAH)","","dossiers de premsa","Pla Municipal contra la Violència vers les Dones 2007-2009 (Barcelona)","Barcelona consolida els serveis i recursos d'atenció a les dones que pateixen violència masclista. Balanç 2008","","text",""
"","Servei de Premsa","Barcelona","","2016-01-15","2016-01-15","","","","application/pdf","11 p.","","","Mandat 2015-","http://hdl.handle.net/11703/86546","cat","","","","","","","","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Mobilitat urbana. Accidents. Vianants. Automòbils. Motos","Seguretat. Transport","dossiers de premsa","","Balanç accidentalitat 2015","","text",""
"","Servei de Premsa","Barcelona","","2009-11-12","2009-11-12","","","","application/pdf","8 p.","DS20091112_ESCO","","Mandat 2007-2011","http://hdl.handle.net/11703/89808","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Escoles bressol","Urbanisme i infraestructures","dossiers de premsa","Pla d'Escoles Bressol Municipal 2007-2011 (Barcelona)","Escoles Bressol Municipals, un model de qualitat al servei dels infants i les famílies","","text",""
"","Servei de Premsa","Barcelona","","2008-09-15","2008-09-15","","","","application/pdf","11 p.","DS20080915_SOROLL","","Mandat 2007-2011","http://hdl.handle.net/11703/89795","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Contaminació acústica. Soroll","Medi ambient","dossiers de premsa","Pla per a la Reducció de la Contaminació Acústica 2010-2020 (Barcelona). Mapa Estratègic del Soroll de Barcelona 2008-","L'Ajuntament elabora el Mapa Estratègic de Soroll de Barcelona","","text",""
"","Servei de Premsa","Barcelona","","2009-07-06","2009-07-06","","","","application/pdf","13 p.","DS2009706_OND","","Mandat 2007-2011","http://hdl.handle.net/11703/89796","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Oficina per la No Discriminació. Discriminació. Drets humans","Societat i benestar","dossiers de premsa","","L'Oficina per la No Discriminació ja ha atès a més de 5.800 persones durant els últims 10 anys","","text",""
"","Servei de Premsa","Barcelona. Districte 4. Les Corts","","2013-06-27","2013-06-27","Forma part dels balanços de districte de mig mandat (2013) del mandat 2011-2015","","","application/pdf","12 p.","","","Mandat 2011-2015","http://hdl.handle.net/11703/101795","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Integració social. Patrimoni cultural. Comerç al detall. Soroll. Espais públics","Cultura i oci. Societat i benestar","dossiers de premsa","","Balanç de 2 anys de mandat al districte de Les Corts","","text",""
"","Servei de Premsa","Barcelona. Districte 9. Sant Andreu. Mainada, Plaça (Barcelona). Assemblea de Catalunya, Plaça (Barcelona). Filipines, Carrer (Barcelona)","","2013-06-18","2013-06-18","Forma part dels balanços de districte de mig mandat (2013) del mandat 2011-2015","","","application/pdf","18 p.","","","Mandat 2011-2015","http://hdl.handle.net/11703/101798","cat","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Equipaments col·lectius. Centres cívics. Rehabilitació urbana. Canòdrom Meridiana (Barcelona)","Societat i benestar. Urbanisme i infraestructures","dossiers de premsa","","Balanç segon any de mandat Districte de Sant Andreu","Sant Andreu construeix i reforma diversos equipaments i actua en la millora de l’espai públic durant el 2013","text",""
"","Servei de Premsa","Barcelona","","2014","2014","","","","application/pdf","15 p.","18242","","Mandat 2011-2015","http://hdl.handle.net/11703/89909","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Família. Conciliació de la vida personal i laboral","Societat i benestar","dossiers de premsa","Programa Municipal per a les Famílies 2013-2016 (Barcelona)","Barcelona 2014, Any de la Família","","text",""
"","Servei de Premsa","Barcelona","","2009-03-17","2009-03-17","","","","application/pdf","7 p.","DS20090317_OMIC","","Mandat 2007-2011","http://hdl.handle.net/11703/89789","cat","","","","","","","CC-BY [només pel text] ; Tots els drets reservats [per les fotografies]","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consumidors. Reclamacions","Sector públic","dossiers de premsa","","Memòria OMIC 2008: 15 de març de 2009, dia internacional del consumidor","","text",""
