"dcAccrualPeriodicity","dcAccrualPolicy","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatereview","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisformatof","dcrelationispartof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 45"
"Anual","Oberta","Cementiris de Barcelona, S.A.","","Barcelona","","Si","2016","2016","","","","","application/pdf","47 p.","","","societats mercantils","Mandat 2015-","http://hdl.handle.net/11703/98650","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Cementiris. Cementiris de Barcelona, S.A.","Sector públic","memòries","","Memòria 2015","","text",""
"Anual","Oberta","Agència de Salut Pública de Barcelona","","Barcelona","2004","No","2005","2005","","","","","application/pdf","","3236","","consorcis","Mandat 2003-2007","http://hdl.handle.net/11703/87984","cat","Agència de Salut Pública de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Agència de Salut Pública de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Agència de Salut Pública de Barcelona. Salut pública","Salut","memòries","","Memòria 2004","","text",""
"Anual","Oberta","Sector de Serveis Urbans i Medi Ambient","","Barcelona","2004","No","2005","2005","","","","","application/pdf","","1691","","","Mandat 2003-2007","http://hdl.handle.net/11703/89504","cat","Sector de Serveis i Urbans i Medi Ambient","","","","","","","","","","","","","CC-BY","openAccess","Sector de Serveis i Urbans i Medi Ambient","http://creativecommons.org/licenses/by/4.0/deed.ca","Sector de Serveis Urbans i Medi Ambient","Medi ambient","memòries","","Memòria 2004","","text",""
"Anual","Oberta","Consorci per a la Normalització Lingüística","","Barcelona","2011","No","2012","2012","","","","","application/pdf","","9689","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/87657","cat","Consorci per a la Normalització Lingüística de Catalunya","","","","","","","","","","","","","CC-BY","openAccess","Consorci per a la Normalització Lingüística","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci per a la Normalització Lingüística. Cultura","Cultura i oci","memòries","","Memòria cpnl 2011","","text",""
"Irregular","Tancada","Sector de Promoció Econòmica","","Barcelona","2004-2007","No","2007","2007","","","","","application/pdf","","449","","","Mandat 2003-2007","http://hdl.handle.net/11703/89529","cat","Sector de Promoció Econòmica","","","","","","","","","","","","","CC-BY","openAccess","Sector de Promoció Econòmica","http://creativecommons.org/licenses/by/4.0/deed.ca","Sector de Promoció Econòmica. Economia. Finances. Indicadors econòmics","Economia. Comerç. Indústria","memòries","","Informe 2004-2007","","text",""
"Anual","Oberta","Consorci de Biblioteques de Barcelona","","Barcelona","2008","No","2009","2009","","","","","application/pdf","","CBB_2008","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/89500","cat","Consorci de Biblioteques de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Consorci de Biblioteques de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Consorci de Biblioteques de Barcelona","Cultura i oci","memòries","","Memòria 2008","","text",""
"Anual","Oberta","Consell Municipal de Benestar Social (Barcelona)","","Barcelona","2004","No","2005","2005","","","","","application/pdf","","CESB_ACT_2004","","consells","Mandat 2003-2007","http://hdl.handle.net/11703/89485","cat","Consell Municipal de Benestar Social (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Municipal de Benestar Social (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Municipal de Benestar Social (Barcelona). Benestar social. Serveis socials. Assistència social","Sector públic. Societat i benestar","memòries","","Memòria d’activitats 2004","","text",""
"Anual","Oberta","Consell Escolar Municipal (Barcelona)","","Barcelona","2011. 2012","No","2013","2013","","","","","application/pdf","","10776","","consells","Mandat 2011-2015","http://hdl.handle.net/11703/87584","cat","Consell Escolar Municipal (Barcelona)","","","","","","","","","","","","","CC-BY","openAccess","Consell Escolar Municipal (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Consell Escolar Municipal (Barcelona). Consells Escolars Municipals de Districte (Barcelona). Educació","Educació","memòries","","Memòria curs 2011-2012","","text",""
"Anual","Oberta","Autoritat del Transport Metropolità","","Barcelona","2011","No","2012","2012","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/88104. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/88115","","","application/pdf","","18526","","consorcis","Mandat 2007-2011","http://hdl.handle.net/11703/88090","cas","Autoritat del Transport Metropolità","http://hdl.handle.net/11703/88104. http://hdl.handle.net/11703/88115","","","","","","","","","","","","CC-BY","openAccess","Autoritat del Transport Metropolità","http://creativecommons.org/licenses/by/4.0/deed.ca","Autoritat del Transport Metropolità. Mobilitat urbana. Transport urbà","Transport","memòries","","Memoria 2011","","text",""
"Anual","Oberta","Guàrdia Urbana","","Barcelona","2014","Si","2015","2015","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87796. Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/87800","","","application/pdf","64 p.","19414","","","Mandat 2011-2015","http://hdl.handle.net/11703/87804","eng","Ajuntament de Barcelona","http://hdl.handle.net/11703/87796. http://hdl.handle.net/11703/87800","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Policia local","Seguretat","memòries","","Guardia Urbana de Barcelona: Management report 2014","","text",""
"Anual","Tancada","Parcs i Jardins de Barcelona, Institut Municipal","","Barcelona","2002","No","2003","2003","","","","","application/pdf","","2238","","entitats públiques empresarials","Mandat 1999-2003","http://hdl.handle.net/11703/89616","cat. cas","Parcs i Jardins de Barcelona, Institut Municipal","","","","","","","","","","","","","CC-BY","openAccess","Parcs i Jardins de Barcelona, Institut Municipal","http://creativecommons.org/licenses/by/4.0/deed.ca","Parcs i Jardins de Barcelona, Institut Municipal. Zones verdes","Medi ambient","memòries","","Memòria 2002","","text",""
"Anual","Obert","Fundació Factor Humà","","Barcelona","2009","No","2010","2010","","","","","application/pdf","24 p.","","","fundacions","Mandat 2007-2011","http://hdl.handle.net/11703/106611","cat","","","","","","","","","","","","","","CC-BY","openAccess","Fundació Factor Humà","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Factor Humà. Recursos humans","Societat i benestar. Ocupació","memòries","","Memòria 2009","","text",""
"Anual","Tancada","Institut Municipal d'Assistència Sanitària (Barcelona)","","Barcelona","2001","No","2002","2002","","","","","application/pdf","","3289","","organismes autònoms","Mandat 1999-2003","http://hdl.handle.net/11703/88011","cat","Institut Municipal d'Assistència Sanitària (Barcelona)","","","","","","","","","","","","http://hdl.handle.net/11703/88026","CC-BY","openAccess","Institut Municipal d'Assistència Sanitària (Barcelona)","http://creativecommons.org/licenses/by/4.0/deed.ca","Institut Municipal d'Assistència Sanitària (Barcelona). Salut pública","Salut","memòries","","Memòria tècnica 2001","","text",""
"Anual","","Red de Juderías de España-Caminos de Sefarad","","Barcelona","2015","Si","2016-04","2016-04","","La data de publicació d’aquest document és inexacta, s’ha escollit una data aproximada, tenint en compte, la dècada de la possible publicació","","","application/pdf","106 p.","","","","Mandat 2015-","http://hdl.handle.net/11703/100461","eng. cas","","","","","","","","","","","","","","CC-BY (text) - Tots els drets reservats (fotografies)","openAccess","Red de Juderías de España. Caminos de Sefarad","http://creativecommons.org/licenses/by/4.0/deed.ca","Red de Juderías de España-Caminos de Sefarad","Cultura i oci. Turisme","memòries","","Memoria 2015 [versió en castellà i anglès]","","text",""
"Anual","Obert","Consorci de l'Habitatge de Barcelona","","Barcelona","","","2016","2016","","","","","application/pdf","64 p.","","","consorcis","Mandat 2015-","http://hdl.handle.net/11703/108523","cat","","","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Habitatge","Habitatge","memòries","","Memòria 2015","","text",""
"Anual","Oberta","Ajuntament de Barcelona","","Barcelona","2012","No","2013-07-26","2013","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87389","","","application/pdf","136 p.","11640","","","Mandat 2011-2015","http://hdl.handle.net/11703/87395","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/87389","","","","","","","","","","","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Ajuntament de Barcelona. Economia. Finances. Serveis municipals","Sector públic","memòries","","Informe anual del Ayuntamiento de Barcelona 2012","","text",""
"Anual","","Fundació Barcelona Cultura","","Barcelona","2013","No","2014","2014","","","","","application/pdf","5 p.","","","fundacions","Mandat 2011-2015","http://hdl.handle.net/11703/106830","cat","","","","","","","","","","","","","","CC-BY","openAccess","Fundació Barcelona Cultura","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Barcelona Cultura. Cultura catalana","Cultura i oci","memòries","","Memòria 2013","","text",""
"Anual","Oberta","Servei de Prevenció, Extinció d'Incendis i Salvament","","Barcelona","2008","No","2009","2009","","Podeu consultar la versió en català a: http://hdl.handle.net/11703/87830. Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/87835","","","application/pdf","","3595","","","Mandat 2007-2011","http://hdl.handle.net/11703/87775","cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/87830. http://hdl.handle.net/11703/87835","","","","","","","","","","","","CC-BY","openAccess","Servei de Prevenció, Extinció d'Incendis i Salvament","http://creativecommons.org/licenses/by/4.0/deed.ca","Servei de Prevenció, Extinció d'Incendis i Salvament. Bombers","Seguretat","memòries","","Memoria 2008","","text",""
"Anual","Oberta","Pla Estratègic Barcelona 2000. Associació","","Barcelona","2005","No","2006","2006","","","","","application/pdf","","3302","","","Mandat 2003-2007","http://hdl.handle.net/11703/87547","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","Pla Estratègic Barcelona 2000. Associació","http://creativecommons.org/licenses/by/4.0/deed.ca","Pla Estratègic Barcelona 2000. Associació. Finances","Economia","memòries","Pla Estratègic Barcelona 2000","Memòria estratègica de l'associació Pla Estratègic Metropolità de Barcelona 2005","","text",""
