"dcAccrualPeriodicity","dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdescription","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifierisbn","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasformat","dcrelationhaspart","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightslicense","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","Unnamed: 46"
"","Àrea de Prevenció, Seguretat i Mobilitat. Regidoria de Mobilitat","","Barcelona","2008. 2009. 2010. 2011. 2012","","2008-02-29","2008","Presentada al Plenari del Consell Municipal de 29-02-2008. Citada a la Gaseta Municipal núm. 14 (10-05-2008)","Digitalitzada pel SEDAC","","application/pdf","9 p.","13419","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/86266","cat","Ajuntament de Barcelona","","","","","","http://hdl.handle.net/11703/84966","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Circulació. Mobilitat urbana. Seguretat viària","Transport","mesures de govern. documents digitalitzats","Pla Local de Seguretat Viària 2008-2012 (Barcelona)","Pla Local de Seguretat Viària, 2008-2012: mesura de govern","","text",""
"","Àrea de Qualitat de Vida, Igualtat i Esports. Districte 6. Gràcia","","Barcelona. Districte 5. Sarrià-Sant Gervasi","","","2012-10-04","2012","Presentada al Consell Plenari del Districte de Sarrià-Sant Gervasi del 04-10-2012","","","application/pdf","3 p.","18133","","","districtes","","Mandat 2011-2015","http://hdl.handle.net/11703/86284","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Immigrants. Integració social","Societat i benestar","mesures de govern","","Inserció de la població estrangera: mesura de govern [Districte 5]","","text",""
"","Sector de Serveis Personals. Regidoria de Drets Civils","","Barcelona","","","1998-11-27","1998","Presentada al Plenari del Consell Municipal de 27-11-1998","","","application/pdf","2 p.","11363","","","","","Mandat 1995-1999","http://hdl.handle.net/11703/84474","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Sida","Salut","mesures de govern","","Adhesió al dia 1 de desembre com a Dia Mundial de la Sida: mesura de govern","","text",""
"","Districte 8. Nou Barris","","Barcelona. Districte 8. Nou Barris. Can Peguera (Barcelona : Barri). Canyelles (Barcelona : Barri). Ciutat Meridiana (Barcelona : Barri). Guineueta (Barcelona : Barri). Porta (Barcelona : Barri). Prosperitat (Barcelona : Barri). Roquetes (Barcelona : Barri). Torre Baró (Barcelona : Barri). Trinitat Nova (Barcelona : Barri). Turó de la Peira (Barcelona : Barri). Vallbona (Barcelona : Barri). Verdun (Barcelona : Barri). Vilapicina i la Torre Llobeta (Barcelona : Barri)","2016. 2017. 2018. 2019","","2016-12-15","2016","Presentada al Consell Plenari del Districte de Nou Barris de 15-12-2016","","Annex: Actuacions per barris","application/pdf","40 p.","","","","districtes","","Mandat 2015-","http://hdl.handle.net/11703/108615","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Planificació estratègica. Política social. Política econòmica. Política ambiental. Política pública","Sector públic","mesures de govern. plans estratègics","Programa d'Actuació del Districte de Nou Barris (PAD) 2016-2019 (Barcelona)","Actuacions al Districte de Nou Barris 2016-2019 : mesura de govern","","text",""
"","Direcció de Serveis de Mobilitat. Sector de Seguretat i Mobilitat","","Barcelona","","","2006-11-24","2006","Presentada al Plenari del Consell Municipal de 24-11-2006. Citada a la Gaseta Municipal núm. 5 (10-02-2007)","Digitalitzada pel SEDAC","","application/pdf","7 p.","13327","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/86261","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Circulació urbana. Mobilitat urbana","Transport","mesures de govern. documents digitalitzats","Pla de Mobilitat Urbana de Barcelona 2006-2012","Pla de Mobilitat Urbana de Barcelona: mesura de govern","","text",""
"","Àrea de Presidència, Règim Interior, Seguretat i Mobilitat","","Barcelona","","","2014-11-20","2014","Presentada a la Comissió de Seguretat i Mobilitat de 20-11-2014. Citada a la Gaseta Municipal núm. 1 (10-01-2015)","","","application/pdf","13 p.","17584","","","","","Mandat 2011-2015","http://hdl.handle.net/11703/84778","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Circulació. Motocicletes. Seguretat viària","Transport","mesures de govern","","Pla de seguretat viària per a motos : mesura de govern","","text",""
"","Gerència d'Ecologia Urbana. Àrea d'Ecologia, Urbanisme i Mobilitat. Consell Municipal de Barcelona. Plenari. Direcció de Serveis de Mobilitat. Gerència Adjunta de Mobilitat i Infraestructures","","Barcelona","2016. 2017","","2017-04-28","2017-04","Presentada al Plenari del Consell Municipal de 28-04-2017","","","application/pdf","295 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/106644","cat","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Autobusos. Transport públic. Participació ciutadana","Transport","mesures de govern","","Procés d’Informació i debat de la Fase V de la Nova Xarxa de Bus : mesura de govern","","text",""
"","Sector de Serveis Urbans i Medi Ambient","","Barcelona","","","2007-03-23","2007","Presentada a la Comissió de Sostenibilitat, Serveis Urbans i Medi Ambient de 23-03-2007. Citada a la Gaseta Municipal núm. 19 (30-06-2007)","","","application/pdf","3 p.","11650","","","","","Mandat 2003-2007","http://hdl.handle.net/11703/84555","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Aigua. Aigua","Energia","mesures de govern","","Mesura de govern per a impulsar l'ús racional i l'estalvi de l'aigua","","text",""
"","Àrea d'Ecologia, Urbanisme i Mobilitat","","Barcelona","","","2017-01-27","2017","Presentada al Plenari del Consell Municipal de 27-01-2017","","","application/pdf","9 p.","","","","","","Mandat 2015-","http://hdl.handle.net/11703/100131","cat","","","","","","http://hdl.handle.net/11703/97771","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Turisme i urbanisme. Allotjament turístic. Política de l'habitatge","Turisme","mesures de govern","Pla de Xoc d'Inspecció contra els Habitatges d'Ús Turístic Il·legal (Barcelona)","Impuls i reforç del Pla de xoc contra els allotjaments turístics il·legals: mesura de govern","","text",""
"","Àrea de Prevenció, Seguretat i Mobilitat. Regidoria de Mobilitat","","Barcelona","","","2007-10-26","2007","Presentada al Plenari del Consell Municipal de 26-11-2007. Citada a la Gaseta Municipal núm. 33 (20-12-2007)","","","application/pdf","3 p.","13404","","","","","Mandat 2007-2011","http://hdl.handle.net/11703/84663","cat","Ajuntament de Barcelona","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Circulació urbana","Transport","mesures de govern","","Celebració de la Conferència Walk21 a Barcelona : mesura de govern","","text",""
