"dccontributorauthor","dccoveragespatial","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptionsponsorship","dcdescriptiontableofcontents","dcformat","dcformatextent","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhasversion","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreferencedby","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationisversionof","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dctitle","dctitlealternative","dctype","Unnamed: 44"
"Ajuntament de Barcelona","Barcelona. Districte 6. Gràcia","No","2002-04-26","2002-05-13","2005-07-15","2002-04-26","Aprovat pel Plenari del Consell Municipal de 26-04-2002","Substituït pel Pla especial d'establiments de concurrència pública i altres activitats del Districte de Gràcia [2005] [	http://hdl.handle.net/11703/97965]","Substitueix el Pla especial d'usos del districte de Gràcia [2001] [ http://hdl.handle.net/11703/103400]","","","","5 p.","","Exp. núm. 01PC926","Butlletí Oficial de la Província de Barcelona, núm. 114 (13-05-2002) p. 13-17","","","http://hdl.handle.net/11703/97419","cat","","","","","","","","http://hdl.handle.net/11703/97965","","","","http://hdl.handle.net/11703/103400","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Comerç. Legislació i justícia","plans especials","Pla especial d'establiments de concurrència pública i altres activitats del Districte de Gràcia [2002]","Pla especial d'establiments de pública concurrència i altres activitats del Districte de Gràcia [2002]","text",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella","No","2011-02-21","2011-03-21","2013-10-02","2011-02-21","Aprovat pel Decret de l'Alcadia de 21-02-2011","Substituït pel Manual operatiu del Pla especial d’establiments de concurrència pública, hoteleria i altres activitats a Ciutat Vella [2013] [http://hdl.handle.net/11703/97408]","","","Es disposa la delegació en el/la Regidora del Districte de Ciutat Vella l’atorgament, denegació i altres situacions administratives de la llicència urbanística d’habitatge d’ús turístic i altres usos compatibles","application/pdf","10 p.","NCBAB_8231","","Butlletí Oficial de la Província de Barcelona (21-03-2011)","","","http://hdl.handle.net/11703/91549","cat","","","","http://hdl.handle.net/11703/91548","","","","http://hdl.handle.net/11703/97408","","","","","","Domini públic","openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Establiments de concurrència pública. Delegacions a regidories. Establiments comercials. Hoteleria","Legislació i justícia. Comerç","plans especials","Manual operatiu del Pla especial d’establiments de concurrència pública, hoteleria i altres activitats a Ciutat Vella [2011]","","text",""
"Ajuntament de Barcelona","Barcelona","No","2014-01-27","2014-02-19","","","Sentència aprovada pel Tribunal Superior de Justícia de Catalunya que anul·la els art. 17.1, 21.1, 24.1 i 2, 28.1, 29, 30.1 i 32 del Pla especial de l'equipament comercial alimentari de Barcelona (PECAB) [2011]","","Modifica el Pla especial de l'equipament comercial alimentari de Barcelona (PECAB) [2011] [http://hdl.handle.net/11703/91554]","","","application/pdf","1 p.","13111","","Butlletí Oficial de la Província de Barcelona (19-02-2014)","","","http://hdl.handle.net/11703/91555","cat","","","","","","","","","http://hdl.handle.net/11703/91554","","","","","Domini públic","openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Establiments comercials. Alimentació. Restaurants","Legislació i justícia. Comerç","plans especials","Pla especial de l'equipament comercial alimentari de Barcelona (PECAB) [2011] : modificació [2014-01-27]","PECAB","text",""
"Ajuntament de Barcelona","Barcelona. Districte 6. Gràcia","No","2008","2008-09-19","","","","","Complementa el Pla especial d'establiments de concurrència pública i altres activitats del Districte de Gràcia [2005] [http://hdl.handle.net/11703/97965]","","Conté taules amb informació sobre la regulació detallada de distàncies entre establiments segons àrea i amplada de carrer","","14 p.","","Exp. núm. 04PC1065","Butlletí Oficial de la Província de Barcelona, núm. 226 (19-09-2008) p. 21-34","","","http://hdl.handle.net/11703/97420","cat","","","","","","","","","http://hdl.handle.net/11703/97965","","","","","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Comerç. Legislació i justícia","plans especials","Pla especial d'establiments de concurrència pública i altres activitats del Districte de Gràcia [2005]: regulació detallada de distàncies entre establiments segons àrea i amplada de carrer","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella","No","2000-11-24","2000-12-15","2005-07-01","2000-12-15","Aprovat pel Plenari del Consell Municipal de 24-11-2000","Substituït pel Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2005] [http://hdl.handle.net/11703/91546","Substitueix el Pla especial de regulació dels establiments de concurrència pública i hoteleria del Districte de Ciutat Vella [1992] [http://hdl.handle.net/11703/91543]","","","application/pdf","6 p.","9079","","Butlletí Oficial de la Província de Barcelona, núm. 300 (15-12-2000), p. 57-62","","","http://hdl.handle.net/11703/91545","cat","","","","","","","","http://hdl.handle.net/11703/91546","","","","http://hdl.handle.net/11703/91543","","Domini públic","openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Legislació i justícia. Comerç","plans especials","Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2000]","Pla especial d'establiments de concurrència pública, hoteleria i altres serveis del Districte de Ciutat Vella [2000]","text",""
"Ajuntament de Barcelona","Barcelona","No","1999-04-28","1999-05-22","2011-03-22","1999-05-22","Aprovat i modificat pel Plenari del Consell Municipal de 28-04-1999","Substituït pel Pla especial d'equipament comercial alimentari de Barcelona [2011] [http://hdl.handle.net/11703/91554]","Deroga el Pla especial d'equipament comercial alimentari de Barcelona [1986] [http://hdl.handle.net/11703/91552]","","","application/pdf","6 p.","8538","","Butlletí Oficial de la Província de Barcelona, núm. 122 (22-05-1999), p. 44-49","","","http://hdl.handle.net/11703/91553","cat","","","","","","","","http://hdl.handle.net/11703/91554","","","","http://hdl.handle.net/11703/91552","","Domini públic","openAccess","","https://creativecommons.org/choose/zero/?lang=ca","Establiments comercials. Alimentació. Restaurants","Legislació i justícia. Comerç","plans especials","Pla especial de l'equipament comercial alimentari de Barcelona (PECAB)  [1999]","PECAB","text",""
"Ajuntament de Barcelona","Barcelona","No","2001","2001-03-21","2011-05-18","2001-03-22","Aprovat el març del 2001","Substituïda per l'Ordenança del medi ambient de Barcelona [2011] (Annex II.3) [http://hdl.handle.net/11703/86859]","Complementa l'art. 45 de l'Ordenança de Medi Ambient [1999] [http://hdl.handle.net/11703/91612]","","","application/pdf","15 p.","11727","","Butlletí Oficial de la Província de Barcelona, núm. 69, annex I (21-03-2001), p. 58-72","","","http://hdl.handle.net/11703/91556","cat","","","","","","","","http://hdl.handle.net/11703/86859","","","","","http://hdl.handle.net/11703/91612","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Medi ambient. Contaminació acústica","Legislació i justícia. Medi ambient","plans especials","Zonificació acústica de la ciutat de Barcelona [2001]","","text",""
"Ajuntament de Barcelona. Districte 1. Ciutat Vella","Barcelona. Districte 1. Ciutat Vella","No","2006","2006","","","Aprovat pel Plenari del Consell Municipal de 17-06-2005","Substituït pel Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2010] [http://hdl.handle.net/11703/91548]","Substitueix el Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2000]  [http://hdl.handle.net/11703/91545]","","Inclou els plànols de la normativa","application/pdf","28 p.","3474","","","districtes","","http://hdl.handle.net/11703/91547","cat","","","","http://hdl.handle.net/11703/91546","","","","http://hdl.handle.net/11703/91548","","","","http://hdl.handle.net/11703/91545","","CC-BY","openAccess","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Legislació i justícia. Comerç","plans especials","Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2005 text no oficial]","","text",""
"Ajuntament de Barcelona","Barcelona. Districte 6. Gràcia","No","2005-07-15","2005-08-10","2006-06-26","2005-07-15","Aprovat pel Plenari del Consell Municipal de 15-07-2005","Requereix el Pla especial d'establiments de concurrència pública i altres activitats del Districte de Gràcia [2005]: regulació detallada de distàncies entre establiments segons àrea i amplada de carrer [http://hdl.handle.net/11703/97420]. Substituït per el Pla especial d'establiments de concurrència pública i altres activitats del Districte de Gràcia [2016] [http://hdl.handle.net/11703/97509]","Substitueix el Pla especial d'establiments de concurrència pública del Districte de Gràcia [2002] [http://hdl.handle.net/11703/97419]","","Conté correccions d'errades que inclou el text íntegre de la normativa","","","","Exp. núm. 04PC1065","Butlletí Oficial de la Província de Barcelona (10-08-2005), p. 33","","","http://hdl.handle.net/11703/97965","cat","","","","","","","","http://hdl.handle.net/11703/97509","","","http://hdl.handle.net/11703/89250","http://hdl.handle.net/11703/97419","http://hdl.handle.net/11703/97420","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Establiments de concurrència pública. Hoteleria. Establiments comercials","Comerç. Legislació i justícia","plans especials","Pla especial d'establiments de concurrència pública i altres activitats del Districte de Gràcia [2005]","Pla especial d'establiments de pública concurrència i altres activitats del Districte de Gràcia [2005]","text",""
"Ajuntament de Barcelona","Barcelona. Districte 1. Ciutat Vella","No","2013-07-24","2013-09-16","","2013-10-05","Aprovat pel Plenari del Consell Municipal de 24-07-2013","Derogades totes les disposicions referides a l'activitat d'Habitatge d'Ús Turístic (epígraf T.1)  pel Pla especial urbanístic per a la regulació dels habitatges d'ús turístic a la ciutat de Barcelona [2016] [http://hdl.handle.net/11703/97107]. Disposició Addicional Primera deixada sense efecte per la sentència de la Secció Tercera del Tribunal Superior de Justícia de Catalunya de 12-06-2017 [http://hdl.handle.net/11703/107742] i de 30-06-2017 [http://hdl.handle.net/11703/108032]. Art. 14.9, 15 i 21 deixats sense efecte per per la sentència de la Secció Tercera del Tribunal Superior de Justícia de Catalunya de 19-06-2017 [http://hdl.handle.net/11703/107741]. Art. 14, apartat 3r, 4rt, 7è i 8è i art. 20.c.2 deixats sense efecte per per la sentència de la Secció Tercera del Tribunal Superior de Justícia de Catalunya de 19-06-2017 [http://hdl.handle.net/11703/108033]. Substituït pel Pla especial d'establiments de concurrència pública, comerços alimentaris, serveis turístics i altres activitats del Districte de Ciutat Vella [2018] [http://hdl.handle.net/11703/108624]","Substitueix el Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2010] [http://hdl.handle.net/11703/91548]","","","application/pdf","40 p.","11637","","Butlletí Oficial de la Província de Barcelona (16-09-2013)","","","http://hdl.handle.net/11703/86875","cat","","","","","http://hdl.handle.net/11703/91559","","","http://hdl.handle.net/11703/108624","","","http://hdl.handle.net/11703/89250","http://hdl.handle.net/11703/91548","http://hdl.handle.net/11703/97107. http://hdl.handle.net/11703/107742. http://hdl.handle.net/11703/108032. http://hdl.handle.net/11703/107741. http://hdl.handle.net/11703/108033","Domini públic","openAccess","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Hoteleria. Establiments de concurrència pública. Establiments comercials","Legislació i justícia. Comerç","plans especials","Pla especial d'establiments de concurrència pública, hoteleria i altres activitats del Districte de Ciutat Vella [2013]","Pla especial d'establiments de concurrència pública, hoteleria i altres activitats a Ciutat Vella [2013]","text",""
