"dccontributorauthor","dccontributorother","dccoveragespatial","dccoveragetemporal","dccoveragevigencia","dcdatecreated","dcdateissued","dcdatevalidfinal","dcdatevalidinici","dcdescription","dcdescriptionLegislationChangedBy","dcdescriptionLegislationChanges","dcdescriptiontableofcontents","dcdisposal","dcformat","dcformatextent","dcformatmimetype","dcidentifierBG","dcidentifierab","dcidentifiercitation","dcidentifierentitat","dcidentifiermandat","dcidentifieruri","dclanguage","dcpublisher","dcrelation","dcrelationhaspart","dcrelationisbasedon","dcrelationisbasisfor","dcrelationisformatof","dcrelationisreplacedby","dcrelationisrequiredby","dcrelationreferences","dcrelationreplaces","dcrelationrequires","dcrights","dcrightsaccessrights","dcrightsnotes","dcrightsrightsHolder","dcrightsuri","dcsubject","dcsubjectcategory","dcsubjectforma","dcsubjectprogramme","dctitle","dctitlealternative","dctype","dctypedriver","Unnamed: 48"
"Àrea d'Acció Social i Ciutadania | Amadó, Núria | Bonaterra Roura, Joana | Boira Orantes, Elena | Menta Sala, Núria | Lleonart Forradellas, Pilar | Pastó López, Teresa | Salgado Salgado, Margarita","Aldea Lacambra, Pilar | Ballús Barnils, Elisabeth | Madurell Ramis, Joana | Leal Rubio, José | Català Galofré, Carmina | Equip d'Assessorament i Orientació Psicopedagògics de Ciutat Vella | Equip d'Assessorament i Orientació Psicopedagògics de Sarrià-Sant Gervasi","Barcelona | Barcelona | Barcelona","","","2007-05","2007-10","","","","","","","","application/pdf","51 p.","application/pdf","17831","","","","","http://hdl.handle.net/11703/91577","cat","Ajuntament de Barcelona. Acció Social i Ciutadania","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Maltractament infantil | Escoles | Child abuse | Schools | Maltrato infantil | Escuelas","Seguretat | Educació","protocols","","Context escolar i els infants en risc de maltractament","","text","info:eu-repo/semantics/other",""
"Comissió de Govern","","","","","2011","2011","","","Aquest protocol té per objecte regular la redacció, supervisió i tramitació dels projectes, així com el seguiment i la recepció de les obres ordinàries d'edificació, reforma o rehabilitació corresponents a actuacions de districte. que realitzen els diferents operadors municipals, d'acord amb el decret d'Alcaldia de 26-01-2010 (ID=5462)","","","","","application/pdf","68 p.","application/pdf","11651","","","","","http://hdl.handle.net/11703/91587","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Obres públiques | Public works | Obras públicas","Urbanisme i infraestructures","protocols","","Protocol de tramitació pels districtes dels projectes d'obres ordinàries d'edificació","","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona | Generalitat de Catalunya | Ministerio de Indústria, Turismo y Comercio | Fira Internacional de Barcelona | Cambra Oficial de Comerç, Indústria i Navegació de Barcelona | Turisme de Barcelona","","Barcelona | Barcelona | Barcelona","","","2011-06-15","2011","","","Aprovat pel Ministre d'Indústria, Turisme i Comerç , el Conseller d'Empresa i Ocupació de la Generalitat de Catalunya i l'Alcalde de Barcelona el 15-06-2011 | Podeu consultar la versió en català a: http://hdl.handle.net/11703/106702 | Podeu consultar la versió en castellà a: http://hdl.handle.net/11703/106705","","","","","application/pdf","3 p.","application/pdf","","","","fundacions","","http://hdl.handle.net/11703/106704","eng","","http://hdl.handle.net/11703/106702 | http://hdl.handle.net/11703/106705","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Generalitat de Catalunya | Ajuntament de Barcelona | Ministerio de Indústria, Turismo y Comercio","http://creativecommons.org/licenses/by/4.0/deed.ca","Fundació Barcelona Mobile World Capital Foundation | Inversions | Fundació Barcelona Mobile World Capital Foundation | Investments | Fundació Barcelona Mobile World Capital Foundation | Inversiones","Economia","protocols | documents digitalitzats","","Protocol to support Barcelona's bid for Mobile World Capital","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","2009","","2009-02-03","2009-02-06","","","Aprovat per Decret de l'Alcaldia de 03-02-2009","","","","","application/pdf","8 p.","application/pdf","12522","","Butlletí Oficial de la Província de Barcelona, núm 32, Annex I (06-02-2009)","","","http://hdl.handle.net/11703/91599","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Vacances | Casals de joves | Casals de vacances | Colònies de vacances | Lleure | Vacations | Youth centers | Camps | Camps | Leisure | Vacaciones | Centros juveniles | Campamentos | Colonias de vacaciones | Tiempo libre","Cultura i oci","protocols","","Convocatòria de Campanya d'Activitats de Vacances d'Estiu per a Infants i Adolescents, per a l'any 2009  : protocol","","text","info:eu-repo/semantics/other",""
"Agència Local d'Energia de Barcelona","","Barcelona | Barcelona | Barcelona","","","2018-05","2018","","","Protocol especificacions tècniques sistemes d'autoproducció fotovoltaic municipals (espai públic i edificis municipals) | Podeu consultar el document Exigències constructives energètiques en edificis públics a: http://hdl.handle.net/11703/108948","","","","","application/pdf","75 p.","application/pdf","","","","consorcis","","http://hdl.handle.net/11703/108949","cat","","http://hdl.handle.net/11703/108948","","","","","","","","","","CC-BY-NC-ND","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona | Agència Local d'Energia de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","Energia solar fotovoltaica | Gestió de projectes | Contractes administratius | Photovoltaic power generation | Project management | Public contracts | Energía fotovoltaica | Gestión de proyectos | Contratos administrativos","Energia","documents tècnics | protocols","","Bases tècniques per licitacions de projectes i obres d'energia solar fotovoltaiques municipals","Espai públic Protocol contingut projecte fotovoltaica","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Diputació de Barcelona | Àrea d'Economia, Empresa i Ocupació | Barcelona de Serveis Municipals, S.A. (BSM) | Àrea Metropolitana de Barcelona","","Barcelona | Barcelona | Barcelona","2015","","2015-05-13","2015","","","Aprovat pel President Delegat d'Hisenda, Recursos Interns i Noves Tecnologies de la Diputació de Barcelona, per la Presidenta de Barcelona de Serveis Municipals, S.A. i pel Vicepresident de Transport i Mobilitat de l'Àrea Metropolitana de Barcelona el 13-05-2015 | Podeu consultar l'Estudi amb la metodologia focus group per als usuaris de l'aplicació Apparkb a: http://hdl.handle.net/11703/108410","","","","","application/pdf","4 p.","application/pdf","","","","","","http://hdl.handle.net/11703/106715","cat","","http://hdl.handle.net/11703/108410","","","","Reproducció digital del document en suport original","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Diputació de Barcelona | Ajuntament de Barcelona | Àrea Metropolitana de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Vehicles | Aparcaments | Aplicacions mòbils | Vehicles | Parking garages | Mobile apps | Vehículos | Aparcamiento | Aplicaciones para móviles","Transport","protocols | documents digitalitzats","","Protocol aplicació ApparkB","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Gerència de Seguretat i Prevenció","","Barcelona | Barcelona | Barcelona","","","2018-03-25","2018-06-12","","","Aprovació definitiva pel Plenari del Consell Municipal de 25-03-2018","","Substitueix el Pla d’Actuació Municipal per a Risc de Sequera desenvolupat per l'Ajuntament l'any 2007","","","application/pdf","3 documents","application/pdf","","","Gaseta Municipal de Barcelona (12-06-2018) | Butlletí Oficial de la Província de Barcelona (25-05-2018)","","","http://hdl.handle.net/11703/109314","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Abastament d'aigua | Canvis climàtics | Droughts | Water-supply | Water consumption | Climatic changes | Sequía | Abastecimiento de agua | Consumo de agua | Cambios climáticos","Medi ambient","protocols | acords","","Protocol per situació de sequera a Barcelona : pla de protecció civil municipal","","text","info:eu-repo/semantics/other | info:eu-repo/semantics/other",""
"Parcs i Jardins de Barcelona, Institut Municipal","","Barcelona | Barcelona | Barcelona","","","2011-02-25","2011","","","","","","","","application/pdf","6 p.","application/pdf","BAB_11636","","","entitats públiques empresarials","","http://hdl.handle.net/11703/91564","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Arbres en les ciutats | Monuments naturals | Trees in cities | Natural monuments | Árboles en las ciudades | Monumentos naturales","Medi ambient","protocols","","Protocol de catalogació dels arbres d'interès local de la ciutat de Barcelona","Annex V.3 de l’Ordenança del Medi Ambient de Barcelona, aprovada pel Plenari del Consell Municipal en sessió de 25 de febrer de 2011","text","info:eu-repo/semantics/other",""
"Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","2010-02-05","2010-02-20","","","Aprovat pel Plenari del Consell Muncipal de 05-02-2010","","","","","application/pdf","25 p.","application/pdf","6391","","Gaseta Municipal de Barcelona, núm. 6 (20-02-2010), p. 726-801","","","http://hdl.handle.net/11703/91583","cat","","","","","","","","","","","","Domini públic","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/publicdomain/mark/1.0/deed.ca","Festes populars | Folklore | Folk festivals | Folklore | Fiestas | Folklore","Cultura i oci","protocols","","Protocol festiu de la ciutat de Barcelona","","text","info:eu-repo/semantics/other",""
"Àrea de Qualitat de Vida, Igualtat i Esports","","Barcelona | Barcelona | Barcelona","","","2014-06","2014-09","","","","","","","","application/pdf","16 p.","application/pdf","17713","","","","","http://hdl.handle.net/11703/91594","cat","","","","","","","","","","","","CC-BY","info:eu-repo/semantics/openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","Persones grans | Maltractament | Older people | Abuse | Ancianos | Malos tratos","Seguretat | Societat i benestar","protocols","","L'actuació davant el maltractament a les persones grans: eixos principals del nou protocol municipal","","text","info:eu-repo/semantics/other",""
