"DENOMINACIO CAMPANYA","CONCEPTE","MITJÀ","IMPORT"
"25N BARCELONA ANTIMASCLISTA 2020","MITJANS","PREMSA DIÀRIA",13714.02
"25N BARCELONA ANTIMASCLISTA 2020","MITJANS","REVISTES",0.0
"25N BARCELONA ANTIMASCLISTA 2020","MITJANS","INTERNET",93110.89
"25N BARCELONA ANTIMASCLISTA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"25N BARCELONA ANTIMASCLISTA 2020","MITJANS","EXTERIOR",0.0
"25N BARCELONA ANTIMASCLISTA 2020","MITJANS","TELEVISIÓ",0.0
"25N BARCELONA ANTIMASCLISTA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"8M ECOFEMINISMES","MITJANS","PREMSA DIÀRIA",0.0
"8M ECOFEMINISMES","MITJANS","REVISTES",3276.03
"8M ECOFEMINISMES","MITJANS","INTERNET",11468.08
"8M ECOFEMINISMES","MITJANS","EMISSORES DE RÀDIO",0.0
"8M ECOFEMINISMES","MITJANS","EXTERIOR",0.0
"8M ECOFEMINISMES","MITJANS","TELEVISIÓ",0.0
"8M ECOFEMINISMES","MITJANS","PROXIMITAT REVISTES",0.0
"ACCIONS PROXIMITAT CIUTAT VELLA 2020","MITJANS","PREMSA DIÀRIA",0.0
"ACCIONS PROXIMITAT CIUTAT VELLA 2020","MITJANS","REVISTES",0.0
"ACCIONS PROXIMITAT CIUTAT VELLA 2020","MITJANS","INTERNET",0.0
"ACCIONS PROXIMITAT CIUTAT VELLA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ACCIONS PROXIMITAT CIUTAT VELLA 2020","MITJANS","EXTERIOR",0.0
"ACCIONS PROXIMITAT CIUTAT VELLA 2020","MITJANS","TELEVISIÓ",0.0
"ACCIONS PROXIMITAT CIUTAT VELLA 2020","MITJANS","PROXIMITAT REVISTES",8609.65
"ACCIONS PROXIMITAT EIXAMPLE 2020","MITJANS","PREMSA DIÀRIA",4245.59
"ACCIONS PROXIMITAT EIXAMPLE 2020","MITJANS","REVISTES",0.0
"ACCIONS PROXIMITAT EIXAMPLE 2020","MITJANS","INTERNET",1793.85
"ACCIONS PROXIMITAT EIXAMPLE 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ACCIONS PROXIMITAT EIXAMPLE 2020","MITJANS","EXTERIOR",0.0
"ACCIONS PROXIMITAT EIXAMPLE 2020","MITJANS","TELEVISIÓ",0.0
"ACCIONS PROXIMITAT EIXAMPLE 2020","MITJANS","PROXIMITAT REVISTES",7390.23
"ACCIONS PROXIMITAT GRÀCIA 2020","MITJANS","PREMSA DIÀRIA",0.0
"ACCIONS PROXIMITAT GRÀCIA 2020","MITJANS","REVISTES",0.0
"ACCIONS PROXIMITAT GRÀCIA 2020","MITJANS","INTERNET",0.0
"ACCIONS PROXIMITAT GRÀCIA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ACCIONS PROXIMITAT GRÀCIA 2020","MITJANS","EXTERIOR",0.0
"ACCIONS PROXIMITAT GRÀCIA 2020","MITJANS","TELEVISIÓ",0.0
"ACCIONS PROXIMITAT GRÀCIA 2020","MITJANS","PROXIMITAT REVISTES",17578.88
"ACCIONS PROXIMITAT HORTA-GUINARDÓ 2020","MITJANS","PREMSA DIÀRIA",0.0
"ACCIONS PROXIMITAT HORTA-GUINARDÓ 2020","MITJANS","REVISTES",0.0
"ACCIONS PROXIMITAT HORTA-GUINARDÓ 2020","MITJANS","INTERNET",0.0
"ACCIONS PROXIMITAT HORTA-GUINARDÓ 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ACCIONS PROXIMITAT HORTA-GUINARDÓ 2020","MITJANS","EXTERIOR",0.0
"ACCIONS PROXIMITAT HORTA-GUINARDÓ 2020","MITJANS","TELEVISIÓ",0.0
"ACCIONS PROXIMITAT HORTA-GUINARDÓ 2020","MITJANS","PROXIMITAT REVISTES",427.43
"ACCIONS PROXIMITAT LES CORTS 2020","MITJANS","PREMSA DIÀRIA",0.0
"ACCIONS PROXIMITAT LES CORTS 2020","MITJANS","REVISTES",0.0
"ACCIONS PROXIMITAT LES CORTS 2020","MITJANS","INTERNET",0.0
"ACCIONS PROXIMITAT LES CORTS 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ACCIONS PROXIMITAT LES CORTS 2020","MITJANS","EXTERIOR",0.0
"ACCIONS PROXIMITAT LES CORTS 2020","MITJANS","TELEVISIÓ",0.0
"ACCIONS PROXIMITAT LES CORTS 2020","MITJANS","PROXIMITAT REVISTES",14328.84
"ACCIONS PROXIMITAT NOU BARRIS 2020","MITJANS","PREMSA DIÀRIA",0.0
"ACCIONS PROXIMITAT NOU BARRIS 2020","MITJANS","REVISTES",1500.0
"ACCIONS PROXIMITAT NOU BARRIS 2020","MITJANS","INTERNET",0.0
"ACCIONS PROXIMITAT NOU BARRIS 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ACCIONS PROXIMITAT NOU BARRIS 2020","MITJANS","EXTERIOR",0.0
"ACCIONS PROXIMITAT NOU BARRIS 2020","MITJANS","TELEVISIÓ",0.0
"ACCIONS PROXIMITAT NOU BARRIS 2020","MITJANS","PROXIMITAT REVISTES",12640.89
"ACCIONS PROXIMITAT SANT ANDREU 2020","MITJANS","PREMSA DIÀRIA",0.0
"ACCIONS PROXIMITAT SANT ANDREU 2020","MITJANS","REVISTES",0.0
"ACCIONS PROXIMITAT SANT ANDREU 2020","MITJANS","INTERNET",2977.57
"ACCIONS PROXIMITAT SANT ANDREU 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ACCIONS PROXIMITAT SANT ANDREU 2020","MITJANS","EXTERIOR",0.0
"ACCIONS PROXIMITAT SANT ANDREU 2020","MITJANS","TELEVISIÓ",0.0
"ACCIONS PROXIMITAT SANT ANDREU 2020","MITJANS","PROXIMITAT REVISTES",5877.51
"ACCIONS PROXIMITAT SANT MARTÍ 2020","MITJANS","PREMSA DIÀRIA",0.0
"ACCIONS PROXIMITAT SANT MARTÍ 2020","MITJANS","REVISTES",0.0
"ACCIONS PROXIMITAT SANT MARTÍ 2020","MITJANS","INTERNET",0.0
"ACCIONS PROXIMITAT SANT MARTÍ 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ACCIONS PROXIMITAT SANT MARTÍ 2020","MITJANS","EXTERIOR",0.0
"ACCIONS PROXIMITAT SANT MARTÍ 2020","MITJANS","TELEVISIÓ",0.0
"ACCIONS PROXIMITAT SANT MARTÍ 2020","MITJANS","PROXIMITAT REVISTES",3338.95
"ACCIONS PROXIMITAT SANTS-MONTJUÏC 2020","MITJANS","PREMSA DIÀRIA",0.0
"ACCIONS PROXIMITAT SANTS-MONTJUÏC 2020","MITJANS","REVISTES",0.0
"ACCIONS PROXIMITAT SANTS-MONTJUÏC 2020","MITJANS","INTERNET",423.5
"ACCIONS PROXIMITAT SANTS-MONTJUÏC 2020","MITJANS","EMISSORES DE RÀDIO",6972.75
"ACCIONS PROXIMITAT SANTS-MONTJUÏC 2020","MITJANS","EXTERIOR",0.0
"ACCIONS PROXIMITAT SANTS-MONTJUÏC 2020","MITJANS","TELEVISIÓ",0.0
"ACCIONS PROXIMITAT SANTS-MONTJUÏC 2020","MITJANS","PROXIMITAT REVISTES",18654.78
"ACCIONS PROXIMITAT SARRIA-SANT GERVASI 2020","MITJANS","PREMSA DIÀRIA",0.0
"ACCIONS PROXIMITAT SARRIA-SANT GERVASI 2020","MITJANS","REVISTES",0.0
"ACCIONS PROXIMITAT SARRIA-SANT GERVASI 2020","MITJANS","INTERNET",0.0
"ACCIONS PROXIMITAT SARRIA-SANT GERVASI 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"ACCIONS PROXIMITAT SARRIA-SANT GERVASI 2020","MITJANS","EXTERIOR",0.0
"ACCIONS PROXIMITAT SARRIA-SANT GERVASI 2020","MITJANS","TELEVISIÓ",0.0
"ACCIONS PROXIMITAT SARRIA-SANT GERVASI 2020","MITJANS","PROXIMITAT REVISTES",9854.77
"AGENDA 2030","MITJANS","PREMSA DIÀRIA",35309.36
"AGENDA 2030","MITJANS","REVISTES",0.0
"AGENDA 2030","MITJANS","INTERNET",70670.31
"AGENDA 2030","MITJANS","EMISSORES DE RÀDIO",0.0
"AGENDA 2030","MITJANS","EXTERIOR",12767.68
"AGENDA 2030","MITJANS","TELEVISIÓ",0.0
"AGENDA 2030","MITJANS","PROXIMITAT REVISTES",8303.7
"AGENDES CULTURALS 2020","MITJANS","PREMSA DIÀRIA",27872.09
"AGENDES CULTURALS 2020","MITJANS","REVISTES",120813.98
"AGENDES CULTURALS 2020","MITJANS","INTERNET",0.0
"AGENDES CULTURALS 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"AGENDES CULTURALS 2020","MITJANS","EXTERIOR",0.0
"AGENDES CULTURALS 2020","MITJANS","TELEVISIÓ",0.0
"AGENDES CULTURALS 2020","MITJANS","PROXIMITAT REVISTES",0.0
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","PREMSA DIÀRIA",0.0
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","REVISTES",0.0
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","INTERNET",22295.09
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","EMISSORES DE RÀDIO",0.0
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","EXTERIOR",0.0
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","TELEVISIÓ",0.0
"AJUTS LA CIUTAT PROACTIVA 2020","MITJANS","PROXIMITAT REVISTES",0.0
"ALWAYS BARCELONA 2020","MITJANS","PREMSA DIÀRIA",57622.53
"ALWAYS BARCELONA 2020","MITJANS","REVISTES",10225.59
"ALWAYS BARCELONA 2020","MITJANS","INTERNET",11495.0
