"Tipus ens","Nom ens","Règim jurídic d'aplicació","Escala","Subescala","Categoria","Grup","Subgrup","Temporalitat","Gènere","Nombre"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","DIRECTIUS","","","","Directius","","Fix","H","84"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","DIRECTIUS","","","","Directius","","Fix","D","60"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","A1","Fix","H","59"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","A1","Fix","D","57"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","A2","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","A2","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL EVENTUAL"," ","","","De confiança o d'assessorament","C1","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","C1","Fix","D","3"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","C2","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL EVENTUAL","","","","De confiança o d'assessorament","C2","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'habilitació estatal","Subescala de Secretaria","","Secretari / ària","A1","Fix","H","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'habilitació estatal","Subescala de Secretaria","","Secretari / ària","A1","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'habilitació estatal","Subescala d'Intervenció - Tresoreria","","Interventor/a","A1","Fix","H","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'habilitació estatal","Subescala d'Intervenció - Tresoreria","","Interventor/a","A1","Fix","D",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'habilitació estatal","Subescala d'Intervenció - Tresoreria","","Vice-interventor/a","A1","Fix","H","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'habilitació estatal","Subescala d'Intervenció - Tresoreria","","Vice-interventor/a","A1","Fix","D","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'habilitació estatal","Subescala d'Intervenció - Tresoreria","","Tresorer/a","A1","Fix","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'habilitació estatal","Subescala d'Intervenció - Tresoreria","","Tresorer/a","A1","Fix","D","1"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica","","Tècnic/a superior","A1","Fix","H","13"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica","","Tècnic/a superior","A1","Fix","D","31"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica","","Tècnic/a superior","A1","Interí i temporal","H",""
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","PERSONAL FUNCIONARI","Escala d'administració general","Subsecala tècnica","","Tècnic/a superior","A1","Interí i temporal","D",""
