"Tipus_ens","Nom_ens","Sindicat","Nombre de delegats","Nombre de persones que tenen dispensa d'assistència al treball","Hores autoritzades als delegats per a l'exercici de les seves funcions","Valoració en euros dels costos pel temps dedicat pels delegats a l'activitat sindical"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","Comissions Obreres de Catalunya",33.0,16.0,"3520","84480"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","Unió General de Treballadors de Catalunya",29.0,16.0,"3160","57006,4"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","Confederació General del Treball",16.0,3.0,"1015","18310,6"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","Central Sindical Independent i de Funcionaris",10.0,2.0,"690","12447,6"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","Sindicato de Agentes de Policia Local",6.0,4.0,"740","13350"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","Intersindical-CSC",16.0,0.0,"640","11545,6"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","Acción Sindical Independiente",0.0,0.0,"0","0"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","SIA-FESIT",0.0,0.0,"0","0"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","Col·lectiu de Treballadors de Tractament de Residus",0.0,0.0,"0","0"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","Unión Sindical Obrera de Catalunya",0.0,0.0,"0","0"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","Sindicat Independent d’Àrea (B:SM)",0.0,0.0,"0","0"
"AJUNTAMENT DE BARCELONA","AJUNTAMENT DE BARCELONA","Candidatura Autònoma de Treballadors i Treballadores de l'Administració de Catalunya",0.0,0.0,"0","0"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Hisenda","Comissions Obreres de Catalunya",8.0,0.0,"320","7680"
"ORGANISMES AUTÒNOMS","Institut Municipal d'Informàtica","Comissions Obreres de Catalunya",15.0,0.0,"600","14400"
"ORGANISMES AUTÒNOMS","Institut Municipal de Mercats","Comissions Obreres de Catalunya",4.0,0.0,"110","2640"
