"32","2020","Viatge de Laia Bonet el 8012020 a Madrid per assistir a diverses reunions sobre Agenda 2030","LAIA BONET RULL","REUNIONS A MADRID PER TEMES D'AGENDA 2030","Altres despeses","14175","08012020","080120201","MADRID","Espanya","Regidora"
32,2020,"Viatge de Laia Bonet el 8/01/2020 a Madrid per assistir a diverses reunions sobre Agenda 2030","LAIA BONET RULL","REUNIONS A MADRID PER TEMES D'AGENDA 2030","Desplaçament",220.0,"08.01.2020","08.01.2020","MADRID","Espanya","Regidor/a"
72,2020,"Albert Dalmau viatge a Madrid el 21/01/2020","ALBERT DALMAU MIRANDA","DIFERENTS TROBADES D'ECONOMIA A MADRID","Allotjament",180.0,"20.01.2020","21.01.2020","MADRID","Espanya","Comissionat/da"
72,2020,"Albert Dalmau viatge a Madrid el 21/01/2020","ALBERT DALMAU MIRANDA","DIFERENTS TROBADES D'ECONOMIA A MADRID","Altres despeses",183.49,"20.01.2020","21.01.2020","MADRID","Espanya","Comissionat/da"
72,2020,"Albert Dalmau viatge a Madrid el 21/01/2020","ALBERT DALMAU MIRANDA","DIFERENTS TROBADES D'ECONOMIA A MADRID","Desplaçament",200.0,"20.01.2020","21.01.2020","MADRID","Espanya","Comissionat/da"
63,2020,"Xavier Marcé_Desplaçament a Madrid per participar a FITUR 2020","FRANCESC XAVIER MARCE CAROL","PARTICIPAR EN LA FERIA INTERNACIONAL DE TURISMO MADRID (FITUR 2020)","Allotjament",800.0,"22.01.2020","25.01.2020","MADRID","Espanya","Regidor/a"
63,2020,"Xavier Marcé_Desplaçament a Madrid per participar a FITUR 2020","FRANCESC XAVIER MARCE CAROL","PARTICIPAR EN LA FERIA INTERNACIONAL DE TURISMO MADRID (FITUR 2020)","Altres despeses",192.4,"22.01.2020","25.01.2020","MADRID","Espanya","Regidor/a"
63,2020,"Xavier Marcé_Desplaçament a Madrid per participar a FITUR 2020","FRANCESC XAVIER MARCE CAROL","PARTICIPAR EN LA FERIA INTERNACIONAL DE TURISMO MADRID (FITUR 2020)","Desplaçament",375.0,"22.01.2020","25.01.2020","MADRID","Espanya","Regidor/a"
106,2020,"Viatge Joan Subirats a Cuba el 21.01.20","JOAN SUBIRATS HUMET","PROGRAMA ARTÍSTIC MERCÈ 2020, TROBADES INSTITUCIONALS I ACORDS COOPERACIÓ INTERNACIONAL","Allotjament",387.24,"21.01.2020","25.01.2020","HAVANA","Cuba","Regidor/a"
106,2020,"Viatge Joan Subirats a Cuba el 21.01.20","JOAN SUBIRATS HUMET","PROGRAMA ARTÍSTIC MERCÈ 2020, TROBADES INSTITUCIONALS I ACORDS COOPERACIÓ INTERNACIONAL","Altres despeses",200.2,"21.01.2020","25.01.2020","HAVANA","Cuba","Regidor/a"
106,2020,"Viatge Joan Subirats a Cuba el 21.01.20","JOAN SUBIRATS HUMET","PROGRAMA ARTÍSTIC MERCÈ 2020, TROBADES INSTITUCIONALS I ACORDS COOPERACIÓ INTERNACIONAL","Desplaçament",4535.5,"21.01.2020","25.01.2020","HAVANA","Cuba","Regidor/a"
