"Codi_programa","Nom_Programa","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
1,"Deute Públic",23.4,36.4,34.9,36.1,31.7,25.4,20.1,19.2,13.6,13.8
13,"Seguretat i mobilitat ciutadana",281.9,283.5,274.9,281.0,285.5,294.7,316.9,297.1,309.3,328.5
15,"Habitatge i urbanisme",98.3,92.6,92.3,88.3,87.0,108.1,113.2,120.8,130.0,134.6
16,"Benestar comunitari (""serveis urbans"")",377.1,382.4,387.9,393.9,391.2,398.3,335.5,348.3,343.1,333.2
17,"Medi ambient",56.5,53.8,51.7,51.2,50.1,51.6,52.1,54.8,53.5,55.2
21,"Pensions",1.1,1.0,0.9,0.8,0.7,0.6,0.6,0.5,0.4,0.4
23,"Serveis socials i promoció social",178.5,185.2,212.0,222.3,228.5,249.6,297.4,306.8,341.9,343.9
31,"Salut",22.6,19.7,18.7,18.8,21.4,22.5,35.7,22.2,21.8,21.8
32,"Educació",91.1,96.0,103.7,98.7,104.2,116.1,124.8,122.0,125.3,126.3
33,"Cultura",117.3,112.4,112.4,119.5,121.3,124.6,139.9,148.7,141.2,141.1
34,"Esport",23.9,27.9,31.5,31.5,24.1,24.9,26.7,25.7,24.4,23.3
43,"""Promoció econòmica i ocupació""",62.4,82.0,61.0,48.0,67.9,91.8,67.9,79.4,85.4,80.9
44,"Transport públic",87.7,80.4,87.4,88.7,105.7,132.7,146.9,152.1,172.1,177.6
45,"Infraestructures",0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.2,2.8
49,"Altres activitats de caràcter econòmic",18.3,16.8,15.8,18.0,17.4,18.1,17.0,18.1,10.8,23.3
91,"Òrgans de Govern",30.9,27.5,27.0,27.2,27.5,27.2,29.9,29.2,30.1,31.2
92,"Serveis de caràcter general",134.2,128.1,125.8,138.0,147.1,153.5,158.8,163.3,173.4,178.7
93,"Administració financera i tributària",93.6,84.6,87.1,85.3,85.8,96.5,96.9,96.8,99.2,105.0
