"Tipus_despesa","Codi_Organic","Descripcio_organic","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Despesa Corrent",101,"Recursos",0.0,0.0,153.4,155.6,161.3,160.6,129.2,125.0,134.1,145.5
"Despesa Corrent",101,"Serveis generals i Coord. Territ.",149.4,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa Corrent",102,"Recursos Humans i Organització",6.6,6.4,6.0,6.4,6.4,6.6,7.1,7.7,8.1,8.9
"Despesa Corrent",103,"Finances",28.5,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa Corrent",104,"Gerència Municipal",4.6,3.4,3.0,3.9,10.4,8.9,4.3,8.3,89.0,81.0
"Despesa Corrent",201,"Acció Social i Ciutadania",111.3,117.2,0.0,0.0,0.0,0.0,0.0,0.0,357.9,0.0
"Despesa Corrent",201,"Qualitat de Vida, Igualtat i Esports / Drets Socials",0.0,0.0,175.5,184.0,191.4,230.9,358.6,335.0,0.0,361.8
"Despesa Corrent",301,"Medi Ambient/Empresa, Cultura i Innovació",339.1,339.4,0.0,0.0,0.0,0.0,0.0,222.1,0.0,0.0
"Despesa Corrent",401,"Prevenció, Seguretat i Mobilitat / Seguretat i Prevenció",223.9,228.0,224.1,230.1,235.6,245.7,253.6,235.2,246.3,264.9
"Despesa Corrent",501,"Hàbitat Urbà / Ecologia Urbana",0.0,0.0,50.9,51.9,40.3,61.5,47.0,51.9,50.9,53.2
"Despesa Corrent",501,"Urbanisme i Infraestructures",52.8,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa Corrent",502,"Medi Ambient",0.0,0.0,0.0,340.1,308.7,0.0,0.0,0.0,279.6,0.0
"Despesa Corrent",502,"Medi Ambient i Serveis Urbans",0.0,0.0,343.1,0.0,0.0,314.3,276.7,285.7,0.0,283.9
"Despesa Corrent",503,"Urbanisme",0.0,0.0,0.0,3.7,6.8,5.4,3.5,3.9,3.8,3.3
"Despesa Corrent",504,"Infraestructures i coordinació urbana / Mobilitat i infraestructures",0.0,0.0,0.0,2.5,36.0,42.8,33.3,34.6,192.9,226.2
"Despesa Corrent",601,"Ciutat Vella",45.8,44.7,44.3,44.3,45.0,45.6,47.1,48.8,50.6,52.3
"Despesa Corrent",602,"Eixample",38.4,37.9,38.0,38.2,38.7,40.2,40.9,43.4,43.1,44.2
"Despesa Corrent",603,"Sants-Montjuïc",32.9,31.4,31.3,31.8,32.1,33.4,35.4,36.8,37.4,37.6
"Despesa Corrent",604,"Les Corts",15.2,14.4,14.4,14.8,14.6,15.4,15.6,15.9,16.1,16.6
"Despesa Corrent",605,"Sarrià-St.Gervasi",21.2,20.1,20.2,20.3,20.6,21.6,21.3,21.4,23.1,22.9
"Despesa Corrent",606,"Gràcia",21.0,20.4,20.4,20.8,20.8,21.8,24.4,25.0,25.4,25.4
"Despesa Corrent",607,"Horta-Guinardó",26.0,24.4,24.9,24.9,24.8,25.8,30.5,30.9,31.0,31.8
"Despesa Corrent",608,"Nou Barris",26.6,25.1,25.5,25.5,26.4,28.1,32.2,33.8,35.3,35.7
"Despesa Corrent",609,"St. Andreu",21.7,20.4,20.6,21.8,21.6,23.4,27.5,28.0,28.6,30.5
"Despesa Corrent",610,"St. Martí",37.6,35.4,35.3,36.0,36.2,37.1,41.9,43.5,44.4,44.7
"Despesa Corrent",701,"Economia / Presidència i Economia",0.0,0.0,29.6,28.7,30.5,53.6,81.0,77.3,80.0,81.8
"Despesa Corrent",701,"Promoció econòmica",63.6,82.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Despesa Corrent",702,"Empresa i Ocupació / Ocupació, Empresa i Turisme",0.0,0.0,61.7,46.2,66.6,74.0,54.6,48.0,61.3,59.0
"Despesa Corrent",703,"Serveis Centrals",0.0,0.0,282.9,307.7,302.4,310.4,352.3,267.5,126.1,119.0
"Despesa Corrent",704,"Gerència turisme, comerç i mercats",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,16.3
